
                             A:A1 PI: FIBERS90  A:A1 PI: HOST-1 N  A:A2 PI: FIBERS90  A:A2 PI: HOST-1 N  ALLAE Whole Model ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: FIBER  LE:LE11 PI: HOST-  LE:LE22 PI: FIBER  LE:LE22 PI: HOST-  RF:RF1 PI: FIBERS  RF:RF1 PI: HOST-1  RF:RF2 PI: FIBERS  RF:RF2 PI: HOST-1  S:S11 PI: FIBERS9  S:S11 PI: HOST-1   S:S22 PI: FIBERS9  S:S22 PI: HOST-1   U:U1 PI: FIBERS90  U:U1 PI: HOST-1 N  U:U2 PI: FIBERS90  U:U2 PI: HOST-1 N
                  X                 N: 1               : 1                N: 1               : 1                 -1                -1                l-1                 -1                 -1                 -1                -1                 -1                 -1                 -1                l-1         S90 E: 1 Centroid   1 E: 1 Centroid   S90 E: 1 Centroid   1 E: 1 Centroid        90 N: 1              N: 1             90 N: 1              N: 1         0 E: 1 Centroid     E: 1 Centroid     0 E: 1 Centroid     E: 1 Centroid           N: 1               : 1                N: 1               : 1       
                                                                                                                                                                                                                         
                0.              -170.944             -2.14247E+03        0.                 0.                 0.                0.                 0.                 0.                 0.                55.7409E+03        0.                 0.                 0.                 0.                55.7409E+03         0.                 0.                 0.                 0.                 0.                 0.                 0.                 2.44002E+06        0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              112.36E-06          -1.17731E+03      -14.7562E+03         0.                 0.               227.851E-06         0.                 0.                 0.                46.0947E+03        59.6294E+03        0.                46.0947E+03         5.09937E+03       52.2329E+03        58.5905E+03       561.676E-06        -13.5303E-06         0.               561.676E-06          0.                 0.                 0.                44.0469E+06       112.353E+06         59.629E+06          0.               148.091E+06         -1.07905E-06      -13.524E-06         44.8247E-06       561.798E-06  
              224.719E-06       -874.013            -10.9537E+03         0.                 0.               -56.9166E-06        0.                 0.                 0.               153.223E+03         80.4626E+03        0.               153.223E+03          6.83496E+03      184.492E+03         56.0282E+03         1.12292E-03     -213.348E-06          0.                 1.12292E-03        0.                 0.                 0.                73.6638E+06       224.597E+06         47.5711E+06         0.               253.097E+06        -17.0213E-06      -213.34E-06          89.6494E-06         1.1236E-03 
              337.079E-06        341.129              4.27549E+03        0.                 0.               911.392E-06         0.                 0.                 0.               332.21E+03          88.8196E+03        0.               332.21E+03           7.73648E+03      374.662E+03         54.1045E+03         1.68396E-03     -551.584E-06          0.                 1.68396E-03        0.                 0.                 0.                95.5874E+06       336.805E+06        -17.8228E+06         0.               326.153E+06        -43.9977E-06      -551.443E-06        134.474E-06          1.68539E-03
              449.438E-06          1.0987E+03        13.7701E+03         0.                 0.                 1.36716E-03       0.                 0.                 0.               599.044E+03         69.0311E+03        0.               599.044E+03          8.682E+03        619.078E+03         57.6797E+03         2.24469E-03     -835.895E-06          0.                 2.24469E-03        0.                 0.                 0.               121.943E+06        448.978E+06        -62.5301E+06         0.               411.601E+06        -66.6674E-06      -835.569E-06        179.299E-06          2.24719E-03
              561.798E-06        622.45               7.80296E+03        0.                 0.               911.592E-06         0.                 0.                 0.               923.966E+03         57.014E+03         0.               923.966E+03         10.4167E+03       934.891E+03         56.5057E+03         2.80511E-03     -946.291E-06          0.                 2.80505E-03        0.                 0.                 0.               159.13E+06         561.124E+06        -40.2755E+06         0.               537.027E+06        -75.4664E-06      -945.852E-06        224.124E-06          2.80899E-03
              674.157E-06       -484.285             -6.07015E+03        0.                 0.               227.937E-06         0.                 0.                 0.                 1.32494E+06       56.5988E+03        0.                 1.32494E+06       14.68E+03           1.34003E+06       56.1857E+03         3.36509E-03     -958.067E-06          0.                 3.36509E-03        0.                 0.                 0.               201.441E+06        673.154E+06         20.0002E+06         0.               685.073E+06        -76.4072E-06      -957.624E-06        268.948E-06          3.37079E-03
              786.517E-06       -985.283            -12.3492E+03         0.                 0.               912.586E-06         0.                 0.                 0.                 1.8079E+06        65.2002E+03        0.                 1.8079E+06        18.1076E+03         1.83383E+06       57.3734E+03         3.92488E-03       -1.0466E-03         0.                 3.92488E-03        0.                 0.                 0.               238.043E+06        785.127E+06         50.6821E+06         0.               815.366E+06        -83.4618E-06        -1.04603E-03      313.773E-06          3.93258E-03
              898.876E-06       -388.966             -4.87784E+03        0.                 0.              -228.13E-06          0.                 0.                 0.                 2.35282E+06       81.6038E+03        0.                 2.35282E+06       19.2686E+03         2.39908E+06       54.6129E+03         4.48436E-03       -1.29119E-03        0.                 4.48436E-03        0.                 0.                 0.               265.025E+06        897.074E+06         21.1478E+06         0.               909.677E+06       -102.955E-06         -1.29034E-03      358.598E-06          4.49438E-03
                1.01124E-03      580.941              7.28158E+03        0.                 0.                 0.                0.                 0.                 0.                 2.9778E+06        78.8271E+03        0.                 2.9778E+06        20.1973E+03         3.02163E+06       55.1943E+03         5.0434E-03        -1.59749E-03        0.                 5.0434E-03         0.                 0.                 0.               289.05E+06           1.00895E+09      -32.2994E+06         0.               989.712E+06       -127.36E-06          -1.59623E-03      403.423E-06          5.05618E-03
                1.1236E-03       851.468             10.6728E+03         0.                 0.               228.18E-06          0.                 0.                 0.                 3.678E+06         63.0838E+03        0.                 3.678E+06         21.2022E+03         3.70533E+06       56.9557E+03         5.60225E-03       -1.81183E-03        0.                 5.60225E-03        0.                 0.                 0.               319.442E+06          1.12081E+09      -50.2739E+06         0.                 1.09088E+09     -144.429E-06         -1.8102E-03       448.247E-06          5.61798E-03
                1.23595E-03      184.017              2.30948E+03        0.                 0.               171.295E-06         0.                 0.                 0.                 4.44131E+06       57.1694E+03        0.                 4.44131E+06       23.6374E+03         4.46638E+06       55.7304E+03         6.16079E-03       -1.89119E-03        0.                 6.16079E-03        0.                 0.                 0.               357.89E+06           1.23259E+09      -16.1206E+06         0.                 1.22298E+09     -150.75E-06          -1.88942E-03      493.072E-06          6.17978E-03
                1.34831E-03     -629.452             -7.89004E+03        0.                 0.              -285.182E-06         0.                 0.                 0.                 5.28478E+06       59.1509E+03        0.                 5.28478E+06       27.3543E+03         5.31484E+06       56.4422E+03         6.7189E-03        -1.94136E-03        0.                 6.7189E-03         0.                 0.                 0.               397.235E+06          1.34429E+09       29.2917E+06         0.                 1.36167E+09     -154.747E-06         -1.93949E-03      537.897E-06          6.74157E-03
                1.46067E-03     -699.795             -8.77214E+03        0.                 0.               399.864E-06         0.                 0.                 0.                 6.2005E+06        70.1111E+03        0.                 6.2005E+06        29.5958E+03         6.24416E+06       56.0475E+03         7.27682E-03       -2.09136E-03        0.                 7.27682E-03        0.                 0.                 0.               429.862E+06          1.45595E+09       36.102E+06          0.                 1.47736E+09     -166.691E-06         -2.08917E-03      582.721E-06          7.30337E-03
                1.57303E-03       -7.92738         -101.309              0.                 0.                 2.85553E-03       0.                 0.                 0.                 7.18425E+06       79.0316E+03        0.                 7.18425E+06       30.6011E+03         7.23944E+06       54.4495E+03         7.83442E-03       -2.35236E-03        0.                 7.83442E-03        0.                 0.                 0.               455.937E+06          1.56754E+09      -50.136E+03          0.                 1.56752E+09     -187.47E-06          -2.34959E-03      627.546E-06          7.86517E-03
