1.64354e-05 1.05969e+08  2.43160e+06 2.43160e+06 
3.28708e-05 1.06031e+08  9.10567e+06 9.16643e+06 
4.93056e-05 1.06235e+08  1.93339e+07 1.96093e+07 
6.57391e-05 1.06688e+08  3.29184e+07 3.36825e+07 
8.21699e-05 1.07511e+08  4.96318e+07 5.12941e+07 
9.85968e-05 1.08828e+08  6.92332e+07 7.23390e+07 
1.15018e-04 1.10746e+08  9.14845e+07 9.67002e+07 
1.31432e-04 1.13348e+08  1.16168e+08 1.24251e+08 
1.47837e-04 1.16674e+08  1.43100e+08 1.54855e+08 
1.64230e-04 1.20722e+08  1.72145e+08 1.88374e+08 
1.80610e-04 1.25431e+08  2.03226e+08 2.24664e+08 
1.96974e-04 1.30691e+08  2.36322e+08 2.63581e+08 
2.13320e-04 1.36337e+08  2.71476e+08 3.04987e+08 
2.29647e-04 1.42165e+08  3.08781e+08 3.48747e+08 
2.45951e-04 1.47938e+08  3.48372e+08 3.94734e+08 
2.62232e-04 1.53404e+08  3.90415e+08 4.42834e+08 
2.78487e-04 1.58312e+08  4.35085e+08 4.92944e+08 
2.94716e-04 1.62428e+08  4.82554e+08 5.44975e+08 
3.10917e-04 1.65551e+08  5.32971e+08 5.98854e+08 
3.27089e-04 1.67527e+08  5.86449e+08 6.54524e+08 
3.43231e-04 1.68261e+08  6.43054e+08 7.11942e+08 
3.59345e-04 1.67719e+08  7.02799e+08 7.71086e+08 
3.75428e-04 1.65933e+08  7.65638e+08 8.31945e+08 
3.91483e-04 1.62997e+08  8.31474e+08 8.94526e+08 
4.07509e-04 1.59060e+08  9.00160e+08 9.58849e+08 
4.23507e-04 1.54317e+08  9.71514e+08 1.02495e+09 
4.39478e-04 1.48994e+08  1.04533e+09 1.09286e+09 
4.55425e-04 1.43332e+08  1.12139e+09 1.16265e+09 
4.71348e-04 1.37576e+08  1.19949e+09 1.23438e+09 
4.87249e-04 1.31955e+08  1.27945e+09 1.30811e+09 
5.03131e-04 1.26671e+08  1.36111e+09 1.38392e+09 
5.18994e-04 1.21888e+08  1.44438e+09 1.46190e+09 
5.34842e-04 1.17724e+08  1.52920e+09 1.54211e+09 
5.50677e-04 1.14248e+08  1.61557e+09 1.62465e+09 
5.66499e-04 1.11478e+08  1.70356e+09 1.70958e+09 
5.82312e-04 1.09386e+08  1.79327e+09 1.79699e+09 
5.98118e-04 1.07906e+08  1.88485e+09 1.88694e+09 
6.13917e-04 1.06940e+08  1.97847e+09 1.97951e+09 
6.29713e-04 1.06376e+08  2.07431e+09 2.07474e+09 
6.45505e-04 1.06095e+08  2.17256e+09 2.17268e+09 
6.61295e-04 1.05988e+08  2.27335e+09 2.27337e+09 
6.77085e-04 1.05964e+08  2.37683e+09 2.37682e+09 
6.92874e-04 1.05964e+08  2.48305e+09 2.48305e+09 
7.08664e-04 1.05964e+08  2.59204e+09 2.59203e+09 
7.24453e-04 1.05975e+08  2.70376e+09 2.70376e+09 
7.40243e-04 1.06047e+08  2.81811e+09 2.81818e+09 
7.56032e-04 1.06259e+08  2.93495e+09 2.93525e+09 
7.71819e-04 1.06712e+08  3.05409e+09 3.05488e+09 
7.87604e-04 1.07514e+08  3.17534e+09 3.17700e+09 
8.03385e-04 1.08768e+08  3.29846e+09 3.30150e+09 
8.19160e-04 1.10559e+08  3.42326e+09 3.42827e+09 
8.34929e-04 1.12939e+08  3.54955e+09 3.55719e+09 
8.50689e-04 1.15918e+08  3.67721e+09 3.68814e+09 
8.66439e-04 1.19457e+08  3.80614e+09 3.82098e+09 
8.82175e-04 1.23468e+08  3.93631e+09 3.95559e+09 
8.97898e-04 1.27813e+08  4.06775e+09 4.09184e+09 
9.13604e-04 1.32314e+08  4.20053e+09 4.22961e+09 
9.29293e-04 1.36764e+08  4.33478e+09 4.36879e+09 
9.44962e-04 1.40943e+08  4.47063e+09 4.50927e+09 
9.60610e-04 1.44633e+08  4.60824e+09 4.65097e+09 
9.76235e-04 1.47635e+08  4.74775e+09 4.79382e+09 
9.91838e-04 1.49782e+08  4.88930e+09 4.93774e+09 
