1.64354e-05 4.57464e+06  1.23829e+05 1.23829e+05 
3.28708e-05 4.57982e+06  4.54842e+05 4.60165e+05 
4.93060e-05 4.59648e+06  9.47780e+05 9.71541e+05 
6.57407e-05 4.63271e+06  1.58805e+06 1.65282e+06 
8.21745e-05 4.69681e+06  2.35986e+06 2.49792e+06 
9.86070e-05 4.79602e+06  3.24789e+06 3.50000e+06 
1.15038e-04 4.93531e+06  4.23885e+06 4.65161e+06 
1.31466e-04 5.11645e+06  5.32282e+06 5.94491e+06 
1.47891e-04 5.33733e+06  6.49418e+06 7.37191e+06 
1.64312e-04 5.59182e+06  7.75211e+06 8.92465e+06 
1.80729e-04 5.86993e+06  9.10048e+06 1.05954e+07 
1.97140e-04 6.15851e+06  1.05473e+07 1.23770e+07 
2.13547e-04 6.44229e+06  1.21039e+07 1.42629e+07 
2.29947e-04 6.70507e+06  1.37833e+07 1.62472e+07 
2.46340e-04 6.93119e+06  1.55988e+07 1.83252e+07 
2.62727e-04 7.10682e+06  1.75630e+07 2.04933e+07 
2.79106e-04 7.22123e+06  1.96856e+07 2.27488e+07 
2.95478e-04 7.26764e+06  2.19733e+07 2.50904e+07 
3.11842e-04 7.24378e+06  2.44285e+07 2.75179e+07 
3.28199e-04 7.15204e+06  2.70495e+07 3.00324e+07 
3.44548e-04 6.99915e+06  2.98305e+07 3.26359e+07 
3.60890e-04 6.79552e+06  3.27625e+07 3.53316e+07 
3.77225e-04 6.55424e+06  3.58345e+07 3.81236e+07 
3.93553e-04 6.28992e+06  3.90342e+07 4.10167e+07 
4.09874e-04 6.01744e+06  4.23500e+07 4.40165e+07 
4.26190e-04 5.75073e+06  4.57715e+07 4.71289e+07 
4.42501e-04 5.50175e+06  4.92912e+07 5.03602e+07 
4.58806e-04 5.27968e+06  5.29049e+07 5.37169e+07 
4.75108e-04 5.09048e+06  5.66119e+07 5.72053e+07 
4.91406e-04 4.93680e+06  6.04155e+07 6.08315e+07 
5.07701e-04 4.81815e+06  6.43220e+07 6.46012e+07 
5.23994e-04 4.73152e+06  6.83402e+07 6.85199e+07 
5.40284e-04 4.67206e+06  7.24803e+07 7.25918e+07 
5.56573e-04 4.63404e+06  7.67527e+07 7.68209e+07 
5.72861e-04 4.61172e+06  8.11670e+07 8.12098e+07 
5.89147e-04 4.60020e+06  8.57306e+07 8.57605e+07 
6.05433e-04 4.59609e+06  9.04484e+07 9.04737e+07 
6.21718e-04 4.59790e+06  9.53218e+07 9.53492e+07 
6.38003e-04 4.60618e+06  1.00349e+08 1.00385e+08 
6.54286e-04 4.62334e+06  1.05524e+08 1.05580e+08 
6.70569e-04 4.65322e+06  1.10840e+08 1.10930e+08 
6.86851e-04 4.70039e+06  1.16287e+08 1.16431e+08 
7.03131e-04 4.76941e+06  1.21854e+08 1.22078e+08 
7.19409e-04 4.86398e+06  1.27533e+08 1.27865e+08 
7.35686e-04 4.98619e+06  1.33313e+08 1.33786e+08 
7.51959e-04 5.13593e+06  1.39189e+08 1.39835e+08 
7.68229e-04 5.31053e+06  1.45157e+08 1.46006e+08 
7.84496e-04 5.50471e+06  1.51217e+08 1.52291e+08 
8.00758e-04 5.71076e+06  1.57373e+08 1.58685e+08 
8.17016e-04 5.91909e+06  1.63628e+08 1.65182e+08 
8.33268e-04 6.11895e+06  1.69990e+08 1.71776e+08 
8.49515e-04 6.29929e+06  1.76469e+08 1.78464e+08 
8.65756e-04 6.44971e+06  1.83071e+08 1.85241e+08 
8.81991e-04 6.56137e+06  1.89805e+08 1.92104e+08 
8.98220e-04 6.62773e+06  1.96676e+08 1.99052e+08 
9.14442e-04 6.64511e+06  2.03687e+08 2.06084e+08 
9.30657e-04 6.61297e+06  2.10840e+08 2.13200e+08 
9.46866e-04 6.53391e+06  2.18133e+08 2.20400e+08 
9.63068e-04 6.41341e+06  2.25560e+08 2.27688e+08 
9.79264e-04 6.25924e+06  2.33116e+08 2.35065e+08 
9.95453e-04 6.08082e+06  2.40793e+08 2.42535e+08 
1.01164e-03 5.88833e+06  2.48584e+08 2.50103e+08 
1.02782e-03 5.69190e+06  2.56481e+08 2.57772e+08 
1.04399e-03 5.50079e+06  2.64479e+08 2.65549e+08 
1.06016e-03 5.32280e+06  2.72573e+08 2.73437e+08 
1.07632e-03 5.16377e+06  2.80763e+08 2.81442e+08 
1.09248e-03 5.02735e+06  2.89048e+08 2.89570e+08 
1.10864e-03 4.91504e+06  2.97433e+08 2.97825e+08 
1.12480e-03 4.82645e+06  3.05922e+08 3.06212e+08 
1.14095e-03 4.75964e+06  3.14521e+08 3.14734e+08 
1.15710e-03 4.71175e+06  3.23237e+08 3.23395e+08 
1.17325e-03 4.67950e+06  3.32077e+08 3.32198e+08 
1.18939e-03 4.65986e+06  3.41045e+08 3.41144e+08 
1.20554e-03 4.65042e+06  3.50146e+08 3.50234e+08 
1.22168e-03 4.64984e+06  3.59381e+08 3.59469e+08 
1.23783e-03 4.65791e+06  3.68750e+08 3.68847e+08 
1.25397e-03 4.67557e+06  3.78250e+08 3.78367e+08 
1.27011e-03 4.70464e+06  3.87876e+08 3.88026e+08 
1.28625e-03 4.74748e+06  3.97622e+08 3.97822e+08 
1.30238e-03 4.80648e+06  4.07482e+08 4.07750e+08 
1.31852e-03 4.88354e+06  4.17449e+08 4.17806e+08 
1.33465e-03 4.97958e+06  4.27517e+08 4.27985e+08 
1.35078e-03 5.09414e+06  4.37682e+08 4.38281e+08 
1.36691e-03 5.22514e+06  4.47940e+08 4.48691e+08 
1.38303e-03 5.36879e+06  4.58291e+08 4.59208e+08 
1.39915e-03 5.51974e+06  4.68736e+08 4.69828e+08 
1.41526e-03 5.67138e+06  4.79277e+08 4.80545e+08 
1.43137e-03 5.81631e+06  4.89920e+08 4.91356e+08 
1.44748e-03 5.94695e+06  5.00668e+08 5.02256e+08 
1.46358e-03 6.05614e+06  5.11528e+08 5.13242e+08 
1.47968e-03 6.13773e+06  5.22504e+08 5.24313e+08 
1.49576e-03 6.18716e+06  5.33599e+08 5.35466e+08 
1.51185e-03 6.20179e+06  5.44817e+08 5.46700e+08 
1.52793e-03 6.18113e+06  5.56157e+08 5.58016e+08 
1.54400e-03 6.12684e+06  5.67618e+08 5.69415e+08 
1.56006e-03 6.04255e+06  5.79198e+08 5.80896e+08 
1.57612e-03 5.93354e+06  5.90892e+08 5.92464e+08 
1.59218e-03 5.80622e+06  6.02696e+08 6.04121e+08 
1.60823e-03 5.66760e+06  6.14605e+08 6.15869e+08 
1.62427e-03 5.52472e+06  6.26615e+08 6.27714e+08 
1.64031e-03 5.38409e+06  6.38722e+08 6.39658e+08 
1.65635e-03 5.25128e+06  6.50924e+08 6.51706e+08 
1.67238e-03 5.13061e+06  6.63219e+08 6.63861e+08 
1.68841e-03 5.02497e+06  6.75609e+08 6.76129e+08 
1.70444e-03 4.93584e+06  6.88096e+08 6.88513e+08 
1.72046e-03 4.86343e+06  7.00683e+08 7.01017e+08 
1.73648e-03 4.80698e+06  7.13374e+08 7.13643e+08 
1.75250e-03 4.76506e+06  7.26174e+08 7.26394e+08 
1.76851e-03 4.73596e+06  7.39085e+08 7.39272e+08 
1.78453e-03 4.71807e+06  7.52113e+08 7.52279e+08 
1.80054e-03 4.71015e+06  7.65258e+08 7.65415e+08 
1.81655e-03 4.71152e+06  7.78521e+08 7.78680e+08 
1.83256e-03 4.72214e+06  7.91902e+08 7.92073e+08 
1.84856e-03 4.74258e+06  8.05398e+08 8.05593e+08 
1.86457e-03 4.77379e+06  8.19006e+08 8.19237e+08 
1.88057e-03 4.81691e+06  8.32723e+08 8.33003e+08 
1.89657e-03 4.87292e+06  8.46542e+08 8.46887e+08 
1.91257e-03 4.94232e+06  8.60461e+08 8.60886e+08 
1.92857e-03 5.02483e+06  8.74476e+08 8.74996e+08 
1.94456e-03 5.11921e+06  8.88584e+08 8.89213e+08 
1.96055e-03 5.22313e+06  9.02782e+08 9.03532e+08 
1.97654e-03 5.33320e+06  9.17072e+08 9.17949e+08 
1.99252e-03 5.44510e+06  9.31454e+08 9.32461e+08 
2.00850e-03 5.55389e+06  9.45930e+08 9.47063e+08 
2.02447e-03 5.65430e+06  9.60503e+08 9.61753e+08 
2.04044e-03 5.74120e+06  9.75176e+08 9.76526e+08 
2.05641e-03 5.80999e+06  9.89953e+08 9.91382e+08 
2.07237e-03 5.85697e+06  1.00483e+09 1.00632e+09 
2.08832e-03 5.87967e+06  1.01982e+09 1.02133e+09 
2.10427e-03 5.87704e+06  1.03492e+09 1.03643e+09 
2.12022e-03 5.84952e+06  1.05013e+09 1.05160e+09 
2.13616e-03 5.79900e+06  1.06544e+09 1.06686e+09 
2.15209e-03 5.72859e+06  1.08086e+09 1.08219e+09 
2.16802e-03 5.64239e+06  1.09638e+09 1.09761e+09 
