1.64354e-05 4.87553e+06  1.23828e+05 1.23828e+05 
3.28708e-05 4.88152e+06  4.54839e+05 4.60162e+05 
4.93060e-05 4.90080e+06  9.47774e+05 9.71535e+05 
6.57407e-05 4.94273e+06  1.58804e+06 1.65281e+06 
8.21745e-05 5.01692e+06  2.35984e+06 2.49791e+06 
9.86070e-05 5.13173e+06  3.24786e+06 3.49998e+06 
1.15038e-04 5.29293e+06  4.23882e+06 4.65158e+06 
1.31466e-04 5.50255e+06  5.32277e+06 5.94487e+06 
1.47891e-04 5.75818e+06  6.49413e+06 7.37186e+06 
1.64312e-04 6.05269e+06  7.75204e+06 8.92458e+06 
1.80729e-04 6.37454e+06  9.10040e+06 1.05953e+07 
1.97140e-04 6.70851e+06  1.05472e+07 1.23769e+07 
2.13547e-04 7.03692e+06  1.21038e+07 1.42627e+07 
2.29947e-04 7.34103e+06  1.37831e+07 1.62471e+07 
2.46340e-04 7.60271e+06  1.55987e+07 1.83251e+07 
2.62727e-04 7.80598e+06  1.75628e+07 2.04931e+07 
2.79106e-04 7.93838e+06  1.96854e+07 2.27486e+07 
2.95478e-04 7.99208e+06  2.19731e+07 2.50902e+07 
3.11842e-04 7.96447e+06  2.44283e+07 2.75177e+07 
3.28199e-04 7.85831e+06  2.70492e+07 3.00321e+07 
3.44548e-04 7.68137e+06  2.98302e+07 3.26356e+07 
3.60890e-04 7.44571e+06  3.27622e+07 3.53312e+07 
3.77225e-04 7.16648e+06  3.58341e+07 3.81232e+07 
3.93553e-04 6.86058e+06  3.90339e+07 4.10163e+07 
4.09874e-04 6.54525e+06  4.23496e+07 4.40161e+07 
4.26190e-04 6.23659e+06  4.57711e+07 4.71285e+07 
4.42501e-04 5.94845e+06  4.92907e+07 5.03598e+07 
4.58806e-04 5.69145e+06  5.29044e+07 5.37164e+07 
4.75108e-04 5.47250e+06  5.66114e+07 5.72047e+07 
4.91406e-04 5.29465e+06  6.04150e+07 6.08309e+07 
5.07701e-04 5.15734e+06  6.43214e+07 6.46006e+07 
5.23994e-04 5.05708e+06  6.83396e+07 6.85192e+07 
5.40284e-04 4.98827e+06  7.24796e+07 7.25911e+07 
5.56573e-04 4.94427e+06  7.67520e+07 7.68201e+07 
5.72861e-04 4.91844e+06  8.11662e+07 8.12091e+07 
5.89147e-04 4.90511e+06  8.57298e+07 8.57597e+07 
6.05433e-04 4.90035e+06  9.04475e+07 9.04729e+07 
6.21718e-04 4.90244e+06  9.53209e+07 9.53482e+07 
6.38003e-04 4.91202e+06  1.00348e+08 1.00384e+08 
6.54286e-04 4.93189e+06  1.05523e+08 1.05579e+08 
6.70569e-04 4.96646e+06  1.10839e+08 1.10929e+08 
6.86851e-04 5.02105e+06  1.16286e+08 1.16430e+08 
7.03131e-04 5.10093e+06  1.21853e+08 1.22077e+08 
7.19409e-04 5.21038e+06  1.27531e+08 1.27864e+08 
7.35686e-04 5.35181e+06  1.33312e+08 1.33785e+08 
7.51959e-04 5.52510e+06  1.39187e+08 1.39834e+08 
7.68229e-04 5.72716e+06  1.45156e+08 1.46004e+08 
7.84496e-04 5.95187e+06  1.51216e+08 1.52290e+08 
8.00758e-04 6.19033e+06  1.57371e+08 1.58684e+08 
8.17016e-04 6.43143e+06  1.63626e+08 1.65180e+08 
8.33268e-04 6.66272e+06  1.69989e+08 1.71775e+08 
8.49515e-04 6.87143e+06  1.76467e+08 1.78462e+08 
8.65756e-04 7.04551e+06  1.83069e+08 1.85239e+08 
8.81991e-04 7.17474e+06  1.89803e+08 1.92102e+08 
8.98220e-04 7.25153e+06  1.96674e+08 1.99050e+08 
9.14442e-04 7.27164e+06  2.03686e+08 2.06082e+08 
9.30657e-04 7.23445e+06  2.10838e+08 2.13198e+08 
9.46866e-04 7.14296e+06  2.18131e+08 2.20398e+08 
9.63068e-04 7.00350e+06  2.25558e+08 2.27686e+08 
9.79264e-04 6.82509e+06  2.33114e+08 2.35063e+08 
9.95453e-04 6.61860e+06  2.40791e+08 2.42533e+08 
