1.23266e-04 3.89170e+03  6.95424e+04 6.95424e+04 
2.46531e-04 2.98787e+04  2.27914e+05 2.58397e+05 
3.69770e-04 4.19409e+04  4.89016e+05 5.35106e+05 
4.92961e-04 1.68692e+04  8.78815e+05 8.93646e+05 
6.16112e-04 1.21574e+03  1.35542e+06 1.35530e+06 
7.39247e-04 4.70859e+02  1.94409e+06 1.94402e+06 
8.62383e-04 9.71102e+03  2.65315e+06 2.66069e+06 
9.85510e-04 3.14967e+04  3.44940e+06 3.48352e+06 
1.10860e-03 3.04277e+04  4.35974e+06 4.39250e+06 
1.23165e-03 9.68019e+03  5.38218e+06 5.39035e+06 
1.35467e-03 1.24161e+03  6.49665e+06 6.49775e+06 
1.47768e-03 2.61778e+03  7.72817e+06 7.72998e+06 
1.60068e-03 1.52749e+04  9.06577e+06 9.08078e+06 
1.72367e-03 2.93355e+04  1.04979e+07 1.05303e+07 
1.84662e-03 2.10373e+04  1.20448e+07 1.20669e+07 
1.96953e-03 6.09106e+03  1.36935e+07 1.36989e+07 
2.09242e-03 1.98902e+03  1.54418e+07 1.54440e+07 
2.21530e-03 6.08246e+03  1.73039e+07 1.73095e+07 
2.33817e-03 1.89697e+04  1.92650e+07 1.92851e+07 
2.46102e-03 2.49471e+04  2.13274e+07 2.13549e+07 
2.58383e-03 1.43337e+04  2.34997e+07 2.35144e+07 
2.70661e-03 4.63525e+03  2.57700e+07 2.57747e+07 
2.82936e-03 3.51063e+03  2.81451e+07 2.81488e+07 
2.95211e-03 9.92026e+03  3.06278e+07 3.06378e+07 
3.07485e-03 2.02344e+04  3.32079e+07 3.32300e+07 
3.19755e-03 1.99161e+04  3.58925e+07 3.59143e+07 
3.32023e-03 1.00963e+04  3.86814e+07 3.86918e+07 
3.44287e-03 4.45846e+03  4.15688e+07 4.15736e+07 
3.56550e-03 5.73268e+03  4.45619e+07 4.45679e+07 
3.68812e-03 1.31269e+04  4.76573e+07 4.76712e+07 
3.81072e-03 1.93887e+04  5.08513e+07 5.08727e+07 
3.93329e-03 1.53867e+04  5.41495e+07 5.41661e+07 
4.05583e-03 7.77074e+03  5.75479e+07 5.75561e+07 
4.17834e-03 5.14612e+03  6.10465e+07 6.10522e+07 
4.30084e-03 8.29544e+03  6.46490e+07 6.46578e+07 
4.42333e-03 1.50384e+04  6.83506e+07 6.83670e+07 
4.54579e-03 1.72350e+04  7.21522e+07 7.21712e+07 
4.66822e-03 1.19296e+04  7.60556e+07 7.60685e+07 
4.79063e-03 6.80382e+03  8.00576e+07 8.00650e+07 
4.91302e-03 6.45273e+03  8.41604e+07 8.41675e+07 
5.03539e-03 1.06632e+04  8.83643e+07 8.83758e+07 
5.15774e-03 1.55009e+04  9.26662e+07 9.26833e+07 
5.28007e-03 1.46416e+04  9.70682e+07 9.70842e+07 
5.40237e-03 9.65673e+03  1.01569e+08 1.01580e+08 
5.52464e-03 6.78115e+03  1.06169e+08 1.06176e+08 
5.64690e-03 8.10285e+03  1.10869e+08 1.10877e+08 
5.76914e-03 1.23540e+04  1.15667e+08 1.15680e+08 
5.89136e-03 1.47990e+04  1.20563e+08 1.20579e+08 
6.01355e-03 1.22650e+04  1.25558e+08 1.25571e+08 
6.13572e-03 8.42903e+03  1.30650e+08 1.30660e+08 
6.25786e-03 7.40212e+03  1.35841e+08 1.35849e+08 
6.37999e-03 9.74524e+03  1.41130e+08 1.41141e+08 
6.50210e-03 1.31270e+04  1.46516e+08 1.46531e+08 
6.62419e-03 1.34399e+04  1.52000e+08 1.52015e+08 
6.74625e-03 1.04595e+04  1.57581e+08 1.57592e+08 
6.86828e-03 8.02484e+03  1.63258e+08 1.63267e+08 
6.99030e-03 8.39775e+03  1.69033e+08 1.69042e+08 
7.11230e-03 1.10347e+04  1.74905e+08 1.74917e+08 
7.23428e-03 1.30357e+04  1.80872e+08 1.80887e+08 
7.35623e-03 1.19285e+04  1.86937e+08 1.86950e+08 
7.47816e-03 9.32639e+03  1.93097e+08 1.93107e+08 
7.60007e-03 8.21599e+03  1.99353e+08 1.99362e+08 
7.72196e-03 9.48638e+03  2.05705e+08 2.05716e+08 
7.84383e-03 1.17502e+04  2.12153e+08 2.12166e+08 
7.96567e-03 1.23482e+04  2.18696e+08 2.18710e+08 
8.08750e-03 1.06267e+04  2.25334e+08 2.25346e+08 
8.20930e-03 8.81182e+03  2.32067e+08 2.32077e+08 
8.33108e-03 8.77491e+03  2.38896e+08 2.38905e+08 
8.45284e-03 1.04006e+04  2.45819e+08 2.45830e+08 
8.57458e-03 1.18607e+04  2.52836e+08 2.52849e+08 
8.69629e-03 1.14060e+04  2.59948e+08 2.59961e+08 
8.81799e-03 9.71746e+03  2.67154e+08 2.67165e+08 
8.93966e-03 8.78509e+03  2.74454e+08 2.74463e+08 
9.06131e-03 9.47004e+03  2.81848e+08 2.81858e+08 
9.18294e-03 1.09541e+04  2.89335e+08 2.89347e+08 
9.30455e-03 1.15036e+04  2.96916e+08 2.96929e+08 
9.42614e-03 1.05021e+04  3.04590e+08 3.04602e+08 
9.54770e-03 9.23745e+03  3.12358e+08 3.12368e+08 
9.66925e-03 9.07865e+03  3.20218e+08 3.20228e+08 
9.79077e-03 1.00874e+04  3.28171e+08 3.28182e+08 
9.91228e-03 1.10909e+04  3.36217e+08 3.36229e+08 
1.00000e-02 1.11268e+04  3.42084e+08 3.42097e+08 
