1.64354e-05 4.87552e+04  1.23858e+03 1.23858e+03 
3.28708e-05 4.88139e+04  4.55041e+03 4.60351e+03 
4.93062e-05 4.90026e+04  9.48499e+03 9.72173e+03 
6.57415e-05 4.94123e+04  1.58993e+04 1.65440e+04 
8.21768e-05 5.01363e+04  2.36392e+04 2.50121e+04 
9.86119e-05 5.12560e+04  3.25558e+04 3.50608e+04 
1.15047e-04 5.28275e+04  4.25205e+04 4.66194e+04 
1.31481e-04 5.48711e+04  5.34380e+04 5.96140e+04 
1.47916e-04 5.73645e+04  6.52553e+04 7.39691e+04 
1.64350e-04 6.02407e+04  7.79658e+04 8.96100e+04 
1.80783e-04 6.33903e+04  9.16093e+04 1.06465e+05 
1.97216e-04 6.66687e+04  1.06266e+05 1.24465e+05 
2.13649e-04 6.99069e+04  1.22047e+05 1.43550e+05 
2.30081e-04 7.29256e+04  1.39082e+05 1.63667e+05 
2.46512e-04 7.55498e+04  1.57507e+05 1.84770e+05 
2.62943e-04 7.76238e+04  1.77445e+05 2.06827e+05 
2.79372e-04 7.90243e+04  1.99001e+05 2.29812e+05 
2.95801e-04 7.96708e+04  2.22244e+05 2.53716e+05 
3.12230e-04 7.95316e+04  2.47207e+05 2.78537e+05 
3.28657e-04 7.86261e+04  2.73882e+05 3.04286e+05 
3.45084e-04 7.70220e+04  3.02220e+05 3.30987e+05 
3.61510e-04 7.48281e+04  3.32142e+05 3.58670e+05 
3.77935e-04 7.21847e+04  3.63548e+05 3.87378e+05 
3.94360e-04 6.92507e+04  3.96323e+05 4.17160e+05 
4.10784e-04 6.61903e+04  4.30355e+05 4.48071e+05 
4.27207e-04 6.31594e+04  4.65546e+05 4.80173e+05 
4.43630e-04 6.02948e+04  5.01821e+05 5.13530e+05 
4.60052e-04 5.77044e+04  5.39135e+05 5.48207e+05 
4.76474e-04 5.54619e+04  5.77477e+05 5.84268e+05 
4.92895e-04 5.36054e+04  6.16873e+05 6.21779e+05 
5.09317e-04 5.21386e+04  6.57378e+05 6.60796e+05 
5.25738e-04 5.10362e+04  6.99074e+05 7.01376e+05 
5.42158e-04 5.02517e+04  7.42055e+05 7.43566e+05 
5.58579e-04 4.97265e+04  7.86422e+05 7.87404e+05 
5.74999e-04 4.93995e+04  8.32268e+05 8.32923e+05 
5.91419e-04 4.92162e+04  8.79671e+05 8.80144e+05 
6.07839e-04 4.91360e+04  9.28685e+05 9.29077e+05 
