1.64354e-05 4.87553e+04  1.23858e+03 1.23858e+03 
3.28708e-05 4.88151e+04  4.55041e+03 4.60351e+03 
4.93062e-05 4.90071e+04  9.48498e+03 9.72172e+03 
6.57415e-05 4.94241e+04  1.58993e+04 1.65439e+04 
8.21768e-05 5.01610e+04  2.36392e+04 2.50121e+04 
9.86119e-05 5.13007e+04  3.25558e+04 3.50608e+04 
1.15047e-04 5.29001e+04  4.25205e+04 4.66194e+04 
1.31481e-04 5.49801e+04  5.34380e+04 5.96140e+04 
1.47916e-04 5.75179e+04  6.52552e+04 7.39691e+04 
1.64350e-04 6.04454e+04  7.79658e+04 8.96099e+04 
1.80783e-04 6.36511e+04  9.16092e+04 1.06464e+05 
1.97216e-04 6.69878e+04  1.06266e+05 1.24465e+05 
2.13649e-04 7.02838e+04  1.22047e+05 1.43550e+05 
2.30081e-04 7.33563e+04  1.39082e+05 1.63667e+05 
2.46512e-04 7.60272e+04  1.57507e+05 1.84770e+05 
2.62943e-04 7.81381e+04  1.77445e+05 2.06826e+05 
2.79372e-04 7.95635e+04  1.99001e+05 2.29812e+05 
2.95801e-04 8.02215e+04  2.22244e+05 2.53716e+05 
3.12230e-04 8.00799e+04  2.47207e+05 2.78536e+05 
3.28657e-04 7.91583e+04  2.73881e+05 3.04286e+05 
3.45084e-04 7.75255e+04  3.02219e+05 3.30986e+05 
3.61510e-04 7.52926e+04  3.32142e+05 3.58670e+05 
3.77935e-04 7.26021e+04  3.63547e+05 3.87378e+05 
3.94360e-04 6.96159e+04  3.96322e+05 4.17159e+05 
4.10784e-04 6.65009e+04  4.30355e+05 4.48071e+05 
4.27207e-04 6.34161e+04  4.65546e+05 4.80173e+05 
4.43630e-04 6.05004e+04  5.01821e+05 5.13530e+05 
4.60052e-04 5.78638e+04  5.39134e+05 5.48206e+05 
4.76474e-04 5.55815e+04  5.77477e+05 5.84268e+05 
4.92895e-04 5.36919e+04  6.16872e+05 6.21778e+05 
5.09317e-04 5.21989e+04  6.57378e+05 6.60796e+05 
5.25738e-04 5.10769e+04  6.99073e+05 7.01376e+05 
5.42158e-04 5.02784e+04  7.42054e+05 7.43565e+05 
5.58579e-04 4.97439e+04  7.86421e+05 7.87403e+05 
5.74999e-04 4.94111e+04  8.32267e+05 8.32922e+05 
5.91419e-04 4.92245e+04  8.79671e+05 8.80143e+05 
6.07839e-04 4.91428e+04  9.28684e+05 9.29077e+05 
6.24259e-04 4.91440e+04  9.79331e+05 9.79725e+05 
6.40679e-04 4.92272e+04  1.03160e+06 1.03208e+06 
6.57099e-04 4.94117e+04  1.08546e+06 1.08612e+06 
6.73519e-04 4.97335e+04  1.14085e+06 1.14182e+06 
6.89938e-04 5.02383e+04  1.19767e+06 1.19915e+06 
7.06358e-04 5.09745e+04  1.25585e+06 1.25805e+06 
7.22777e-04 5.19842e+04  1.31528e+06 1.31849e+06 
7.39196e-04 5.32955e+04  1.37589e+06 1.38041e+06 
7.55615e-04 5.49155e+04  1.43761e+06 1.44374e+06 
7.72033e-04 5.68261e+04  1.50040e+06 1.50844e+06 
7.88451e-04 5.89818e+04  1.56425e+06 1.57445e+06 
8.04869e-04 6.13107e+04  1.62917e+06 1.64170e+06 
8.21286e-04 6.37185e+04  1.69521e+06 1.71015e+06 
8.37703e-04 6.60947e+04  1.76242e+06 1.77974e+06 
8.54119e-04 6.83212e+04  1.83088e+06 1.85044e+06 
8.70535e-04 7.02811e+04  1.90068e+06 1.92220e+06 
8.86949e-04 7.18682e+04  1.97188e+06 1.99500e+06 
9.03364e-04 7.29961e+04  2.04456e+06 2.06881e+06 
9.19777e-04 7.36043e+04  2.11877e+06 2.14362e+06 
9.36190e-04 7.36638e+04  2.19453e+06 2.21944e+06 
9.52603e-04 7.31781e+04  2.27184e+06 2.29627e+06 
9.69014e-04 7.21832e+04  2.35068e+06 2.37411e+06 
9.85425e-04 7.07434e+04  2.43102e+06 2.45300e+06 
1.00184e-03 6.89456e+04  2.51278e+06 2.53297e+06 
1.01825e-03 6.68921e+04  2.59591e+06 2.61404e+06 
1.03465e-03 6.46918e+04  2.68035e+06 2.69627e+06 
1.05106e-03 6.24519e+04  2.76602e+06 2.77970e+06 
1.06747e-03 6.02702e+04  2.85288e+06 2.86437e+06 
1.08388e-03 5.82288e+04  2.94089e+06 2.95035e+06 
1.10029e-03 5.63899e+04  3.03005e+06 3.03767e+06 
1.11669e-03 5.47936e+04  3.12037e+06 3.12639e+06 
1.13310e-03 5.34581e+04  3.21187e+06 3.21656e+06 
1.14950e-03 5.23825e+04  3.30460e+06 3.30822e+06 
1.16591e-03 5.15501e+04  3.39861e+06 3.40140e+06 
1.18232e-03 5.09344e+04  3.49396e+06 3.49614e+06 
1.19872e-03 5.05043e+04  3.59072e+06 3.59247e+06 
1.21513e-03 5.02299e+04  3.68892e+06 3.69040e+06 
1.23153e-03 5.00869e+04  3.78861e+06 3.78994e+06 
1.24793e-03 5.00604e+04  3.88979e+06 3.89110e+06 
1.26434e-03 5.01461e+04  3.99248e+06 3.99388e+06 
1.28074e-03 5.03506e+04  4.09666e+06 4.09825e+06 
1.29715e-03 5.06893e+04  4.20227e+06 4.20421e+06 
1.31355e-03 5.11833e+04  4.30929e+06 4.31172e+06 
1.32996e-03 5.18547e+04  4.41766e+06 4.42075e+06 
1.34636e-03 5.27223e+04  4.52731e+06 4.53126e+06 
1.36276e-03 5.37965e+04  4.63819e+06 4.64322e+06 
1.37917e-03 5.50754e+04  4.75027e+06 4.75658e+06 
1.39557e-03 5.65419e+04  4.86352e+06 4.87130e+06 
1.41197e-03 5.81628e+04  4.97793e+06 4.98732e+06 
1.42837e-03 5.98886e+04  5.09349e+06 5.10461e+06 
1.44477e-03 6.16563e+04  5.21023e+06 5.22312e+06 
1.46118e-03 6.33928e+04  5.32819e+06 5.34282e+06 
1.47758e-03 6.50201e+04  5.44741e+06 5.46367e+06 
1.49398e-03 6.64608e+04  5.56793e+06 5.58564e+06 
1.51038e-03 6.76438e+04  5.68981e+06 5.70870e+06 
1.52677e-03 6.85101e+04  5.81308e+06 5.83284e+06 
1.54317e-03 6.90171e+04  5.93778e+06 5.95805e+06 
1.55957e-03 6.91418e+04  6.06393e+06 6.08432e+06 
1.57597e-03 6.88825e+04  6.19153e+06 6.21166e+06 
1.59236e-03 6.82583e+04  6.32057e+06 6.34007e+06 
1.60876e-03 6.73076e+04  6.45103e+06 6.46958e+06 
1.62516e-03 6.60845e+04  6.58288e+06 6.60021e+06 
1.64155e-03 6.46544e+04  6.71608e+06 6.73197e+06 
1.65794e-03 6.30887e+04  6.85058e+06 6.86491e+06 
1.67434e-03 6.14598e+04  6.98636e+06 6.99906e+06 
1.69073e-03 5.98359e+04  7.12338e+06 7.13445e+06 
1.70712e-03 5.82769e+04  7.26162e+06 7.27113e+06 
1.72352e-03 5.68314e+04  7.40107e+06 7.40914e+06 
1.73991e-03 5.55346e+04  7.54173e+06 7.54850e+06 
1.75630e-03 5.44084e+04  7.68362e+06 7.68927e+06 
1.77269e-03 5.34620e+04  7.82677e+06 7.83147e+06 
1.78908e-03 5.26943e+04  7.97120e+06 7.97513e+06 
1.80547e-03 5.20964e+04  8.11695e+06 8.12029e+06 
1.82186e-03 5.16550e+04  8.26405e+06 8.26695e+06 
