
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                l-1                 -1                 -1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       

                0.                -5.00518E+03        0.                 0.                 0.                 0.                 0.                 0.               195.E+03             0.                 0.                 0.                 0.               111.111E-06        195.E+03             0.                 0.                 0.                 4.88005E+06        0.                 0.                 0.                 0.         
              111.111E-06        -33.7329E+03         0.               911.872E-06          0.                 0.                 0.               158.56E+03         213.063E+03          0.               158.56E+03          18.104E+03        181.326E+03        111.111E-06        208.402E+03        -30.8757E-06         1.11053E-03        0.                76.7164E+06       116.428E+06        291.896E+06        -30.8961E-06         1.11111E-03
              222.222E-06        -19.367E+03          0.              -683.953E-06          0.                 0.                 0.               506.64E+03         296.523E+03          0.               506.64E+03          20.0408E+03       623.947E+03        111.111E-06        199.257E+03       -478.382E-06          2.21972E-03        0.               122.463E+06         72.3363E+06       487.258E+06       -478.248E-06          2.22222E-03
              333.333E-06         17.4893E+03         0.               911.581E-06          0.                 0.                 0.                 1.11927E+06      300.717E+03          0.                 1.11927E+06       20.1396E+03         1.24168E+06      111.111E-06        198.454E+03         -1.16535E-03        3.32779E-03        0.               155.515E+06        -64.256E+06        627.316E+06         -1.1647E-03         3.33333E-03
              444.444E-06         29.7115E+03         0.               626.945E-06          0.                 0.                 0.                 2.0053E+06       221.045E+03          0.                 2.0053E+06        20.0199E+03         2.04092E+06      111.111E-06        205.441E+03         -1.63659E-03        4.43463E-03        0.               204.147E+06       -117.898E+06        816.913E+06         -1.63523E-03        4.44444E-03
              555.556E-06          4.39709E+03        0.                 1.14079E-03        0.                 0.                 0.                 3.07681E+06      196.853E+03          0.                 3.07681E+06       26.8494E+03         3.10544E+06      111.111E-06        195.07E+03          -1.74048E-03        5.54014E-03        0.               274.887E+06        -29.9257E+06         1.09054E+09       -1.73896E-03        5.55556E-03
              666.667E-06        -24.0952E+03         0.              -684.595E-06          0.                 0.                 0.                 4.44006E+06      207.407E+03          0.                 4.44006E+06       40.5675E+03         4.48619E+06      111.111E-06        201.836E+03         -1.79002E-03        6.64454E-03        0.               346.452E+06         79.1338E+06         1.37639E+09       -1.7884E-03         6.66667E-03
              777.778E-06        -20.3181E+03         0.                 3.65634E-03        0.                 0.                 0.                 6.03047E+06      265.476E+03          0.                 6.03047E+06       44.7054E+03         6.1408E+06       111.111E-06        199.854E+03         -2.13762E-03        7.74772E-03        0.               398.121E+06         72.9569E+06         1.59347E+09       -2.13531E-03        7.77778E-03
              888.889E-06          8.2989E+03         0.              -914.172E-06          0.                 0.                 0.                 7.85498E+06      289.353E+03          0.                 7.85498E+06       44.4897E+03         7.99308E+06      111.111E-06        195.747E+03         -2.73679E-03        8.84957E-03        0.               435.406E+06        -30.7885E+06         1.75256E+09       -2.73306E-03        8.88889E-03
