
                  X           A:A1 PI: HOST-1 N  A:A1 PI: TRUSS-1   A:A2 PI: HOST-1 N  A:A2 PI: TRUSS-1   ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE11 PI: TRUSS  LE:LE22 PI: HOST-  LE:LE22 PI: TRUSS  RF:RF1 PI: HOST-1  RF:RF1 PI: TRUSS-  RF:RF2 PI: HOST-1  RF:RF2 PI: TRUSS-  S:S11 PI: HOST-1   S:S11 PI: TRUSS-1  S:S22 PI: HOST-1   S:S22 PI: TRUSS-1  U:U1 PI: HOST-1 N  U:U1 PI: TRUSS-1   U:U2 PI: HOST-1 N  U:U2 PI: TRUSS-1   V:V1 PI: HOST-1 N  V:V1 PI: TRUSS-1   V:V2 PI: HOST-1 N  V:V2 PI: TRUSS-1 

                0.                -2.08549E+03       -1.04275E+03        0.                 0.                 0.                 0.                 0.                 0.                 0.                58.5E+03            0.                 0.                 0.                 0.                58.5E+03            0.                 0.                 0.                 0.                 0.                 0.                 2.44002E+06        0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 5.                 0.         
              112.36E-06         -14.3954E+03        -7.19744E+03        0.                 0.               683.552E-06          0.                 0.                 0.                47.1445E+03        62.1775E+03         0.                47.1445E+03         5.30378E+03       53.4611E+03        61.1647E+03       -13.1727E-06       561.676E-06        561.676E-06          0.                 0.                 0.                45.1411E+06         0.                59.7666E+06       112.353E+06        148.174E+06          0.               -13.1643E-06        -6.58216E-06      561.798E-06          0.              -925.89E-03        -462.932E-03          5.                 0.         
              224.719E-06        -11.1269E+03        -5.56404E+03        0.                 0.              -455.702E-06          0.                 0.                 0.               157.762E+03         82.3877E+03         0.               157.762E+03          7.49135E+03      189.539E+03         58.1024E+03      -208.101E-06          1.12292E-03        1.12292E-03        0.                 0.                 0.                75.9698E+06         0.                49.606E+06        224.597E+06        254.323E+06          0.              -208.065E-06       -104.03E-06           1.1236E-03         0.                -2.35972           -1.17987            5.                 0.         
              337.079E-06          3.48533E+03        1.74326E+03        0.                 0.               227.815E-06          0.                 0.                 0.               341.003E+03         91.8701E+03         0.               341.003E+03          8.77329E+03      386.05E+03          55.5966E+03      -543.563E-06          1.68396E-03        1.68396E-03        0.                 0.                 0.                98.9257E+06         0.               -14.7406E+06       336.805E+06        327.997E+06          0.              -543.439E-06       -271.721E-06          1.68539E-03        0.                -2.78902           -1.39452            5.                 0.         
              449.438E-06         13.3891E+03         6.69439E+03        0.                 0.              -455.73E-06           0.                 0.                 0.               615.036E+03         73.0399E+03         0.               615.036E+03         10.1232E+03       638.416E+03         59.7836E+03      -835.171E-06          2.24469E-03        2.24469E-03        0.                 0.                 0.               125.68E+06           0.               -62.2536E+06       448.978E+06        411.766E+06          0.              -834.812E-06       -417.405E-06          2.24719E-03        0.                -1.84102         -920.494E-03          5.                 0.         
              561.798E-06          8.60286E+03        4.30123E+03        0.                 0.                 0.                 0.                 0.                 0.               950.045E+03         60.073E+03          0.               950.045E+03         12.105E+03        962.809E+03         59.4144E+03      -957.59E-06           2.80511E-03        2.80508E-03        0.                 0.                 0.               163.03E+06           0.               -44.6445E+06       561.124E+06        534.418E+06          0.              -957.152E-06       -478.574E-06          2.80899E-03        0.              -605.518E-03       -302.763E-03          5.                 0.         
              674.157E-06         -4.79583E+03       -2.39791E+03        0.                 0.                 0.                 0.                 0.                 0.                 1.36061E+06       59.1581E+03         0.                 1.36061E+06       16.628E+03          1.37765E+06       58.7467E+03      -971.372E-06          3.36509E-03        3.36509E-03        0.                 0.                 0.               206.182E+06          0.                14.8612E+06       673.154E+06        681.998E+06          0.              -970.884E-06       -485.441E-06          3.37079E-03        0.              -391.64E-03        -195.834E-03          5.                 0.         
              786.517E-06        -12.1817E+03        -6.09056E+03        0.                 0.              -114.073E-06          0.                 0.                 0.                 1.85715E+06       66.2657E+03         0.                 1.85715E+06       20.7002E+03         1.88416E+06       59.9576E+03        -1.04571E-03        3.92488E-03        3.92488E-03        0.                 0.                 0.               244.611E+06          0.                51.0313E+06       785.127E+06        815.577E+06          0.                -1.04516E-03     -522.582E-06          3.93258E-03        0.                -1.34544         -672.715E-03          5.                 0.         
              898.876E-06         -6.26185E+03       -3.13157E+03        0.                 0.               399.327E-06          0.                 0.                 0.                 2.41784E+06       82.8325E+03         0.                 2.41784E+06       22.3991E+03         2.46623E+06       56.8457E+03        -1.27403E-03        4.48436E-03        4.48436E-03        0.                 0.                 0.               273.43E+06           0.                27.7602E+06       897.074E+06        913.622E+06          0.                -1.27323E-03     -636.613E-06          4.49438E-03        0.                -2.38159           -1.19081            5.                 0.         
