
                             A:A1 PI: HOST-1 N  A:A1 PI: TRUSS-1   A:A2 PI: HOST-1 N  A:A2 PI: TRUSS-1   ALLAE Whole Model ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE11 PI: TRUSS  LE:LE22 PI: HOST-  LE:LE22 PI: TRUSS  RF:RF1 PI: HOST-1  RF:RF1 PI: TRUSS-  RF:RF2 PI: HOST-1  RF:RF2 PI: TRUSS-  S:S11 PI: HOST-1   S:S11 PI: TRUSS-1  S:S22 PI: HOST-1   S:S22 PI: TRUSS-1  U:U1 PI: HOST-1 N  U:U1 PI: TRUSS-1   U:U2 PI: HOST-1 N  U:U2 PI: TRUSS-1 
                  X                 : 1                N: 1               : 1                N: 1                -1                -1                l-1                 -1                 -1                 -1                -1                 -1                 -1                 -1                l-1          1 E: 1 Centroid    -1 E: 1 Centroid   1 E: 1 Centroid    -1 E: 1 Centroid         N: 1              1 N: 1              N: 1              1 N: 1         E: 1 Centroid       E: 1 Centroid     E: 1 Centroid       E: 1 Centroid          : 1                N: 1               : 1                N: 1      
                                                                                                                                                                                                                         
                0.                 0.                 0.                 0.                 0.                 0.                0.                 0.                 0.                 0.                 0.                0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              112.36E-06           0.                 0.                55.4041E+03         0.                 0.                0.                 0.                 0.                 0.                19.6477E+03        0.                 0.                 0.                 0.                19.6477E+03         0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              224.719E-06        -22.3557E+03       -16.7668E+03        60.4378E+03         0.                 0.                0.                 0.                 0.                67.7892E+03       193.992E+03         0.                67.7892E+03         3.66202E+03      235.773E+03         29.6709E+03         0.               699.156E-06        699.156E-06          0.                 0.                 0.                 0.                 0.                80.7302E+06       139.843E+06        188.242E+06          0.                 0.                 0.               699.459E-06          0.         
              337.079E-06        -37.9446E+03       -28.4572E+03        31.3105E+03         0.               399.162E-06         0.                 0.                 0.               536.898E+03        528.7E+03           0.               536.898E+03         15.1042E+03         1.05738E+06       23.3197E+03      -282.268E-06          2.15965E-03        2.15965E-03        0.                 0.                 0.                 0.                 0.               140.947E+06        431.982E+06        516.319E+06          0.              -282.233E-06       -211.675E-06          2.16192E-03        0.         
              449.438E-06        -16.4104E+03       -12.3087E+03         5.70716E+03        0.               224.914E-09         0.                 0.                 0.                 1.68552E+06      812.375E+03         0.                 1.68552E+06       20.5479E+03         2.51854E+06     -104.29              -1.04404E-03        4.01156E-03        4.01168E-03        0.                 0.                 0.                 0.                 0.                61.7212E+06       802.484E+06        839.313E+06          0.                -1.04351E-03     -782.613E-06          4.01967E-03        0.         
              561.798E-06         22.3819E+03        16.7828E+03       -13.2041E+03         0.                -8.99308E-09       0.                 0.                 0.                 3.68697E+06      763.801E+03         0.                 3.68697E+06       23.5749E+03         4.47003E+06        4.32143E+03       -2.01398E-03        5.93187E-03        5.93187E-03        0.                 0.                 0.                 0.                 0.               -90.1383E+06         1.18676E+09        1.13318E+09        0.                -2.01195E-03       -1.50895E-03        5.94948E-03        0.         
              674.157E-06         36.5184E+03        27.3897E+03       -39.063E+03          0.              -171.036E-06         0.                 0.                 0.                 6.21333E+06      434.941E+03         0.                 6.21333E+06       27.2537E+03         6.64913E+06       26.392E+03         -2.70149E-03        7.68301E-03        7.68301E-03        0.                 0.                 0.                 0.                 0.              -152.704E+06          1.53726E+09        1.44677E+09        0.                -2.69784E-03       -2.0234E-03         7.71258E-03        0.         
              786.517E-06         20.3836E+03        15.2906E+03       -57.7483E+03         0.              -199.464E-06         0.                 0.                 0.                 8.36115E+06      134.609E+03         0.                 8.36115E+06       35.6567E+03         8.50408E+06       27.3391E+03        -2.92699E-03        8.94244E-03        8.94244E-03        0.                 0.                 0.                 0.                 0.               -93.6295E+06         1.78937E+09        1.734E+09          0.                -2.92269E-03       -2.19207E-03        8.98252E-03        0.         
              898.876E-06          2.51765E+03        1.89069E+03      -39.7125E+03         0.               457.279E-06         0.                 0.                 0.                 9.37025E+06       14.2714E+03        0.                 9.37025E+06       42.0813E+03         9.41571E+06       10.8854E+03        -2.89441E-03        9.47833E-03        9.47833E-03        0.                 0.                 0.                 0.                 0.               -18.66E+06           1.89667E+09        1.88564E+09        0.                -2.89021E-03       -2.1677E-03         9.52342E-03        0.         
