
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                l-1                 -1                 -1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 8               N: 8          E: 1 Centroid      E: 1 Centroid           : 1                : 1       
                                                                                                                                                                                                                                                                                                                                             
                0.                -0.                -0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.               112.36E-06           0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              112.36E-06           0.                57.6203E+03         0.                 0.                 0.                 0.                 0.                20.4336E+03         0.                 0.                 0.                 0.               112.36E-06          20.4336E+03         0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              224.719E-06        -24.1848E+03        62.404E+03        455.789E-06          0.                 0.                 0.                71.2111E+03       201.422E+03          0.                71.2111E+03         3.7377E+03       245.203E+03        112.36E-06          31.167E+03          0.               727.151E-06        -23.5802E+06       -51.5156E+06        83.9758E+06       195.786E+06          0.               727.437E-06  
              337.079E-06        -39.599E+03         33.0888E+03         3.30643E-03        0.                 0.                 0.               554.061E+03        554.405E+03          0.               554.061E+03         14.1404E+03         1.09648E+06      112.36E-06          26.1297E+03      -305.401E-06          2.24017E-03      -38.6101E+06      -136.279E+06        141.384E+06        532.691E+06       -305.325E-06          2.2427E-03 
              449.438E-06        -14.9862E+03         7.87118E+03       35.9578E-09         0.                 0.                 0.                 1.74607E+06      857.325E+03          0.                 1.74607E+06       16.8575E+03         2.61681E+06      112.36E-06           3.44332E+03       -1.11119E-03        4.16697E-03      -14.612E+06       -217.046E+06         53.8107E+06       865.657E+06         -1.11057E-03        4.17571E-03
              561.798E-06         24.7007E+03       -13.537E+03        912.702E-06          0.                 0.                 0.                 3.86156E+06      802.679E+03          0.                 3.86156E+06       16.9302E+03         4.672E+06        112.36E-06           9.16954E+03       -2.10725E-03        6.18887E-03       24.084E+06       -294.099E+06        -96.3659E+06         1.18094E+09       -2.10502E-03        6.20808E-03
              674.157E-06         35.9827E+03       -43.952E+03        228.179E-06          0.                 0.                 0.                 6.53093E+06      451.643E+03          0.                 6.53093E+06       18.6629E+03         6.97268E+06      112.36E-06          28.5576E+03        -2.79151E-03        8.03713E-03       35.0829E+06      -379.931E+06       -146.389E+06          1.52144E+09       -2.78763E-03        8.06955E-03
              786.517E-06         18.7434E+03       -62.9014E+03       342.72E-06           0.                 0.                 0.                 8.75264E+06      131.523E+03          0.                 8.75264E+06       26.4881E+03         8.8812E+06       112.36E-06          29.4558E+03        -3.02049E-03        9.33244E-03       18.2739E+06      -454.582E+06        -84.4898E+06         1.8175E+09        -3.01596E-03        9.37615E-03
              898.876E-06          3.80368E+03      -39.4568E+03       114.599E-06          0.                 0.                 0.                 9.71295E+06       11.0432E+03         0.                 9.71295E+06       31.5584E+03         9.74501E+06      112.36E-06          10.5436E+03        -3.01216E-03        9.84008E-03        3.70678E+06     -487.91E+06         -22.1475E+06         1.95601E+09       -3.00767E-03        9.88863E-03
