8.21770e-05 3.93788e+03  0.00000e+00 0.00000e+00 
1.64354e-04 5.26056e+04  5.79688e+03 4.94009e+04 
2.46531e-04 1.97291e+05  7.46382e+04 2.67421e+05 
3.28705e-04 4.15341e+05  3.42422e+05 7.67625e+05 
4.10869e-04 6.16944e+05  9.38900e+05 1.58346e+06 
4.93008e-04 7.08529e+05  1.89319e+06 2.64303e+06 
5.75109e-04 6.35544e+05  3.12776e+06 3.80352e+06 
6.57161e-04 4.21523e+05  4.47283e+06 4.91361e+06 
7.39167e-04 1.83646e+05  5.68167e+06 5.85854e+06 
8.21139e-04 4.95598e+04  6.53348e+06 6.56754e+06 
9.03099e-04 3.73952e+04  6.96991e+06 7.00217e+06 
9.85068e-04 5.86270e+04  7.09887e+06 7.16250e+06 
1.06706e-03 4.04957e+04  7.08885e+06 7.13093e+06 
1.14907e-03 7.71853e+03  7.13234e+06 7.13010e+06 
1.23110e-03 5.37931e+04  7.49894e+06 7.53639e+06 
1.31313e-03 2.61264e+05  8.54229e+06 8.79635e+06 
1.39514e-03 6.17033e+05  1.06119e+07 1.12486e+07 
1.47712e-03 9.65968e+05  1.39085e+07 1.49257e+07 
1.55906e-03 1.08846e+06  1.82950e+07 1.94470e+07 
1.64095e-03 8.84970e+05  2.31526e+07 2.40812e+07 
1.72279e-03 4.81782e+05  2.74870e+07 2.79733e+07 
1.80459e-03 1.29822e+05  3.03395e+07 3.04432e+07 
1.88637e-03 2.54496e+02  3.12548e+07 3.12257e+07 
1.96813e-03 6.79907e+04  3.04990e+07 3.05583e+07 
2.04990e-03 1.63623e+05  2.89241e+07 2.90996e+07 
2.13170e-03 1.44883e+05  2.75855e+07 2.77376e+07 
2.21354e-03 5.56121e+04  2.73407e+07 2.73743e+07 
2.29540e-03 1.14225e+05  2.86787e+07 2.87511e+07 
2.37728e-03 4.97673e+05  3.18501e+07 3.23305e+07 
2.45914e-03 1.11422e+06  3.70485e+07 3.82087e+07 
2.54096e-03 1.61413e+06  4.43215e+07 4.60370e+07 
2.62271e-03 1.65580e+06  5.32174e+07 5.49770e+07 
2.70439e-03 1.19012e+06  6.25146e+07 6.37534e+07 
2.78600e-03 5.17347e+05  7.03781e+07 7.08709e+07 
2.86757e-03 6.64434e+04  7.49912e+07 7.49940e+07 
2.94912e-03 5.90600e+04  7.53846e+07 7.53989e+07 
3.03067e-03 3.30680e+05  7.19999e+07 7.23371e+07 
3.11226e-03 4.93797e+05  6.66124e+07 6.71412e+07 
3.19389e-03 3.33842e+05  6.16372e+07 6.19770e+07 
3.27557e-03 6.68648e+04  5.92701e+07 5.92796e+07 
3.35728e-03 1.74550e+05  6.09589e+07 6.10449e+07 
3.43900e-03 9.33666e+05  6.73260e+07 6.82228e+07 
3.52071e-03 2.06856e+06  7.82736e+07 8.04223e+07 
3.60236e-03 2.87157e+06  9.29573e+07 9.60072e+07 
3.68393e-03 2.74447e+06  1.09590e+08 1.12506e+08 
3.76540e-03 1.73006e+06  1.25384e+08 1.27167e+08 
3.84678e-03 5.43170e+05  1.37056e+08 1.37512e+08 
3.92810e-03 7.95265e+03  1.41944e+08 1.41817e+08 
4.00940e-03 3.66827e+05  1.39203e+08 1.39509e+08 
4.09073e-03 1.08610e+06  1.30308e+08 1.31450e+08 
4.17212e-03 1.35259e+06  1.18573e+08 1.20023e+08 
4.25358e-03 8.49143e+05  1.08000e+08 1.08863e+08 
4.33512e-03 1.34051e+05  1.02142e+08 1.02150e+08 
4.41670e-03 2.24517e+05  1.03497e+08 1.03538e+08 
4.49829e-03 1.64538e+06  1.13422e+08 1.14996e+08 
4.57985e-03 3.77312e+06  1.32086e+08 1.36013e+08 
4.66133e-03 5.17338e+06  1.58013e+08 1.63506e+08 
4.74271e-03 4.75555e+06  1.87478e+08 1.92513e+08 
4.82396e-03 2.75987e+06  2.14620e+08 2.17424e+08 
4.90509e-03 6.67558e+05  2.32894e+08 2.33355e+08 
4.98616e-03 2.92252e+04  2.37527e+08 2.37286e+08 
5.06720e-03 1.15887e+06  2.27722e+08 2.28784e+08 
5.14829e-03 2.83475e+06  2.07244e+08 2.10231e+08 
5.22946e-03 3.35845e+06  1.82957e+08 1.86550e+08 
5.31074e-03 2.14133e+06  1.62208e+08 1.64398e+08 
5.39214e-03 4.18139e+05  1.50676e+08 1.50841e+08 
5.47361e-03 3.10181e+05  1.51732e+08 1.51660e+08 
5.55511e-03 2.88336e+06  1.66986e+08 1.69707e+08 
5.63656e-03 6.89561e+06  1.96654e+08 2.03831e+08 
5.71789e-03 9.52702e+06  2.38695e+08 2.48822e+08 
5.79908e-03 8.67206e+06  2.87277e+08 2.96455e+08 
5.88009e-03 4.85624e+06  3.32436e+08 3.37330e+08 
5.96096e-03 1.01268e+06  3.62429e+08 3.63003e+08 
6.04173e-03 1.54440e+05  3.68294e+08 3.67913e+08 
6.12249e-03 2.83025e+06  3.48148e+08 3.50807e+08 
6.20331e-03 6.54701e+06  3.08551e+08 3.15434e+08 
6.28425e-03 7.81427e+06  2.61960e+08 2.70293e+08 
6.36535e-03 5.28725e+06  2.21797e+08 2.27246e+08 
6.44662e-03 1.33118e+06  1.98120e+08 1.98986e+08 
6.52799e-03 3.18383e+05  1.96259e+08 1.95786e+08 
6.60941e-03 4.73077e+06  2.18166e+08 2.22470e+08 
6.69079e-03 1.24440e+07  2.63826e+08 2.76707e+08 
6.77202e-03 1.79394e+07  3.30282e+08 3.49342e+08 
6.85304e-03 1.67855e+07  4.08776e+08 4.26570e+08 
6.93383e-03 9.63096e+06  4.83350e+08 4.93098e+08 
7.01440e-03 2.08469e+06  5.34098e+08 5.35329e+08 
7.09485e-03 2.85299e+05  5.44820e+08 5.44011e+08 
