8.21770e-05 5.48587e+03  0.00000e+00 0.00000e+00 
1.64354e-04 6.77561e+04  1.16919e+04 7.01597e+04 
2.46531e-04 2.36085e+05  1.25566e+05 3.62499e+05 
3.28703e-04 4.80128e+05  4.95339e+05 9.99919e+05 
4.10854e-04 7.11104e+05  1.24497e+06 2.01193e+06 
4.92967e-04 8.13175e+05  2.45898e+06 3.34637e+06 
5.75025e-04 7.19375e+05  4.12513e+06 4.90495e+06 
6.57026e-04 4.88299e+05  6.02947e+06 6.54555e+06 
7.38983e-04 2.47474e+05  7.81411e+06 8.06407e+06 
8.20915e-04 8.52361e+04  9.14471e+06 9.22335e+06 
9.02840e-04 1.69024e+04  9.85415e+06 9.86686e+06 
9.84768e-04 2.93607e+03  1.00604e+07 1.00633e+07 
1.06670e-03 5.91564e+03  1.01626e+07 1.01656e+07 
1.14864e-03 5.31595e+04  1.06615e+07 1.07069e+07 
1.23057e-03 2.03912e+05  1.19713e+07 1.21747e+07 
1.31250e-03 4.53183e+05  1.43242e+07 1.48004e+07 
1.39440e-03 7.05030e+05  1.77285e+07 1.84866e+07 
1.47627e-03 8.32479e+05  2.19805e+07 2.28848e+07 
1.55808e-03 7.63599e+05  2.67053e+07 2.75332e+07 
1.63985e-03 5.39315e+05  3.13827e+07 3.19575e+07 
1.72157e-03 2.83859e+05  3.54280e+07 3.57188e+07 
1.80326e-03 1.04820e+05  3.83727e+07 3.84719e+07 
1.88493e-03 2.65403e+04  4.00587e+07 4.00811e+07 
1.96661e-03 7.57473e+03  4.07516e+07 4.07592e+07 
2.04829e-03 7.00530e+03  4.11103e+07 4.11158e+07 
2.12997e-03 3.98693e+04  4.19896e+07 4.20231e+07 
2.21166e-03 1.63075e+05  4.41605e+07 4.43212e+07 
2.29334e-03 3.95557e+05  4.80893e+07 4.85026e+07 
2.37500e-03 6.63552e+05  5.38290e+07 5.45401e+07 
2.45662e-03 8.36508e+05  6.10175e+07 6.19237e+07 
2.53820e-03 8.19586e+05  6.89612e+07 6.98495e+07 
2.61972e-03 6.24401e+05  7.67705e+07 7.74399e+07 
2.70120e-03 3.59969e+05  8.35434e+07 8.39185e+07 
2.78265e-03 1.48524e+05  8.85976e+07 8.87432e+07 
2.86407e-03 4.19738e+04  9.16973e+07 9.17343e+07 
2.94549e-03 1.16702e+04  9.31766e+07 9.31877e+07 
3.02692e-03 7.96619e+03  9.38922e+07 9.39001e+07 
3.10835e-03 2.63092e+04  9.50017e+07 9.50234e+07 
3.18979e-03 1.15143e+05  9.76339e+07 9.77446e+07 
3.27121e-03 3.13915e+05  1.02579e+08 1.02903e+08 
3.35262e-03 5.83771e+05  1.10091e+08 1.10713e+08 
3.43400e-03 8.07839e+05  1.19829e+08 1.20702e+08 
3.51534e-03 8.68005e+05  1.30931e+08 1.31872e+08 
3.59663e-03 7.32008e+05  1.42193e+08 1.42981e+08 
3.67787e-03 4.77033e+05  1.52330e+08 1.52834e+08 
3.75908e-03 2.30040e+05  1.60298e+08 1.60532e+08 
3.84025e-03 7.71144e+04  1.65595e+08 1.65667e+08 
3.92142e-03 1.98295e+04  1.68443e+08 1.68460e+08 
4.00258e-03 9.09818e+03  1.69775e+08 1.69784e+08 
4.08375e-03 1.59171e+04  1.70999e+08 1.71013e+08 
4.16493e-03 6.84137e+04  1.73624e+08 1.73687e+08 
4.24610e-03 2.17772e+05  1.78858e+08 1.79078e+08 
4.32726e-03 4.65793e+05  1.87321e+08 1.87812e+08 
4.40840e-03 7.28878e+05  1.98898e+08 1.99681e+08 
4.48950e-03 8.80441e+05  2.12764e+08 2.13717e+08 
4.57055e-03 8.39435e+05  2.27546e+08 2.28453e+08 
4.65156e-03 6.30093e+05  2.41612e+08 2.42285e+08 
4.73252e-03 3.62508e+05  2.53450e+08 2.53828e+08 
4.81345e-03 1.51690e+05  2.62075e+08 2.62225e+08 
4.89436e-03 4.45667e+04  2.67329e+08 2.67369e+08 
4.97526e-03 1.32008e+04  2.69973e+08 2.69986e+08 
5.05617e-03 1.09820e+04  2.71509e+08 2.71520e+08 
5.13708e-03 3.35994e+04  2.73784e+08 2.73814e+08 
5.21799e-03 1.24907e+05  2.78511e+08 2.78633e+08 
5.29889e-03 3.21358e+05  2.86849e+08 2.87181e+08 
5.37978e-03 5.89914e+05  2.99151e+08 2.99779e+08 
5.46064e-03 8.23568e+05  3.14892e+08 3.15780e+08 
5.54146e-03 9.06107e+05  3.32768e+08 3.33749e+08 
5.62223e-03 7.94331e+05  3.50953e+08 3.51809e+08 
5.70295e-03 5.49058e+05  3.67487e+08 3.68070e+08 
5.78364e-03 2.89521e+05  3.80753e+08 3.81051e+08 
5.86430e-03 1.10630e+05  3.89923e+08 3.90031e+08 
5.94494e-03 3.14017e+04  3.95229e+08 3.95258e+08 
6.02558e-03 1.20305e+04  3.97940e+08 3.97953e+08 
6.10622e-03 1.61149e+04  4.00041e+08 4.00056e+08 
6.18686e-03 5.63168e+04  4.03712e+08 4.03764e+08 
6.26751e-03 1.79291e+05  4.10785e+08 4.10965e+08 
6.34814e-03 4.04346e+05  4.22334e+08 4.22758e+08 
6.42876e-03 6.75939e+05  4.38452e+08 4.39175e+08 
6.50934e-03 8.79522e+05  4.58241e+08 4.59191e+08 
6.58987e-03 9.13850e+05  4.79980e+08 4.80968e+08 
6.67036e-03 7.61992e+05  5.01457e+08 5.02275e+08 
6.75081e-03 5.02678e+05  5.20449e+08 5.20981e+08 
6.83122e-03 2.53525e+05  5.35272e+08 5.35532e+08 
6.91160e-03 9.37108e+04  5.45250e+08 5.45341e+08 
6.99198e-03 2.76265e+04  5.50946e+08 5.50972e+08 
7.07234e-03 1.31529e+04  5.54045e+08 5.54059e+08 
7.15272e-03 2.22978e+04  5.56920e+08 5.56941e+08 
7.23309e-03 7.54573e+04  5.62025e+08 5.62097e+08 
7.31346e-03 2.16912e+05  5.71315e+08 5.71535e+08 
7.39382e-03 4.54975e+05  5.85824e+08 5.86303e+08 
7.47416e-03 7.24497e+05  6.05475e+08 6.06251e+08 
7.55446e-03 9.11292e+05  6.29094e+08 6.30078e+08 
7.63472e-03 9.24109e+05  6.54626e+08 6.55625e+08 
7.71493e-03 7.57431e+05  6.79529e+08 6.80341e+08 
7.79510e-03 4.94528e+05  7.01325e+08 7.01847e+08 
7.87524e-03 2.49230e+05  7.18216e+08 7.18472e+08 
7.95535e-03 9.39316e+04  7.29579e+08 7.29671e+08 
8.03544e-03 2.95141e+04  7.36173e+08 7.36201e+08 
8.11554e-03 1.53701e+04  7.39969e+08 7.39985e+08 
8.19564e-03 2.65916e+04  7.43645e+08 7.43671e+08 
8.27573e-03 8.39672e+04  7.49924e+08 7.50005e+08 
8.35583e-03 2.29156e+05  7.60948e+08 7.61182e+08 
8.43591e-03 4.68367e+05  7.77846e+08 7.78340e+08 
8.51597e-03 7.37777e+05  8.00519e+08 8.01309e+08 
8.59600e-03 9.26762e+05  8.27657e+08 8.28657e+08 
8.67598e-03 9.45718e+05  8.56975e+08 8.57996e+08 
8.75592e-03 7.86194e+05  8.85642e+08 8.86486e+08 
8.83581e-03 5.25945e+05  9.10897e+08 9.11454e+08 
8.91567e-03 2.75758e+05  9.30714e+08 9.30998e+08 
8.99551e-03 1.10537e+05  9.44343e+08 9.44453e+08 
