
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                l-1                 -1                 -1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       

                0.                -2.50259E+03        0.                 0.                 0.                 0.                 0.                 0.                48.75E+03           0.                 0.                 0.                 0.               112.36E-06          48.75E+03           0.                 0.                 0.                 2.44002E+06        0.                 0.                 0.                 0.         
              112.36E-06         -16.9957E+03         0.               227.85E-06           0.                 0.                 0.                40.5219E+03        53.4294E+03         0.                40.5219E+03         4.57291E+03       46.2951E+03       112.36E-06          52.2291E+03       -15.7954E-06       561.676E-06          0.                38.7623E+06        58.7547E+06       147.565E+06        -15.7972E-06       561.798E-06  
              224.719E-06         -9.32943E+03        0.                34.4771E-09         0.                 0.                 0.               129.316E+03         74.5952E+03         0.               129.316E+03          5.02119E+03      159.183E+03        112.36E-06          49.75E+03        -246.197E-06          1.12292E-03        0.                61.7074E+06        34.9322E+06       245.53E+06        -246.159E-06          1.1236E-03 
              337.079E-06          9.30543E+03        0.              -113.936E-06          0.                 0.                 0.               286.785E+03         74.6226E+03         0.               286.785E+03          5.05479E+03      316.715E+03        112.36E-06          49.7483E+03      -594.465E-06          1.68396E-03        0.                78.4957E+06       -34.3343E+06       316.273E+06       -594.302E-06          1.68539E-03
              449.438E-06         14.6496E+03         0.              -341.763E-06          0.                 0.                 0.               513.068E+03         54.6494E+03         0.               513.068E+03          5.02919E+03      521.416E+03        112.36E-06          51.3297E+03      -825.284E-06          2.24469E-03        0.               103.689E+06        -58.4503E+06       414.041E+06       -824.967E-06          2.24719E-03
              561.798E-06          1.19623E+03        0.               683.913E-06          0.                 0.                 0.               787.819E+03         49.2002E+03         0.               787.819E+03          6.91265E+03      795.224E+03        112.36E-06          48.7082E+03      -871.054E-06          2.80508E-03        0.               140.E+06           -11.2808E+06       554.347E+06       -870.686E-06          2.80899E-03
              674.157E-06        -12.5415E+03         0.              -911.998E-06          0.                 0.                 0.                 1.13806E+06       52.474E+03          0.                 1.13806E+06       10.3284E+03         1.15023E+06      112.36E-06          50.6284E+03      -901.688E-06          3.36509E-03        0.               175.959E+06         41.7396E+06       698.053E+06       -901.303E-06          3.37079E-03
              786.517E-06         -9.30318E+03        0.               684.503E-06          0.                 0.                 0.                 1.5452E+06        67.7011E+03         0.                 1.5452E+06        11.2024E+03         1.57434E+06      112.36E-06          49.7625E+03        -1.09087E-03        3.92488E-03        0.               201.498E+06         33.612E+06        805.188E+06         -1.09025E-03        3.93258E-03
              898.876E-06          5.32535E+03        0.                 0.                 0.                 0.                 0.                 2.01464E+06       71.7375E+03         0.                 2.01464E+06       11.1536E+03         2.04848E+06      112.36E-06          49.0506E+03        -1.39763E-03        4.48436E-03        0.               220.488E+06        -19.94E+06         885.186E+06         -1.39665E-03        4.49438E-03
