
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                l-1                 -1                 -1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       

                0.                -2.50254E+03        0.                 0.                 0.                 0.                 0.                 0.                48.75E+03           0.                 0.                 0.                 0.               113.636E-06         48.75E+03           0.               -14.9012E-09         0.                 2.43998E+06        0.                 0.                 0.                 0.         
              113.636E-06        -17.1704E+03         0.                 0.                 0.                 0.                 0.                40.6969E+03        57.9602E+03         0.                40.6969E+03         4.61788E+03       46.9184E+03       113.636E-06         56.3566E+03       -12.0754E-06       560.108E-06          0.                38.6932E+06        59.9301E+06       147.916E+06        -16.1579E-06       568.182E-06  
              227.273E-06         -4.68314E+03        0.                 0.                 0.                 0.                 0.                85.014E+03        107.418E+03          0.                85.014E+03          4.58887E+03      144.468E+03        113.636E-06         52.5529E+03      -190.364E-06        864.765E-06          0.                44.5619E+06        26.4919E+06       188.781E+06       -254.041E-06          1.13636E-03
              340.909E-06         18.6206E+03         0.                 0.                 0.                 0.                 0.               158.888E+03        128.001E+03          0.               158.888E+03          6.40291E+03      241.555E+03        113.636E-06         51.7367E+03      -427.836E-06        958.391E-06          0.                33.8071E+06       -54.0102E+06       159.225E+06       -552.398E-06          1.70455E-03
              454.545E-06         20.827E+03          0.                 0.                 0.                 0.                 0.               275.288E+03        104.372E+03          0.               275.288E+03          7.11654E+03      332.942E+03        113.636E-06         53.8347E+03      -512.482E-06          1.06706E-03        0.                38.7573E+06       -74.0382E+06       168.938E+06       -610.304E-06          2.27273E-03
              568.182E-06         -2.36916E+03        0.                 0.                 0.                 0.                 0.               408.5E+03           88.2853E+03         0.               408.5E+03            8.37802E+03      455.808E+03        113.636E-06         49.356E+03       -414.816E-06          1.31632E-03        0.                67.7463E+06        -7.72105E+06      258.582E+06       -399.266E-06          2.84091E-03
              681.818E-06        -22.8334E+03         0.                 0.                 0.                 0.                 0.               600.64E+03          77.7161E+03         0.               600.64E+03          11.5263E+03       635.979E+03        113.636E-06         53.9042E+03      -330.645E-06          1.63254E-03        0.                97.8597E+06        61.1303E+06       363.114E+06       -218.822E-06          3.40909E-03
              795.455E-06        -16.7338E+03         0.                 0.                 0.                 0.                 0.               802.854E+03         94.9636E+03         0.               802.854E+03         11.8303E+03       858.274E+03        113.636E-06         51.3728E+03      -436.445E-06          1.90608E-03        0.               107.845E+06         52.0063E+06       412.344E+06       -333.232E-06          3.97727E-03
              909.091E-06          6.31514E+03        0.                 0.                 0.                 0.                 0.                 1.03662E+06       95.4964E+03         0.                 1.03662E+06       12.4558E+03         1.09496E+06      113.636E-06         49.6063E+03      -681.421E-06          2.16005E-03        0.               105.352E+06        -12.9241E+06       424.176E+06       -663.728E-06          4.54545E-03
                1.02273E-03       17.7527E+03         0.                 0.                 0.                 0.                 0.                 1.3226E+06        65.1194E+03         0.                 1.3226E+06        12.8913E+03         1.34782E+06      113.636E-06         52.7925E+03      -870.973E-06          2.49721E-03        0.               114.235E+06        -46.9755E+06       471.16E+06        -912.675E-06          5.11364E-03
                1.13636E-03        6.4735E+03         0.                 0.                 0.                 0.                 0.                 1.62195E+06       60.4226E+03         0.                 1.62195E+06       13.7182E+03         1.64597E+06      113.636E-06         50.1202E+03      -912.475E-06          2.92253E-03        0.               141.857E+06        -13.8626E+06       576.06E+06        -932.378E-06          5.68182E-03
                1.25E-03         -10.084E+03          0.                 0.                 0.                 0.                 0.                 1.95866E+06       81.8006E+03         0.                 1.95866E+06       15.7977E+03         2.00504E+06      113.636E-06         51.2181E+03      -904.654E-06          3.30134E-03        0.               170.279E+06         32.8583E+06       679.855E+06       -868.488E-06          6.25E-03   
                1.36364E-03      -11.023E+03          0.                 0.                 0.                 0.                 0.                 2.32445E+06      113.349E+03          0.                 2.32445E+06       16.1763E+03         2.40391E+06      113.636E-06         50.0607E+03      -982.689E-06          3.51915E-03        0.               180.837E+06         27.9579E+06       720.474E+06       -934.815E-06          6.81818E-03
                1.47727E-03        1.97906E+03        0.                 0.                 0.                 0.                 0.                 2.72834E+06      114.332E+03          0.                 2.72834E+06       16.9047E+03         2.81004E+06      113.636E-06         49.5323E+03        -1.14267E-03        3.63283E-03        0.               178.208E+06        -20.4394E+06       714.169E+06         -1.14348E-03        7.38636E-03
