OG
nu = 3.000000E-01  E=2.000000E+11 
   mu = 7.692308E+10  lam = 1.153846E+11
   C10 = 3.846154E+10  D1 = 2.400000E-11

                0.                 0.         
               49.4279E-03         9.91964E+09
               95.7557E-03        19.3038E+09 
              140.097E-03         28.3953E+09 
              182.613E-03         37.2396E+09 
              223.453E-03         45.8746E+09 
              262.746E-03         54.3304E+09 
              300.605E-03         62.6317E+09 
              336.472E-03         70.6495E+09 
              371.787E-03         78.7024E+09 
              405.945E-03         86.6526E+09 
              438.419E-03         94.3675E+09 
              470.5E-03          102.148E+09  
              501.06E-03         109.715E+09  
              530.754E-03        117.219E+09  
              559.633E-03        124.667E+09  
              588.264E-03        132.204E+09  
              615.628E-03        139.554E+09  
              642.299E-03        146.861E+09  
              668.313E-03        154.13E+09   
              693.231E-03        161.227E+09  
              718.039E-03        168.427E+09  
              742.281E-03        175.596E+09  
              765.538E-03        182.602E+09  
              788.731E-03        189.716E+09  
              811.006E-03        196.671E+09  
              833.241E-03        203.736E+09  
              854.617E-03        210.647E+09  
              875.574E-03        217.536E+09  
              896.128E-03        224.406E+09  
              916.296E-03        231.258E+09  
              936.469E-03        238.223E+09  
              955.53E-03         244.908E+09  
              974.625E-03        251.709E+09  
              993.388E-03        258.495E+09  
                1.01183          265.266E+09  
                1.02996          272.022E+09  
                1.04746          278.634E+09  
                1.06501          285.364E+09  
                1.08195          291.951E+09  
                1.09864          298.527E+09  
                1.11539          305.22E+09   
                1.13157          311.772E+09  
                1.14752          318.314E+09  
                1.16324          324.845E+09  
                1.17874          331.366E+09  
                1.19402          337.877E+09  
                1.20909          344.378E+09  
                1.22396          350.87E+09   
                1.23862          357.352E+09  
                1.25276          363.672E+09   
