%OG but incompressible
nu = 5.000000E-01  E=2.000000E+11 
   mu = 6.666667E+10  lam = Inf
   C10 = 3.333333E+10  D1 = 2.000000E-11
   
                   0.                 0.         
               49.672E-03          8.11005E+09
               96.1422E-03        15.6878E+09 
              140.615E-03         22.96E+09   
              182.406E-03         29.834E+09  
              223.401E-03         36.6343E+09 
              262.843E-03         43.2463E+09 
              300.845E-03         49.6952E+09 
              336.776E-03         55.8749E+09 
              372.226E-03         62.0603E+09 
              405.825E-03         68.0124E+09 
              438.38E-03          73.8706E+09 
              470.604E-03         79.7644E+09 
              501.242E-03         85.462E+09  
              531.014E-03         91.0915E+09 
              559.97E-03          96.6596E+09 
              588.151E-03        102.171E+09  
              615.602E-03        107.632E+09  
              642.36E-03         113.045E+09  
              667.923E-03        118.304E+09  
              693.411E-03        123.635E+09  
              718.303E-03        128.929E+09  
              742.125E-03        134.079E+09  
              765.919E-03        139.307E+09  
              788.714E-03        144.397E+09  
              811.035E-03        149.46E+09   
              833.364E-03        154.605E+09  
              854.783E-03        159.617E+09  
              875.786E-03        164.607E+09  
              896.388E-03        169.576E+09  
              916.602E-03        174.525E+09  
              936.448E-03        179.454E+09  
              955.525E-03        184.261E+09  
              974.676E-03        189.155E+09  
              993.494E-03        194.032E+09  
                1.0116           198.79E+09   
                1.0298           203.637E+09  
                1.04732          208.366E+09  
                1.06494          213.184E+09  
                1.08191          217.886E+09  
                1.09862          222.576E+09  
                1.11543          227.356E+09  
                1.13165          232.022E+09  
                1.14763          236.678E+09  
                1.16338          241.322E+09  
                1.1789           245.956E+09  
                1.19422          250.581E+09  
                1.209            255.095E+09  
                1.2239           259.7E+09    
                1.23861          264.297E+09  
                1.25276          268.768E+09  
