Rubber
nu = 5.000000E-01  E=7.900000E+07 
   mu = 2.633333E+07  lam = Inf
   C10 = 1.316667E+07  D1 = 5.063291E-08
   
                   0.                 0.         
               59.5727E-03         3.84103E+06
              102.09E-03           6.58012E+06
              142.929E-03          9.219E+06  
              194.994E-03         12.6065E+06 
              232.4E-03           15.0637E+06 
              268.507E-03         17.4598E+06 
              303.405E-03         19.8024E+06 
              337.174E-03         22.0977E+06 
              380.568E-03         25.0941E+06 
              411.971E-03         27.2989E+06 
              442.463E-03         29.4716E+06 
              472.094E-03         31.6154E+06 
              500.913E-03         33.733E+06  
              538.151E-03         36.5197E+06 
              565.242E-03         38.585E+06  
              591.657E-03         40.631E+06  
              617.427E-03         42.6592E+06 
              642.586E-03         44.671E+06  
              675.232E-03         47.3303E+06 
              699.073E-03         49.3084E+06 
              722.393E-03         51.2739E+06 
              745.215E-03         53.2275E+06 
              767.559E-03         55.1698E+06 
              789.446E-03         57.1018E+06 
              817.95E-03          59.6623E+06 
              838.841E-03         61.5721E+06 
              859.335E-03         63.4733E+06 
              879.446E-03         65.3663E+06 
              899.189E-03         67.2516E+06 
              918.577E-03         69.1295E+06 
              937.623E-03         71.0004E+06 
              956.341E-03         72.8647E+06 
              974.741E-03         74.7226E+06 
              998.799E-03         77.1904E+06 
                1.0165            79.0345E+06 
                1.03392           80.8732E+06 
                1.05106           82.7065E+06 
                1.06794           84.5348E+06 
                1.08457           86.3582E+06 
                1.10094           88.1769E+06 
                1.11708           89.9911E+06 
                1.13298           91.8008E+06 
                1.14865           93.6064E+06 
                1.16411           95.4079E+06 
                1.17935           97.2055E+06 
                1.19438           98.9992E+06 
                1.20922          100.789E+06  
                1.22784          103.066E+06  
                1.24073          104.66E+06   
                1.25273          106.159E+06  
