Dyneema
nu = 3.000000E-01  E=2.000000E+09 
   mu = 7.692308E+08  lam = 1.153846E+09
   C10 = 3.846154E+08  D1 = 2.400000E-09
   
                   0.                 0.         
               50.8301E-03        89.0464E+06 
               96.1219E-03       167.576E+06  
              142.552E-03        247.661E+06  
              184.091E-03        319.228E+06  
              224.038E-03        388.193E+06  
              262.51E-03         454.917E+06  
              302.217E-03        524.261E+06  
              337.966E-03        587.239E+06  
              372.535E-03        648.738E+06  
              406.003E-03        708.931E+06  
              438.438E-03        767.961E+06  
              472.117E-03        830.057E+06  
              502.608E-03        887.047E+06  
              532.247E-03        943.204E+06  
              561.077E-03        998.597E+06  
              589.145E-03          1.0533E+09 
              616.49E-03           1.10737E+09
              643.15E-03           1.16086E+09
              669.16E-03           1.21381E+09
              694.55E-03           1.26627E+09
              719.353E-03          1.31828E+09
              743.592E-03          1.36986E+09
              765.623E-03          1.4174E+09 
              788.851E-03          1.46824E+09
              811.59E-03           1.51874E+09
              833.859E-03          1.56891E+09
              855.678E-03          1.61878E+09
              875.552E-03          1.66482E+09
              896.555E-03          1.71415E+09
              917.158E-03          1.76322E+09
              937.379E-03          1.81205E+09
              955.825E-03          1.85719E+09
              975.347E-03          1.90558E+09
              994.526E-03          1.95377E+09
                1.01204            1.99834E+09
                1.03059            2.04615E+09
                1.04754            2.09038E+09
                1.06551            2.13785E+09
                1.08194            2.18178E+09
                1.09935            2.22894E+09
                1.11529            2.27259E+09
                1.13219            2.31946E+09
                1.14766            2.36286E+09
                1.16409            2.40946E+09
                1.17912            2.45261E+09
                1.19396            2.49566E+09
                1.20972            2.5419E+09 
                1.22416            2.58473E+09
                1.23841            2.62747E+09
                1.25276            2.67095E+09
