 materials.m has mat properties. u = 2.5 t=0.5

                LE              Mat4 Dyneema     Mat2 NeoHookeIncomp    Mat1 NeoHookeOG    Mat5 Random       Mat3 Rubber     
                0.                 0.                 0.                 0.                 0.                 0.         
               24.9731E-03         1.25679E+09       50.0244E+06         4.9618E+09         5.00229E+09        1.95992E+06
               49.4968E-03         2.50784E+09       99.3373E+06        10.3474E+09         9.93343E+09        4.08722E+06
               72.4731E-03         3.69635E+09      145.753E+06         15.6024E+09        14.5748E+09         6.16296E+06
               95.8067E-03         4.92072E+09      193.146E+06         20.2023E+09        19.314E+09          7.97991E+06
              118.542E-03          6.13168E+09      239.61E+06          25.2037E+09        23.9602E+09         9.95548E+06
              139.864E-03          7.28445E+09      283.478E+06         29.6829E+09        28.3469E+09        11.7248E+06 
              161.596E-03          8.47737E+09      328.512E+06         35.5094E+09        32.8501E+09        14.0262E+06 
              182.93E-03           9.66699E+09      373.068E+06         40.1761E+09        37.3056E+09        15.8696E+06 
              202.978E-03         10.8024E+09       415.278E+06         45.1216E+09        41.5265E+09        17.8231E+06 
              223.563E-03         11.9868E+09       458.987E+06         51.0482E+09        45.8972E+09        20.1641E+06 
              243.22E-03          13.1361E+09       501.098E+06         56.1162E+09        50.1082E+09        22.1659E+06 
              262.89E-03          14.3047E+09       543.625E+06         61.6824E+09        54.3608E+09        24.3646E+06 
              281.813E-03         15.4471E+09       584.92E+06          66.8124E+09        58.4902E+09        26.3909E+06 
              300.996E-03         16.6241E+09       627.189E+06         72.4904E+09        62.717E+09         28.6338E+06 
              318.775E-03         17.7324E+09       666.746E+06         77.5966E+09        66.6726E+09        30.6507E+06 
              337.01E-03          18.8873E+09       707.717E+06         83.2903E+09        70.7695E+09        32.8997E+06 
              354.248E-03         19.9964E+09       746.832E+06         88.4807E+09        74.681E+09         34.9499E+06 
              372.241E-03         21.1726E+09       788.078E+06         94.7283E+09        78.8054E+09        37.4178E+06 
              389.177E-03         22.2975E+09       827.302E+06        100.056E+09         82.7277E+09        39.5221E+06 
              406.263E-03         23.4503E+09       867.281E+06        106.315E+09         86.7255E+09        41.9944E+06 
              422.816E-03         24.5848E+09       906.419E+06        111.762E+09         90.6393E+09        44.146E+06  
              438.483E-03         25.6749E+09       943.836E+06        117.099E+09         94.3808E+09        46.2541E+06 
              454.327E-03         26.794E+09        982.062E+06        122.976E+09         98.2034E+09        48.5754E+06 
              470.83E-03          27.9777E+09         1.0223E+09       129.522E+09        102.227E+09         51.1611E+06 
              485.534E-03         29.0483E+09         1.05852E+09      134.917E+09        105.849E+09         53.2924E+06 
              501.571E-03         30.2333E+09         1.09843E+09      141.164E+09        109.84E+09          55.76E+06   
              516.284E-03         31.337E+09          1.13544E+09      147.958E+09        113.54E+09          58.4435E+06 
              531.E-03            32.4568E+09         1.17282E+09      153.265E+09        117.279E+09         60.5399E+06 
              545.488E-03         33.5751E+09         1.21001E+09      159.804E+09        120.997E+09         63.1228E+06 
              560.066E-03         34.7167E+09         1.24781E+09      166.078E+09        124.777E+09         65.6011E+06 
              574.1E-03           35.8313E+09         1.28456E+09      172.297E+09        128.453E+09         68.0573E+06 
              587.847E-03         36.9382E+09         1.32093E+09      178.928E+09        132.09E+09          70.6767E+06 
              602.026E-03         38.0959E+09         1.35882E+09      185.802E+09        135.879E+09         73.3919E+06 
              615.489E-03         39.2103E+09         1.39517E+09      192.158E+09        139.513E+09         75.9024E+06 
              628.705E-03         40.3189E+09         1.43119E+09      198.933E+09        143.115E+09         78.5789E+06 
              642.412E-03         41.4843E+09         1.46893E+09      205.586E+09        146.889E+09         81.2067E+06 
              655.109E-03         42.5783E+09         1.50423E+09      212.396E+09        150.419E+09         83.8966E+06 
              668.089E-03         43.7111E+09         1.54067E+09      219.808E+09        154.063E+09         86.8244E+06 
              680.797E-03         44.8345E+09         1.57669E+09      226.435E+09        157.664E+09         89.4419E+06 
              693.438E-03         45.9664E+09         1.61286E+09      233.542E+09        161.282E+09         92.2494E+06 
              705.97E-03          47.1027E+09         1.64907E+09      240.32E+09         164.903E+09         94.9266E+06 
              717.975E-03         48.2048E+09         1.68408E+09      247.398E+09        168.404E+09         97.7224E+06 
              730.006E-03         49.3228E+09         1.71949E+09      254.988E+09        171.945E+09        100.721E+06  
              742.691E-03         50.5161E+09         1.75719E+09      262.559E+09        175.714E+09        103.711E+06  
              753.909E-03         51.5844E+09         1.79083E+09      270.03E+09         179.079E+09        106.662E+06  
              765.624E-03         52.7128E+09         1.82628E+09      277.019E+09        182.623E+09        109.423E+06  
              777.422E-03         53.8628E+09         1.86231E+09      284.552E+09        186.226E+09        112.398E+06  
              788.509E-03         54.9559E+09         1.89647E+09      292.674E+09        189.642E+09        115.606E+06  
              800.028E-03         56.1046E+09         1.93228E+09      300.302E+09        193.223E+09        118.62E+06   
              811.3E-03           57.2417E+09         1.96763E+09      308.327E+09        196.758E+09        121.789E+06  
              822.414E-03         58.3754E+09         2.0028E+09       315.989E+09        200.275E+09        124.816E+06  
              833.034E-03         59.4706E+09         2.03669E+09      323.522E+09        203.664E+09        127.791E+06  
              843.919E-03         60.6054E+09         2.07173E+09      331.688E+09        207.168E+09        131.017E+06  
              854.68E-03          61.7394E+09         2.10667E+09      339.505E+09        210.661E+09        134.105E+06  
              865.382E-03         62.8793E+09         2.1417E+09       348.197E+09        214.165E+09        137.538E+06  
              875.961E-03         64.0182E+09         2.17664E+09      356.54E+09         217.658E+09        140.833E+06  
              886.292E-03         65.1421E+09         2.21104E+09      364.861E+09        221.098E+09        144.12E+06   
              896.43E-03          66.2563E+09         2.24507E+09      373.185E+09        224.502E+09        147.408E+06  
              906.369E-03         67.3595E+09         2.27871E+09      381.107E+09        227.865E+09        150.538E+06  
              916.66E-03          68.5134E+09         2.31382E+09      390.132E+09        231.376E+09        154.103E+06  
              926.506E-03         69.6285E+09         2.34768E+09      399.013E+09        234.762E+09        157.61E+06   
              936.546E-03         70.7767E+09         2.38248E+09      407.72E+09         238.242E+09        161.049E+06  
              946.023E-03         71.8712E+09         2.4156E+09       416.2E+09          241.554E+09        164.399E+06  
              955.514E-03         72.9776E+09         2.44901E+09      425.19E+09         244.895E+09        167.95E+06   
              965.186E-03         74.1158E+09         2.48333E+09      434.004E+09        248.327E+09        171.432E+06  
              974.768E-03         75.2541E+09         2.51759E+09      442.872E+09        251.753E+09        174.935E+06  
              984.418E-03         76.4115E+09         2.55236E+09      452.296E+09        255.23E+09         178.657E+06  
              993.482E-03         77.5086E+09         2.58528E+09      461.05E+09         258.521E+09        182.115E+06  
                1.00266           78.6299E+09         2.61886E+09      470.783E+09        261.879E+09        185.96E+06   
                1.01193           79.7722E+09         2.65301E+09      480.289E+09        265.295E+09        189.714E+06  
                1.02067           80.8582E+09         2.68544E+09      489.534E+09        268.537E+09        193.366E+06  
                1.02968           81.9884E+09         2.71913E+09      499.081E+09        271.906E+09        197.137E+06  
                1.03867           83.1254E+09         2.75298E+09      508.721E+09        275.291E+09        200.945E+06  
                1.04745           84.2458E+09         2.78628E+09      518.322E+09        278.621E+09        204.737E+06  
                1.05621           85.3741E+09         2.81977E+09      528.022E+09        281.97E+09         208.569E+06  
                1.06512           86.5311E+09         2.85406E+09      537.946E+09        285.399E+09        212.489E+06  
                1.07374           87.6587E+09         2.88743E+09      548.152E+09        288.736E+09        216.521E+06  
                1.08199           88.7474E+09         2.91961E+09      557.785E+09        291.954E+09        220.325E+06  
                1.09052           89.883E+09          2.95314E+09      567.751E+09        295.307E+09        224.262E+06  
                1.09886           91.0021E+09         2.98613E+09      578.071E+09        298.606E+09        228.339E+06  
                1.10734           92.1491E+09         3.0199E+09       588.617E+09        301.983E+09        232.504E+06  
                1.11573           93.2929E+09         3.05354E+09      598.804E+09        305.347E+09        236.528E+06  
                1.12348           94.3571E+09         3.0848E+09       608.556E+09        308.472E+09        240.38E+06   
                1.13148           95.4655E+09         3.11732E+09      619.031E+09        311.724E+09        244.518E+06  
                1.13954           96.5897E+09         3.15026E+09      629.661E+09        315.019E+09        248.717E+06  
                1.14767           97.7326E+09         3.18371E+09      640.864E+09        318.364E+09        253.142E+06  
                1.15544           98.8338E+09         3.21591E+09      651.063E+09        321.583E+09        257.17E+06   
                1.16356           99.993E+09          3.24976E+09      662.089E+09        324.968E+09        261.525E+06  
                1.17112          101.08E+09           3.28148E+09      673.105E+09        328.14E+09         265.877E+06  
                1.17915          102.243E+09          3.31537E+09      684.274E+09        331.529E+09        270.289E+06  
                1.18638          103.298E+09          3.34607E+09      694.391E+09        334.599E+09        274.285E+06  
                1.19417          104.444E+09          3.3794E+09       705.962E+09        337.933E+09        278.856E+06  
                1.20172          105.561E+09          3.41186E+09      717.4E+09          341.178E+09        283.373E+06  
                1.2092           106.676E+09          3.44421E+09      728.479E+09        344.413E+09        287.75E+06   
                1.21673          107.807E+09          3.47699E+09      740.123E+09        347.691E+09        292.349E+06  
                1.2239           108.892E+09          3.50843E+09      751.513E+09        350.835E+09        296.848E+06  
                1.23114          109.992E+09          3.54028E+09      762.667E+09        354.02E+09         301.254E+06  
                1.23844          111.113E+09          3.57267E+09      774.014E+09        357.259E+09        305.736E+06  
                1.24597          112.274E+09          3.60621E+09      786.103E+09        360.613E+09        310.511E+06  
                1.25276          113.329E+09          3.63668E+09      797.907E+09        363.659E+09        315.174E+06  
