																																																																																									                                           
                             A:A1 PI: FIBERS0   A:A1 PI: HOST-1 N  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode   LE:LE11 PI: HOST-  LE:LE22 PI: HOST- LE:LE11 PI: FIBER   RF:RF2 PI: HOST-1  RF:RF2 PI: FIBER S:S11 PI: HOST-1   S:S22 PI: HOST-1  SS:S11 PI: FIBERS0 U:  U:U1 PI: HOST-1 N  U1 PI: FIBERS0   U:U2 PI: HOST-1 N   U:U2 PI: FIBERS0 
                  X                 N: 2               : 1                 -1                 -1                 -1                 -1                 -1                l-1           1 E: 1 Centroid    1 E: 1 Centroid   S0 E: 1 Centroid          N: 1              0 N: 2       E: 1 Centroid      E: 1 Centroid       E: 1 Centroid             : 1              N: 2               : 1                 N: 2      
                                                                                                                                                                                                                                                                                                                                                                                                       
                0.              -140.596             -1.76212E+03        0.                66.2272E+03         0.                 0.                 0.                66.2272E+03          0.                 0.                0.                  2.44002E+06        0.               0.                 0.                 0.                    0.               0.                 0.                  0.         
              112.36E-06        -982.45             -12.314E+03         54.3363E+03        69.3593E+03        54.3363E+03         5.86435E+03       61.0635E+03        68.4964E+03        -11.1461E-06       561.676E-06       561.676E-06          51.9062E+06         0.              60.5431E+06       148.638E+06        112.353E+06           -11.1231E-06    -887.491E-09        561.798E-06         516.973E-06  
              224.719E-06       -930.414            -11.6603E+03       188.9E+03           89.1149E+03       188.9E+03            9.45194E+03      221.326E+03         66.1409E+03       -177.697E-06          1.12292E-03       1.12292E-03        90.7272E+06         0.              61.3014E+06       261.324E+06        224.597E+06          -177.706E-06      -14.1781E-06         1.1236E-03          1.03395E-03
              337.079E-06        -62.3493          -782.135            402.951E+03        106.531E+03        402.951E+03         11.7238E+03       459.266E+03         61.9395E+03       -491.621E-06          1.68396E-03       1.68396E-03       121.039E+06          0.               5.26884E+06      339.967E+06        336.805E+06          -491.496E-06      -39.2149E-06         1.68539E-03         1.55092E-03
              449.438E-06        806.298             10.1056E+03       723.686E+03         93.0205E+03       723.686E+03         14.165E+03        765.72E+03          65.152E+03        -815.486E-06          2.24469E-03       2.24469E-03       151.704E+06          0.             -54.6624E+06       416.305E+06        448.978E+06          -815.161E-06      -65.0388E-06         2.24719E-03         2.06789E-03
              561.798E-06        911.005             11.4183E+03         1.12929E+06       72.3284E+03         1.12929E+06       16.6057E+03         1.15038E+06       67.8447E+03         -1.01176E-03        2.80508E-03       2.80511E-03       190.645E+06          0.             -65.4999E+06       521.967E+06        561.124E+06            -1.01125E-03    -80.6834E-06         2.80899E-03         2.58487E-03
              674.157E-06        206.6                2.58957E+03        1.61055E+06       66.7296E+03         1.61055E+06       20.9623E+03         1.63196E+06       66.2819E+03         -1.06373E-03        3.36509E-03       3.36509E-03       237.962E+06          0.             -20.7619E+06       660.73E+06         673.154E+06            -1.06318E-03    -84.827E-06          3.37079E-03         3.10184E-03
              786.517E-06       -635.649             -7.96692E+03        2.19315E+06       68.1449E+03         2.19315E+06       26.91E+03           2.22107E+06       67.1292E+03         -1.08301E-03        3.92488E-03       3.92488E-03       286.346E+06          0.              36.6317E+06       806.983E+06        785.127E+06            -1.08242E-03    -86.3622E-06         3.93258E-03         3.61881E-03
              898.876E-06       -863.327            -10.8204E+03         2.86664E+06       80.2672E+03         2.86664E+06       31.1524E+03         2.91126E+06       66.7914E+03         -1.20295E-03        4.48436E-03       4.48436E-03       327.925E+06          0.              55.2177E+06       929.991E+06        897.074E+06            -1.20224E-03    -95.9224E-06         4.49438E-03         4.13578E-03
