
                             A:A1 PI: HOST-1 N  A:A1 PI: TRUSS-1   ALLIE Whole Model  ALLKE Whole Model  ALLVD Whole Model ALLSE Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE11 PI: TRUSS  LE:LE22 PI: HOST-  RF:RF2 PI: HOST-1  RF:RF2 PI: TRUSS-  S:S11 PI: HOST-1   S:S11 PI: TRUSS-1  S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U1 PI: TRUSS-1   U:U2 PI: HOST-1 N  U:U2 PI: TRUSS-1  
                  X                 : 1                N: 2                -1                 -1                 -1               -1                 -1                l-1          1 E: 1 Centroid    -1 E: 1 Centroid   1 E: 1 Centroid          N: 1              1 N: 2         E: 1 Centroid       E: 1 Centroid     E: 1 Centroid           : 1                N: 2               : 1                N: 2       
                                                                                                                                                                                                                                                                                                                                                                                                     
                0.                -1.66836E+03     -834.181              0.                37.44E+03           0.               0.                 0.                37.44E+03           0.                 0.                 0.                 1.95198E+06        0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.          
              113.636E-06        -11.6133E+03        -5.80665E+03       30.8388E+03        39.8831E+03         3.42926E+03     30.8388E+03        34.9432E+03        39.2079E+03       -10.781E-06        454.442E-06        454.442E-06         36.4855E+06         0.                48.2806E+06        90.8801E+06       119.836E+06        -10.772E-06         -5.38598E-06      454.545E-06        454.545E-06   
              227.273E-06         -8.70303E+03       -4.35152E+03      103.005E+03         53.0736E+03         4.81449E+03    103.005E+03        123.792E+03         37.1007E+03      -171.497E-06        908.677E-06        908.677E-06         61.2486E+06         0.                38.8479E+06       181.743E+06        205.003E+06       -171.509E-06        -85.7546E-06       909.091E-06        909.091E-06   
              340.909E-06          3.24284E+03        1.62142E+03      223.341E+03         58.5679E+03         5.64954E+03    223.341E+03        251.965E+03         35.5935E+03      -444.69E-06           1.36271E-03        1.36272E-03       79.7408E+06         0.               -13.8693E+06       272.563E+06        264.158E+06       -444.63E-06        -222.315E-06          1.36364E-03        1.36364E-03 
              454.545E-06         10.8339E+03         5.41694E+03      402.62E+03          46.0831E+03         6.51644E+03    402.62E+03         416.902E+03         38.3177E+03      -676.138E-06          1.81653E-03        1.81656E-03      101.69E+06           0.               -50.5178E+06       363.32E+06         332.913E+06       -675.876E-06       -337.938E-06          1.81818E-03        1.81818E-03 
              568.182E-06          6.3275E+03         3.16375E+03      621.359E+03         38.2869E+03         7.87119E+03    621.359E+03        629.695E+03         37.8222E+03      -767.525E-06          2.27015E-03        2.27013E-03      132.382E+06          0.               -33.3491E+06       454.077E+06        433.917E+06       -767.222E-06       -383.611E-06          2.27273E-03        2.27273E-03 
              681.818E-06         -4.56191E+03       -2.28095E+03      890.893E+03         37.9477E+03        10.8686E+03     890.893E+03        902.196E+03         37.5126E+03      -777.189E-06          2.72356E-03        2.72353E-03      167.37E+06           0.                15.2463E+06       544.79E+06         553.736E+06       -776.859E-06       -388.43E-06           2.72727E-03        2.72727E-03 
              795.455E-06         -9.75629E+03       -4.87815E+03        1.21582E+06       43.1882E+03        13.384E+03        1.21582E+06        1.2343E+06        38.0997E+03      -845.82E-06           3.17676E-03        3.17676E-03      197.939E+06          0.                41.1413E+06       635.444E+06        659.894E+06       -845.405E-06       -422.703E-06          3.18182E-03        3.18182E-03 
              909.091E-06         -4.15328E+03       -2.07664E+03        1.58265E+06       53.7169E+03        14.4106E+03       1.58265E+06        1.61488E+06       35.895E+03         -1.04046E-03        3.62976E-03        3.62976E-03      220.706E+06          0.                18.5012E+06       726.111E+06        736.89E+06          -1.03994E-03     -519.968E-06          3.63636E-03        3.63636E-03 
