
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE12 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S12 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       

                0.                 0.                 0.                 0.                 0.                48.75E+03           0.                 0.               112.36E-06          48.75E+03           0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              112.36E-06           0.                 0.                 0.                12.1386E+03        48.75E+03          12.1386E+03        12.1386E+03       112.36E-06          48.75E+03         109.532E-09        561.833E-06         10.7974E+06        10.7994E+06       587.933             43.2135E+06       561.798E-06          0.         
              224.719E-06          0.                 0.                 0.                48.5545E+03        48.75E+03          48.5545E+03        48.5545E+03       112.36E-06          48.75E+03         319.007E-09          1.12361E-03       21.5939E+06        21.596E+06         45.9109E+03        86.427E+06          1.1236E-03         0.         
              337.079E-06          0.                 0.                 0.               109.248E+03         48.75E+03         109.248E+03        109.248E+03        112.36E-06          48.75E+03         777.422E-09          1.6855E-03        32.3918E+06        32.3922E+06       145.139E+03        129.64E+06           1.68539E-03        0.         
              449.438E-06          0.                 0.                 0.               194.218E+03         48.75E+03         194.218E+03        194.218E+03        112.36E-06          48.75E+03           1.27603E-06        2.24721E-03       43.1778E+06        43.1804E+06       245.542E+03        172.854E+06          2.24719E-03        0.         
              561.798E-06          0.                 0.                 0.               303.465E+03         48.75E+03         303.465E+03        303.465E+03        112.36E-06          48.7499E+03         1.9343E-06         2.80904E-03       53.9628E+06        53.9659E+06       390.681E+03        216.067E+06          2.80899E-03        0.         
              674.157E-06          0.                 0.                 0.               436.99E+03          48.75E+03         436.99E+03         436.99E+03         112.36E-06          48.7498E+03         2.84164E-06        3.37076E-03       64.7469E+06        64.7487E+06       580.554E+03        259.281E+06          3.37079E-03        0.         
              786.517E-06          0.                 0.                 0.               594.792E+03         48.75E+03         594.792E+03        594.792E+03        112.36E-06          48.7498E+03         3.90818E-06        3.93259E-03       75.5288E+06        75.5287E+06       810.578E+03        302.494E+06          3.93258E-03        0.         
              898.876E-06          0.                 0.                 0.               776.871E+03         48.75E+03         776.871E+03        776.872E+03        112.36E-06          48.7498E+03         5.01506E-06        4.49441E-03       86.3024E+06        86.3031E+06         1.05553E+06      345.708E+06          4.49438E-03        0.         
                1.01124E-03        0.                 0.                 0.               983.227E+03         48.75E+03         983.227E+03        983.228E+03        112.36E-06          48.7495E+03         6.40017E-06        5.05612E-03       97.0616E+06        97.0626E+06         1.29173E+06      388.921E+06          5.05618E-03        0.         
                1.1236E-03         0.                 0.                 0.                 1.21386E+06       48.75E+03           1.21386E+06        1.21386E+06      112.36E-06          48.7494E+03         7.94593E-06        5.61795E-03      107.832E+06        107.831E+06          1.6208E+06       432.135E+06          5.61798E-03        0.         
                1.23595E-03        0.                 0.                 0.                 1.46877E+06       48.75E+03           1.46877E+06        1.46877E+06      112.36E-06          48.7493E+03         9.56107E-06        6.17971E-03      118.592E+06        118.592E+06          1.9564E+06       475.348E+06          6.17978E-03        0.         
                1.34831E-03        0.                 0.                 0.                 1.74796E+06       48.75E+03           1.74796E+06        1.74796E+06      112.36E-06          48.749E+03         11.3654E-06         6.74153E-03      129.347E+06        129.348E+06          2.32145E+06      518.562E+06          6.74157E-03        0.         
                1.46067E-03        0.                 0.                 0.                 2.05142E+06       48.75E+03           2.05142E+06        2.05143E+06      112.36E-06          48.7487E+03        13.3895E-06         7.30329E-03      140.1E+06          140.104E+06          2.72742E+06      561.775E+06          7.30337E-03        0.         
                1.57303E-03        0.                 0.                 0.                 2.37917E+06       48.75E+03           2.37917E+06        2.37917E+06      112.36E-06          48.7486E+03        15.4236E-06         7.86499E-03      150.847E+06        150.849E+06          3.15748E+06      604.989E+06          7.86517E-03        0.         
                1.68539E-03        0.                 0.                 0.                 2.73119E+06       48.75E+03           2.73119E+06        2.73119E+06      112.36E-06          48.7481E+03        17.7964E-06         8.42686E-03      161.592E+06        161.594E+06          3.62694E+06      648.203E+06          8.42697E-03        0.         
                1.79775E-03        0.                 0.                 0.                 3.10748E+06       48.75E+03           3.10748E+06        3.10749E+06      112.36E-06          48.7476E+03        20.1797E-06         8.98862E-03      172.333E+06        172.336E+06          4.13272E+06      691.416E+06          8.98877E-03        0.         
                1.91011E-03        0.                 0.                 0.                 3.50806E+06       48.75E+03           3.50806E+06        3.50806E+06      112.36E-06          48.7471E+03        22.8407E-06         9.55043E-03      183.07E+06         183.076E+06          4.66795E+06      734.629E+06          9.55056E-03        0.         
                2.02247E-03        0.                 0.                 0.                 3.93291E+06       48.75E+03           3.93291E+06        3.93291E+06      112.36E-06          48.7468E+03        25.6319E-06        10.1122E-03       193.809E+06        193.815E+06          5.25861E+06      777.843E+06         10.1124E-03         0.         
                2.13483E-03        0.                 0.                 0.                 4.38204E+06       48.75E+03           4.38204E+06        4.38204E+06      112.36E-06          48.7458E+03        28.464E-06         10.674E-03        204.53E+06         204.536E+06          5.82829E+06      821.056E+06         10.6742E-03         0.         
                2.24719E-03        0.                 0.                 0.                 4.85544E+06       48.75E+03           4.85544E+06        4.85545E+06      112.36E-06          48.7456E+03        31.5146E-06        11.2357E-03       215.253E+06        215.262E+06          6.45417E+06      864.27E+06          11.236E-03          0.         
                2.35955E-03        0.                 0.                 0.                 5.35313E+06       48.75E+03           5.35313E+06        5.35313E+06      112.36E-06          48.7446E+03        34.8745E-06        11.7975E-03       225.977E+06        225.988E+06          7.13013E+06      907.483E+06         11.7978E-03         0.         
                2.47191E-03        0.                 0.                 0.                 5.87509E+06       48.75E+03           5.87509E+06        5.87509E+06      112.36E-06          48.7439E+03        38.184E-06         12.3592E-03       236.699E+06        236.711E+06          7.85006E+06      950.697E+06         12.3596E-03         0.         
                2.58427E-03        0.                 0.                 0.                 6.42132E+06       48.75E+03           6.42132E+06        6.42133E+06      112.36E-06          48.7429E+03        41.7137E-06        12.921E-03        247.407E+06        247.42E+06           8.56047E+06      993.91E+06          12.9214E-03         0.         
