1.35971e-04 1.20546e+00  1.04116e-03 1.04116e-03 
2.71942e-04 1.20573e+00  3.82791e-03 3.82996e-03 
4.07913e-04 1.20616e+00  8.01841e-03 8.02886e-03 
5.43883e-04 1.20673e+00  1.35998e-02 1.36317e-02 
6.79854e-04 1.20747e+00  2.05562e-02 2.06316e-02 
8.15824e-04 1.20837e+00  2.88686e-02 2.90208e-02 
9.51794e-04 1.20946e+00  3.85153e-02 3.87910e-02 
1.08776e-03 1.21074e+00  4.94718e-02 4.99330e-02 
1.22373e-03 1.21223e+00  6.17109e-02 6.24369e-02 
1.35970e-03 1.21395e+00  7.52030e-02 7.62923e-02 
1.49567e-03 1.21591e+00  8.99161e-02 9.14879e-02 
1.63164e-03 1.21815e+00  1.05816e-01 1.08012e-01 
1.76760e-03 1.22067e+00  1.22867e-01 1.25852e-01 
1.90357e-03 1.22350e+00  1.41031e-01 1.44995e-01 
2.03953e-03 1.22667e+00  1.60269e-01 1.65426e-01 
2.17549e-03 1.23019e+00  1.80539e-01 1.87133e-01 
2.31146e-03 1.23410e+00  2.01800e-01 2.10100e-01 
2.44742e-03 1.23842e+00  2.24008e-01 2.34311e-01 
2.58338e-03 1.24317e+00  2.47120e-01 2.59752e-01 
2.71934e-03 1.24837e+00  2.71091e-01 2.86404e-01 
2.85529e-03 1.25407e+00  2.95877e-01 3.14253e-01 
2.99125e-03 1.26027e+00  3.21431e-01 3.43280e-01 
3.12720e-03 1.26701e+00  3.47708e-01 3.73467e-01 
3.26315e-03 1.27430e+00  3.74665e-01 4.04798e-01 
3.39911e-03 1.28218e+00  4.02254e-01 4.37253e-01 
3.53505e-03 1.29067e+00  4.30433e-01 4.70813e-01 
3.67100e-03 1.29978e+00  4.59157e-01 5.05459e-01 
3.80695e-03 1.30954e+00  4.88384e-01 5.41173e-01 
3.94289e-03 1.31997e+00  5.18071e-01 5.77934e-01 
4.07883e-03 1.33109e+00  5.48177e-01 6.15721e-01 
4.21477e-03 1.34291e+00  5.78663e-01 6.54516e-01 
4.35071e-03 1.35545e+00  6.09489e-01 6.94298e-01 
4.48664e-03 1.36873e+00  6.40619e-01 7.35045e-01 
4.62258e-03 1.38275e+00  6.72017e-01 7.76738e-01 
4.75851e-03 1.39753e+00  7.03648e-01 8.19354e-01 
4.89444e-03 1.41308e+00  7.35481e-01 8.62874e-01 
5.03037e-03 1.42940e+00  7.67483e-01 9.07275e-01 
5.16629e-03 1.44651e+00  7.99626e-01 9.52537e-01 
5.30221e-03 1.46440e+00  8.31881e-01 9.98638e-01 
5.43813e-03 1.48308e+00  8.64224e-01 1.04556e+00 
5.57405e-03 1.50256e+00  8.96629e-01 1.09327e+00 
5.70997e-03 1.52282e+00  9.29075e-01 1.14176e+00 
5.84588e-03 1.54386e+00  9.61541e-01 1.19100e+00 
5.98179e-03 1.56569e+00  9.94007e-01 1.24098e+00 
6.11770e-03 1.58830e+00  1.02646e+00 1.29167e+00 
6.25361e-03 1.61168e+00  1.05887e+00 1.34304e+00 
6.38952e-03 1.63581e+00  1.09125e+00 1.39508e+00 
6.52542e-03 1.66070e+00  1.12356e+00 1.44777e+00 
6.66132e-03 1.68634e+00  1.15580e+00 1.50109e+00 
6.79722e-03 1.71269e+00  1.18796e+00 1.55501e+00 
6.93312e-03 1.73977e+00  1.22004e+00 1.60951e+00 
7.06901e-03 1.76754e+00  1.25202e+00 1.66458e+00 
7.20490e-03 1.79599e+00  1.28390e+00 1.72019e+00 
7.34079e-03 1.82511e+00  1.31568e+00 1.77632e+00 
7.47668e-03 1.85488e+00  1.34734e+00 1.83295e+00 
7.61257e-03 1.88528e+00  1.37890e+00 1.89007e+00 
7.74845e-03 1.91628e+00  1.41035e+00 1.94765e+00 
