4.29978e-06 2.74566e-06  1.64878e-07 1.64878e-07 
8.59955e-06 2.79511e-06  6.28845e-07 6.45449e-07 
1.28993e-05 2.91714e-06  1.32441e-06 1.41696e-06 
1.71991e-05 3.15813e-06  2.17073e-06 2.45378e-06 
2.14989e-05 3.56000e-06  3.08423e-06 3.72269e-06 
2.57987e-05 4.14676e-06  3.99658e-06 5.18495e-06 
3.00984e-05 4.91617e-06  4.86655e-06 6.79868e-06 
3.43982e-05 5.83894e-06  5.68336e-06 8.52132e-06 
3.86980e-05 6.86521e-06  6.46124e-06 1.03120e-05 
4.29977e-05 7.93598e-06  7.22818e-06 1.21338e-05 
4.72975e-05 8.99577e-06  8.01301e-06 1.39553e-05 
5.15973e-05 1.00028e-05  8.83505e-06 1.57520e-05 
5.58970e-05 1.09342e-05  9.69920e-06 1.75072e-05 
6.01968e-05 1.17856e-05  1.05972e-05 1.92116e-05 
6.44966e-05 1.25662e-05  1.15133e-05 2.08635e-05 
6.87963e-05 1.32916e-05  1.24319e-05 2.24674e-05 
7.30961e-05 1.39781e-05  1.33437e-05 2.40328e-05 
7.73959e-05 1.46383e-05  1.42481e-05 2.55727e-05 
8.16956e-05 1.52812e-05  1.51515e-05 2.71020e-05 
8.59954e-05 1.59137e-05  1.60637e-05 2.86356e-05 
9.02952e-05 1.65436e-05  1.69922e-05 3.01874e-05 
9.45949e-05 1.71811e-05  1.79392e-05 3.17684e-05 
9.88947e-05 1.78381e-05  1.89012e-05 3.33868e-05 
1.03194e-04 1.85266e-05  1.98712e-05 3.50469e-05 
1.07494e-04 1.92546e-05  2.08426e-05 3.67493e-05 
1.11794e-04 2.00236e-05  2.18131e-05 3.84911e-05 
1.16094e-04 2.08278e-05  2.27858e-05 4.02670e-05 
1.20393e-04 2.16557e-05  2.37681e-05 4.20695e-05 
1.24693e-04 2.24937e-05  2.47681e-05 4.38903e-05 
1.28993e-04 2.33306e-05  2.57902e-05 4.57212e-05 
1.33293e-04 2.41611e-05  2.68322e-05 4.75548e-05 
1.37593e-04 2.49860e-05  2.78852e-05 4.93854e-05 
1.41892e-04 2.58111e-05  2.89369e-05 5.12093e-05 
1.46192e-04 2.66429e-05  2.99763e-05 5.30250e-05 
1.50492e-04 2.74847e-05  3.09991e-05 5.48331e-05 
1.54792e-04 2.83332e-05  3.20110e-05 5.66363e-05 
1.59091e-04 2.91795e-05  3.30267e-05 5.84385e-05 
1.63391e-04 3.00109e-05  3.40656e-05 6.02443e-05 
1.67691e-04 3.08168e-05  3.51450e-05 6.20586e-05 
1.71991e-04 3.15931e-05  3.62730e-05 6.38856e-05 
1.76290e-04 3.23457e-05  3.74446e-05 6.57288e-05 
1.80590e-04 3.30900e-05  3.86413e-05 6.75898e-05 
1.84890e-04 3.38472e-05  3.98366e-05 6.94692e-05 
1.89190e-04 3.46374e-05  4.10040e-05 7.13659e-05 
1.93489e-04 3.54734e-05  4.21257e-05 7.32774e-05 
1.97789e-04 3.63554e-05  4.31993e-05 7.52006e-05 
2.02089e-04 3.72704e-05  4.42388e-05 7.71318e-05 
2.06389e-04 3.81953e-05  4.52710e-05 7.90677e-05 
2.10689e-04 3.91039e-05  4.63272e-05 8.10052e-05 
2.14988e-04 3.99749e-05  4.74335e-05 8.29426e-05 
2.19288e-04 4.07991e-05  4.86020e-05 8.48794e-05 
2.23588e-04 4.15817e-05  4.98275e-05 8.68166e-05 
2.27888e-04 4.23420e-05  5.10886e-05 8.87563e-05 
2.32187e-04 4.31072e-05  5.23548e-05 9.07020e-05 
2.36487e-04 4.39049e-05  5.35958e-05 9.26576e-05 
2.40787e-04 4.47551e-05  5.47903e-05 9.46273e-05 
2.45087e-04 4.56656e-05  5.59326e-05 9.66148e-05 
2.49386e-04 4.66306e-05  5.70328e-05 9.86230e-05 
2.53686e-04 4.76333e-05  5.81132e-05 1.00653e-04 
2.57986e-04 4.86516e-05  5.92005e-05 1.02705e-04 
2.62286e-04 4.96649e-05  6.03177e-05 1.04777e-04 
2.66585e-04 5.06590e-05  6.14771e-05 1.06865e-04 
2.70885e-04 5.16288e-05  6.26782e-05 1.08963e-04 
2.75185e-04 5.25774e-05  6.39084e-05 1.11066e-04 
2.79485e-04 5.35132e-05  6.51483e-05 1.13168e-04 
2.83784e-04 5.44456e-05  6.63782e-05 1.15262e-04 
2.88084e-04 5.53811e-05  6.75831e-05 1.17344e-04 
2.92384e-04 5.63218e-05  6.87570e-05 1.19409e-04 
2.96684e-04 5.72654e-05  6.99025e-05 1.21459e-04 
3.00984e-04 5.82076e-05  7.10288e-05 1.23493e-04 
3.05283e-04 5.91446e-05  7.21476e-05 1.25517e-04 
3.09583e-04 6.00765e-05  7.32698e-05 1.27536e-04 
3.13883e-04 6.10074e-05  7.44022e-05 1.29560e-04 
3.18183e-04 6.19461e-05  7.55477e-05 1.31596e-04 
3.22482e-04 6.29032e-05  7.67057e-05 1.33657e-04 
3.26782e-04 6.38892e-05  7.78742e-05 1.35750e-04 
3.31082e-04 6.49121e-05  7.90516e-05 1.37884e-04 
3.35382e-04 6.59757e-05  8.02379e-05 1.40064e-04 
3.39681e-04 6.70791e-05  8.14346e-05 1.42293e-04 
3.43981e-04 6.82176e-05  8.26437e-05 1.44570e-04 
3.48281e-04 6.93825e-05  8.38676e-05 1.46890e-04 
3.52581e-04 7.05625e-05  8.51082e-05 1.49246e-04 
