4.29978e-06 4.79327e-05  1.23056e-07 1.23056e-07 
8.59955e-06 4.78198e-05  3.97909e-07 3.98233e-07 
1.28993e-05 4.76845e-05  7.30274e-07 7.31472e-07 
1.71991e-05 4.75277e-05  1.11974e-06 1.12263e-06 
2.14989e-05 4.73505e-05  1.56584e-06 1.57155e-06 
2.57987e-05 4.71539e-05  2.06804e-06 2.07807e-06 
3.00984e-05 4.69393e-05  2.62576e-06 2.64198e-06 
3.43982e-05 4.67081e-05  3.23836e-06 3.26310e-06 
3.86980e-05 4.64617e-05  3.90515e-06 3.94121e-06 
4.29978e-05 4.62017e-05  4.62539e-06 4.67607e-06 
4.72975e-05 4.59300e-05  5.39828e-06 5.46743e-06 
5.15973e-05 4.56483e-05  6.22299e-06 6.31505e-06 
5.58971e-05 4.53586e-05  7.09863e-06 7.21863e-06 
6.01969e-05 4.50628e-05  8.02428e-06 8.17791e-06 
6.44966e-05 4.47631e-05  8.99896e-06 9.19256e-06 
6.87964e-05 4.44617e-05  1.00217e-05 1.02623e-05 
7.30962e-05 4.41607e-05  1.10914e-05 1.13867e-05 
7.73960e-05 4.38625e-05  1.22070e-05 1.25656e-05 
8.16957e-05 4.35694e-05  1.33675e-05 1.37985e-05 
8.59955e-05 4.32839e-05  1.45717e-05 1.50851e-05 
9.02953e-05 4.30083e-05  1.58184e-05 1.64250e-05 
9.45950e-05 4.27452e-05  1.71064e-05 1.78177e-05 
9.88948e-05 4.24970e-05  1.84347e-05 1.92630e-05 
1.03195e-04 4.22662e-05  1.98018e-05 2.07604e-05 
1.07494e-04 4.20554e-05  2.12067e-05 2.23094e-05 
1.11794e-04 4.18670e-05  2.26481e-05 2.39097e-05 
1.16094e-04 4.17036e-05  2.41247e-05 2.55607e-05 
1.20394e-04 4.15677e-05  2.56353e-05 2.72620e-05 
1.24693e-04 4.14618e-05  2.71786e-05 2.90132e-05 
1.28993e-04 4.13882e-05  2.87534e-05 3.08138e-05 
1.33293e-04 4.13493e-05  3.03584e-05 3.26632e-05 
1.37593e-04 4.13477e-05  3.19924e-05 3.45610e-05 
1.41893e-04 4.13854e-05  3.36540e-05 3.65067e-05 
1.46192e-04 4.14649e-05  3.53422e-05 3.84998e-05 
1.50492e-04 4.15883e-05  3.70556e-05 4.05397e-05 
1.54792e-04 4.17577e-05  3.87930e-05 4.26259e-05 
1.59092e-04 4.19751e-05  4.05533e-05 4.47579e-05 
1.63391e-04 4.22426e-05  4.23352e-05 4.69351e-05 
1.67691e-04 4.25619e-05  4.41377e-05 4.91570e-05 
1.71991e-04 4.29349e-05  4.59595e-05 5.14230e-05 
1.76291e-04 4.33633e-05  4.77995e-05 5.37326e-05 
1.80590e-04 4.38486e-05  4.96568e-05 5.60851e-05 
1.84890e-04 4.43924e-05  5.15301e-05 5.84800e-05 
1.89190e-04 4.49959e-05  5.34184e-05 6.09167e-05 
1.93490e-04 4.56605e-05  5.53209e-05 6.33946e-05 
1.97790e-04 4.63872e-05  5.72364e-05 6.59132e-05 
2.02089e-04 4.71772e-05  5.91640e-05 6.84718e-05 
2.06389e-04 4.80312e-05  6.11028e-05 7.10698e-05 
2.10689e-04 4.89502e-05  6.30520e-05 7.37067e-05 
2.14989e-04 4.99347e-05  6.50107e-05 7.63817e-05 
2.19288e-04 5.09852e-05  6.69780e-05 7.90944e-05 
2.23588e-04 5.21023e-05  6.89533e-05 8.18440e-05 
2.27888e-04 5.32860e-05  7.09357e-05 8.46300e-05 
2.32188e-04 5.45366e-05  7.29245e-05 8.74518e-05 
2.36487e-04 5.58541e-05  7.49192e-05 9.03087e-05 
2.40787e-04 5.72384e-05  7.69190e-05 9.32000e-05 
2.45087e-04 5.86892e-05  7.89233e-05 9.61253e-05 
2.49387e-04 6.02062e-05  8.09317e-05 9.90838e-05 
2.53687e-04 6.17889e-05  8.29435e-05 1.02075e-04 
2.57986e-04 6.34366e-05  8.49583e-05 1.05098e-04 
2.62286e-04 6.51486e-05  8.69756e-05 1.08153e-04 
2.66586e-04 6.69241e-05  8.89950e-05 1.11238e-04 
2.70886e-04 6.87621e-05  9.10161e-05 1.14353e-04 
2.75185e-04 7.06615e-05  9.30386e-05 1.17498e-04 
2.79485e-04 7.26212e-05  9.50621e-05 1.20672e-04 
2.83785e-04 7.46398e-05  9.70863e-05 1.23874e-04 
2.88085e-04 7.67159e-05  9.91109e-05 1.27104e-04 
2.92384e-04 7.88481e-05  1.01136e-04 1.30360e-04 
2.96684e-04 8.10347e-05  1.03161e-04 1.33644e-04 
3.00984e-04 8.32741e-05  1.05186e-04 1.36953e-04 
3.05284e-04 8.55645e-05  1.07210e-04 1.40287e-04 
3.09584e-04 8.79040e-05  1.09234e-04 1.43645e-04 
3.13883e-04 9.02908e-05  1.11258e-04 1.47028e-04 
3.18183e-04 9.27228e-05  1.13281e-04 1.50434e-04 
3.22483e-04 9.51980e-05  1.15303e-04 1.53863e-04 
3.26783e-04 9.77143e-05  1.17324e-04 1.57314e-04 
3.31082e-04 1.00269e-04  1.19345e-04 1.60787e-04 
3.35382e-04 1.02861e-04  1.21365e-04 1.64281e-04 
3.39682e-04 1.05487e-04  1.23384e-04 1.67795e-04 
3.43982e-04 1.08146e-04  1.25403e-04 1.71329e-04 
