2.80526e-05 2.39589e-04  2.04115e-04 2.04115e-04 
5.60752e-05 4.36869e-04  5.06832e-04 7.00179e-04 
8.41027e-05 7.47417e-04  7.78512e-04 1.28645e-03 
1.12130e-04 1.03800e-03  1.05425e-03 1.85264e-03 
1.40158e-04 1.29469e-03  1.32794e-03 2.39069e-03 
1.68185e-04 1.44271e-03  1.70401e-03 2.92683e-03 
1.96209e-04 1.36013e-03  2.33243e-03 3.46623e-03 
2.24222e-04 1.13246e-03  3.10701e-03 3.99880e-03 
2.52233e-04 9.41711e-04  3.82281e-03 4.52997e-03 
2.80251e-04 7.96257e-04  4.53144e-03 5.09554e-03 
3.08264e-04 7.18484e-04  5.27110e-03 5.76141e-03 
3.36281e-04 7.34088e-04  6.09827e-03 6.61188e-03 
3.64293e-04 8.26772e-04  7.10833e-03 7.71101e-03 
3.92296e-04 1.04575e-03  8.23999e-03 9.05156e-03 
4.20294e-04 1.43206e-03  9.34327e-03 1.05412e-02 
4.48295e-04 1.87628e-03  1.04068e-02 1.20556e-02 
4.76299e-04 2.22652e-03  1.15161e-02 1.35175e-02 
5.04298e-04 2.43730e-03  1.27117e-02 1.49280e-02 
5.32291e-04 2.50819e-03  1.40438e-02 1.63296e-02 
5.60280e-04 2.50056e-03  1.54831e-02 1.77534e-02 
5.88267e-04 2.52556e-03  1.69137e-02 1.92076e-02 
6.16256e-04 2.62528e-03  1.83074e-02 2.07062e-02 
6.44244e-04 2.77854e-03  1.97346e-02 2.22907e-02 
6.72229e-04 2.98339e-03  2.12545e-02 2.40173e-02 
7.00210e-04 3.25223e-03  2.28928e-02 2.59243e-02 
7.28188e-04 3.59345e-03  2.46385e-02 2.80063e-02 
7.56163e-04 4.02188e-03  2.64183e-02 3.02122e-02 
7.84137e-04 4.49268e-03  2.81962e-02 3.24648e-02 
8.12105e-04 4.89119e-03  3.00229e-02 3.46937e-02 
8.40071e-04 5.13446e-03  3.19519e-02 3.68671e-02 
8.68033e-04 5.21989e-03  3.40007e-02 3.90010e-02 
8.95996e-04 5.20251e-03  3.61582e-02 4.11384e-02 
9.23957e-04 5.16284e-03  3.83811e-02 4.33194e-02 
9.51919e-04 5.15422e-03  4.06361e-02 4.55678e-02 
9.79876e-04 5.17134e-03  4.29496e-02 4.79015e-02 
1.00783e-03 5.20007e-03  4.53641e-02 5.03455e-02 
1.03578e-03 5.25431e-03  4.78901e-02 5.29250e-02 
1.06374e-03 5.34985e-03  5.05151e-02 5.56440e-02 
1.09169e-03 5.48125e-03  5.32124e-02 5.84713e-02 
1.11964e-03 5.61082e-03  5.59608e-02 6.13504e-02 
1.14758e-03 5.66822e-03  5.87749e-02 6.42243e-02 
1.17553e-03 5.59141e-03  6.16871e-02 6.70603e-02 
1.20347e-03 5.37313e-03  6.47058e-02 6.98598e-02 
1.23141e-03 5.05602e-03  6.78157e-02 7.26513e-02 
1.25935e-03 4.70202e-03  7.09941e-02 7.54745e-02 
1.28729e-03 4.36383e-03  7.42219e-02 7.83645e-02 
1.31522e-03 4.06108e-03  7.75042e-02 8.13458e-02 
1.34315e-03 3.78819e-03  8.08646e-02 8.44342e-02 
1.37108e-03 3.54499e-03  8.43144e-02 8.76402e-02 
1.39901e-03 3.34308e-03  8.78439e-02 9.09667e-02 
1.42693e-03 3.18737e-03  9.14348e-02 9.44008e-02 
1.45485e-03 3.06273e-03  9.50698e-02 9.79110e-02 
1.48277e-03 2.93265e-03  9.87451e-02 1.01457e-01 
1.51069e-03 2.75492e-03  1.02474e-01 1.05009e-01 
1.53861e-03 2.51044e-03  1.06268e-01 1.08559e-01 
1.56652e-03 2.21472e-03  1.10131e-01 1.12126e-01 
1.59443e-03 1.90375e-03  1.14057e-01 1.15740e-01 
1.62234e-03 1.61538e-03  1.18037e-01 1.19432e-01 
1.65024e-03 1.37602e-03  1.22069e-01 1.23225e-01 
1.67814e-03 1.19508e-03  1.26157e-01 1.27133e-01 
1.70603e-03 1.07206e-03  1.30307e-01 1.31160e-01 
1.73393e-03 1.00472e-03  1.34520e-01 1.35305e-01 
1.76183e-03 9.86518e-04  1.38792e-01 1.39559e-01 
1.78972e-03 1.00131e-03  1.43120e-01 1.43902e-01 
1.81761e-03 1.02362e-03  1.47507e-01 1.48312e-01 
1.84549e-03 1.02513e-03  1.51958e-01 1.52765e-01 
