4.29978e-09 4.79352e-11  1.17071e-13 1.17071e-13 
8.59955e-09 4.78271e-11  3.80005e-13 3.80300e-13 
1.28993e-08 4.76965e-11  7.00541e-13 7.01642e-13 
1.71991e-08 4.75443e-11  1.07828e-12 1.08096e-12 
2.14989e-08 4.73715e-11  1.51278e-12 1.51811e-12 
2.57987e-08 4.71791e-11  2.00352e-12 2.01292e-12 
3.00984e-08 4.69683e-11  2.54992e-12 2.56521e-12 
3.43982e-08 4.67407e-11  3.15137e-12 3.17478e-12 
3.86980e-08 4.64976e-11  3.80719e-12 3.84143e-12 
4.29978e-08 4.62407e-11  4.51665e-12 4.56492e-12 
4.72975e-08 4.59716e-11  5.27896e-12 5.34503e-12 
5.15973e-08 4.56921e-11  6.09330e-12 6.18148e-12 
5.58971e-08 4.54043e-11  6.95880e-12 7.07403e-12 
6.01969e-08 4.51100e-11  7.87454e-12 8.02237e-12 
6.44966e-08 4.48114e-11  8.83956e-12 9.02621e-12 
6.87964e-08 4.45106e-11  9.85288e-12 1.00853e-11 
7.30962e-08 4.42098e-11  1.09134e-11 1.11992e-11 
7.73960e-08 4.39114e-11  1.20202e-11 1.23676e-11 
8.16958e-08 4.36176e-11  1.31721e-11 1.35902e-11 
8.59955e-08 4.33309e-11  1.43679e-11 1.48667e-11 
9.02953e-08 4.30537e-11  1.56065e-11 1.61965e-11 
9.45951e-08 4.27885e-11  1.68868e-11 1.75795e-11 
9.88949e-08 4.25378e-11  1.82076e-11 1.90151e-11 
1.03195e-07 4.23040e-11  1.95676e-11 2.05029e-11 
1.07494e-07 4.20897e-11  2.09656e-11 2.20426e-11 
1.11794e-07 4.18974e-11  2.24004e-11 2.36336e-11 
1.16094e-07 4.17297e-11  2.38707e-11 2.52756e-11 
1.20394e-07 4.15891e-11  2.53752e-11 2.69681e-11 
1.24694e-07 4.14779e-11  2.69128e-11 2.87105e-11 
1.28993e-07 4.13987e-11  2.84822e-11 3.05026e-11 
1.33293e-07 4.13540e-11  3.00820e-11 3.23436e-11 
1.37593e-07 4.13460e-11  3.17111e-11 3.42333e-11 
1.41893e-07 4.13771e-11  3.33681e-11 3.61710e-11 
1.46192e-07 4.14496e-11  3.50519e-11 3.81562e-11 
1.50492e-07 4.15657e-11  3.67612e-11 4.01885e-11 
1.54792e-07 4.17275e-11  3.84948e-11 4.22672e-11 
1.59092e-07 4.19371e-11  4.02515e-11 4.43919e-11 
1.63392e-07 4.21966e-11  4.20300e-11 4.65620e-11 
1.67691e-07 4.25077e-11  4.38293e-11 4.87769e-11 
1.71991e-07 4.28723e-11  4.56482e-11 5.10361e-11 
1.76291e-07 4.32922e-11  4.74855e-11 5.33391e-11 
1.80591e-07 4.37689e-11  4.93402e-11 5.56852e-11 
1.84890e-07 4.43039e-11  5.12111e-11 5.80738e-11 
1.89190e-07 4.48987e-11  5.30973e-11 6.05045e-11 
1.93490e-07 4.55545e-11  5.49977e-11 6.29765e-11 
1.97790e-07 4.62725e-11  5.69113e-11 6.54893e-11 
2.02089e-07 4.70538e-11  5.88372e-11 6.80424e-11 
2.06389e-07 4.78993e-11  6.07745e-11 7.06350e-11 
2.10689e-07 4.88098e-11  6.27222e-11 7.32666e-11 
2.14989e-07 4.97860e-11  6.46795e-11 7.59366e-11 
2.19289e-07 5.08284e-11  6.66455e-11 7.86444e-11 
2.23588e-07 5.19375e-11  6.86196e-11 8.13893e-11 
2.27888e-07 5.31136e-11  7.06009e-11 8.41707e-11 
2.32188e-07 5.43568e-11  7.25887e-11 8.69880e-11 
2.36488e-07 5.56672e-11  7.45823e-11 8.98406e-11 
2.40787e-07 5.70447e-11  7.65811e-11 9.27278e-11 
