1.42052e-07 4.08743e-11  3.47913e-11 3.47913e-11 
2.84104e-07 7.45528e-11  8.65047e-11 1.19499e-10 
4.26156e-07 1.27619e-10  1.32889e-10 2.19643e-10 
5.68207e-07 1.77255e-10  1.79973e-10 3.16338e-10 
7.10259e-07 2.21075e-10  2.26706e-10 4.08207e-10 
8.52311e-07 2.46275e-10  2.91002e-10 4.99760e-10 
9.94362e-07 2.32039e-10  3.98472e-10 5.91881e-10 
1.13641e-06 1.93109e-10  5.30837e-10 6.82862e-10 
1.27846e-06 1.60606e-10  6.53033e-10 7.73618e-10 
1.42052e-06 1.35841e-10  7.74056e-10 8.70279e-10 
1.56257e-06 1.22687e-10  9.00423e-10 9.84183e-10 
1.70462e-06 1.25480e-10  1.04185e-09 1.12972e-09 
1.84667e-06 1.41468e-10  1.21462e-09 1.31783e-09 
1.98872e-06 1.79219e-10  1.40799e-09 1.54723e-09 
2.13077e-06 2.45612e-10  1.59628e-09 1.80194e-09 
2.27282e-06 3.21552e-10  1.77786e-09 2.06060e-09 
2.41487e-06 3.81118e-10  1.96742e-09 2.31011e-09 
2.55693e-06 4.16796e-10  2.17181e-09 2.55090e-09 
2.69898e-06 4.28633e-10  2.39968e-09 2.79034e-09 
2.84103e-06 4.27375e-10  2.64560e-09 3.03365e-09 
2.98308e-06 4.32014e-10  2.88971e-09 3.28219e-09 
3.12513e-06 4.49425e-10  3.12756e-09 3.53837e-09 
3.26718e-06 4.75878e-10  3.37146e-09 3.80940e-09 
3.40923e-06 5.11161e-10  3.63140e-09 4.10492e-09 
3.55128e-06 5.57401e-10  3.91162e-09 4.43135e-09 
3.69333e-06 6.16063e-10  4.21006e-09 4.78759e-09 
3.83538e-06 6.89603e-10  4.51402e-09 5.16474e-09 
3.97743e-06 7.69896e-10  4.81779e-09 5.54948e-09 
