5.61052e-05 4.80780e-04  4.08230e-04 4.08230e-04 
1.12150e-04 8.76233e-04  9.95399e-04 1.39376e-03 
1.68205e-04 1.27424e-03  1.70439e-03 2.54251e-03 
2.24246e-04 1.12080e-03  3.01922e-03 3.67206e-03 
2.80266e-04 8.76668e-04  4.52457e-03 4.92659e-03 
3.36289e-04 9.48792e-04  6.09893e-03 6.60808e-03 
3.92307e-04 1.19389e-03  8.14781e-03 8.88292e-03 
4.48303e-04 1.69207e-03  1.04165e-02 1.16369e-02 
5.04298e-04 2.32211e-03  1.27170e-02 1.45956e-02 
5.60292e-04 2.64887e-03  1.53760e-02 1.75736e-02 
6.16265e-04 2.80238e-03  1.82878e-02 2.06250e-02 
6.72240e-04 3.15240e-03  2.12630e-02 2.39715e-02 
7.28208e-04 3.67434e-03  2.45505e-02 2.77818e-02 
7.84160e-04 4.31412e-03  2.81600e-02 3.20197e-02 
8.40108e-04 4.98148e-03  3.19449e-02 3.64869e-02 
8.96055e-04 5.35861e-03  3.60807e-02 4.10033e-02 
9.51980e-04 5.39916e-03  4.06055e-02 4.55573e-02 
1.00790e-03 5.36848e-03  4.53712e-02 5.03005e-02 
1.06381e-03 5.35977e-03  5.04680e-02 5.53937e-02 
1.11971e-03 5.35341e-03  5.59522e-02 6.08626e-02 
1.17560e-03 5.31961e-03  6.17082e-02 6.65889e-02 
1.23149e-03 5.08342e-03  6.77761e-02 7.24253e-02 
1.28737e-03 4.56682e-03  7.42046e-02 7.83293e-02 
1.34324e-03 3.95117e-03  8.08882e-02 8.43974e-02 
1.39910e-03 3.39158e-03  8.78185e-02 9.07722e-02 
1.45495e-03 2.92593e-03  9.50359e-02 9.75188e-02 
1.51079e-03 2.55956e-03  1.02471e-01 1.04587e-01 
1.56662e-03 2.20418e-03  1.10113e-01 1.11878e-01 
1.62244e-03 1.77717e-03  1.18011e-01 1.19347e-01 
1.67824e-03 1.35811e-03  1.26134e-01 1.27050e-01 
1.73404e-03 1.05921e-03  1.34478e-01 1.35100e-01 
1.78983e-03 9.07712e-04  1.43093e-01 1.43562e-01 
1.84561e-03 8.87601e-04  1.51965e-01 1.52413e-01 
1.90137e-03 9.23382e-04  1.61082e-01 1.61570e-01 
1.95713e-03 9.16588e-04  1.70489e-01 1.70971e-01 
2.01288e-03 8.66909e-04  1.80197e-01 1.80628e-01 
2.06862e-03 8.39591e-04  1.90206e-01 1.90613e-01 
2.12435e-03 8.67143e-04  2.00551e-01 2.00986e-01 
2.18007e-03 9.48320e-04  2.11230e-01 2.11745e-01 
2.23578e-03 1.04513e-03  2.22221e-01 2.22833e-01 
2.29148e-03 1.09666e-03  2.33532e-01 2.34195e-01 
2.34717e-03 1.10250e-03  2.45158e-01 2.45825e-01 
2.40286e-03 1.12866e-03  2.57072e-01 2.57765e-01 
2.45854e-03 1.22954e-03  2.69267e-01 2.70061e-01 
