3.36631e-05 6.90912e-02  4.46420e-02 4.46420e-02 
6.72238e-05 1.04145e-01  1.21366e-01 1.55907e-01 
1.00786e-04 1.64840e-01  2.03963e-01 2.98149e-01 
1.34359e-04 2.45475e-01  2.78054e-01 4.53537e-01 
1.67938e-04 3.38168e-01  3.47214e-01 6.15111e-01 
2.01515e-04 4.37444e-01  4.08286e-01 7.75691e-01 
2.35097e-04 5.36471e-01  4.61813e-01 9.28348e-01 
2.68689e-04 6.32421e-01  5.09676e-01 1.07252e+00 
3.02290e-04 7.28114e-01  5.54145e-01 1.21183e+00 
3.35898e-04 8.33709e-01  5.83724e-01 1.34690e+00 
3.69508e-04 9.49875e-01  5.94941e-01 1.47464e+00 
4.03123e-04 1.06911e+00  5.93354e-01 1.59338e+00 
4.36741e-04 1.17731e+00  5.94821e-01 1.70440e+00 
4.70358e-04 1.25804e+00  6.18512e-01 1.80916e+00 
5.03972e-04 1.30777e+00  6.68628e-01 1.90811e+00 
5.37584e-04 1.34075e+00  7.30836e-01 2.00190e+00 
5.71202e-04 1.37734e+00  7.83582e-01 2.09055e+00 
6.04825e-04 1.42621e+00  8.15130e-01 2.17097e+00 
6.38458e-04 1.48263e+00  8.24972e-01 2.23775e+00 
6.72092e-04 1.53643e+00  8.20006e-01 2.28705e+00 
7.05729e-04 1.57999e+00  8.07573e-01 2.31873e+00 
7.39368e-04 1.60853e+00  7.95174e-01 2.33485e+00 
7.73010e-04 1.62524e+00  7.82562e-01 2.33858e+00 
8.06645e-04 1.64143e+00  7.63827e-01 2.33568e+00 
8.40273e-04 1.67099e+00  7.33634e-01 2.33534e+00 
8.73905e-04 1.72020e+00  6.96065e-01 2.34792e+00 
9.07538e-04 1.78399e+00  6.65023e-01 2.38159e+00 
9.41158e-04 1.85420e+00  6.53897e-01 2.44073e+00 
9.74764e-04 1.93074e+00  6.63178e-01 2.52568e+00 
1.00835e-03 2.02246e+00  6.79059e-01 2.63220e+00 
1.04193e-03 2.13698e+00  6.84492e-01 2.75167e+00 
1.07551e-03 2.27134e+00  6.71410e-01 2.87320e+00 
1.10910e-03 2.41278e+00  6.42747e-01 2.98649e+00 
1.14269e-03 2.54593e+00  6.06103e-01 3.08355e+00 
