2.40451e-05 6.57103e-04  2.35339e-04 2.35339e-04 
4.80836e-05 7.90769e-04  7.37652e-04 8.61185e-04 
7.21216e-05 1.10025e-03  1.30671e-03 1.73814e-03 
9.61598e-05 1.53823e-03  1.89410e-03 2.76081e-03 
1.20199e-04 2.07783e-03  2.45291e-03 3.85836e-03 
1.44238e-04 2.70091e-03  2.96430e-03 4.99486e-03 
1.68277e-04 3.37231e-03  3.44875e-03 6.15042e-03 
1.92316e-04 4.07600e-03  3.89960e-03 7.30427e-03 
2.16355e-04 4.79867e-03  4.30401e-03 8.43246e-03 
2.40394e-04 5.51329e-03  4.67346e-03 9.51732e-03 
2.64434e-04 6.20690e-03  5.01804e-03 1.05557e-02 
2.88475e-04 6.88832e-03  5.33903e-03 1.15573e-02 
3.12516e-04 7.58669e-03  5.61945e-03 1.25334e-02 
3.36557e-04 8.34313e-03  5.81780e-03 1.34870e-02 
3.60599e-04 9.16850e-03  5.91430e-03 1.44108e-02 
3.84640e-04 1.00281e-02  5.93515e-03 1.52941e-02 
4.08682e-04 1.08727e-02  5.92395e-03 1.61312e-02 
4.32724e-04 1.16471e-02  5.93806e-03 1.69245e-02 
4.56766e-04 1.22908e-02  6.04863e-03 1.76817e-02 
4.80807e-04 1.27709e-02  6.29728e-03 1.84096e-02 
5.04849e-04 1.31045e-02  6.66861e-03 1.91111e-02 
5.28891e-04 1.33468e-02  7.10559e-03 1.97855e-02 
5.52932e-04 1.35703e-02  7.53094e-03 2.04300e-02 
5.76975e-04 1.38379e-02  7.87503e-03 2.10397e-02 
6.01017e-04 1.41749e-02  8.10389e-03 2.16057e-02 
6.25060e-04 1.45683e-02  8.21752e-03 2.21140e-02 
6.49103e-04 1.49832e-02  8.23427e-03 2.25477e-02 
6.73146e-04 1.53764e-02  8.18392e-03 2.28926e-02 
6.97190e-04 1.57108e-02  8.09823e-03 2.31429e-02 
7.21233e-04 1.59674e-02  8.00136e-03 2.33036e-02 
7.45276e-04 1.61469e-02  7.90721e-03 2.33889e-02 
7.69320e-04 1.62721e-02  7.81284e-03 2.34183e-02 
7.93363e-04 1.63867e-02  7.69585e-03 2.34143e-02 
8.17407e-04 1.65400e-02  7.53155e-03 2.34030e-02 
8.41450e-04 1.67688e-02  7.31301e-03 2.34144e-02 
8.65492e-04 1.70896e-02  7.05772e-03 2.34826e-02 
8.89535e-04 1.74954e-02  6.80684e-03 2.36411e-02 
9.13578e-04 1.79612e-02  6.61443e-03 2.39173e-02 
9.37620e-04 1.84615e-02  6.52282e-03 2.43266e-02 
9.61661e-04 1.89902e-02  6.54007e-03 2.48706e-02 
9.85701e-04 1.95661e-02  6.63461e-03 2.55373e-02 
1.00974e-03 2.02251e-02  6.74661e-03 2.63044e-02 
1.03378e-03 2.09995e-02  6.81181e-03 2.71413e-02 
