5.72372e-05 4.51445e+05  3.73448e+05 3.73448e+05 
1.14474e-04 8.59727e+05  7.97055e+05 1.22439e+06 
1.71577e-04 1.17149e+06  1.36210e+06 2.11977e+06 
2.28492e-04 1.07579e+06  2.30485e+06 2.95512e+06 
2.85308e-04 8.85003e+05  3.46303e+06 3.93003e+06 
3.42299e-04 7.85482e+05  4.88893e+06 5.25341e+06 
3.99208e-04 8.23871e+05  6.53605e+06 6.94478e+06 
4.56195e-04 8.59011e+05  8.47240e+06 8.92069e+06 
5.13194e-04 8.08030e+05  1.07342e+07 1.11201e+07 
5.70108e-04 8.03659e+05  1.31624e+07 1.35471e+07 
6.26981e-04 8.41879e+05  1.57906e+07 1.62263e+07 
6.83915e-04 7.97987e+05  1.87770e+07 1.91593e+07 
7.40799e-04 7.56083e+05  2.19854e+07 2.23220e+07 
7.97697e-04 7.47449e+05  2.53731e+07 2.57196e+07 
8.54576e-04 6.53495e+05  2.91466e+07 2.93860e+07 
9.11412e-04 6.40279e+05  3.31410e+07 3.33631e+07 
9.68299e-04 7.85742e+05  3.72860e+07 3.76623e+07 
1.02511e-03 9.44962e+05  4.16805e+07 4.22180e+07 
1.08183e-03 9.98624e+05  4.63544e+07 4.69461e+07 
1.13858e-03 9.09317e+05  5.13151e+07 5.18149e+07 
1.19526e-03 7.54293e+05  5.65130e+07 5.68567e+07 
1.25196e-03 6.53048e+05  6.19312e+07 6.21748e+07 
1.30867e-03 6.69347e+05  6.75810e+07 6.78433e+07 
1.36538e-03 7.65357e+05  7.34852e+07 7.38418e+07 
1.42206e-03 8.53959e+05  7.96169e+07 8.00635e+07 
1.47870e-03 8.34753e+05  8.59872e+07 8.64170e+07 
1.53533e-03 7.11181e+05  9.26232e+07 9.29267e+07 
1.59198e-03 6.23143e+05  9.94935e+07 9.97120e+07 
1.64859e-03 6.46327e+05  1.06618e+08 1.06859e+08 
1.70517e-03 7.80550e+05  1.13974e+08 1.14344e+08 
1.76171e-03 9.62868e+05  1.21494e+08 1.22053e+08 
1.81823e-03 1.03170e+06  1.29272e+08 1.29904e+08 
1.87475e-03 9.44255e+05  1.37358e+08 1.37896e+08 
1.93130e-03 8.16794e+05  1.45669e+08 1.46080e+08 
1.98780e-03 7.10395e+05  1.54183e+08 1.54489e+08 
2.04427e-03 6.36804e+05  1.62918e+08 1.63149e+08 
2.10074e-03 6.12659e+05  1.71869e+08 1.72078e+08 
2.15719e-03 6.25683e+05  1.81065e+08 1.81287e+08 
2.21359e-03 6.68900e+05  1.90509e+08 1.90775e+08 
2.27000e-03 7.22694e+05  2.00206e+08 2.00525e+08 
2.32638e-03 7.78800e+05  2.10131e+08 2.10503e+08 
2.38270e-03 8.42343e+05  2.20233e+08 2.20672e+08 
2.43903e-03 8.65694e+05  2.30571e+08 2.31035e+08 
2.49533e-03 8.38647e+05  2.41153e+08 2.41586e+08 
2.55164e-03 8.22005e+05  2.51936e+08 2.52355e+08 
2.60793e-03 8.15909e+05  2.62944e+08 2.63361e+08 
2.66421e-03 7.84428e+05  2.74232e+08 2.74614e+08 
2.72045e-03 7.55895e+05  2.85747e+08 2.86097e+08 
2.77669e-03 7.58862e+05  2.97438e+08 2.97792e+08 
2.83292e-03 7.65077e+05  3.09326e+08 3.09690e+08 
2.88914e-03 7.39649e+05  3.21464e+08 3.21804e+08 
2.94533e-03 6.97621e+05  3.33862e+08 3.34156e+08 
3.00148e-03 6.89433e+05  3.46472e+08 3.46757e+08 
3.05759e-03 7.13851e+05  3.59274e+08 3.59585e+08 
3.11368e-03 7.33934e+05  3.72290e+08 3.72621e+08 
3.16978e-03 7.52238e+05  3.85514e+08 3.85863e+08 
3.22587e-03 7.80053e+05  3.98951e+08 3.99331e+08 
3.28195e-03 8.06000e+05  4.12637e+08 4.13042e+08 
3.33801e-03 8.30268e+05  4.26560e+08 4.26986e+08 
3.39405e-03 8.53404e+05  4.40682e+08 4.41132e+08 
3.45007e-03 8.32482e+05  4.55005e+08 4.55437e+08 
3.50609e-03 7.43798e+05  4.69562e+08 4.69902e+08 
3.56208e-03 6.52274e+05  4.84311e+08 4.84559e+08 
3.61806e-03 6.19536e+05  4.99247e+08 4.99467e+08 
3.67403e-03 6.31758e+05  5.14429e+08 5.14662e+08 
3.72999e-03 6.75306e+05  5.29861e+08 5.30132e+08 
