5.72372e-05 4.50056e+05  3.76678e+05 3.76678e+05 
1.14065e-04 8.54901e+05  8.15635e+05 1.23562e+06 
1.70959e-04 1.20436e+06  1.36823e+06 2.15859e+06 
2.27809e-04 1.14875e+06  2.29962e+06 3.02236e+06 
2.84574e-04 9.67884e+05  3.44938e+06 3.99800e+06 
3.41281e-04 8.36070e+05  4.87008e+06 5.29324e+06 
3.97948e-04 7.60998e+05  6.62132e+06 6.96121e+06 
4.54464e-04 7.60888e+05  8.58320e+06 8.92507e+06 
5.11030e-04 7.58699e+05  1.07723e+07 1.11170e+07 
5.67435e-04 7.13960e+05  1.32278e+07 1.35226e+07 
6.23698e-04 7.07665e+05  1.58908e+07 1.61910e+07 
6.80001e-04 6.81617e+05  1.89094e+07 1.91841e+07 
7.36185e-04 6.74068e+05  2.22550e+07 2.25030e+07 
7.92290e-04 8.29786e+05  2.56832e+07 2.61028e+07 
8.48489e-04 9.49465e+05  2.93855e+07 2.99307e+07 
9.04636e-04 9.31722e+05  3.34341e+07 3.39503e+07 
9.60731e-04 9.10936e+05  3.76865e+07 3.81891e+07 
1.01675e-03 8.75354e+05  4.22179e+07 4.26879e+07 
1.07264e-03 8.01723e+05  4.70562e+07 4.74441e+07 
1.12845e-03 7.55228e+05  5.20852e+07 5.24261e+07 
1.18421e-03 7.15666e+05  5.72995e+07 5.76133e+07 
1.23987e-03 6.02123e+05  6.28514e+07 6.30479e+07 
1.29546e-03 5.38556e+05  6.86950e+07 6.88221e+07 
1.35103e-03 6.47889e+05  7.47521e+07 7.49933e+07 
1.40651e-03 8.45308e+05  8.10641e+07 8.15008e+07 
1.46196e-03 1.01131e+06  8.76165e+07 8.82194e+07 
1.51733e-03 1.04346e+06  9.43986e+07 9.50376e+07 
1.57264e-03 9.17484e+05  1.01463e+08 1.01976e+08 
1.62796e-03 7.43493e+05  1.08822e+08 1.09160e+08 
1.68314e-03 6.52319e+05  1.16433e+08 1.16677e+08 
1.73827e-03 6.97214e+05  1.24252e+08 1.24540e+08 
1.79330e-03 7.94149e+05  1.32268e+08 1.32662e+08 
1.84833e-03 7.73875e+05  1.40614e+08 1.40987e+08 
1.90323e-03 6.55863e+05  1.49260e+08 1.49505e+08 
1.95804e-03 6.25694e+05  1.58072e+08 1.58292e+08 
2.01289e-03 6.94314e+05  1.67131e+08 1.67428e+08 
2.06767e-03 7.77305e+05  1.76518e+08 1.76888e+08 
2.12235e-03 9.02581e+05  1.86108e+08 1.86602e+08 
2.17703e-03 1.01153e+06  1.95902e+08 1.96516e+08 
2.23169e-03 9.57852e+05  2.06032e+08 2.06589e+08 
2.28625e-03 7.95681e+05  2.16445e+08 2.16831e+08 
2.34075e-03 6.83945e+05  2.27030e+08 2.27309e+08 
2.39516e-03 6.45514e+05  2.37836e+08 2.38082e+08 
2.44948e-03 6.35417e+05  2.48946e+08 2.49180e+08 
2.50376e-03 6.61020e+05  2.60330e+08 2.60585e+08 
2.55793e-03 7.30221e+05  2.71910e+08 2.72237e+08 
2.61205e-03 7.81735e+05  2.83731e+08 2.84114e+08 
2.66614e-03 7.73822e+05  2.95852e+08 2.96223e+08 
2.72014e-03 7.81103e+05  3.08208e+08 3.08582e+08 
2.77413e-03 8.57922e+05  3.20761e+08 3.21218e+08 
2.82809e-03 9.09996e+05  3.33592e+08 3.34106e+08 
2.88198e-03 8.66788e+05  3.46744e+08 3.47206e+08 
2.93574e-03 8.02415e+05  3.60094e+08 3.60491e+08 
2.98948e-03 7.56985e+05  3.73641e+08 3.73999e+08 
3.04315e-03 6.87768e+05  3.87468e+08 3.87756e+08 
3.09673e-03 6.22956e+05  4.01563e+08 4.01783e+08 
3.15025e-03 6.18627e+05  4.15884e+08 4.16102e+08 
3.20373e-03 6.55658e+05  4.30461e+08 4.30716e+08 
3.25714e-03 7.22910e+05  4.45296e+08 4.45615e+08 
3.31050e-03 8.33437e+05  4.60345e+08 4.60776e+08 
3.36384e-03 9.28424e+05  4.75643e+08 4.76173e+08 
3.41715e-03 9.31168e+05  4.91235e+08 4.91766e+08 
3.47035e-03 8.59062e+05  5.07067e+08 5.07522e+08 
3.52350e-03 7.72290e+05  5.23107e+08 5.23479e+08 
3.57661e-03 6.91717e+05  5.39407e+08 5.39700e+08 
3.62965e-03 6.41846e+05  5.55977e+08 5.56217e+08 
3.68259e-03 6.72964e+05  5.72766e+08 5.73035e+08 
3.73543e-03 7.61559e+05  5.89753e+08 5.90116e+08 
3.78824e-03 7.96176e+05  6.07028e+08 6.07426e+08 
3.84100e-03 7.44827e+05  6.24596e+08 6.24936e+08 
3.89370e-03 7.04948e+05  6.42352e+08 6.42652e+08 
3.94635e-03 7.21712e+05  6.60305e+08 6.60631e+08 
3.99901e-03 7.43688e+05  6.78585e+08 6.78931e+08 
