2.44374e-05 5.46048e+01  9.51031e+00 9.51031e+00 1.34386e+00
2.68810e-04 1.70068e+02  4.36768e+02 6.52920e+02 9.99002e+00
5.13177e-04 9.60408e+01  1.50871e+03 1.59538e+03 1.82495e+01
7.57542e-04 1.04106e+02  3.22980e+03 3.32178e+03 2.42673e+01
1.00190e-03 1.00503e+02  5.63336e+03 5.71714e+03 2.72823e+01
1.24626e-03 1.27738e+02  8.67142e+03 8.81758e+03 3.25553e+01
1.49062e-03 1.00497e+02  1.23875e+04 1.24676e+04 3.65350e+01
1.73497e-03 9.54966e+01  1.67691e+04 1.68439e+04 4.03099e+01
1.97932e-03 1.26244e+02  2.18010e+04 2.19350e+04 4.49269e+01
2.22367e-03 1.02806e+02  2.75058e+04 2.75962e+04 4.74220e+01
2.46802e-03 9.40286e+01  3.38687e+04 3.39360e+04 5.11868e+01
2.71236e-03 1.18594e+02  4.08909e+04 4.10102e+04 5.46335e+01
2.95670e-03 1.04947e+02  4.85673e+04 4.86629e+04 5.83465e+01
3.20103e-03 1.02503e+02  5.69155e+04 5.69974e+04 6.22850e+01
3.44537e-03 1.13567e+02  6.59219e+04 6.60370e+04 6.46146e+01
3.68970e-03 1.05227e+02  7.55948e+04 7.56893e+04 6.93231e+01
3.93403e-03 9.86467e+01  8.59356e+04 8.60132e+04 7.05503e+01
4.17835e-03 1.05688e+02  9.69105e+04 9.70084e+04 7.48427e+01
4.42268e-03 1.18507e+02  1.08564e+05 1.08678e+05 7.72069e+01
4.66700e-03 9.42077e+01  1.20882e+05 1.20955e+05 7.95822e+01
4.91131e-03 1.19549e+02  1.33850e+05 1.33970e+05 8.26335e+01
5.15563e-03 9.36384e+01  1.47496e+05 1.47568e+05 8.48923e+01
5.39994e-03 1.13575e+02  1.61787e+05 1.61897e+05 8.78781e+01
5.64425e-03 1.06388e+02  1.76741e+05 1.76836e+05 9.01450e+01
5.88855e-03 9.48093e+01  1.92365e+05 1.92438e+05 9.34360e+01
6.13285e-03 1.18871e+02  2.08634e+05 2.08751e+05 9.56240e+01
6.37715e-03 1.00850e+02  2.25569e+05 2.25661e+05 9.79690e+01
