5.61052e-05 6.33537e+05  4.02905e+05 4.02905e+05 3.32935e+04
1.11812e-04 9.61382e+05  1.07227e+06 1.40734e+06 5.65835e+04
1.67522e-04 1.44075e+06  1.75613e+06 2.66750e+06 6.95314e+04
2.23327e-04 1.67470e+06  2.78476e+06 3.97211e+06 9.53904e+04
2.79006e-04 1.60073e+06  4.22537e+06 5.30231e+06 1.13122e+05
3.34601e-04 1.41454e+06  5.95542e+06 6.80000e+06 1.20263e+05
3.90168e-04 1.23610e+06  7.97966e+06 8.63178e+06 1.30042e+05
4.45702e-04 1.10392e+06  1.03567e+07 1.08848e+07 1.43530e+05
5.01109e-04 1.04941e+06  1.30694e+07 1.35454e+07 1.51548e+05
5.56402e-04 1.06729e+06  1.60625e+07 1.65527e+07 1.54283e+05
6.11731e-04 1.09314e+06  1.93462e+07 1.98606e+07 1.64666e+05
6.66950e-04 1.08414e+06  2.29363e+07 2.34419e+07 1.85167e+05
7.22025e-04 1.06588e+06  2.68102e+07 2.73083e+07 2.04690e+05
7.77040e-04 1.04769e+06  3.09966e+07 3.14949e+07 2.21013e+05
8.32097e-04 9.98310e+05  3.55923e+07 3.60364e+07 2.40076e+05
8.87029e-04 9.63821e+05  4.05425e+07 4.09269e+07 2.57419e+05
9.41850e-04 1.04577e+06  4.56848e+07 4.61532e+07 2.65506e+05
9.96695e-04 1.20504e+06  5.10483e+07 5.17009e+07 2.69416e+05
1.05157e-03 1.29432e+06  5.68037e+07 5.75446e+07 2.74929e+05
1.10637e-03 1.29124e+06  6.29408e+07 6.36617e+07 2.78794e+05
1.16112e-03 1.27984e+06  6.93440e+07 7.00578e+07 2.80595e+05
1.21578e-03 1.26580e+06  7.60348e+07 7.67454e+07 2.85117e+05
1.27039e-03 1.20071e+06  8.30952e+07 8.37346e+07 2.92821e+05
1.32488e-03 1.10417e+06  9.04745e+07 9.10109e+07 3.01786e+05
1.37931e-03 1.03920e+06  9.80882e+07 9.85719e+07 3.12587e+05
1.43367e-03 1.01005e+06  1.05943e+08 1.06414e+08 3.25711e+05
1.48798e-03 9.59814e+05  1.14154e+08 1.14564e+08 3.39757e+05
1.54221e-03 8.85862e+05  1.22763e+08 1.23060e+08 3.52465e+05
1.59640e-03 8.80575e+05  1.31685e+08 1.31951e+08 3.62583e+05
1.65053e-03 1.00180e+06  1.40845e+08 1.41246e+08 3.70433e+05
1.70460e-03 1.18559e+06  1.50294e+08 1.50908e+08 3.76035e+05
1.75864e-03 1.33421e+06  1.60083e+08 1.60867e+08 3.79810e+05
1.81262e-03 1.40242e+06  1.70172e+08 1.71046e+08 3.83895e+05
1.86651e-03 1.37734e+06  1.80538e+08 1.81403e+08 3.88523e+05
1.92034e-03 1.26016e+06  1.91222e+08 1.91965e+08 3.91257e+05
1.97414e-03 1.09367e+06  2.02259e+08 2.02808e+08 3.92829e+05
2.02790e-03 9.62428e+05  2.13627e+08 2.14012e+08 3.97534e+05
2.08156e-03 9.39199e+05  2.25256e+08 2.25600e+08 4.06457e+05
2.13515e-03 1.02187e+06  2.37132e+08 2.37564e+08 4.16847e+05
2.18866e-03 1.12113e+06  2.49303e+08 2.49850e+08 4.28114e+05
2.24215e-03 1.13355e+06  2.61849e+08 2.62413e+08 4.42084e+05
2.29557e-03 1.04729e+06  2.74751e+08 2.75220e+08 4.57587e+05
2.34889e-03 9.52321e+05  2.87912e+08 2.88287e+08 4.70835e+05
2.40214e-03 9.30235e+05  3.01305e+08 3.01680e+08 4.80719e+05
2.45541e-03 9.78293e+05  3.15023e+08 3.15463e+08 4.88898e+05
2.50862e-03 1.06489e+06  3.29113e+08 3.29629e+08 4.95489e+05
2.56176e-03 1.19496e+06  3.43510e+08 3.44136e+08 4.99067e+05
2.61483e-03 1.35736e+06  3.58130e+08 3.58921e+08 5.00256e+05
2.66789e-03 1.46000e+06  3.73038e+08 3.73948e+08 5.01612e+05
2.72091e-03 1.40564e+06  3.88331e+08 3.89182e+08 5.04258e+05
2.77385e-03 1.22038e+06  4.03990e+08 4.04631e+08 5.07494e+05
2.82671e-03 1.03179e+06  4.19896e+08 4.20339e+08 5.11694e+05
2.87952e-03 9.25040e+05  4.36020e+08 4.36376e+08 5.18848e+05
2.93225e-03 8.86214e+05  4.52439e+08 4.52776e+08 5.29793e+05
2.98489e-03 8.82580e+05  4.69226e+08 4.69553e+08 5.43190e+05
3.03749e-03 9.24056e+05  4.86348e+08 4.86699e+08 5.57600e+05
3.09003e-03 1.01880e+06  5.03734e+08 5.04175e+08 5.72129e+05
3.14248e-03 1.12191e+06  5.21376e+08 5.21929e+08 5.84994e+05
3.19489e-03 1.17207e+06  5.39342e+08 5.39948e+08 5.94113e+05
3.24728e-03 1.16205e+06  5.57653e+08 5.58239e+08 5.99288e+05
3.29961e-03 1.14155e+06  5.76248e+08 5.76806e+08 6.02154e+05
3.35188e-03 1.15117e+06  5.95101e+08 5.95679e+08 6.04083e+05
3.40413e-03 1.17963e+06  6.14259e+08 6.14885e+08 6.05430e+05
3.45632e-03 1.19465e+06  6.33763e+08 6.34411e+08 6.06667e+05
3.50844e-03 1.19138e+06  6.53597e+08 6.54233e+08 6.09045e+05
3.56047e-03 1.18513e+06  6.73691e+08 6.74311e+08 6.13811e+05
3.61242e-03 1.16884e+06  6.94034e+08 6.94637e+08 6.21461e+05
3.66435e-03 1.11314e+06  7.14688e+08 7.15236e+08 6.31868e+05
3.71618e-03 1.01707e+06  7.35659e+08 7.36103e+08 6.44275e+05
3.76793e-03 9.29182e+05  7.56931e+08 7.57278e+08 6.57083e+05
3.81962e-03 8.99069e+05  7.78478e+08 7.78795e+08 6.68396e+05
3.87129e-03 9.28954e+05  8.00333e+08 8.00688e+08 6.77196e+05
3.92294e-03 9.93908e+05  8.22521e+08 8.22947e+08 6.83646e+05
3.97452e-03 1.08571e+06  8.45005e+08 8.45524e+08 6.88437e+05
4.02603e-03 1.20037e+06  8.67744e+08 8.68382e+08 6.92231e+05
4.07748e-03 1.29651e+06  8.90761e+08 8.91501e+08 6.95554e+05
4.12891e-03 1.31475e+06  9.14123e+08 9.14880e+08 6.98735e+05
4.18026e-03 1.24723e+06  9.37812e+08 9.38492e+08 7.01909e+05
4.23152e-03 1.15023e+06  9.61765e+08 9.62345e+08 7.05234e+05
4.28274e-03 1.07379e+06  9.85971e+08 9.86485e+08 7.09019e+05
4.33391e-03 1.01540e+06  1.01048e+09 1.01094e+09 7.13644e+05
4.38506e-03 9.62930e+05  1.03535e+09 1.03575e+09 7.19576e+05
4.43613e-03 9.46554e+05  1.06053e+09 1.06090e+09 7.27360e+05
4.48713e-03 1.00400e+06  1.08595e+09 1.08637e+09 7.37215e+05
4.53804e-03 1.10805e+06  1.11160e+09 1.11214e+09 7.48511e+05
4.58890e-03 1.17500e+06  1.13757e+09 1.13819e+09 7.59970e+05
4.63974e-03 1.15594e+06  1.16392e+09 1.16451e+09 7.70392e+05
4.69050e-03 1.08955e+06  1.19058e+09 1.19108e+09 7.79016e+05
4.74120e-03 1.04657e+06  1.21746e+09 1.21792e+09 7.85451e+05
4.79186e-03 1.04753e+06  1.24460e+09 1.24507e+09 7.89724e+05
4.84250e-03 1.06366e+06  1.27206e+09 1.27256e+09 7.92416e+05
4.89310e-03 1.08288e+06  1.29990e+09 1.30041e+09 7.94422e+05
4.94363e-03 1.13182e+06  1.32803e+09 1.32859e+09 7.96477e+05
4.99409e-03 1.21937e+06  1.35639e+09 1.35705e+09 7.99073e+05
5.04448e-03 1.29225e+06  1.38502e+09 1.38576e+09 8.02676e+05
5.09483e-03 1.27988e+06  1.41397e+09 1.41471e+09 8.07630e+05
5.14510e-03 1.17530e+06  1.44325e+09 1.44387e+09 8.13797e+05
5.19529e-03 1.04368e+06  1.47279e+09 1.47326e+09 8.20668e+05
5.24542e-03 9.50867e+05  1.50258e+09 1.50296e+09 8.27919e+05
5.29552e-03 9.10812e+05  1.53267e+09 1.53300e+09 8.35591e+05
5.34557e-03 9.09789e+05  1.56308e+09 1.56341e+09 8.43688e+05
5.39556e-03 9.49942e+05  1.59382e+09 1.59418e+09 8.51951e+05
5.44547e-03 1.03875e+06  1.62481e+09 1.62526e+09 8.60137e+05
5.49532e-03 1.14859e+06  1.65606e+09 1.65664e+09 8.68200e+05
5.54512e-03 1.22164e+06  1.68759e+09 1.68827e+09 8.75960e+05
5.59490e-03 1.22440e+06  1.71947e+09 1.72015e+09 8.82884e+05
5.64459e-03 1.17838e+06  1.75162e+09 1.75226e+09 8.88416e+05
5.69421e-03 1.12908e+06  1.78405e+09 1.78463e+09 8.92485e+05
5.74380e-03 1.10186e+06  1.81677e+09 1.81731e+09 8.95460e+05
5.79336e-03 1.09848e+06  1.84980e+09 1.85032e+09 8.97789e+05
5.84288e-03 1.11730e+06  1.88314e+09 1.88367e+09 8.99900e+05
5.89234e-03 1.15305e+06  1.91676e+09 1.91733e+09 9.02418e+05
5.94172e-03 1.18177e+06  1.95064e+09 1.95124e+09 9.06225e+05
5.99104e-03 1.17068e+06  1.98482e+09 1.98542e+09 9.12116e+05
6.04029e-03 1.11189e+06  2.01928e+09 2.01983e+09 9.20318e+05
6.08948e-03 1.03405e+06  2.05403e+09 2.05451e+09 9.30297e+05
6.13861e-03 9.73409e+05  2.08904e+09 2.08947e+09 9.40987e+05
6.18769e-03 9.44263e+05  2.12435e+09 2.12475e+09 9.51280e+05
6.23673e-03 9.46032e+05  2.15998e+09 2.16037e+09 9.60423e+05
6.28570e-03 9.85286e+05  2.19590e+09 2.19631e+09 9.68056e+05
6.33461e-03 1.06892e+06  2.23208e+09 2.23256e+09 9.74061e+05
6.38349e-03 1.17520e+06  2.26853e+09 2.26912e+09 9.78514e+05
6.43231e-03 1.25297e+06  2.30527e+09 2.30595e+09 9.81849e+05
6.48109e-03 1.26413e+06  2.34234e+09 2.34303e+09 9.84810e+05
6.52979e-03 1.21960e+06  2.37969e+09 2.38034e+09 9.88003e+05
6.57841e-03 1.16163e+06  2.41730e+09 2.41790e+09 9.91516e+05
6.62699e-03 1.11733e+06  2.45517e+09 2.45574e+09 9.95161e+05
6.67554e-03 1.08420e+06  2.49334e+09 2.49390e+09 9.99072e+05
6.72405e-03 1.05791e+06  2.53185e+09 2.53236e+09 1.00385e+06
6.77250e-03 1.05175e+06  2.57065e+09 2.57113e+09 1.01003e+06
6.82087e-03 1.07518e+06  2.60968e+09 2.61018e+09 1.01758e+06
6.86918e-03 1.10649e+06  2.64898e+09 2.64951e+09 1.02603e+06
6.91745e-03 1.10798e+06  2.68859e+09 2.68911e+09 1.03493e+06
6.96566e-03 1.06979e+06  2.72851e+09 2.72900e+09 1.04391e+06
7.01379e-03 1.02380e+06  2.76871e+09 2.76915e+09 1.05246e+06
7.06186e-03 1.00798e+06  2.80913e+09 2.80957e+09 1.05998e+06
7.10989e-03 1.02878e+06  2.84984e+09 2.85031e+09 1.06614e+06
7.15791e-03 1.06686e+06  2.89087e+09 2.89140e+09 1.07124e+06
7.20589e-03 1.10864e+06  2.93224e+09 2.93280e+09 1.07588e+06
7.25379e-03 1.15584e+06  2.97387e+09 2.97447e+09 1.08044e+06
7.30161e-03 1.20478e+06  3.01574e+09 3.01638e+09 1.08487e+06
7.34938e-03 1.23354e+06  3.05789e+09 3.05855e+09 1.08909e+06
7.39713e-03 1.21984e+06  3.10035e+09 3.10100e+09 1.09329e+06
7.44482e-03 1.16567e+06  3.14311e+09 3.14370e+09 1.09781e+06
7.49244e-03 1.09619e+06  3.18613e+09 3.18665e+09 1.10277e+06
7.53999e-03 1.03859e+06  3.22941e+09 3.22988e+09 1.10802e+06
7.58751e-03 1.00960e+06  3.27300e+09 3.27344e+09 1.11349e+06
7.63497e-03 1.01742e+06  3.31686e+09 3.31732e+09 1.11941e+06
7.68239e-03 1.06019e+06  3.36101e+09 3.36152e+09 1.12612e+06
7.72975e-03 1.11728e+06  3.40543e+09 3.40600e+09 1.13380e+06
7.77702e-03 1.15416e+06  3.45011e+09 3.45070e+09 1.14223e+06
7.82422e-03 1.14887e+06  3.49508e+09 3.49566e+09 1.15089e+06
7.87141e-03 1.11229e+06  3.54037e+09 3.54091e+09 1.15918e+06
7.91856e-03 1.07520e+06  3.58593e+09 3.58642e+09 1.16663e+06
7.96566e-03 1.05600e+06  3.63174e+09 3.63221e+09 1.17304e+06
8.01269e-03 1.05033e+06  3.67783e+09 3.67830e+09 1.17846e+06
8.05970e-03 1.05303e+06  3.72426e+09 3.72473e+09 1.18313e+06
8.10667e-03 1.07604e+06  3.77099e+09 3.77149e+09 1.18733e+06
8.15358e-03 1.13207e+06  3.81798e+09 3.81855e+09 1.19141e+06
8.20044e-03 1.20493e+06  3.86523e+09 3.86588e+09 1.19579e+06
8.24722e-03 1.25129e+06  3.91273e+09 3.91344e+09 1.20082e+06
8.29394e-03 1.23869e+06  3.96053e+09 3.96122e+09 1.20658e+06
8.34061e-03 1.17549e+06  4.00863e+09 4.00925e+09 1.21278e+06
8.38723e-03 1.09934e+06  4.05700e+09 4.05753e+09 1.21902e+06
8.43377e-03 1.04156e+06  4.10559e+09 4.10606e+09 1.22503e+06
8.48027e-03 1.00998e+06  4.15446e+09 4.15490e+09 1.23088e+06
8.52675e-03 1.00152e+06  4.20367e+09 4.20410e+09 1.23681e+06
8.57320e-03 1.01714e+06  4.25320e+09 4.25363e+09 1.24307e+06
8.61958e-03 1.05734e+06  4.30299e+09 4.30346e+09 1.24985e+06
8.66588e-03 1.10982e+06  4.35302e+09 4.35355e+09 1.25720e+06
8.71211e-03 1.15173e+06  4.40328e+09 4.40387e+09 1.26496e+06
8.75829e-03 1.16614e+06  4.45382e+09 4.45444e+09 1.27275e+06
8.80445e-03 1.15300e+06  4.50470e+09 4.50531e+09 1.28008e+06
8.85056e-03 1.12554e+06  4.55585e+09 4.55643e+09 1.28654e+06
8.89661e-03 1.10087e+06  4.60728e+09 4.60782e+09 1.29200e+06
8.94260e-03 1.09386e+06  4.65896e+09 4.65948e+09 1.29656e+06
8.98856e-03 1.11151e+06  4.71095e+09 4.71148e+09 1.30039e+06
9.03448e-03 1.14591e+06  4.76321e+09 4.76377e+09 1.30376e+06
9.08036e-03 1.17564e+06  4.81578e+09 4.81636e+09 1.30717e+06
9.12620e-03 1.18165e+06  4.86865e+09 4.86924e+09 1.31128e+06
9.17195e-03 1.16343e+06  4.92176e+09 4.92233e+09 1.31665e+06
9.21763e-03 1.13506e+06  4.97510e+09 4.97566e+09 1.32338e+06
9.26326e-03 1.10526e+06  5.02870e+09 5.02926e+09 1.33113e+06
9.30884e-03 1.06927e+06  5.08257e+09 5.08311e+09 1.33939e+06
9.35437e-03 1.02519e+06  5.13676e+09 5.13725e+09 1.34776e+06
9.39986e-03 9.91590e+05  5.19126e+09 5.19170e+09 1.35597e+06
9.44530e-03 9.96549e+05  5.24601e+09 5.24644e+09 1.36375e+06
9.49068e-03 1.04605e+06  5.30101e+09 5.30148e+09 1.37081e+06
9.53601e-03 1.11164e+06  5.35626e+09 5.35679e+09 1.37706e+06
9.58129e-03 1.15613e+06  5.41181e+09 5.41238e+09 1.38264e+06
9.62653e-03 1.16783e+06  5.46767e+09 5.46825e+09 1.38783e+06
9.67172e-03 1.16299e+06  5.52381e+09 5.52439e+09 1.39280e+06
9.71686e-03 1.15844e+06  5.58020e+09 5.58079e+09 1.39758e+06
9.76196e-03 1.15278e+06  5.63686e+09 5.63747e+09 1.40218e+06
9.80700e-03 1.13869e+06  5.69380e+09 5.69440e+09 1.40668e+06
9.85198e-03 1.12307e+06  5.75103e+09 5.75161e+09 1.41125e+06
9.89692e-03 1.12278e+06  5.80854e+09 5.80911e+09 1.41603e+06
9.94180e-03 1.14131e+06  5.86629e+09 5.86687e+09 1.42112e+06
9.98664e-03 1.16032e+06  5.92432e+09 5.92491e+09 1.42662e+06
1.00000e-02 1.16293e+06  5.94168e+09 5.94227e+09 1.42838e+06
