5.72372e-05 4.67918e+05  3.76679e+05 3.76679e+05 
1.14065e-04 8.16531e+05  8.15639e+05 1.23562e+06 
1.70959e-04 1.09710e+06  1.36824e+06 2.15860e+06 
2.27809e-04 1.07280e+06  2.29964e+06 3.02237e+06 
2.84574e-04 9.49341e+05  3.44940e+06 3.99802e+06 
3.41281e-04 8.22216e+05  4.87011e+06 5.29327e+06 
3.97948e-04 7.33208e+05  6.62136e+06 6.96125e+06 
4.54464e-04 7.33700e+05  8.58325e+06 8.92512e+06 
5.11030e-04 7.37274e+05  1.07724e+07 1.11170e+07 
5.67435e-04 6.93648e+05  1.32279e+07 1.35227e+07 
6.23698e-04 6.70496e+05  1.58909e+07 1.61911e+07 
6.80001e-04 6.45716e+05  1.89095e+07 1.91842e+07 
7.36185e-04 6.56902e+05  2.22551e+07 2.25031e+07 
7.92290e-04 7.98179e+05  2.56834e+07 2.61029e+07 
8.48489e-04 9.11889e+05  2.93856e+07 2.99309e+07 
9.04636e-04 9.04737e+05  3.34343e+07 3.39505e+07 
9.60731e-04 8.80972e+05  3.76867e+07 3.81893e+07 
1.01675e-03 8.46603e+05  4.22181e+07 4.26881e+07 
1.07264e-03 7.71502e+05  4.70565e+07 4.74444e+07 
1.12845e-03 7.07917e+05  5.20855e+07 5.24264e+07 
1.18421e-03 6.64283e+05  5.72998e+07 5.76137e+07 
1.23987e-03 5.88091e+05  6.28518e+07 6.30483e+07 
1.29546e-03 5.57029e+05  6.86954e+07 6.88226e+07 
1.35103e-03 6.56139e+05  7.47526e+07 7.49938e+07 
1.40651e-03 8.23731e+05  8.10646e+07 8.15014e+07 
1.46196e-03 9.55605e+05  8.76171e+07 8.82199e+07 
1.51733e-03 9.67709e+05  9.43992e+07 9.50382e+07 
1.57264e-03 8.53832e+05  1.01463e+08 1.01977e+08 
1.62796e-03 7.09233e+05  1.08822e+08 1.09161e+08 
1.68314e-03 6.42641e+05  1.16434e+08 1.16678e+08 
1.73827e-03 6.92034e+05  1.24253e+08 1.24541e+08 
1.79330e-03 7.76320e+05  1.32269e+08 1.32663e+08 
1.84833e-03 7.57984e+05  1.40614e+08 1.40988e+08 
1.90323e-03 6.50535e+05  1.49261e+08 1.49506e+08 
1.95804e-03 6.01299e+05  1.58073e+08 1.58293e+08 
2.01289e-03 6.49052e+05  1.67132e+08 1.67429e+08 
2.06767e-03 7.44928e+05  1.76519e+08 1.76889e+08 
2.12235e-03 8.77345e+05  1.86109e+08 1.86603e+08 
2.17703e-03 9.75589e+05  1.95903e+08 1.96517e+08 
2.23169e-03 9.33822e+05  2.06033e+08 2.06590e+08 
2.28625e-03 7.92284e+05  2.16446e+08 2.16833e+08 
2.34075e-03 6.71400e+05  2.27031e+08 2.27311e+08 
2.39516e-03 6.12878e+05  2.37837e+08 2.38084e+08 
2.44948e-03 6.05011e+05  2.48948e+08 2.49182e+08 
2.50376e-03 6.44443e+05  2.60331e+08 2.60586e+08 
2.55793e-03 7.12687e+05  2.71912e+08 2.72239e+08 
2.61205e-03 7.58717e+05  2.83732e+08 2.84115e+08 
2.66614e-03 7.63460e+05  2.95854e+08 2.96225e+08 
2.72014e-03 7.79520e+05  3.08210e+08 3.08584e+08 
2.77413e-03 8.33968e+05  3.20763e+08 3.21220e+08 
2.82809e-03 8.64568e+05  3.33595e+08 3.34108e+08 
2.88198e-03 8.33832e+05  3.46746e+08 3.47208e+08 
2.93574e-03 7.87479e+05  3.60097e+08 3.60493e+08 
2.98948e-03 7.42182e+05  3.73643e+08 3.74001e+08 
3.04315e-03 6.74624e+05  3.87471e+08 3.87759e+08 
3.09673e-03 6.16233e+05  4.01566e+08 4.01785e+08 
3.15025e-03 6.07644e+05  4.15887e+08 4.16104e+08 
3.20373e-03 6.36939e+05  4.30464e+08 4.30719e+08 
3.25714e-03 7.03029e+05  4.45299e+08 4.45618e+08 
3.31050e-03 8.12740e+05  4.60348e+08 4.60779e+08 
3.36384e-03 9.07385e+05  4.75646e+08 4.76176e+08 
3.41715e-03 9.14561e+05  4.91239e+08 4.91769e+08 
3.47035e-03 8.41899e+05  5.07071e+08 5.07526e+08 
3.52350e-03 7.44447e+05  5.23111e+08 5.23482e+08 
3.57661e-03 6.59788e+05  5.39410e+08 5.39703e+08 
3.62965e-03 6.21129e+05  5.55981e+08 5.56221e+08 
3.68259e-03 6.58731e+05  5.72769e+08 5.73039e+08 
3.73543e-03 7.39082e+05  5.89757e+08 5.90120e+08 
3.78824e-03 7.74626e+05  6.07032e+08 6.07431e+08 
3.84100e-03 7.42707e+05  6.24600e+08 6.24940e+08 
3.89370e-03 7.11543e+05  6.42356e+08 6.42657e+08 
3.94635e-03 7.15828e+05  6.60309e+08 6.60635e+08 
3.99901e-03 7.29440e+05  6.78590e+08 6.78936e+08 
4.05161e-03 7.67454e+05  6.97157e+08 6.97535e+08 
4.10410e-03 8.52585e+05  7.15885e+08 7.16367e+08 
4.15655e-03 9.03803e+05  7.34836e+08 7.35387e+08 
4.20894e-03 8.33630e+05  7.54105e+08 7.54564e+08 
4.26123e-03 7.02067e+05  7.73610e+08 7.73910e+08 
4.31347e-03 6.23551e+05  7.93280e+08 7.93510e+08 
4.36565e-03 6.12968e+05  8.13193e+08 8.13425e+08 
4.41777e-03 6.37156e+05  8.33427e+08 8.33671e+08 
4.46983e-03 7.01507e+05  8.53903e+08 8.54207e+08 
4.52182e-03 7.89681e+05  8.74546e+08 8.74963e+08 
4.57377e-03 8.30103e+05  8.95439e+08 8.95911e+08 
4.62565e-03 7.97093e+05  9.16616e+08 9.17042e+08 
4.67746e-03 7.51910e+05  9.38019e+08 9.38387e+08 
4.72924e-03 7.41003e+05  9.59645e+08 9.60003e+08 
4.78098e-03 7.47959e+05  9.81540e+08 9.81901e+08 
4.83266e-03 7.62676e+05  1.00370e+09 1.00407e+09 
4.88428e-03 7.92804e+05  1.02606e+09 1.02646e+09 
4.93581e-03 8.03638e+05  1.04863e+09 1.04906e+09 
4.98727e-03 7.54215e+05  1.07148e+09 1.07185e+09 
5.03867e-03 6.78694e+05  1.09457e+09 1.09487e+09 
5.09001e-03 6.39822e+05  1.11787e+09 1.11813e+09 
5.14129e-03 6.45074e+05  1.14141e+09 1.14167e+09 
5.19251e-03 6.80482e+05  1.16521e+09 1.16549e+09 
5.24368e-03 7.51152e+05  1.18924e+09 1.18959e+09 
5.29482e-03 8.32055e+05  1.21349e+09 1.21394e+09 
5.34589e-03 8.65206e+05  1.23801e+09 1.23850e+09 
5.39687e-03 8.38384e+05  1.26277e+09 1.26323e+09 
5.44780e-03 7.88238e+05  1.28772e+09 1.28815e+09 
5.49868e-03 7.34611e+05  1.31292e+09 1.31330e+09 
