5.72372e-05 5.85000e+01  5.03995e+00 5.03995e+00 
1.14474e-04 5.85000e+01  2.01598e+01 2.01598e+01 
1.71712e-04 5.85000e+01  4.53595e+01 4.53595e+01 
2.28949e-04 5.85000e+01  8.06392e+01 8.06392e+01 
2.86186e-04 5.85000e+01  1.25999e+02 1.25999e+02 
3.43423e-04 5.85000e+01  1.81438e+02 1.81438e+02 
4.00660e-04 5.85000e+01  2.46957e+02 2.46957e+02 
4.57898e-04 5.85000e+01  3.22557e+02 3.22557e+02 
5.15135e-04 5.85000e+01  4.08236e+02 4.08236e+02 
5.72372e-04 5.85000e+01  5.03995e+02 5.03995e+02 
6.29609e-04 5.85000e+01  6.09834e+02 6.09834e+02 
6.86846e-04 5.85000e+01  7.25753e+02 7.25753e+02 
7.44084e-04 5.85000e+01  8.51751e+02 8.51751e+02 
8.01321e-04 5.85000e+01  9.87830e+02 9.87830e+02 
8.58558e-04 5.85000e+01  1.13399e+03 1.13399e+03 
9.15795e-04 5.85000e+01  1.29023e+03 1.29023e+03 
9.73032e-04 5.85000e+01  1.45655e+03 1.45655e+03 
1.03027e-03 5.85000e+01  1.63294e+03 1.63294e+03 
1.08751e-03 5.85000e+01  1.81942e+03 1.81942e+03 
1.14474e-03 5.85000e+01  2.01598e+03 2.01598e+03 
1.20198e-03 5.85000e+01  2.22262e+03 2.22262e+03 
1.25922e-03 5.85000e+01  2.43933e+03 2.43933e+03 
1.31646e-03 5.85000e+01  2.66613e+03 2.66613e+03 
1.37369e-03 5.85000e+01  2.90301e+03 2.90301e+03 
1.43093e-03 5.85000e+01  3.14997e+03 3.14997e+03 
1.48817e-03 5.85000e+01  3.40701e+03 3.40701e+03 
1.54540e-03 5.85000e+01  3.67412e+03 3.67412e+03 
1.60264e-03 5.85000e+01  3.95132e+03 3.95132e+03 
1.65988e-03 5.85000e+01  4.23860e+03 4.23860e+03 
1.71712e-03 5.85000e+01  4.53595e+03 4.53595e+03 
1.77435e-03 5.85000e+01  4.84339e+03 4.84339e+03 
1.83159e-03 5.85000e+01  5.16091e+03 5.16091e+03 
1.88883e-03 5.85000e+01  5.48850e+03 5.48850e+03 
1.94606e-03 5.85000e+01  5.82618e+03 5.82618e+03 
2.00330e-03 5.85000e+01  6.17394e+03 6.17394e+03 
2.06054e-03 5.85000e+01  6.53177e+03 6.53177e+03 
2.11778e-03 5.85000e+01  6.89969e+03 6.89969e+03 
2.17501e-03 5.85000e+01  7.27769e+03 7.27769e+03 
2.23225e-03 5.85000e+01  7.66576e+03 7.66576e+03 
2.28949e-03 5.85000e+01  8.06392e+03 8.06392e+03 
2.34673e-03 5.85000e+01  8.47215e+03 8.47215e+03 
2.40396e-03 5.85000e+01  8.89047e+03 8.89047e+03 
2.46120e-03 5.85000e+01  9.31886e+03 9.31886e+03 
2.51844e-03 5.85000e+01  9.75734e+03 9.75734e+03 
2.57567e-03 5.85000e+01  1.02059e+04 1.02059e+04 
2.63291e-03 5.85000e+01  1.06645e+04 1.06645e+04 
2.69015e-03 5.85000e+01  1.11332e+04 1.11332e+04 
2.74739e-03 5.85000e+01  1.16120e+04 1.16120e+04 
2.80462e-03 5.85000e+01  1.21009e+04 1.21009e+04 
2.86186e-03 5.85000e+01  1.25999e+04 1.25999e+04 
2.91910e-03 5.85000e+01  1.31089e+04 1.31089e+04 
2.97633e-03 5.85000e+01  1.36280e+04 1.36280e+04 
3.03357e-03 5.85000e+01  1.41572e+04 1.41572e+04 
3.09081e-03 5.85000e+01  1.46965e+04 1.46965e+04 
3.14805e-03 5.85000e+01  1.52458e+04 1.52458e+04 
3.20528e-03 5.85000e+01  1.58053e+04 1.58053e+04 
3.26252e-03 5.85000e+01  1.63748e+04 1.63748e+04 
3.31976e-03 5.85000e+01  1.69544e+04 1.69544e+04 
3.37699e-03 5.85000e+01  1.75441e+04 1.75441e+04 
3.43423e-03 5.85000e+01  1.81438e+04 1.81438e+04 
3.49147e-03 5.85000e+01  1.87536e+04 1.87536e+04 
3.54871e-03 5.85000e+01  1.93736e+04 1.93736e+04 
3.60594e-03 5.85000e+01  2.00036e+04 2.00036e+04 
3.66318e-03 5.85000e+01  2.06436e+04 2.06436e+04 
3.72042e-03 5.85000e+01  2.12938e+04 2.12938e+04 
3.77766e-03 5.85000e+01  2.19540e+04 2.19540e+04 
3.83489e-03 5.85000e+01  2.26243e+04 2.26243e+04 
3.89213e-03 5.85000e+01  2.33047e+04 2.33047e+04 
3.94937e-03 5.85000e+01  2.39952e+04 2.39952e+04 
4.00660e-03 5.85000e+01  2.46957e+04 2.46957e+04 
4.06384e-03 5.85000e+01  2.54064e+04 2.54064e+04 
4.12108e-03 5.85000e+01  2.61271e+04 2.61271e+04 
4.17832e-03 5.85000e+01  2.68579e+04 2.68579e+04 
4.23555e-03 5.85000e+01  2.75988e+04 2.75988e+04 
4.29279e-03 5.85000e+01  2.83497e+04 2.83497e+04 
4.35003e-03 5.85000e+01  2.91107e+04 2.91107e+04 
4.40726e-03 5.85000e+01  2.98819e+04 2.98819e+04 
4.46450e-03 5.85000e+01  3.06630e+04 3.06630e+04 
4.52174e-03 5.85000e+01  3.14543e+04 3.14543e+04 
4.57898e-03 5.85000e+01  3.22557e+04 3.22557e+04 
4.63621e-03 5.85000e+01  3.30671e+04 3.30671e+04 
4.69345e-03 5.85000e+01  3.38886e+04 3.38886e+04 
4.75069e-03 5.85000e+01  3.47202e+04 3.47202e+04 
4.80793e-03 5.85000e+01  3.55619e+04 3.55619e+04 
4.86516e-03 5.85000e+01  3.64136e+04 3.64136e+04 
4.92240e-03 5.85000e+01  3.72755e+04 3.72755e+04 
4.97964e-03 5.85000e+01  3.81474e+04 3.81474e+04 
5.03687e-03 5.85000e+01  3.90294e+04 3.90294e+04 
5.09411e-03 5.85000e+01  3.99214e+04 3.99214e+04 
5.15135e-03 5.85000e+01  4.08236e+04 4.08236e+04 
5.20859e-03 5.85000e+01  4.17358e+04 4.17358e+04 
5.26582e-03 5.85000e+01  4.26581e+04 4.26581e+04 
5.32306e-03 5.85000e+01  4.35905e+04 4.35905e+04 
5.38030e-03 5.85000e+01  4.45330e+04 4.45330e+04 
5.43753e-03 5.85000e+01  4.54855e+04 4.54855e+04 
5.49477e-03 5.85000e+01  4.64482e+04 4.64482e+04 
5.55201e-03 5.85000e+01  4.74209e+04 4.74209e+04 
5.60925e-03 5.85000e+01  4.84037e+04 4.84037e+04 
5.66648e-03 5.85000e+01  4.93965e+04 4.93965e+04 
5.72372e-03 5.85000e+01  5.03995e+04 5.03995e+04 
5.78096e-03 5.85000e+01  5.14125e+04 5.14125e+04 
5.83819e-03 5.85000e+01  5.24356e+04 5.24356e+04 
5.89543e-03 5.85000e+01  5.34688e+04 5.34688e+04 
5.95267e-03 5.85000e+01  5.45121e+04 5.45121e+04 
6.00991e-03 5.85000e+01  5.55654e+04 5.55654e+04 
6.06714e-03 5.85000e+01  5.66289e+04 5.66289e+04 
6.12438e-03 5.85000e+01  5.77024e+04 5.77024e+04 
6.18162e-03 5.85000e+01  5.87860e+04 5.87860e+04 
6.23886e-03 5.85000e+01  5.98796e+04 5.98796e+04 
6.29609e-03 5.85000e+01  6.09834e+04 6.09834e+04 
6.35333e-03 5.85000e+01  6.20972e+04 6.20972e+04 
6.41057e-03 5.85000e+01  6.32211e+04 6.32211e+04 
6.46780e-03 5.85000e+01  6.43551e+04 6.43551e+04 
6.52504e-03 5.85000e+01  6.54992e+04 6.54992e+04 
6.58228e-03 5.85000e+01  6.66533e+04 6.66533e+04 
6.63952e-03 5.85000e+01  6.78175e+04 6.78175e+04 
6.69675e-03 5.85000e+01  6.89918e+04 6.89918e+04 
6.75399e-03 5.85000e+01  7.01762e+04 7.01762e+04 
6.81123e-03 5.85000e+01  7.13707e+04 7.13707e+04 
6.86846e-03 5.85000e+01  7.25753e+04 7.25753e+04 
6.92570e-03 5.85000e+01  7.37899e+04 7.37899e+04 
6.98294e-03 5.85000e+01  7.50146e+04 7.50146e+04 
7.04018e-03 5.85000e+01  7.62494e+04 7.62494e+04 
7.09741e-03 5.85000e+01  7.74942e+04 7.74942e+04 
7.15465e-03 5.85000e+01  7.87492e+04 7.87492e+04 
7.21189e-03 5.85000e+01  8.00142e+04 8.00142e+04 
7.26912e-03 5.85000e+01  8.12893e+04 8.12893e+04 
7.32636e-03 5.85000e+01  8.25745e+04 8.25745e+04 
7.38360e-03 5.85000e+01  8.38698e+04 8.38698e+04 
7.44084e-03 5.85000e+01  8.51751e+04 8.51751e+04 
7.49807e-03 5.85000e+01  8.64905e+04 8.64905e+04 
7.55531e-03 5.85000e+01  8.78161e+04 8.78161e+04 
7.61255e-03 5.85000e+01  8.91516e+04 8.91516e+04 
7.66979e-03 5.85000e+01  9.04973e+04 9.04973e+04 
7.72702e-03 5.85000e+01  9.18531e+04 9.18531e+04 
7.78426e-03 5.85000e+01  9.32189e+04 9.32189e+04 
7.84150e-03 5.85000e+01  9.45948e+04 9.45948e+04 
7.89873e-03 5.85000e+01  9.59808e+04 9.59808e+04 
7.95597e-03 5.85000e+01  9.73768e+04 9.73768e+04 
8.01321e-03 5.85000e+01  9.87830e+04 9.87830e+04 
8.07045e-03 5.85000e+01  1.00199e+05 1.00199e+05 
8.12768e-03 5.85000e+01  1.01626e+05 1.01626e+05 
8.18492e-03 5.85000e+01  1.03062e+05 1.03062e+05 
8.24216e-03 5.85000e+01  1.04508e+05 1.04508e+05 
8.29939e-03 5.85000e+01  1.05965e+05 1.05965e+05 
8.35663e-03 5.85000e+01  1.07432e+05 1.07432e+05 
8.41387e-03 5.85000e+01  1.08908e+05 1.08908e+05 
8.47111e-03 5.85000e+01  1.10395e+05 1.10395e+05 
8.52834e-03 5.85000e+01  1.11892e+05 1.11892e+05 
8.58558e-03 5.85000e+01  1.13399e+05 1.13399e+05 
8.64282e-03 5.85000e+01  1.14916e+05 1.14916e+05 
