5.72372e-05 5.88640e+05  1.00799e+05 1.00799e+05 
1.14474e-04 6.67711e+05  3.22524e+05 3.81192e+05 
1.71695e-04 8.77621e+05  5.17113e+05 7.82389e+05 
2.28881e-04 1.18867e+06  6.25433e+05 1.22771e+06 
2.86014e-04 1.46739e+06  7.24580e+05 1.64555e+06 
3.43068e-04 1.57696e+06  9.35249e+05 1.98877e+06 
4.00031e-04 1.49314e+06  1.28472e+06 2.24566e+06 
4.56894e-04 1.32017e+06  1.67807e+06 2.44062e+06 
5.13682e-04 1.19180e+06  2.00919e+06 2.62539e+06 
5.70437e-04 1.16174e+06  2.27890e+06 2.86320e+06 
6.27202e-04 1.18619e+06  2.59741e+06 3.21009e+06 
6.84006e-04 1.20218e+06  3.07388e+06 3.69804e+06 
7.40853e-04 1.21018e+06  3.70620e+06 4.32510e+06 
7.97725e-04 1.26826e+06  4.38400e+06 5.05612e+06 
8.54597e-04 1.40436e+06  5.00517e+06 5.83403e+06 
9.11443e-04 1.55092e+06  5.58310e+06 6.59786e+06 
9.68237e-04 1.58665e+06  6.22303e+06 7.30133e+06 
1.02495e-03 1.44532e+06  6.99792e+06 7.92662e+06 
1.08154e-03 1.17665e+06  7.86761e+06 8.48962e+06 
1.13806e-03 9.03989e+05  8.72282e+06 9.03590e+06 
1.19454e-03 7.25417e+05  9.50290e+06 9.62801e+06 
1.25103e-03 6.51762e+05  1.02649e+07 1.03287e+07 
1.30754e-03 6.35997e+05  1.11268e+07 1.11840e+07 
1.36404e-03 6.51216e+05  1.21468e+07 1.22105e+07 
1.42052e-03 7.25935e+05  1.32701e+07 1.33916e+07 
1.47696e-03 8.99940e+05  1.43893e+07 1.46818e+07 
1.53335e-03 1.15070e+06  1.54545e+07 1.60200e+07 
1.58967e-03 1.37564e+06  1.65211e+07 1.73465e+07 
1.64592e-03 1.46200e+06  1.76851e+07 1.86195e+07 
1.70210e-03 1.38048e+06  1.89774e+07 1.98265e+07 
1.75822e-03 1.20918e+06  2.03316e+07 2.09863e+07 
1.81428e-03 1.06607e+06  2.16528e+07 2.21424e+07 
1.87029e-03 1.01780e+06  2.29158e+07 2.33495e+07 
1.92630e-03 1.04915e+06  2.41905e+07 2.46571e+07 
1.98233e-03 1.10976e+06  2.55711e+07 2.60946e+07 
2.03838e-03 1.17950e+06  2.70814e+07 2.76634e+07 
2.09446e-03 1.28208e+06  2.86538e+07 2.93362e+07 
2.15053e-03 1.43498e+06  3.02036e+07 3.10639e+07 
2.20658e-03 1.59553e+06  3.17221e+07 3.27910e+07 
2.26259e-03 1.66938e+06  3.32856e+07 3.44707e+07 
2.31854e-03 1.58233e+06  3.49735e+07 3.60784e+07 
2.37442e-03 1.34870e+06  3.67820e+07 3.76200e+07 
2.43024e-03 1.06698e+06  3.86215e+07 3.91293e+07 
2.48600e-03 8.43592e+05  4.04077e+07 4.06599e+07 
2.54173e-03 7.20617e+05  4.21462e+07 4.22705e+07 
2.59746e-03 6.74938e+05  4.39229e+07 4.40087e+07 
2.65321e-03 6.75779e+05  4.58137e+07 4.58995e+07 
2.70899e-03 7.30507e+05  4.78094e+07 4.79383e+07 
2.76474e-03 8.68753e+05  4.98304e+07 5.00925e+07 
2.82044e-03 1.08466e+06  5.18172e+07 5.23128e+07 
2.87609e-03 1.30469e+06  5.37958e+07 5.45458e+07 
2.93167e-03 1.42431e+06  5.58508e+07 5.67481e+07 
2.98717e-03 1.38556e+06  5.80375e+07 5.88983e+07 
3.04260e-03 1.22340e+06  6.03232e+07 6.10013e+07 
3.09793e-03 1.03736e+06  6.26180e+07 6.30855e+07 
3.15320e-03 9.15392e+05  6.48640e+07 6.51968e+07 
3.20843e-03 8.81278e+05  6.70874e+07 6.73834e+07 
3.26366e-03 9.07974e+05  6.93650e+07 6.96823e+07 
3.31890e-03 9.71104e+05  7.17425e+07 7.21094e+07 
3.37416e-03 1.07939e+06  7.41894e+07 7.46558e+07 
3.42942e-03 1.24956e+06  7.66359e+07 7.72881e+07 
3.48467e-03 1.45795e+06  7.90554e+07 7.99603e+07 
3.53989e-03 1.62818e+06  8.14981e+07 8.26252e+07 
3.59508e-03 1.67704e+06  8.40425e+07 8.52467e+07 
3.65023e-03 1.57771e+06  8.67154e+07 8.78099e+07 
3.70533e-03 1.37942e+06  8.94638e+07 9.03235e+07 
3.76038e-03 1.16642e+06  9.22087e+07 9.28189e+07 
3.81540e-03 9.98962e+05  9.49185e+07 9.53415e+07 
3.87040e-03 8.89884e+05  9.76296e+07 9.79379e+07 
3.92541e-03 8.28004e+05  1.00403e+08 1.00645e+08 
3.98043e-03 8.14346e+05  1.03261e+08 1.03479e+08 
4.03547e-03 8.69128e+05  1.06168e+08 1.06433e+08 
4.09048e-03 1.00176e+06  1.09073e+08 1.09475e+08 
4.14544e-03 1.17740e+06  1.11963e+08 1.12562e+08 
4.20034e-03 1.32006e+06  1.14882e+08 1.15650e+08 
4.25516e-03 1.35685e+06  1.17887e+08 1.18707e+08 
4.30989e-03 1.26742e+06  1.20995e+08 1.21722e+08 
4.36456e-03 1.09607e+06  1.24169e+08 1.24708e+08 
4.41916e-03 9.17731e+05  1.27352e+08 1.27695e+08 
4.47370e-03 7.89637e+05  1.30521e+08 1.30728e+08 
4.52821e-03 7.30012e+05  1.33708e+08 1.33850e+08 
4.58270e-03 7.34582e+05  1.36952e+08 1.37092e+08 
4.63718e-03 8.03708e+05  1.40266e+08 1.40467e+08 
4.69169e-03 9.46955e+05  1.43618e+08 1.43961e+08 
4.74623e-03 1.15962e+06  1.46970e+08 1.47541e+08 
4.80071e-03 1.39853e+06  1.50314e+08 1.51155e+08 
4.85515e-03 1.58996e+06  1.53690e+08 1.54757e+08 
4.90952e-03 1.66939e+06  1.57143e+08 1.58312e+08 
4.96383e-03 1.62143e+06  1.60684e+08 1.61807e+08 
5.01811e-03 1.48553e+06  1.64281e+08 1.65253e+08 
5.07237e-03 1.32417e+06  1.67894e+08 1.68683e+08 
5.12659e-03 1.18302e+06  1.71507e+08 1.72136e+08 
5.18079e-03 1.07605e+06  1.75148e+08 1.75657e+08 
5.23501e-03 1.00239e+06  1.78856e+08 1.79278e+08 
5.28926e-03 9.69996e+05  1.82637e+08 1.83015e+08 
5.34355e-03 9.96877e+05  1.86462e+08 1.86859e+08 
5.39786e-03 1.08754e+06  1.90292e+08 1.90781e+08 
5.45214e-03 1.21043e+06  1.94117e+08 1.94740e+08 
5.50636e-03 1.30456e+06  1.97964e+08 1.98696e+08 
5.56051e-03 1.31494e+06  2.01869e+08 2.02622e+08 
5.61458e-03 1.22840e+06  2.05840e+08 2.06508e+08 
5.66857e-03 1.07890e+06  2.09854e+08 2.10368e+08 
5.72250e-03 9.19843e+05  2.13883e+08 2.14233e+08 
5.77636e-03 7.90378e+05  2.17926e+08 2.18144e+08 
5.83018e-03 7.04753e+05  2.22013e+08 2.22142e+08 
5.88397e-03 6.68070e+05  2.26173e+08 2.26256e+08 
5.93775e-03 6.93821e+05  2.30402e+08 2.30498e+08 
5.99153e-03 7.99250e+05  2.34667e+08 2.34858e+08 
6.04531e-03 9.80858e+05  2.38934e+08 2.39308e+08 
6.09906e-03 1.19730e+06  2.43200e+08 2.43806e+08 
6.15277e-03 1.38320e+06  2.47494e+08 2.48309e+08 
6.20642e-03 1.48692e+06  2.51842e+08 2.52784e+08 
6.26001e-03 1.50014e+06  2.56243e+08 2.57215e+08 
6.31355e-03 1.45472e+06  2.60670e+08 2.61606e+08 
6.36706e-03 1.39214e+06  2.65105e+08 2.65981e+08 
6.42057e-03 1.33466e+06  2.69558e+08 2.70373e+08 
6.47407e-03 1.28236e+06  2.74066e+08 2.74817e+08 
6.52756e-03 1.23320e+06  2.78656e+08 2.79339e+08 
6.58106e-03 1.20033e+06  2.83323e+08 2.83953e+08 
6.63457e-03 1.20554e+06  2.88033e+08 2.88653e+08 
6.68809e-03 1.25394e+06  2.92757e+08 2.93419e+08 
6.74162e-03 1.31724e+06  2.97492e+08 2.98219e+08 
6.79512e-03 1.34644e+06  3.02259e+08 3.03020e+08 
6.84855e-03 1.30571e+06  3.07068e+08 3.07795e+08 
6.90190e-03 1.19747e+06  3.11910e+08 3.12535e+08 
6.95518e-03 1.05628e+06  3.16764e+08 3.17252e+08 
7.00840e-03 9.20468e+05  3.21619e+08 3.21974e+08 
7.06160e-03 8.09287e+05  3.26495e+08 3.26739e+08 
7.11477e-03 7.25067e+05  3.31427e+08 3.31582e+08 
7.16790e-03 6.72548e+05  3.36437e+08 3.36532e+08 
7.22101e-03 6.70636e+05  3.41517e+08 3.41600e+08 
7.27412e-03 7.40888e+05  3.46638e+08 3.46784e+08 
7.32722e-03 8.82443e+05  3.51779e+08 3.52060e+08 
7.38030e-03 1.05915e+06  3.56938e+08 3.57395e+08 
7.43335e-03 1.21488e+06  3.62135e+08 3.62753e+08 
7.48633e-03 1.30677e+06  3.67377e+08 3.68100e+08 
7.53921e-03 1.32946e+06  3.72654e+08 3.73418e+08 
7.59203e-03 1.31094e+06  3.77941e+08 3.78707e+08 
7.64479e-03 1.28631e+06  3.83223e+08 3.83981e+08 
7.69753e-03 1.27347e+06  3.88511e+08 3.89265e+08 
7.75025e-03 1.26994e+06  3.93840e+08 3.94586e+08 
7.80296e-03 1.26889e+06  3.99238e+08 3.99966e+08 
7.85568e-03 1.27494e+06  4.04709e+08 4.05421e+08 
7.90842e-03 1.30225e+06  4.10233e+08 4.10953e+08 
7.96118e-03 1.35648e+06  4.15787e+08 4.16553e+08 
8.01395e-03 1.41941e+06  4.21364e+08 4.22196e+08 
8.06670e-03 1.45408e+06  4.26982e+08 4.27859e+08 
8.11943e-03 1.42887e+06  4.32657e+08 4.33520e+08 
8.17213e-03 1.34042e+06  4.38383e+08 4.39164e+08 
8.22479e-03 1.21497e+06  4.44130e+08 4.44789e+08 
8.27738e-03 1.08721e+06  4.49872e+08 4.50403e+08 
8.32992e-03 9.76674e+05  4.55610e+08 4.56030e+08 
8.38243e-03 8.83007e+05  4.61374e+08 4.61697e+08 
8.43491e-03 8.01857e+05  4.67196e+08 4.67431e+08 
8.48738e-03 7.43271e+05  4.73086e+08 4.73252e+08 
8.53982e-03 7.32173e+05  4.79021e+08 4.79167e+08 
8.59224e-03 7.88312e+05  4.84975e+08 4.85173e+08 
8.64464e-03 9.03643e+05  4.90940e+08 4.91256e+08 
8.69701e-03 1.03871e+06  4.96937e+08 4.97392e+08 
8.74934e-03 1.14377e+06  5.02995e+08 5.03558e+08 
8.80164e-03 1.18911e+06  5.09122e+08 5.09732e+08 
8.85386e-03 1.18074e+06  5.15295e+08 5.15900e+08 
8.90602e-03 1.14981e+06  5.21478e+08 5.22061e+08 
8.95812e-03 1.12617e+06  5.27652e+08 5.28225e+08 
9.01017e-03 1.11955e+06  5.33830e+08 5.34408e+08 
9.06221e-03 1.12317e+06  5.40046e+08 5.40632e+08 
9.11421e-03 1.13306e+06  5.46323e+08 5.46910e+08 
9.16620e-03 1.16131e+06  5.52652e+08 5.53252e+08 
9.21818e-03 1.22736e+06  5.59005e+08 5.59657e+08 
9.27017e-03 1.33404e+06  5.65362e+08 5.66117e+08 
9.32215e-03 1.45234e+06  5.71733e+08 5.72614e+08 
9.37413e-03 1.53273e+06  5.78155e+08 5.79130e+08 
9.42609e-03 1.53687e+06  5.84657e+08 5.85645e+08 
9.47801e-03 1.46327e+06  5.91232e+08 5.92150e+08 
