5.61052e-05 4.66587e+05  3.69522e+05 3.69522e+05 3.08533e+04
1.12210e-04 8.06206e+05  8.00671e+05 1.20953e+06 4.30004e+04
1.68180e-04 1.07837e+06  1.33596e+06 2.10300e+06 6.44833e+04
2.24030e-04 1.07160e+06  2.21730e+06 2.94528e+06 8.41160e+04
2.79885e-04 9.60884e+05  3.32641e+06 3.89385e+06 9.00476e+04
3.35761e-04 8.27119e+05  4.69425e+06 5.12523e+06 9.93044e+04
3.91591e-04 7.19714e+05  6.35902e+06 6.68882e+06 1.09490e+05
4.47422e-04 7.00159e+05  8.23438e+06 8.54253e+06 1.11540e+05
5.03294e-04 7.06928e+05  1.03247e+07 1.06373e+07 1.21817e+05
5.59161e-04 6.83666e+05  1.26740e+07 1.29585e+07 1.41932e+05
6.15038e-04 6.77220e+05  1.52262e+07 1.55313e+07 1.59387e+05
6.70910e-04 6.68102e+05  1.80860e+07 1.83899e+07 1.80275e+05
7.26748e-04 6.69220e+05  2.12700e+07 2.15404e+07 1.96997e+05
7.82550e-04 7.67054e+05  2.45635e+07 2.49464e+07 2.01109e+05
8.38349e-04 8.64660e+05  2.80578e+07 2.85591e+07 2.04833e+05
8.94047e-04 8.61462e+05  3.18662e+07 3.23517e+07 2.08006e+05
9.49703e-04 8.22960e+05  3.59182e+07 3.63522e+07 2.09403e+05
1.00542e-03 8.04766e+05  4.01808e+07 4.06048e+07 2.12489e+05
1.06109e-03 7.65475e+05  4.47184e+07 4.51060e+07 2.19304e+05
1.11678e-03 7.13771e+05  4.94840e+07 4.98282e+07 2.29689e+05
1.17244e-03 6.74097e+05  5.44160e+07 5.47392e+07 2.44767e+05
1.22810e-03 6.10392e+05  5.96265e+07 5.98612e+07 2.58897e+05
1.28374e-03 5.65079e+05  6.51197e+07 6.52689e+07 2.67667e+05
1.33936e-03 6.20079e+05  7.08220e+07 7.10229e+07 2.75271e+05
1.39499e-03 7.62999e+05  7.67387e+07 7.71050e+07 2.80823e+05
1.45057e-03 9.04392e+05  8.28639e+07 8.34048e+07 2.83103e+05
1.50609e-03 9.40553e+05  8.92219e+07 8.98239e+07 2.86193e+05
1.56163e-03 8.44868e+05  9.58464e+07 9.63504e+07 2.89401e+05
1.61712e-03 7.03326e+05  1.02697e+08 1.03043e+08 2.92303e+05
1.67263e-03 6.10280e+05  1.09769e+08 1.10000e+08 2.98979e+05
1.72810e-03 6.06233e+05  1.17058e+08 1.17263e+08 3.08598e+05
1.78358e-03 6.74796e+05  1.24554e+08 1.24829e+08 3.17646e+05
1.83905e-03 7.34437e+05  1.32302e+08 1.32645e+08 3.27420e+05
1.89450e-03 7.28207e+05  1.40327e+08 1.40661e+08 3.38099e+05
1.94993e-03 7.00764e+05  1.48540e+08 1.48860e+08 3.46112e+05
2.00537e-03 7.00897e+05  1.56922e+08 1.57269e+08 3.50910e+05
2.06078e-03 7.17014e+05  1.65565e+08 1.65928e+08 3.53977e+05
2.11614e-03 7.46389e+05  1.74470e+08 1.74842e+08 3.55933e+05
2.17148e-03 7.97622e+05  1.83563e+08 1.83983e+08 3.57484e+05
2.22681e-03 8.24367e+05  1.92853e+08 1.93303e+08 3.59700e+05
2.28210e-03 7.77128e+05  2.02391e+08 2.02778e+08 3.63280e+05
2.33737e-03 6.90148e+05  2.12152e+08 2.12439e+08 3.69569e+05
2.39264e-03 6.26532e+05  2.22105e+08 2.22346e+08 3.79852e+05
2.44791e-03 6.03420e+05  2.32301e+08 2.32536e+08 3.92256e+05
2.50318e-03 6.21976e+05  2.42755e+08 2.43001e+08 4.03143e+05
2.55841e-03 6.90125e+05  2.53392e+08 2.53699e+08 4.10537e+05
2.61362e-03 7.77556e+05  2.64192e+08 2.64598e+08 4.14300e+05
2.66884e-03 8.17145e+05  2.75244e+08 2.75688e+08 4.15626e+05
2.72401e-03 7.90493e+05  2.86566e+08 2.86958e+08 4.16482e+05
2.77914e-03 7.51209e+05  2.98071e+08 2.98420e+08 4.17781e+05
2.83425e-03 7.28964e+05  3.09724e+08 3.10083e+08 4.19788e+05
2.88939e-03 6.93277e+05  3.21630e+08 3.21965e+08 4.24230e+05
2.94450e-03 6.46060e+05  3.33803e+08 3.34067e+08 4.32976e+05
2.99957e-03 6.38827e+05  3.46146e+08 3.46397e+08 4.45227e+05
3.05463e-03 6.72589e+05  3.58669e+08 3.58969e+08 4.57381e+05
3.10971e-03 6.99170e+05  3.71460e+08 3.71779e+08 4.65859e+05
3.16476e-03 7.16441e+05  3.84478e+08 3.84795e+08 4.70203e+05
3.21976e-03 7.49912e+05  3.97630e+08 3.97992e+08 4.72176e+05
3.27474e-03 7.70677e+05  4.10968e+08 4.11376e+08 4.73048e+05
3.32974e-03 7.39300e+05  4.24599e+08 4.24964e+08 4.73752e+05
3.38469e-03 6.94248e+05  4.38462e+08 4.38756e+08 4.75534e+05
3.43961e-03 6.94314e+05  4.52453e+08 4.52756e+08 4.79473e+05
3.49453e-03 7.12479e+05  4.66615e+08 4.66963e+08 4.86507e+05
3.54947e-03 6.87910e+05  4.81061e+08 4.81380e+08 4.96621e+05
3.60438e-03 6.41456e+05  4.95746e+08 4.95999e+08 5.07529e+05
3.65925e-03 6.39199e+05  5.10578e+08 5.10833e+08 5.16282e+05
3.71410e-03 6.84736e+05  5.25590e+08 5.25904e+08 5.21825e+05
3.76898e-03 7.35990e+05  5.40853e+08 5.41209e+08 5.24902e+05
3.82383e-03 7.76754e+05  5.56322e+08 5.56706e+08 5.26663e+05
3.87862e-03 7.96085e+05  5.71944e+08 5.72355e+08 5.28072e+05
3.93341e-03 7.58837e+05  5.87776e+08 5.88157e+08 5.29874e+05
3.98818e-03 6.67426e+05  6.03852e+08 6.04130e+08 5.32833e+05
4.04295e-03 5.92148e+05  6.20120e+08 6.20320e+08 5.38052e+05
4.09768e-03 5.87890e+05  6.36539e+08 6.36751e+08 5.46128e+05
4.15240e-03 6.39092e+05  6.53177e+08 6.53445e+08 5.55694e+05
4.20714e-03 7.10913e+05  6.70061e+08 6.70388e+08 5.64044e+05
4.26186e-03 7.83181e+05  6.87124e+08 6.87519e+08 5.69655e+05
4.31654e-03 8.20762e+05  7.04348e+08 7.04790e+08 5.72997e+05
4.37120e-03 7.86677e+05  7.21789e+08 7.22194e+08 5.75096e+05
4.42587e-03 7.01180e+05  7.39450e+08 7.39760e+08 5.76694e+05
4.48051e-03 6.27891e+05  7.57279e+08 7.57521e+08 5.78537e+05
4.53513e-03 6.00344e+05  7.75286e+08 7.75514e+08 5.81507e+05
4.58972e-03 6.13094e+05  7.93516e+08 7.93753e+08 5.86280e+05
4.64432e-03 6.61237e+05  8.11958e+08 8.12231e+08 5.92805e+05
4.69890e-03 7.28718e+05  8.30563e+08 8.30904e+08 5.99988e+05
4.75345e-03 7.67233e+05  8.49353e+08 8.49736e+08 6.06274e+05
4.80799e-03 7.47065e+05  8.68365e+08 8.68722e+08 6.10902e+05
4.86254e-03 7.00852e+05  8.87573e+08 8.87886e+08 6.14263e+05
4.91706e-03 6.72563e+05  9.06936e+08 9.07241e+08 6.17039e+05
4.97155e-03 6.63726e+05  9.26497e+08 9.26804e+08 6.19683e+05
5.02603e-03 6.66956e+05  9.46287e+08 9.46582e+08 6.22660e+05
5.08050e-03 6.94819e+05  9.66251e+08 9.66563e+08 6.26455e+05
5.13495e-03 7.34540e+05  9.86362e+08 9.86718e+08 6.31189e+05
5.18938e-03 7.35366e+05  1.00668e+09 1.00703e+09 6.36444e+05
5.24380e-03 6.82093e+05  1.02723e+09 1.02750e+09 6.41551e+05
5.29821e-03 6.25041e+05  1.04795e+09 1.04817e+09 6.46046e+05
5.35260e-03 6.09026e+05  1.06882e+09 1.06905e+09 6.49980e+05
5.40697e-03 6.31184e+05  1.08989e+09 1.09015e+09 6.53755e+05
5.46132e-03 6.83223e+05  1.11118e+09 1.11149e+09 6.57566e+05
5.51567e-03 7.62035e+05  1.13263e+09 1.13302e+09 6.61301e+05
5.56999e-03 8.23317e+05  1.15423e+09 1.15469e+09 6.65054e+05
5.62431e-03 8.03790e+05  1.17606e+09 1.17649e+09 6.69064e+05
5.67860e-03 7.10587e+05  1.19810e+09 1.19841e+09 6.73157e+05
5.73288e-03 6.19830e+05  1.22029e+09 1.22050e+09 6.77005e+05
5.78714e-03 5.78001e+05  1.24261e+09 1.24280e+09 6.80785e+05
