2.84105e-04 6.33942e+02  5.25259e+02 5.25259e+02 
5.67185e-04 1.18902e+03  1.13336e+03 1.71304e+03 
8.50432e-04 1.66502e+03  1.89612e+03 2.97968e+03 
1.13359e-03 1.61248e+03  3.15905e+03 4.17790e+03 
1.41654e-03 1.37774e+03  4.74080e+03 5.53310e+03 
1.69937e-03 1.18745e+03  6.69390e+03 7.30345e+03 
1.98210e-03 1.06612e+03  9.08052e+03 9.56029e+03 
2.26447e-03 1.04108e+03  1.17712e+04 1.22285e+04 
2.54690e-03 1.03044e+03  1.47795e+04 1.52320e+04 
2.82899e-03 9.86131e+02  1.81505e+04 1.85527e+04 
3.11072e-03 9.95399e+02  2.18114e+04 2.22368e+04 
3.39249e-03 9.79394e+02  2.59329e+04 2.63458e+04 
3.67401e-03 9.55308e+02  3.05201e+04 3.08859e+04 
3.95533e-03 1.11180e+03  3.52686e+04 3.58048e+04 
4.23687e-03 1.26863e+03  4.03348e+04 4.10392e+04 
4.51832e-03 1.26612e+03  4.58653e+04 4.65572e+04 
4.79961e-03 1.23413e+03  5.17294e+04 5.23904e+04 
5.08071e-03 1.21846e+03  5.79291e+04 5.85821e+04 
5.36154e-03 1.14904e+03  6.45509e+04 6.51275e+04 
5.64214e-03 1.06540e+03  7.14933e+04 7.19806e+04 
5.92257e-03 9.99480e+02  7.86820e+04 7.91168e+04 
6.20279e-03 8.70627e+02  8.62810e+04 8.65883e+04 
6.48284e-03 7.70173e+02  9.43105e+04 9.45094e+04 
6.76281e-03 8.64563e+02  1.02663e+05 1.02957e+05 
7.04261e-03 1.11158e+03  1.11335e+05 1.11878e+05 
7.32232e-03 1.33990e+03  1.20348e+05 1.21120e+05 
7.60185e-03 1.40538e+03  1.29705e+05 1.30544e+05 
7.88122e-03 1.28580e+03  1.39427e+05 1.40148e+05 
8.16052e-03 1.08791e+03  1.49526e+05 1.50050e+05 
8.43963e-03 9.37333e+02  1.60005e+05 1.60375e+05 
8.71849e-03 9.28141e+02  1.70800e+05 1.71156e+05 
8.99713e-03 1.03677e+03  1.81863e+05 1.82337e+05 
