2.84105e-04 1.42832e+03  1.18029e+03 1.18029e+03 
5.66675e-04 2.68953e+03  2.51746e+03 3.83506e+03 
8.49503e-04 3.74420e+03  4.20211e+03 6.64508e+03 
1.13226e-03 3.50220e+03  7.11163e+03 9.27568e+03 
1.41466e-03 2.87564e+03  1.07094e+04 1.22534e+04 
1.69685e-03 2.55695e+03  1.49593e+04 1.62132e+04 
1.97886e-03 2.50754e+03  2.01622e+04 2.13601e+04 
2.26033e-03 2.60706e+03  2.62058e+04 2.75039e+04 
2.54197e-03 2.63357e+03  3.30608e+04 3.43876e+04 
2.82313e-03 2.51443e+03  4.06687e+04 4.18566e+04 
3.10385e-03 2.48004e+03  4.87757e+04 4.99611e+04 
3.38462e-03 2.35218e+03  5.77993e+04 5.88785e+04 
3.66497e-03 2.08962e+03  6.79508e+04 6.87234e+04 
3.94494e-03 2.13326e+03  7.86603e+04 7.94970e+04 
4.22498e-03 2.28483e+03  9.01332e+04 9.11357e+04 
4.50487e-03 2.35579e+03  1.02528e+05 1.03577e+05 
4.78455e-03 2.61477e+03  1.15516e+05 1.16833e+05 
5.06415e-03 2.99673e+03  1.29198e+05 1.30922e+05 
5.34327e-03 3.14647e+03  1.43877e+05 1.45741e+05 
5.62219e-03 3.01586e+03  1.59429e+05 1.61146e+05 
5.90098e-03 2.70508e+03  1.75631e+05 1.77054e+05 
6.17936e-03 2.20022e+03  1.92650e+05 1.93563e+05 
6.45753e-03 1.82901e+03  2.10431e+05 2.10962e+05 
6.73547e-03 1.92008e+03  2.28839e+05 2.29482e+05 
7.01318e-03 2.24693e+03  2.48130e+05 2.49106e+05 
7.29050e-03 2.47993e+03  2.68373e+05 2.69567e+05 
7.56764e-03 2.55008e+03  2.89364e+05 2.90622e+05 
7.84449e-03 2.52060e+03  3.10991e+05 3.12228e+05 
8.12119e-03 2.48150e+03  3.33374e+05 3.34582e+05 
8.39773e-03 2.51891e+03  3.56637e+05 3.57877e+05 
8.67397e-03 2.72243e+03  3.80671e+05 3.82104e+05 
8.95016e-03 3.00415e+03  4.05372e+05 4.07104e+05 
9.22619e-03 2.98434e+03  4.30953e+05 4.32674e+05 
9.50206e-03 2.55697e+03  4.57510e+05 4.58776e+05 
9.77751e-03 2.16738e+03  4.84652e+05 4.85526e+05 
1.00528e-02 2.05343e+03  5.12359e+05 5.13150e+05 
1.03277e-02 2.00903e+03  5.41021e+05 5.41766e+05 
1.06024e-02 2.04108e+03  5.70611e+05 5.71364e+05 
1.08767e-02 2.29427e+03  6.00803e+05 6.01817e+05 
1.11510e-02 2.53713e+03  6.31741e+05 6.33016e+05 
1.14251e-02 2.51986e+03  6.63625e+05 6.64867e+05 
1.16989e-02 2.44910e+03  6.96259e+05 6.97417e+05 
1.19726e-02 2.58208e+03  7.29454e+05 7.30763e+05 
1.22460e-02 2.77248e+03  7.63450e+05 7.64964e+05 
1.25194e-02 2.79909e+03  7.98448e+05 7.99972e+05 
1.27923e-02 2.73803e+03  8.34178e+05 8.35627e+05 
1.30649e-02 2.66269e+03  8.70487e+05 8.71878e+05 
1.33375e-02 2.42023e+03  9.07623e+05 9.08781e+05 
1.36098e-02 2.04957e+03  9.45677e+05 9.46446e+05 
1.38816e-02 1.90868e+03  9.84382e+05 9.85007e+05 
1.41532e-02 2.09693e+03  1.02372e+06 1.02455e+06 
1.44247e-02 2.32049e+03  1.06397e+06 1.06503e+06 
1.46959e-02 2.45604e+03  1.10512e+06 1.10630e+06 
1.49667e-02 2.62607e+03  1.14689e+06 1.14824e+06 
1.52376e-02 2.76139e+03  1.18934e+06 1.19084e+06 
1.55083e-02 2.68934e+03  1.23264e+06 1.23406e+06 
1.57787e-02 2.50568e+03  1.27676e+06 1.27799e+06 
1.60490e-02 2.40660e+03  1.32157e+06 1.32271e+06 
1.63190e-02 2.38923e+03  1.36716e+06 1.36828e+06 
1.65888e-02 2.40033e+03  1.41362e+06 1.41475e+06 
1.68584e-02 2.47406e+03  1.46080e+06 1.46200e+06 
1.71278e-02 2.54930e+03  1.50866e+06 1.50994e+06 
1.73969e-02 2.47202e+03  1.55730e+06 1.55851e+06 
1.76656e-02 2.26053e+03  1.60671e+06 1.60770e+06 
1.79341e-02 2.08706e+03  1.65684e+06 1.65766e+06 
1.82023e-02 2.04248e+03  1.70778e+06 1.70856e+06 
1.84704e-02 2.16840e+03  1.75955e+06 1.76044e+06 
1.87382e-02 2.52201e+03  1.81200e+06 1.81324e+06 
1.90058e-02 2.94252e+03  1.86508e+06 1.86676e+06 
1.92732e-02 3.06350e+03  1.91903e+06 1.92083e+06 
1.95405e-02 2.80470e+03  1.97388e+06 1.97540e+06 
1.98076e-02 2.47626e+03  2.02936e+06 2.03055e+06 
2.00744e-02 2.26610e+03  2.08549e+06 2.08650e+06 
2.03411e-02 2.11537e+03  2.14257e+06 2.14342e+06 
2.06076e-02 2.10862e+03  2.20049e+06 2.20131e+06 
2.08737e-02 2.37494e+03  2.25892e+06 2.26002e+06 
2.11395e-02 2.64572e+03  2.31798e+06 2.31937e+06 
2.14050e-02 2.54414e+03  2.37803e+06 2.37931e+06 
2.16703e-02 2.21280e+03  2.43894e+06 2.43987e+06 
2.19354e-02 2.07572e+03  2.50042e+06 2.50121e+06 
2.22004e-02 2.18389e+03  2.56256e+06 2.56349e+06 
2.24652e-02 2.34189e+03  2.62566e+06 2.62673e+06 
2.27298e-02 2.57075e+03  2.68953e+06 2.69082e+06 
2.29942e-02 2.89433e+03  2.75396e+06 2.75559e+06 
2.32583e-02 3.01713e+03  2.81913e+06 2.82089e+06 
2.35222e-02 2.73736e+03  2.88527e+06 2.88673e+06 
2.37859e-02 2.33240e+03  2.95215e+06 2.95320e+06 
2.40493e-02 2.13365e+03  3.01959e+06 3.02045e+06 
2.43125e-02 2.11460e+03  3.08778e+06 3.08863e+06 
2.45755e-02 2.17728e+03  3.15685e+06 3.15776e+06 
2.48382e-02 2.37066e+03  3.22663e+06 3.22772e+06 
2.51007e-02 2.60489e+03  3.29706e+06 3.29840e+06 
2.53630e-02 2.62927e+03  3.36834e+06 3.36970e+06 
2.56250e-02 2.43956e+03  3.44044e+06 3.44160e+06 
2.58869e-02 2.28483e+03  3.51316e+06 3.51417e+06 
2.61485e-02 2.26296e+03  3.58654e+06 3.58754e+06 
2.64100e-02 2.30718e+03  3.66078e+06 3.66182e+06 
2.66712e-02 2.45031e+03  3.73583e+06 3.73700e+06 
2.69323e-02 2.69966e+03  3.81152e+06 3.81295e+06 
2.71931e-02 2.83261e+03  3.88795e+06 3.88952e+06 
2.74536e-02 2.68137e+03  3.96522e+06 3.96663e+06 
2.77138e-02 2.40534e+03  4.04319e+06 4.04431e+06 
2.79738e-02 2.21752e+03  4.12177e+06 4.12272e+06 
2.82336e-02 2.12528e+03  4.20109e+06 4.20195e+06 
2.84931e-02 2.11968e+03  4.28126e+06 4.28211e+06 
2.87523e-02 2.26866e+03  4.36213e+06 4.36313e+06 
2.90114e-02 2.48900e+03  4.44372e+06 4.44494e+06 
2.92703e-02 2.58127e+03  4.52608e+06 4.52739e+06 
2.95289e-02 2.54478e+03  4.60918e+06 4.61045e+06 
2.97873e-02 2.52147e+03  4.69291e+06 4.69416e+06 
3.00456e-02 2.50348e+03  4.77742e+06 4.77867e+06 
3.03038e-02 2.44326e+03  4.86284e+06 4.86401e+06 
3.05617e-02 2.47076e+03  4.94895e+06 4.95014e+06 
3.08193e-02 2.63617e+03  5.03564e+06 5.03701e+06 
