1.14474e-04 5.95337e+04  4.99226e+04 4.99226e+04 
2.28949e-04 1.17066e+05  9.98264e+04 1.60449e+05 
3.43371e-04 1.46802e+05  1.80632e+05 2.71067e+05 
4.57674e-04 1.21280e+05  3.10397e+05 3.74336e+05 
5.72072e-04 9.46873e+04  4.65914e+05 5.08453e+05 
6.86482e-04 7.69390e+04  6.81672e+05 7.01523e+05 
8.00867e-04 9.03356e+04  9.05025e+05 9.42388e+05 
9.15251e-04 9.05797e+04  1.16839e+06 1.20764e+06 
1.02957e-03 6.99247e+04  1.48450e+06 1.49938e+06 
1.14390e-03 7.59616e+04  1.81740e+06 1.84131e+06 
1.25825e-03 9.97874e+04  2.19590e+06 2.24153e+06 
1.37260e-03 1.23605e+05  2.60865e+06 2.67703e+06 
1.48696e-03 1.18634e+05  3.05666e+06 3.12085e+06 
1.60127e-03 8.92660e+04  3.54008e+06 3.57585e+06 
1.71559e-03 7.04241e+04  4.05241e+06 4.07186e+06 
1.82989e-03 6.91305e+04  4.61396e+06 4.62998e+06 
1.94420e-03 8.92383e+04  5.20508e+06 5.24073e+06 
2.05849e-03 1.07333e+05  5.82422e+06 5.87898e+06 
2.17274e-03 1.01734e+05  6.48494e+06 6.53379e+06 
2.28698e-03 8.83089e+04  7.18076e+06 7.21705e+06 
2.40125e-03 8.12721e+04  7.91557e+06 7.94403e+06 
2.51550e-03 8.64257e+04  8.68165e+06 8.71525e+06 
2.62973e-03 9.38068e+04  9.47933e+06 9.52107e+06 
2.74396e-03 9.37030e+04  1.03154e+07 1.03571e+07 
2.85819e-03 9.10771e+04  1.11894e+07 1.12285e+07 
2.97240e-03 9.05709e+04  1.21023e+07 1.21392e+07 
3.08659e-03 9.64156e+04  1.30413e+07 1.30845e+07 
3.20076e-03 9.72692e+04  1.40109e+07 1.40571e+07 
3.31496e-03 8.25764e+04  1.50282e+07 1.50591e+07 
3.42913e-03 7.05155e+04  1.60834e+07 1.61008e+07 
3.54327e-03 7.96875e+04  1.71627e+07 1.71898e+07 
3.65741e-03 1.00692e+05  1.82716e+07 1.83211e+07 
3.77156e-03 1.07684e+05  1.94275e+07 1.94827e+07 
3.88569e-03 9.81600e+04  2.06242e+07 2.06680e+07 
3.99981e-03 9.15274e+04  2.18424e+07 2.18814e+07 
4.11391e-03 8.86951e+04  2.30932e+07 2.31311e+07 
4.22802e-03 8.22864e+04  2.43902e+07 2.44205e+07 
4.34210e-03 7.89662e+04  2.57212e+07 2.57472e+07 
4.45617e-03 8.34643e+04  2.70779e+07 2.71097e+07 
4.57024e-03 8.81747e+04  2.84723e+07 2.85094e+07 
4.68431e-03 9.01060e+04  2.99102e+07 2.99473e+07 
4.79836e-03 9.76493e+04  3.13759e+07 3.14201e+07 
4.91239e-03 1.05877e+05  3.28687e+07 3.29229e+07 
5.02643e-03 9.91985e+04  3.44071e+07 3.44543e+07 
5.14046e-03 8.48903e+04  3.59860e+07 3.60173e+07 
5.25447e-03 8.16224e+04  3.75866e+07 3.76157e+07 
5.36847e-03 8.52151e+04  3.92164e+07 3.92512e+07 
5.48247e-03 8.09900e+04  4.08941e+07 4.09238e+07 
5.59646e-03 7.58973e+04  4.26116e+07 4.26341e+07 
5.71042e-03 8.59714e+04  4.43502e+07 4.43835e+07 
5.82438e-03 1.03792e+05  4.61186e+07 4.61711e+07 
5.93835e-03 1.10564e+05  4.79334e+07 4.79912e+07 
6.05230e-03 1.04235e+05  4.97864e+07 4.98365e+07 
6.16623e-03 9.30157e+04  5.16652e+07 5.17052e+07 
6.28015e-03 8.05473e+04  5.35747e+07 5.36039e+07 
6.39407e-03 7.01644e+04  5.55235e+07 5.55423e+07 
6.50798e-03 6.90075e+04  5.75092e+07 5.75263e+07 
6.62188e-03 7.98401e+04  5.95274e+07 5.95552e+07 
6.73576e-03 9.71558e+04  6.15783e+07 6.16226e+07 
6.84964e-03 1.12082e+05  6.36619e+07 6.37206e+07 
6.96350e-03 1.15113e+05  6.57806e+07 6.58425e+07 
7.07736e-03 1.02192e+05  6.79373e+07 6.79866e+07 
7.19121e-03 8.22255e+04  7.01275e+07 7.01572e+07 
7.30504e-03 6.88096e+04  7.23469e+07 7.23640e+07 
7.41887e-03 6.70007e+04  7.46006e+07 7.46163e+07 
7.53269e-03 7.60978e+04  7.68929e+07 7.69172e+07 
7.64651e-03 9.41726e+04  7.92182e+07 7.92597e+07 
7.76031e-03 1.10860e+05  8.15741e+07 8.16318e+07 
7.87410e-03 1.11874e+05  8.39666e+07 8.40251e+07 
7.98789e-03 9.83613e+04  8.63948e+07 8.64399e+07 
8.10167e-03 8.42739e+04  8.88517e+07 8.88842e+07 
8.21544e-03 7.54445e+04  9.13431e+07 9.13677e+07 
8.32919e-03 7.17856e+04  9.38759e+07 9.38957e+07 
8.44294e-03 7.98846e+04  9.64398e+07 9.64666e+07 
8.55669e-03 9.87425e+04  9.90269e+07 9.90737e+07 
8.67043e-03 1.08470e+05  1.01652e+08 1.01709e+08 
8.78416e-03 9.80343e+04  1.04324e+08 1.04369e+08 
8.89787e-03 8.41447e+04  1.07025e+08 1.07055e+08 
9.01158e-03 8.15768e+04  1.09744e+08 1.09775e+08 
9.12529e-03 8.22685e+04  1.12503e+08 1.12535e+08 
