1.23266e-04 2.95986e+04  0.00000e+00 0.00000e+00 
2.46531e-04 2.63919e+05  1.30140e+05 3.55184e+05 
3.69797e-04 6.66728e+05  8.39004e+05 1.48040e+06 
4.93003e-04 8.86890e+05  2.47398e+06 3.36042e+06 
6.16079e-04 6.42783e+05  5.19816e+06 5.81555e+06 
7.39034e-04 2.35827e+05  8.03755e+06 8.23518e+06 
8.61936e-04 2.44626e+04  9.55432e+06 9.55819e+06 
9.84830e-04 2.47312e+03  9.63632e+06 9.63801e+06 
1.10773e-03 4.16237e+04  9.96154e+06 9.98009e+06 
1.23064e-03 2.73601e+05  1.20178e+07 1.22530e+07 
1.35354e-03 6.92363e+05  1.61834e+07 1.68573e+07 
1.47637e-03 9.05940e+05  2.23629e+07 2.32678e+07 
1.59907e-03 6.52175e+05  2.97355e+07 3.03664e+07 
1.72167e-03 2.32153e+05  3.59733e+07 3.61680e+07 
1.84421e-03 2.67320e+04  3.89603e+07 3.89695e+07 
1.96673e-03 6.31458e+03  3.94089e+07 3.94144e+07 
2.08926e-03 4.27372e+04  4.03011e+07 4.03237e+07 
2.21180e-03 2.65162e+05  4.40666e+07 4.42943e+07 
2.33433e-03 6.90875e+05  5.15336e+07 5.22065e+07 
2.45679e-03 9.26940e+05  6.23914e+07 6.33176e+07 
2.57912e-03 6.91115e+05  7.46172e+07 7.52899e+07 
2.70136e-03 2.61459e+05  8.44900e+07 8.47151e+07 
2.82353e-03 3.72039e+04  8.94073e+07 8.94256e+07 
2.94567e-03 8.99572e+03  9.05850e+07 9.05934e+07 
3.06782e-03 3.61774e+04  9.19208e+07 9.19402e+07 
3.18999e-03 2.34275e+05  9.69251e+07 9.71231e+07 
3.31215e-03 6.56897e+05  1.07305e+08 1.07941e+08 
3.43424e-03 9.42336e+05  1.22686e+08 1.23628e+08 
3.55621e-03 7.60479e+05  1.39962e+08 1.40708e+08 
3.67808e-03 3.26135e+05  1.54159e+08 1.54450e+08 
3.79988e-03 5.97645e+04  1.61937e+08 1.61974e+08 
3.92165e-03 1.10616e+04  1.64374e+08 1.64384e+08 
4.04342e-03 2.63451e+04  1.65957e+08 1.65972e+08 
4.16520e-03 1.83751e+05  1.71509e+08 1.71659e+08 
4.28698e-03 5.84856e+05  1.84001e+08 1.84561e+08 
4.40870e-03 9.36736e+05  2.03357e+08 2.04291e+08 
4.53032e-03 8.52599e+05  2.25809e+08 2.26653e+08 
4.65183e-03 4.32856e+05  2.45308e+08 2.45709e+08 
4.77325e-03 1.04768e+05  2.57308e+08 2.57385e+08 
4.89463e-03 1.54927e+04  2.61943e+08 2.61954e+08 
5.01602e-03 1.77338e+04  2.63812e+08 2.63824e+08 
5.13742e-03 1.23532e+05  2.69101e+08 2.69195e+08 
5.25881e-03 4.73519e+05  2.82435e+08 2.82878e+08 
5.38016e-03 8.87422e+05  3.04667e+08 3.05547e+08 
5.50142e-03 9.46074e+05  3.32077e+08 3.33020e+08 
5.62257e-03 5.85818e+05  3.57845e+08 3.58406e+08 
5.74362e-03 1.90414e+05  3.75799e+08 3.75958e+08 
5.86462e-03 3.01711e+04  3.84236e+08 3.84256e+08 
5.98561e-03 1.33045e+04  3.87053e+08 3.87064e+08 
6.10661e-03 6.86466e+04  3.91451e+08 3.91499e+08 
6.22762e-03 3.33664e+05  4.03998e+08 4.04299e+08 
6.34859e-03 7.72166e+05  4.27316e+08 4.28073e+08 
6.46949e-03 1.00123e+06  4.58717e+08 4.59717e+08 
6.59028e-03 7.73790e+05  4.91229e+08 4.91987e+08 
6.71098e-03 3.39765e+05  5.16973e+08 5.17281e+08 
6.83160e-03 7.43034e+04  5.31604e+08 5.31658e+08 
6.95219e-03 1.50374e+04  5.37098e+08 5.37111e+08 
7.07278e-03 3.24433e+04  5.40722e+08 5.40744e+08 
7.19339e-03 1.92635e+05  5.50905e+08 5.51067e+08 
7.31398e-03 5.86449e+05  5.72858e+08 5.73419e+08 
7.43451e-03 9.65615e+05  6.06140e+08 6.07101e+08 
7.55495e-03 9.52794e+05  6.44719e+08 6.45666e+08 
7.67529e-03 5.64970e+05  6.79566e+08 6.80105e+08 
7.79554e-03 1.83932e+05  7.03301e+08 7.03456e+08 
7.91574e-03 3.31670e+04  7.14577e+08 7.14602e+08 
8.03592e-03 1.79671e+04  7.19060e+08 7.19076e+08 
8.15611e-03 8.58560e+04  7.26186e+08 7.26251e+08 
8.27631e-03 3.62587e+05  7.44133e+08 7.44464e+08 
8.39647e-03 8.01350e+05  7.75945e+08 7.76731e+08 
8.51655e-03 1.03965e+06  8.18095e+08 8.19134e+08 
8.63654e-03 8.33879e+05  8.61805e+08 8.62626e+08 
8.75643e-03 3.99945e+05  8.97155e+08 8.97525e+08 
8.87624e-03 1.04699e+05  9.18452e+08 9.18536e+08 
8.99602e-03 2.24215e+04  9.27603e+08 9.27623e+08 
9.11579e-03 3.26044e+04  9.33083e+08 9.33109e+08 
9.23557e-03 1.67289e+05  9.45359e+08 9.45499e+08 
9.35534e-03 5.30374e+05  9.71712e+08 9.72215e+08 
9.47506e-03 9.45914e+05  1.01288e+09 1.01381e+09 
9.59470e-03 1.03907e+06  1.06253e+09 1.06356e+09 
9.71424e-03 7.17618e+05  1.10997e+09 1.11067e+09 
9.83368e-03 2.96118e+05  1.14536e+09 1.14562e+09 
9.95306e-03 7.00682e+04  1.16500e+09 1.16506e+09 
1.00000e-02 3.66609e+04  1.16968e+09 1.16970e+09 
