1.23266e-04 2.77722e+04  0.00000e+00 0.00000e+00 
2.46531e-04 2.46532e+05  1.30140e+05 3.55184e+05 
3.69797e-04 6.14315e+05  8.39006e+05 1.48040e+06 
4.93003e-04 8.12378e+05  2.47398e+06 3.36042e+06 
6.16079e-04 5.93632e+05  5.19815e+06 5.81552e+06 
7.39034e-04 2.20089e+05  8.03749e+06 8.23511e+06 
8.61936e-04 2.29450e+04  9.55418e+06 9.55806e+06 
9.84830e-04 2.23903e+03  9.63613e+06 9.63781e+06 
1.10773e-03 3.90542e+04  9.96132e+06 9.97987e+06 
1.23064e-03 2.54586e+05  1.20176e+07 1.22528e+07 
1.35354e-03 6.37537e+05  1.61832e+07 1.68572e+07 
1.47637e-03 8.33025e+05  2.23628e+07 2.32677e+07 
1.59907e-03 6.03058e+05  2.97355e+07 3.03663e+07 
1.72167e-03 2.16021e+05  3.59731e+07 3.61678e+07 
1.84421e-03 2.50526e+04  3.89598e+07 3.89691e+07 
1.96673e-03 5.73546e+03  3.94081e+07 3.94136e+07 
2.08926e-03 4.01004e+04  4.03003e+07 4.03229e+07 
2.21180e-03 2.46236e+05  4.40659e+07 4.42936e+07 
2.33433e-03 6.36756e+05  5.15332e+07 5.22061e+07 
2.45679e-03 8.54246e+05  6.23912e+07 6.33174e+07 
2.57912e-03 6.39069e+05  7.46171e+07 7.52898e+07 
2.70136e-03 2.42738e+05  8.44897e+07 8.47147e+07 
2.82353e-03 3.48312e+04  8.94063e+07 8.94247e+07 
2.94567e-03 8.21180e+03  9.05834e+07 9.05918e+07 
3.06782e-03 3.39436e+04  9.19190e+07 9.19384e+07 
3.18999e-03 2.17513e+05  9.69235e+07 9.71216e+07 
3.31215e-03 6.06280e+05  1.07304e+08 1.07940e+08 
3.43424e-03 8.69552e+05  1.22686e+08 1.23627e+08 
3.55621e-03 7.03001e+05  1.39962e+08 1.40708e+08 
3.67808e-03 3.02338e+05  1.54158e+08 1.54450e+08 
3.79988e-03 5.58558e+04  1.61935e+08 1.61973e+08 
3.92165e-03 1.01920e+04  1.64372e+08 1.64381e+08 
4.04342e-03 2.47039e+04  1.65954e+08 1.65969e+08 
4.16521e-03 1.70814e+05  1.71506e+08 1.71656e+08 
4.28698e-03 5.40603e+05  1.83999e+08 1.84559e+08 
4.40870e-03 8.65117e+05  2.03356e+08 2.04290e+08 
4.53032e-03 7.88001e+05  2.25808e+08 2.26652e+08 
4.65183e-03 4.00900e+05  2.45307e+08 2.45708e+08 
4.77325e-03 9.76772e+04  2.57306e+08 2.57383e+08 
4.89464e-03 1.44507e+04  2.61939e+08 2.61950e+08 
5.01602e-03 1.65840e+04  2.63807e+08 2.63819e+08 
5.13742e-03 1.15117e+05  2.69096e+08 2.69190e+08 
5.25881e-03 4.38421e+05  2.82431e+08 2.82874e+08 
5.38016e-03 8.20203e+05  3.04665e+08 3.05545e+08 
5.50142e-03 8.74423e+05  3.32076e+08 3.33019e+08 
5.62257e-03 5.42256e+05  3.57845e+08 3.58405e+08 
5.74362e-03 1.77076e+05  3.75797e+08 3.75955e+08 
5.86462e-03 2.82871e+04  3.84232e+08 3.84251e+08 
5.98561e-03 1.23905e+04  3.87046e+08 3.87058e+08 
6.10661e-03 6.41964e+04  3.91444e+08 3.91492e+08 
6.22762e-03 3.09574e+05  4.03992e+08 4.04293e+08 
6.34859e-03 7.14352e+05  4.27313e+08 4.28069e+08 
6.46949e-03 9.25681e+05  4.58715e+08 4.59716e+08 
6.59028e-03 7.16033e+05  4.91228e+08 4.91987e+08 
6.71098e-03 3.15325e+05  5.16971e+08 5.17279e+08 
6.83160e-03 6.94399e+04  5.31599e+08 5.31653e+08 
6.95219e-03 1.40473e+04  5.37090e+08 5.37103e+08 
7.07278e-03 3.04314e+04  5.40712e+08 5.40734e+08 
7.19339e-03 1.79249e+05  5.50896e+08 5.51058e+08 
7.31398e-03 5.43276e+05  5.72852e+08 5.73413e+08 
7.43451e-03 8.93294e+05  6.06137e+08 6.07098e+08 
7.55496e-03 8.81655e+05  6.44718e+08 6.45665e+08 
7.67529e-03 5.23648e+05  6.79564e+08 6.80103e+08 
7.79554e-03 1.71175e+05  7.03296e+08 7.03451e+08 
7.91574e-03 3.10826e+04  7.14569e+08 7.14593e+08 
8.03592e-03 1.68260e+04  7.19048e+08 7.19064e+08 
8.15612e-03 8.02262e+04  7.26173e+08 7.26239e+08 
8.27631e-03 3.36607e+05  7.44123e+08 7.44454e+08 
8.39647e-03 7.42087e+05  7.75939e+08 7.76725e+08 
8.51656e-03 9.62314e+05  8.18092e+08 8.19131e+08 
8.63654e-03 7.72400e+05  8.61804e+08 8.62625e+08 
8.75643e-03 3.71243e+05  8.97152e+08 8.97521e+08 
8.87624e-03 9.76850e+04  9.18444e+08 9.18528e+08 
8.99602e-03 2.10111e+04  9.27590e+08 9.27610e+08 
9.11579e-03 3.05770e+04  9.33067e+08 9.33093e+08 
9.23557e-03 1.55844e+05  9.45343e+08 9.45484e+08 
9.35534e-03 4.91978e+05  9.71700e+08 9.72204e+08 
9.47507e-03 8.76173e+05  1.01287e+09 1.01381e+09 
9.59470e-03 9.62395e+05  1.06252e+09 1.06356e+09 
9.71424e-03 6.65302e+05  1.10997e+09 1.11066e+09 
9.83368e-03 2.75231e+05  1.14535e+09 1.14562e+09 
9.95306e-03 6.54902e+04  1.16499e+09 1.16505e+09 
1.00000e-02 3.43434e+04  1.16966e+09 1.16969e+09 
