1.23266e-04 2.95986e+04  -1.24268e-21 -2.60603e-09 
2.46531e-04 2.78086e+05  1.30140e+05 3.55184e+05 
3.69797e-04 9.59180e+05  5.95745e+05 1.48040e+06 
4.93003e-04 2.15639e+06  1.66192e+06 3.74899e+06 
6.16100e-04 3.57295e+06  4.32904e+06 7.86031e+06 
7.39119e-04 4.61639e+06  9.26136e+06 1.38628e+07 
8.62098e-04 4.80250e+06  1.61974e+07 2.09936e+07 
9.85015e-04 4.07934e+06  2.49085e+07 2.89578e+07 
1.10781e-03 2.79158e+06  3.47130e+07 3.74539e+07 
1.23051e-03 1.43989e+06  4.36276e+07 4.49973e+07 
1.35315e-03 5.17630e+05  4.98349e+07 5.02921e+07 
1.47576e-03 1.51456e+05  5.34976e+07 5.36179e+07 
1.59837e-03 9.54983e+04  5.55690e+07 5.56570e+07 
1.72100e-03 1.05868e+05  5.69037e+07 5.70014e+07 
1.84364e-03 1.95485e+05  5.91868e+07 5.93507e+07 
1.96621e-03 5.69330e+05  6.42620e+07 6.47729e+07 
2.08871e-03 1.43308e+06  7.25159e+07 7.38790e+07 
2.21119e-03 2.75036e+06  8.39596e+07 8.66582e+07 
2.33363e-03 4.09802e+06  9.96995e+07 1.03772e+08 
2.45606e-03 4.90754e+06  1.20253e+08 1.25153e+08 
2.57841e-03 4.81878e+06  1.44074e+08 1.48883e+08 
2.70064e-03 3.87953e+06  1.68746e+08 1.72593e+08 
2.82276e-03 2.50793e+06  1.91771e+08 1.94223e+08 
2.94483e-03 1.23751e+06  2.10300e+08 2.11475e+08 
3.06684e-03 4.24169e+05  2.22508e+08 2.22883e+08 
3.18882e-03 1.08398e+05  2.29309e+08 2.29393e+08 
3.31080e-03 6.91910e+04  2.33344e+08 2.33410e+08 
3.43279e-03 8.49470e+04  2.37061e+08 2.37136e+08 
3.55476e-03 2.19739e+05  2.42732e+08 2.42916e+08 
3.67668e-03 7.29959e+05  2.52956e+08 2.53629e+08 
3.79860e-03 1.74257e+06  2.69737e+08 2.71418e+08 
3.92048e-03 3.10714e+06  2.93874e+08 2.96933e+08 
4.04228e-03 4.40341e+06  3.25417e+08 3.29799e+08 
4.16400e-03 5.09196e+06  3.63219e+08 3.68305e+08 
4.28566e-03 4.87178e+06  4.03949e+08 4.08808e+08 
4.40723e-03 3.87717e+06  4.43183e+08 4.47029e+08 
4.52871e-03 2.52165e+06  4.77533e+08 4.80005e+08 
4.65014e-03 1.29227e+06  5.05080e+08 5.06311e+08 
4.77147e-03 5.33960e+05  5.25072e+08 5.25558e+08 
4.89277e-03 2.36872e+05  5.38402e+08 5.38619e+08 
5.01408e-03 1.56864e+05  5.47481e+08 5.47632e+08 
5.13540e-03 1.44284e+05  5.55200e+08 5.55335e+08 
5.25668e-03 2.53963e+05  5.64692e+08 5.64917e+08 
5.37793e-03 6.77513e+05  5.79586e+08 5.80212e+08 
5.49916e-03 1.59306e+06  6.03164e+08 6.04696e+08 
5.62035e-03 2.91298e+06  6.37057e+08 6.39923e+08 
5.74152e-03 4.23360e+06  6.80933e+08 6.85141e+08 
5.86263e-03 5.09238e+06  7.32813e+08 7.37894e+08 
5.98367e-03 5.17808e+06  7.89322e+08 7.94493e+08 
6.10460e-03 4.43271e+06  8.46103e+08 8.50515e+08 
6.22545e-03 3.14817e+06  8.98640e+08 9.01743e+08 
6.34621e-03 1.82729e+06  9.42969e+08 9.44739e+08 
6.46692e-03 8.43676e+05  9.76337e+08 9.77132e+08 
6.58760e-03 3.00033e+05  9.98132e+08 9.98403e+08 
6.70824e-03 1.04972e+05  1.01083e+09 1.01093e+09 
6.82887e-03 9.27520e+04  1.01970e+09 1.01979e+09 
6.94952e-03 2.01657e+05  1.03098e+09 1.03116e+09 
7.07016e-03 5.54378e+05  1.04997e+09 1.05048e+09 
7.19078e-03 1.29054e+06  1.07998e+09 1.08122e+09 
7.31133e-03 2.39999e+06  1.12203e+09 1.12437e+09 
7.43178e-03 3.69686e+06  1.17528e+09 1.17894e+09 
7.55217e-03 4.81994e+06  1.23807e+09 1.24288e+09 
7.67252e-03 5.34916e+06  1.30819e+09 1.31353e+09 
7.79283e-03 5.06649e+06  1.38199e+09 1.38705e+09 
7.91302e-03 4.08713e+06  1.45409e+09 1.45815e+09 
8.03312e-03 2.77591e+06  1.51855e+09 1.52128e+09 
8.15316e-03 1.57226e+06  1.57073e+09 1.57225e+09 
8.27315e-03 7.61185e+05  1.60894e+09 1.60967e+09 
8.39310e-03 3.49565e+05  1.63521e+09 1.63554e+09 
8.51303e-03 1.94236e+05  1.65421e+09 1.65439e+09 
8.63298e-03 1.82939e+05  1.67133e+09 1.67150e+09 
8.75288e-03 3.05548e+05  1.69125e+09 1.69154e+09 
8.87274e-03 6.75597e+05  1.71796e+09 1.71859e+09 
8.99259e-03 1.45150e+06  1.75527e+09 1.75667e+09 
9.11241e-03 2.64422e+06  1.80681e+09 1.80941e+09 
9.23220e-03 4.01742e+06  1.87481e+09 1.87879e+09 
9.35196e-03 5.15428e+06  1.95830e+09 1.96344e+09 
9.47165e-03 5.62586e+06  2.05224e+09 2.05786e+09 
9.59122e-03 5.24098e+06  2.14829e+09 2.15352e+09 
9.71071e-03 4.18878e+06  2.23761e+09 2.24177e+09 
9.83013e-03 2.87942e+06  2.31398e+09 2.31682e+09 
9.94945e-03 1.69095e+06  2.37531e+09 2.37695e+09 
1.00000e-02 1.28327e+06  2.39718e+09 2.39842e+09 
