1.23266e-04 2.58988e+04  -1.24268e-21 -2.60603e-09 
2.46531e-04 2.54890e+05  1.30140e+05 3.55184e+05 
3.69797e-04 9.04360e+05  5.95746e+05 1.48040e+06 
4.93003e-04 2.05202e+06  1.66192e+06 3.74898e+06 
6.16100e-04 3.41191e+06  4.32905e+06 7.86029e+06 
7.39119e-04 4.41833e+06  9.26136e+06 1.38628e+07 
8.62098e-04 4.59759e+06  1.61974e+07 2.09935e+07 
9.85015e-04 3.89502e+06  2.49084e+07 2.89577e+07 
1.10781e-03 2.65327e+06  3.47128e+07 3.74536e+07 
1.23051e-03 1.36684e+06  4.36273e+07 4.49969e+07 
1.35315e-03 4.91063e+05  4.98344e+07 5.02916e+07 
1.47576e-03 1.35701e+05  5.34971e+07 5.36174e+07 
1.59837e-03 7.53670e+04  5.55685e+07 5.56564e+07 
1.72100e-03 8.43703e+04  5.69031e+07 5.70009e+07 
1.84364e-03 1.71612e+05  5.91862e+07 5.93502e+07 
1.96621e-03 5.32821e+05  6.42615e+07 6.47725e+07 
2.08871e-03 1.36441e+06  7.25156e+07 7.38787e+07 
2.21119e-03 2.62680e+06  8.39594e+07 8.66580e+07 
2.33363e-03 3.91726e+06  9.96993e+07 1.03772e+08 
2.45606e-03 4.69196e+06  1.20253e+08 1.25153e+08 
2.57841e-03 4.60466e+06  1.44074e+08 1.48882e+08 
2.70064e-03 3.70262e+06  1.68745e+08 1.72592e+08 
2.82276e-03 2.38870e+06  1.91770e+08 1.94221e+08 
2.94483e-03 1.17586e+06  2.10299e+08 2.11473e+08 
3.06684e-03 4.02099e+05  2.22506e+08 2.22881e+08 
3.18882e-03 9.90175e+04  2.29306e+08 2.29391e+08 
3.31080e-03 5.62359e+04  2.33342e+08 2.33408e+08 
3.43279e-03 7.13293e+04  2.37058e+08 2.37133e+08 
3.55476e-03 2.03244e+05  2.42730e+08 2.42914e+08 
3.67668e-03 6.90745e+05  2.52954e+08 2.53627e+08 
3.79860e-03 1.66001e+06  2.69736e+08 2.71416e+08 
3.92048e-03 2.96814e+06  2.93873e+08 2.96932e+08 
4.04228e-03 4.20746e+06  3.25417e+08 3.29799e+08 
4.16400e-03 4.86534e+06  3.63218e+08 3.68305e+08 
4.28566e-03 4.65611e+06  4.03948e+08 4.08807e+08 
4.40723e-03 3.70380e+06  4.43181e+08 4.47028e+08 
4.52871e-03 2.40746e+06  4.77531e+08 4.80002e+08 
4.65014e-03 1.23364e+06  5.05077e+08 5.06308e+08 
4.77147e-03 5.02971e+05  5.25067e+08 5.25553e+08 
4.89277e-03 2.08965e+05  5.38397e+08 5.38614e+08 
5.01409e-03 1.29804e+05  5.47476e+08 5.47627e+08 
5.13540e-03 1.21796e+05  5.55195e+08 5.55329e+08 
5.25668e-03 2.32651e+05  5.64687e+08 5.64913e+08 
5.37793e-03 6.43150e+05  5.79582e+08 5.80207e+08 
5.49916e-03 1.51768e+06  6.03161e+08 6.04693e+08 
5.62035e-03 2.77610e+06  6.37054e+08 6.39921e+08 
5.74152e-03 4.04396e+06  6.80932e+08 6.85139e+08 
5.86263e-03 4.87327e+06  7.32812e+08 7.37892e+08 
5.98367e-03 4.95419e+06  7.89320e+08 7.94492e+08 
6.10460e-03 4.23636e+06  8.46101e+08 8.50513e+08 
6.22545e-03 3.00556e+06  8.98637e+08 9.01739e+08 
6.34621e-03 1.73960e+06  9.42964e+08 9.44734e+08 
6.46692e-03 7.97968e+05  9.76330e+08 9.77125e+08 
6.58760e-03 2.81574e+05  9.98124e+08 9.98394e+08 
6.70824e-03 9.66192e+04  1.01082e+09 1.01092e+09 
6.82887e-03 8.23966e+04  1.01969e+09 1.01978e+09 
6.94952e-03 1.83250e+05  1.03097e+09 1.03115e+09 
7.07016e-03 5.15843e+05  1.04996e+09 1.05047e+09 
7.19078e-03 1.21775e+06  1.07997e+09 1.08121e+09 
7.31133e-03 2.28663e+06  1.12202e+09 1.12437e+09 
7.43178e-03 3.53801e+06  1.17527e+09 1.17893e+09 
7.55217e-03 4.61468e+06  1.23807e+09 1.24288e+09 
7.67252e-03 5.11597e+06  1.30819e+09 1.31353e+09 
7.79283e-03 4.84001e+06  1.38199e+09 1.38704e+09 
7.91302e-03 3.90106e+06  1.45409e+09 1.45814e+09 
8.03312e-03 2.64895e+06  1.51855e+09 1.52127e+09 
8.15316e-03 1.49820e+06  1.57072e+09 1.57224e+09 
8.27315e-03 7.17277e+05  1.60893e+09 1.60965e+09 
8.39310e-03 3.19314e+05  1.63520e+09 1.63553e+09 
8.51304e-03 1.71620e+05  1.65419e+09 1.65438e+09 
8.63298e-03 1.61951e+05  1.67131e+09 1.67148e+09 
8.75288e-03 2.80025e+05  1.69124e+09 1.69152e+09 
8.87274e-03 6.38441e+05  1.71795e+09 1.71858e+09 
8.99259e-03 1.38685e+06  1.75526e+09 1.75666e+09 
9.11241e-03 2.53114e+06  1.80680e+09 1.80940e+09 
9.23221e-03 3.84313e+06  1.87480e+09 1.87878e+09 
9.35197e-03 4.92498e+06  1.95830e+09 1.96344e+09 
9.47165e-03 5.37326e+06  2.05224e+09 2.05786e+09 
9.59122e-03 5.01054e+06  2.14829e+09 2.15352e+09 
9.71071e-03 4.01049e+06  2.23761e+09 2.24176e+09 
9.83013e-03 2.75697e+06  2.31397e+09 2.31681e+09 
9.94945e-03 1.61483e+06  2.37529e+09 2.37694e+09 
1.00000e-02 1.22255e+06  2.39716e+09 2.39840e+09 
