3.14838e-07 9.82474e-03  1.53024e-04 1.53024e-04 4.54604e-05
3.17986e-05 2.47920e-02  3.97540e-01 4.12499e-01 2.16238e-03
6.32824e-05 2.94368e-02  1.55072e+00 1.57032e+00 3.75659e-03
9.47663e-05 2.24569e-02  3.46820e+00 3.48082e+00 4.72329e-03
1.26250e-04 2.43528e-02  6.14970e+00 6.16422e+00 5.60352e-03
1.57734e-04 2.63343e-02  9.59432e+00 9.61083e+00 6.62485e-03
1.89218e-04 2.39461e-02  1.38015e+01 1.38156e+01 7.45893e-03
2.20702e-04 2.20459e-02  1.87732e+01 1.87854e+01 8.21515e-03
2.52186e-04 2.50366e-02  2.45072e+01 2.45224e+01 9.04279e-03
2.83670e-04 2.36652e-02  3.10049e+01 3.10187e+01 9.77737e-03
3.15154e-04 2.50996e-02  3.82645e+01 3.82798e+01 1.05663e-02
3.46638e-04 2.32598e-02  4.62894e+01 4.63028e+01 1.15013e-02
