8.21770e-05 1.07384e+08  4.98327e+07 4.98327e+07 
1.64354e-04 1.21846e+08  1.74331e+08 1.89058e+08 
2.46304e-04 1.51481e+08  3.48587e+08 3.97407e+08 
3.27722e-04 1.70182e+08  5.86646e+08 6.57612e+08 
4.08393e-04 1.56936e+08  9.05423e+08 9.60684e+08 
4.88303e-04 1.27238e+08  1.28758e+09 1.30838e+09 
5.67642e-04 1.09021e+08  1.70853e+09 1.70988e+09 
6.46697e-04 1.05964e+08  2.17621e+09 2.17592e+09 
7.25713e-04 1.06062e+08  2.71315e+09 2.71260e+09 
8.04765e-04 1.11868e+08  3.31224e+09 3.31646e+09 
8.83723e-04 1.32031e+08  3.94719e+09 3.97413e+09 
9.62329e-04 1.51293e+08  4.61894e+09 4.66879e+09 
1.04035e-03 1.46403e+08  5.34569e+09 5.38968e+09 
1.11774e-03 1.24041e+08  6.11935e+09 6.13710e+09 
1.19461e-03 1.08778e+08  6.91890e+09 6.92024e+09 
1.27123e-03 1.05984e+08  7.75102e+09 7.75074e+09 
1.34781e-03 1.06242e+08  8.63589e+09 8.63545e+09 
1.42440e-03 1.12375e+08  9.56617e+09 9.57125e+09 
1.50089e-03 1.29106e+08  1.05213e+10 1.05456e+10 
1.57703e-03 1.40170e+08  1.15063e+10 1.15440e+10 
1.65266e-03 1.30895e+08  1.25325e+10 1.25590e+10 
1.72778e-03 1.14118e+08  1.35868e+10 1.35939e+10 
1.80253e-03 1.06691e+08  1.46593e+10 1.46592e+10 
1.87715e-03 1.06040e+08  1.57651e+10 1.57649e+10 
1.95175e-03 1.08069e+08  1.69127e+10 1.69138e+10 
2.02632e-03 1.18127e+08  1.80865e+10 1.80985e+10 
2.10068e-03 1.29930e+08  1.92800e+10 1.93061e+10 
2.17464e-03 1.27840e+08  2.05036e+10 2.05272e+10 
2.24816e-03 1.15204e+08  2.17528e+10 2.17615e+10 
2.32132e-03 1.07377e+08  2.30167e+10 2.30173e+10 
2.39432e-03 1.06155e+08  2.43044e+10 2.43044e+10 
2.46728e-03 1.07583e+08  2.56261e+10 2.56269e+10 
2.50000e-03 1.10123e+08  2.62272e+10 2.62308e+10 
