8.21770e-05 7.51144e+07  3.87398e+07 3.87398e+07 
1.64354e-04 9.18461e+07  1.23591e+08 1.42430e+08 
2.46208e-04 1.14197e+08  2.40880e+08 2.87972e+08 
3.27383e-04 1.10725e+08  4.18718e+08 4.61353e+08 
4.07761e-04 8.74248e+07  6.49735e+08 6.63420e+08 
4.87533e-04 7.44227e+07  9.06327e+08 9.06192e+08 
5.67052e-04 7.31921e+07  1.20275e+09 1.20266e+09 
6.46573e-04 7.50275e+07  1.55628e+09 1.55665e+09 
7.26076e-04 8.80663e+07  1.94298e+09 1.95814e+09 
8.05291e-04 1.03297e+08  2.35485e+09 2.38946e+09 
8.83929e-04 9.75779e+07  2.81197e+09 2.83920e+09 
9.61919e-04 8.07266e+07  3.30346e+09 3.31003e+09 
1.03946e-03 7.37338e+07  3.81425e+09 3.81418e+09 
1.11684e-03 7.34636e+07  4.36251e+09 4.36242e+09 
1.19422e-03 7.79251e+07  4.95091e+09 4.95464e+09 
1.27149e-03 9.03587e+07  5.55982e+09 5.57881e+09 
1.34839e-03 9.47594e+07  6.19615e+09 6.22086e+09 
1.42476e-03 8.40312e+07  6.86562e+09 6.87669e+09 
1.50065e-03 7.50640e+07  7.55297e+09 7.55410e+09 
1.57630e-03 7.35404e+07  8.26408e+09 8.26429e+09 
1.65190e-03 7.56814e+07  9.00955e+09 9.01131e+09 
1.72743e-03 8.39463e+07  9.77626e+09 9.78778e+09 
1.80269e-03 8.92600e+07  1.05630e+10 1.05814e+10 
1.87752e-03 8.28109e+07  1.13762e+10 1.13864e+10 
1.95193e-03 7.54649e+07  1.22061e+10 1.22079e+10 
2.02610e-03 7.37988e+07  1.30551e+10 1.30556e+10 
2.10019e-03 7.55882e+07  1.39317e+10 1.39336e+10 
2.17420e-03 8.17162e+07  1.48271e+10 1.48363e+10 
2.24797e-03 8.49642e+07  1.57402e+10 1.57536e+10 
2.32136e-03 7.99038e+07  1.66742e+10 1.66812e+10 
2.39441e-03 7.49647e+07  1.76223e+10 1.76238e+10 
2.46727e-03 7.41115e+07  1.85886e+10 1.85894e+10 
2.50000e-03 7.46726e+07  1.90305e+10 1.90319e+10 
