1.23266e-04 1.37265e+06  1.33846e+06 1.33846e+06 
2.46531e-04 2.02352e+06  3.87640e+06 4.66852e+06 
3.69606e-04 1.70480e+06  8.78809e+06 9.17662e+06 
4.92435e-04 1.24521e+06  1.52536e+07 1.52299e+07 
6.15171e-04 1.23736e+06  2.36380e+07 2.36175e+07 
7.37921e-04 1.58776e+06  3.39967e+07 3.42899e+07 
8.60591e-04 1.86276e+06  4.58464e+07 4.64835e+07 
9.83048e-04 1.41780e+06  5.98129e+07 5.99345e+07 
1.10533e-03 1.23844e+06  7.51946e+07 7.52126e+07 
1.22757e-03 1.34196e+06  9.26740e+07 9.27389e+07 
1.34978e-03 1.70585e+06  1.11651e+08 1.12125e+08 
1.47185e-03 1.60792e+06  1.32472e+08 1.32828e+08 
1.59373e-03 1.29964e+06  1.54933e+08 1.54987e+08 
1.71550e-03 1.27454e+06  1.79077e+08 1.79120e+08 
1.83724e-03 1.49324e+06  2.05006e+08 2.05248e+08 
1.95890e-03 1.65020e+06  2.32461e+08 2.32889e+08 
2.08039e-03 1.41003e+06  2.61685e+08 2.61845e+08 
2.20173e-03 1.28012e+06  2.92403e+08 2.92463e+08 
2.32301e-03 1.36705e+06  3.24889e+08 3.25013e+08 
2.44423e-03 1.57187e+06  3.58889e+08 3.59238e+08 
2.56533e-03 1.49902e+06  3.94533e+08 3.94798e+08 
2.68627e-03 1.32159e+06  4.31706e+08 4.31800e+08 
2.80711e-03 1.31969e+06  4.70470e+08 4.70563e+08 
2.92789e-03 1.47075e+06  5.10816e+08 5.11056e+08 
3.04859e-03 1.52357e+06  5.52666e+08 5.52967e+08 
3.16913e-03 1.37691e+06  5.96068e+08 5.96214e+08 
3.28956e-03 1.31503e+06  6.40941e+08 6.41035e+08 
3.40992e-03 1.39868e+06  6.87380e+08 6.87549e+08 
3.53020e-03 1.49811e+06  7.35271e+08 7.35549e+08 
3.65035e-03 1.42078e+06  7.84664e+08 7.84858e+08 
3.77038e-03 1.33088e+06  8.35486e+08 8.35596e+08 
3.89032e-03 1.36061e+06  8.87799e+08 8.87935e+08 
4.01020e-03 1.45540e+06  9.41550e+08 9.41784e+08 
4.12996e-03 1.44063e+06  9.96733e+08 9.96951e+08 
4.24960e-03 1.35353e+06  1.05332e+09 1.05345e+09 
4.36914e-03 1.34594e+06  1.11133e+09 1.11145e+09 
4.48861e-03 1.41688e+06  1.17075e+09 1.17094e+09 
4.60798e-03 1.43953e+06  1.23154e+09 1.23176e+09 
4.72724e-03 1.37342e+06  1.29371e+09 1.29386e+09 
4.84639e-03 1.34431e+06  1.35724e+09 1.35737e+09 
4.96547e-03 1.38955e+06  1.42215e+09 1.42231e+09 
5.08445e-03 1.42694e+06  1.48839e+09 1.48859e+09 
5.20333e-03 1.38588e+06  1.55596e+09 1.55613e+09 
5.32210e-03 1.34846e+06  1.62485e+09 1.62498e+09 
5.44079e-03 1.37264e+06  1.69507e+09 1.69522e+09 
5.55939e-03 1.41100e+06  1.76660e+09 1.76679e+09 
5.67789e-03 1.39059e+06  1.83941e+09 1.83958e+09 
5.79629e-03 1.35386e+06  1.91350e+09 1.91364e+09 
5.91460e-03 1.36314e+06  1.98888e+09 1.98902e+09 
6.03282e-03 1.39619e+06  2.06553e+09 2.06570e+09 
6.15096e-03 1.38957e+06  2.14343e+09 2.14360e+09 
6.26898e-03 1.35811e+06  2.22257e+09 2.22271e+09 
6.38692e-03 1.35810e+06  2.30295e+09 2.30309e+09 
6.50478e-03 1.38410e+06  2.38457e+09 2.38473e+09 
6.62254e-03 1.38524e+06  2.46741e+09 2.46757e+09 
6.74021e-03 1.36033e+06  2.55145e+09 2.55159e+09 
6.85779e-03 1.35538e+06  2.63670e+09 2.63683e+09 
6.97528e-03 1.37478e+06  2.72314e+09 2.72330e+09 
7.09268e-03 1.37948e+06  2.81078e+09 2.81094e+09 
7.20999e-03 1.36060e+06  2.89958e+09 2.89972e+09 
7.32721e-03 1.35363e+06  2.98955e+09 2.98969e+09 
7.44434e-03 1.36768e+06  3.08069e+09 3.08084e+09 
7.56139e-03 1.37341e+06  3.17298e+09 3.17313e+09 
7.67835e-03 1.35934e+06  3.26641e+09 3.26655e+09 
7.79521e-03 1.35210e+06  3.36098e+09 3.36111e+09 
