1.23266e-04 5.10231e+04  5.35945e+04 5.35945e+04 
2.46531e-04 7.35908e+04  1.55703e+05 1.87395e+05 
3.69758e-04 6.30455e+04  3.53254e+05 3.69537e+05 
4.92937e-04 4.68118e+04  6.15706e+05 6.14901e+05 
6.16095e-04 4.63778e+04  9.56025e+05 9.55380e+05 
7.39256e-04 5.80833e+04  1.37885e+06 1.39008e+06 
8.62402e-04 6.87133e+04  1.86324e+06 1.88968e+06 
9.85505e-04 5.38668e+04  2.43679e+06 2.44323e+06 
1.10857e-03 4.66182e+04  3.07170e+06 3.07259e+06 
1.23163e-03 4.94738e+04  3.79367e+06 3.79599e+06 
1.35468e-03 6.20542e+04  4.58258e+06 4.60072e+06 
1.47770e-03 6.14116e+04  5.44790e+06 5.46515e+06 
1.60069e-03 4.98650e+04  6.38866e+06 6.39214e+06 
1.72364e-03 4.75786e+04  7.40007e+06 7.40202e+06 
1.84659e-03 5.37270e+04  8.49207e+06 8.49992e+06 
1.96953e-03 6.16995e+04  9.65085e+06 9.66930e+06 
2.09243e-03 5.54593e+04  1.08888e+07 1.08990e+07 
2.21530e-03 4.87317e+04  1.21961e+07 1.21993e+07 
2.33816e-03 4.96876e+04  1.35802e+07 1.35842e+07 
2.46100e-03 5.68245e+04  1.50370e+07 1.50494e+07 
2.58382e-03 5.87226e+04  1.65656e+07 1.65805e+07 
2.70660e-03 5.19762e+04  1.81692e+07 1.81758e+07 
2.82936e-03 4.90979e+04  1.98434e+07 1.98473e+07 
2.95211e-03 5.23652e+04  2.15937e+07 2.16008e+07 
3.07484e-03 5.76139e+04  2.34140e+07 2.34277e+07 
3.19754e-03 5.53607e+04  2.53084e+07 2.53192e+07 
3.32022e-03 5.05265e+04  2.72742e+07 2.72795e+07 
3.44287e-03 5.03856e+04  2.93129e+07 2.93181e+07 
3.56551e-03 5.45110e+04  3.14244e+07 3.14343e+07 
3.68812e-03 5.65305e+04  3.36068e+07 3.36193e+07 
3.81071e-03 5.29043e+04  3.58621e+07 3.58701e+07 
3.93327e-03 5.04090e+04  3.81882e+07 3.81936e+07 
4.05582e-03 5.20697e+04  4.05873e+07 4.05944e+07 
4.17834e-03 5.53849e+04  4.30571e+07 4.30682e+07 
4.30085e-03 5.47270e+04  4.55986e+07 4.56089e+07 
4.42332e-03 5.16280e+04  4.82111e+07 4.82178e+07 
4.54578e-03 5.10967e+04  5.08949e+07 5.09011e+07 
4.66821e-03 5.34924e+04  5.36503e+07 5.36592e+07 
4.79063e-03 5.50456e+04  5.64760e+07 5.64868e+07 
4.91302e-03 5.31437e+04  5.93728e+07 5.93813e+07 
5.03538e-03 5.13183e+04  6.23399e+07 6.23463e+07 
5.15773e-03 5.21272e+04  6.53781e+07 6.53854e+07 
5.28006e-03 5.41815e+04  6.84865e+07 6.84962e+07 
5.40236e-03 5.40778e+04  7.16651e+07 7.16747e+07 
5.52464e-03 5.21868e+04  7.49138e+07 7.49212e+07 
5.64690e-03 5.16454e+04  7.82326e+07 7.82394e+07 
5.76913e-03 5.30404e+04  8.16217e+07 8.16301e+07 
5.89135e-03 5.41013e+04  8.50802e+07 8.50899e+07 
6.01354e-03 5.30882e+04  8.86085e+07 8.86170e+07 
6.13571e-03 5.18664e+04  9.22062e+07 9.22133e+07 
6.25786e-03 5.22593e+04  9.58736e+07 9.58812e+07 
6.37999e-03 5.35169e+04  9.96103e+07 9.96193e+07 
6.50209e-03 5.35607e+04  1.03416e+08 1.03425e+08 
6.62418e-03 5.24234e+04  1.07291e+08 1.07299e+08 
6.74624e-03 5.20070e+04  1.11235e+08 1.11242e+08 
6.86828e-03 5.28280e+04  1.15247e+08 1.15256e+08 
6.99030e-03 5.35058e+04  1.19329e+08 1.19338e+08 
7.11230e-03 5.29403e+04  1.23479e+08 1.23487e+08 
7.23427e-03 5.21622e+04  1.27697e+08 1.27705e+08 
7.35622e-03 5.23661e+04  1.31984e+08 1.31992e+08 
7.47815e-03 5.31295e+04  1.36339e+08 1.36348e+08 
7.60007e-03 5.31810e+04  1.40762e+08 1.40771e+08 
7.72195e-03 5.24938e+04  1.45253e+08 1.45261e+08 
7.84382e-03 5.22163e+04  1.49812e+08 1.49820e+08 
7.96567e-03 5.27091e+04  1.54439e+08 1.54447e+08 
8.08749e-03 5.31205e+04  1.59133e+08 1.59142e+08 
8.20929e-03 5.27829e+04  1.63895e+08 1.63903e+08 
8.33107e-03 5.23023e+04  1.68724e+08 1.68732e+08 
8.45283e-03 5.24235e+04  1.73621e+08 1.73629e+08 
8.57457e-03 5.28832e+04  1.78585e+08 1.78593e+08 
8.69629e-03 5.29064e+04  1.83616e+08 1.83624e+08 
8.81798e-03 5.24857e+04  1.88713e+08 1.88721e+08 
8.93965e-03 5.23191e+04  1.93878e+08 1.93885e+08 
9.06130e-03 5.26217e+04  1.99109e+08 1.99117e+08 
9.18294e-03 5.28584e+04  2.04407e+08 2.04415e+08 
9.30454e-03 5.26420e+04  2.09771e+08 2.09779e+08 
9.42613e-03 5.23519e+04  2.15202e+08 2.15210e+08 
9.54770e-03 5.24355e+04  2.20699e+08 2.20707e+08 
9.66924e-03 5.27088e+04  2.26262e+08 2.26270e+08 
9.79077e-03 5.27038e+04  2.31891e+08 2.31899e+08 
9.91227e-03 5.24429e+04  2.37586e+08 2.37594e+08 
1.00000e-02 5.23245e+04  2.41740e+08 2.41747e+08 
