1.23266e-04 5.64780e+04  5.51122e+04 5.51122e+04 
2.46531e-04 8.28267e+04  1.62481e+05 1.94404e+05 
3.69760e-04 7.32617e+04  3.65947e+05 3.85678e+05 
4.92939e-04 5.25981e+04  6.41580e+05 6.40921e+05 
6.16096e-04 5.11342e+04  9.92379e+05 9.92037e+05 
7.39254e-04 6.20895e+04  1.43452e+06 1.44266e+06 
8.62401e-04 7.83569e+04  1.93724e+06 1.96536e+06 
9.85508e-04 6.40889e+04  2.53326e+06 2.54412e+06 
1.10857e-03 5.22110e+04  3.19535e+06 3.19625e+06 
1.23163e-03 5.31678e+04  3.94265e+06 3.94386e+06 
1.35467e-03 6.60472e+04  4.76707e+06 4.78117e+06 
1.47770e-03 7.24391e+04  5.66344e+06 5.68531e+06 
1.60069e-03 5.89675e+04  6.64438e+06 6.65103e+06 
1.72365e-03 5.26561e+04  7.69443e+06 7.69638e+06 
1.84659e-03 5.62170e+04  8.82971e+06 8.83405e+06 
1.96953e-03 6.75390e+04  1.00365e+07 1.00532e+07 
2.09244e-03 6.68865e+04  1.13213e+07 1.13373e+07 
2.21531e-03 5.64637e+04  1.26835e+07 1.26885e+07 
2.33816e-03 5.37678e+04  1.41196e+07 1.41227e+07 
2.46099e-03 5.92639e+04  1.56366e+07 1.56445e+07 
2.58382e-03 6.69206e+04  1.72252e+07 1.72416e+07 
2.70661e-03 6.25889e+04  1.88927e+07 1.89042e+07 
2.82937e-03 5.55282e+04  2.06341e+07 2.06387e+07 
2.95211e-03 5.54084e+04  2.24523e+07 2.24568e+07 
3.07484e-03 6.14838e+04  2.43470e+07 2.43575e+07 
3.19754e-03 6.50691e+04  2.63151e+07 2.63297e+07 
3.32022e-03 5.97157e+04  2.83604e+07 2.83691e+07 
3.44287e-03 5.55443e+04  3.04790e+07 3.04838e+07 
3.56550e-03 5.72664e+04  3.26746e+07 3.26810e+07 
3.68812e-03 6.25254e+04  3.49442e+07 3.49561e+07 
3.81071e-03 6.28557e+04  3.72885e+07 3.73007e+07 
3.93328e-03 5.80633e+04  3.97077e+07 3.97149e+07 
4.05582e-03 5.61603e+04  4.22007e+07 4.22063e+07 
4.17834e-03 5.89379e+04  4.47695e+07 4.47777e+07 
4.30085e-03 6.24944e+04  4.74114e+07 4.74234e+07 
4.42333e-03 6.08748e+04  5.01280e+07 5.01382e+07 
4.54578e-03 5.73282e+04  5.29180e+07 5.29247e+07 
4.66821e-03 5.71111e+04  5.57822e+07 5.57887e+07 
4.79063e-03 6.01005e+04  5.87205e+07 5.87300e+07 
4.91302e-03 6.17620e+04  6.17318e+07 6.17430e+07 
5.03539e-03 5.94056e+04  6.48168e+07 6.48256e+07 
5.15773e-03 5.72339e+04  6.79748e+07 6.79814e+07 
5.28005e-03 5.81371e+04  7.12065e+07 7.12140e+07 
5.40236e-03 6.06281e+04  7.45111e+07 7.45211e+07 
5.52464e-03 6.07475e+04  7.78885e+07 7.78987e+07 
5.64690e-03 5.84988e+04  8.13387e+07 8.13465e+07 
5.76913e-03 5.75480e+04  8.48614e+07 8.48684e+07 
5.89135e-03 5.90029e+04  8.84571e+07 8.84655e+07 
6.01354e-03 6.05953e+04  9.21249e+07 9.21350e+07 
6.13571e-03 5.97755e+04  9.58651e+07 9.58743e+07 
6.25786e-03 5.80826e+04  9.96772e+07 9.96847e+07 
6.37999e-03 5.80638e+04  1.03562e+08 1.03569e+08 
6.50209e-03 5.95538e+04  1.07518e+08 1.07527e+08 
6.62418e-03 6.01984e+04  1.11546e+08 1.11556e+08 
6.74624e-03 5.90295e+04  1.15645e+08 1.15654e+08 
6.86828e-03 5.80345e+04  1.19816e+08 1.19824e+08 
6.99030e-03 5.85971e+04  1.24059e+08 1.24067e+08 
7.11230e-03 5.97503e+04  1.28373e+08 1.28382e+08 
7.23427e-03 5.96578e+04  1.32758e+08 1.32767e+08 
7.35622e-03 5.85698e+04  1.37214e+08 1.37222e+08 
7.47815e-03 5.82161e+04  1.41740e+08 1.41748e+08 
7.60006e-03 5.90076e+04  1.46338e+08 1.46347e+08 
7.72195e-03 5.96553e+04  1.51006e+08 1.51015e+08 
7.84382e-03 5.91472e+04  1.55745e+08 1.55754e+08 
7.96567e-03 5.83743e+04  1.60554e+08 1.60562e+08 
8.08749e-03 5.84918e+04  1.65433e+08 1.65441e+08 
8.20929e-03 5.92224e+04  1.70383e+08 1.70392e+08 
8.33107e-03 5.93870e+04  1.75403e+08 1.75411e+08 
8.45283e-03 5.87666e+04  1.80492e+08 1.80500e+08 
8.57457e-03 5.83747e+04  1.85651e+08 1.85659e+08 
8.69629e-03 5.87475e+04  1.90880e+08 1.90888e+08 
8.81798e-03 5.92408e+04  1.96178e+08 1.96187e+08 
8.93965e-03 5.90677e+04  2.01546e+08 2.01555e+08 
9.06131e-03 5.85469e+04  2.06983e+08 2.06991e+08 
9.18294e-03 5.84842e+04  2.12490e+08 2.12497e+08 
9.30455e-03 5.89089e+04  2.18065e+08 2.18073e+08 
9.42613e-03 5.91154e+04  2.23709e+08 2.23718e+08 
9.54770e-03 5.87885e+04  2.29422e+08 2.29430e+08 
9.66924e-03 5.84690e+04  2.35204e+08 2.35212e+08 
9.79077e-03 5.86192e+04  2.41054e+08 2.41062e+08 
9.91227e-03 5.89504e+04  2.46973e+08 2.46981e+08 
1.00000e-02 5.89972e+04  2.51290e+08 2.51298e+08 
