1.23266e-04 5.48619e+04  5.35941e+04 5.35941e+04 
2.46531e-04 8.09791e+04  1.55701e+05 1.87394e+05 
3.69758e-04 6.87752e+04  3.53251e+05 3.69534e+05 
4.92937e-04 4.99882e+04  6.15700e+05 6.14895e+05 
6.16095e-04 4.94859e+04  9.56016e+05 9.55371e+05 
7.39256e-04 6.30325e+04  1.37884e+06 1.39006e+06 
8.62402e-04 7.53344e+04  1.86322e+06 1.88966e+06 
9.85505e-04 5.81528e+04  2.43676e+06 2.44321e+06 
1.10857e-03 4.97641e+04  3.07167e+06 3.07256e+06 
1.23163e-03 5.30690e+04  3.79364e+06 3.79595e+06 
1.35468e-03 6.76279e+04  4.58253e+06 4.60067e+06 
1.47770e-03 6.68843e+04  5.44785e+06 5.46509e+06 
1.60069e-03 5.35216e+04  6.38859e+06 6.39207e+06 
1.72364e-03 5.08756e+04  7.40000e+06 7.40195e+06 
1.84659e-03 5.79910e+04  8.49199e+06 8.49984e+06 
1.96953e-03 6.72175e+04  9.65075e+06 9.66920e+06 
2.09243e-03 5.99958e+04  1.08887e+07 1.08989e+07 
2.21530e-03 5.22101e+04  1.21960e+07 1.21992e+07 
2.33816e-03 5.33164e+04  1.35801e+07 1.35841e+07 
2.46100e-03 6.15757e+04  1.50369e+07 1.50492e+07 
2.58382e-03 6.37724e+04  1.65655e+07 1.65803e+07 
2.70660e-03 5.59648e+04  1.81690e+07 1.81756e+07 
2.82936e-03 5.26339e+04  1.98432e+07 1.98471e+07 
2.95211e-03 5.64150e+04  2.15935e+07 2.16006e+07 
3.07484e-03 6.24892e+04  2.34138e+07 2.34275e+07 
3.19754e-03 5.98817e+04  2.53081e+07 2.53189e+07 
3.32022e-03 5.42872e+04  2.72739e+07 2.72792e+07 
3.44287e-03 5.41241e+04  2.93126e+07 2.93178e+07 
3.56551e-03 5.88984e+04  3.14241e+07 3.14340e+07 
3.68812e-03 6.12355e+04  3.36065e+07 3.36190e+07 
3.81071e-03 5.70390e+04  3.58618e+07 3.58698e+07 
3.93327e-03 5.41512e+04  3.81878e+07 3.81932e+07 
4.05582e-03 5.60731e+04  4.05869e+07 4.05940e+07 
4.17834e-03 5.99097e+04  4.30567e+07 4.30678e+07 
4.30085e-03 5.91484e+04  4.55981e+07 4.56084e+07 
4.42332e-03 5.55619e+04  4.82107e+07 4.82174e+07 
4.54578e-03 5.49470e+04  5.08944e+07 5.09006e+07 
4.66821e-03 5.77195e+04  5.36498e+07 5.36586e+07 
4.79063e-03 5.95171e+04  5.64754e+07 5.64862e+07 
4.91302e-03 5.73160e+04  5.93722e+07 5.93807e+07 
5.03538e-03 5.52035e+04  6.23393e+07 6.23457e+07 
5.15773e-03 5.61397e+04  6.53774e+07 6.53847e+07 
5.28006e-03 5.85170e+04  6.84858e+07 6.84955e+07 
5.40236e-03 5.83970e+04  7.16644e+07 7.16740e+07 
5.52464e-03 5.62086e+04  7.49131e+07 7.49205e+07 
5.64690e-03 5.55821e+04  7.82319e+07 7.82387e+07 
5.76913e-03 5.71965e+04  8.16209e+07 8.16293e+07 
5.89135e-03 5.84243e+04  8.50794e+07 8.50891e+07 
6.01354e-03 5.72517e+04  8.86077e+07 8.86161e+07 
6.13571e-03 5.58378e+04  9.22053e+07 9.22124e+07 
6.25786e-03 5.62925e+04  9.58727e+07 9.58802e+07 
6.37999e-03 5.77480e+04  9.96093e+07 9.96183e+07 
6.50209e-03 5.77986e+04  1.03415e+08 1.03424e+08 
6.62418e-03 5.64824e+04  1.07290e+08 1.07298e+08 
6.74624e-03 5.60005e+04  1.11234e+08 1.11241e+08 
6.86828e-03 5.69506e+04  1.15246e+08 1.15255e+08 
6.99030e-03 5.77351e+04  1.19328e+08 1.19337e+08 
7.11230e-03 5.70807e+04  1.23478e+08 1.23486e+08 
7.23427e-03 5.61802e+04  1.27696e+08 1.27703e+08 
7.35622e-03 5.64161e+04  1.31983e+08 1.31990e+08 
7.47815e-03 5.72996e+04  1.36338e+08 1.36346e+08 
7.60007e-03 5.73592e+04  1.40761e+08 1.40769e+08 
7.72195e-03 5.65639e+04  1.45252e+08 1.45260e+08 
7.84382e-03 5.62428e+04  1.49811e+08 1.49818e+08 
7.96567e-03 5.68131e+04  1.54437e+08 1.54445e+08 
8.08749e-03 5.72892e+04  1.59132e+08 1.59140e+08 
8.20929e-03 5.68985e+04  1.63894e+08 1.63902e+08 
8.33107e-03 5.63422e+04  1.68723e+08 1.68730e+08 
8.45283e-03 5.64825e+04  1.73619e+08 1.73627e+08 
8.57457e-03 5.70145e+04  1.78583e+08 1.78591e+08 
8.69629e-03 5.70414e+04  1.83614e+08 1.83622e+08 
8.81798e-03 5.65546e+04  1.88711e+08 1.88719e+08 
8.93965e-03 5.63617e+04  1.93876e+08 1.93884e+08 
9.06130e-03 5.67120e+04  1.99107e+08 1.99115e+08 
9.18294e-03 5.69858e+04  2.04405e+08 2.04413e+08 
9.30454e-03 5.67354e+04  2.09769e+08 2.09777e+08 
9.42613e-03 5.63997e+04  2.15200e+08 2.15208e+08 
9.54770e-03 5.64964e+04  2.20697e+08 2.20705e+08 
9.66924e-03 5.68127e+04  2.26260e+08 2.26268e+08 
9.79077e-03 5.68070e+04  2.31889e+08 2.31897e+08 
9.91227e-03 5.65050e+04  2.37584e+08 2.37592e+08 
1.00000e-02 5.63679e+04  2.41738e+08 2.41745e+08 
