1.12210e-04 5.99850e-03  3.72824e-03 3.72824e-03 
2.24421e-04 9.58192e-03  9.39153e-03 1.28661e-02 
3.36579e-04 1.56227e-02  1.41833e-02 2.37998e-02 
4.48562e-04 2.13099e-02  1.90724e-02 3.43858e-02 
5.60561e-04 2.60873e-02  2.41104e-02 4.42376e-02 
6.72457e-04 3.01622e-02  2.95570e-02 5.37709e-02 
7.84368e-04 3.39371e-02  3.53781e-02 6.33356e-02 
8.96304e-04 3.79930e-02  4.09934e-02 7.30086e-02 
1.00831e-03 4.25533e-02  4.62506e-02 8.28451e-02 
1.12031e-03 4.76227e-02  5.12980e-02 9.29805e-02 
1.23232e-03 5.31375e-02  5.63344e-02 1.03559e-01 
1.34438e-03 5.88882e-02  6.16372e-02 1.14615e-01 
1.45646e-03 6.47218e-02  6.72088e-02 1.26027e-01 
1.56856e-03 7.04489e-02  7.30223e-02 1.37544e-01 
1.68064e-03 7.61453e-02  7.86753e-02 1.48881e-01 
1.79274e-03 8.18480e-02  8.39333e-02 1.59860e-01 
1.90481e-03 8.74101e-02  8.89702e-02 1.70462e-01 
2.01687e-03 9.28419e-02  9.38324e-02 1.80775e-01 
2.12895e-03 9.80028e-02  9.87652e-02 1.90892e-01 
2.24101e-03 1.02715e-01  1.04060e-01 2.00892e-01 
2.35307e-03 1.07186e-01  1.09595e-01 2.10889e-01 
2.46513e-03 1.11713e-01  1.15210e-01 2.21029e-01 
2.57718e-03 1.16500e-01  1.20816e-01 2.31412e-01 
2.68921e-03 1.21728e-01  1.26249e-01 2.42078e-01 
2.80128e-03 1.27385e-01  1.31541e-01 2.53035e-01 
2.91334e-03 1.33388e-01  1.36781e-01 2.64280e-01 
3.02542e-03 1.39639e-01  1.42001e-01 2.75762e-01 
3.13750e-03 1.45877e-01  1.47316e-01 2.87314e-01 
3.24957e-03 1.51912e-01  1.52679e-01 2.98698e-01 
3.36164e-03 1.57737e-01  1.57889e-01 3.09737e-01 
3.47370e-03 1.63306e-01  1.62965e-01 3.20395e-01 
3.58576e-03 1.68523e-01  1.68092e-01 3.30749e-01 
3.69782e-03 1.73340e-01  1.73397e-01 3.40875e-01 
3.80988e-03 1.77748e-01  1.78922e-01 3.50802e-01 
3.92194e-03 1.81879e-01  1.84558e-01 3.60558e-01 
4.03403e-03 1.86006e-01  1.90118e-01 3.70240e-01 
4.14610e-03 1.90380e-01  1.95515e-01 3.80015e-01 
4.25818e-03 1.95158e-01  2.00768e-01 3.90050e-01 
4.37027e-03 2.00359e-01  2.05943e-01 4.00435e-01 
4.48233e-03 2.05868e-01  2.11140e-01 4.11143e-01 
4.59440e-03 2.11572e-01  2.16388e-01 4.22090e-01 
4.70645e-03 2.17445e-01  2.21611e-01 4.33185e-01 
4.81849e-03 2.23458e-01  2.26771e-01 4.44365e-01 
4.93055e-03 2.29482e-01  2.31955e-01 4.55582e-01 
5.04260e-03 2.35326e-01  2.37294e-01 4.66769e-01 
5.15467e-03 2.40877e-01  2.42827e-01 4.77846e-01 
5.26674e-03 2.46169e-01  2.48458e-01 4.88760e-01 
5.37883e-03 2.51346e-01  2.54035e-01 4.99509e-01 
5.49090e-03 2.56556e-01  2.59447e-01 5.10129e-01 
5.60295e-03 2.61874e-01  2.64657e-01 5.20660e-01 
5.71503e-03 2.67274e-01  2.69710e-01 5.31123e-01 
5.82710e-03 2.72627e-01  2.74753e-01 5.41532e-01 
5.93918e-03 2.77818e-01  2.79958e-01 5.51928e-01 
6.05125e-03 2.82916e-01  2.85321e-01 5.62379e-01 
6.16333e-03 2.88116e-01  2.90685e-01 5.72939e-01 
6.27541e-03 2.93476e-01  2.95982e-01 5.83605e-01 
6.38749e-03 2.98837e-01  3.01311e-01 5.94302e-01 
6.49957e-03 3.04012e-01  3.06760e-01 6.04924e-01 
6.61165e-03 3.08961e-01  3.12286e-01 6.15394e-01 
6.72373e-03 3.13756e-01  3.17796e-01 6.25696e-01 
6.83581e-03 3.18509e-01  3.23227e-01 6.35877e-01 
6.94788e-03 3.23355e-01  3.28521e-01 6.46016e-01 
7.05996e-03 3.28412e-01  3.33638e-01 6.56195e-01 
7.17203e-03 3.33675e-01  3.38656e-01 6.66490e-01 
7.28410e-03 3.39039e-01  3.43757e-01 6.76963e-01 
7.39617e-03 3.44444e-01  3.49047e-01 6.87656e-01 
7.50824e-03 3.49942e-01  3.54476e-01 6.98577e-01 
7.62031e-03 3.55574e-01  3.59952e-01 7.09685e-01 
7.73238e-03 3.61298e-01  3.65438e-01 7.20895e-01 
7.84444e-03 3.67049e-01  3.70904e-01 7.32108e-01 
7.95651e-03 3.72790e-01  3.76295e-01 7.43242e-01 
8.06857e-03 3.78469e-01  3.81614e-01 7.54245e-01 
8.18065e-03 3.84007e-01  3.86921e-01 7.65092e-01 
8.29272e-03 3.89390e-01  3.92229e-01 7.75779e-01 
8.40480e-03 3.94695e-01  3.97463e-01 7.86315e-01 
8.51687e-03 3.99975e-01  4.02589e-01 7.96730e-01 
8.62895e-03 4.05181e-01  4.07711e-01 8.07069e-01 
8.74103e-03 4.10238e-01  4.12972e-01 8.17390e-01 
8.85312e-03 4.15140e-01  4.18427e-01 8.27744e-01 
8.96520e-03 4.19942e-01  4.24038e-01 8.38155e-01 
9.07728e-03 4.24677e-01  4.29761e-01 8.48612e-01 
9.18936e-03 4.29336e-01  4.35569e-01 8.59080e-01 
9.30145e-03 4.33875e-01  4.41463e-01 8.69518e-01 
9.41354e-03 4.38194e-01  4.47512e-01 8.79898e-01 
9.52563e-03 4.42116e-01  4.53899e-01 8.90222e-01 
9.63772e-03 4.45452e-01  4.60847e-01 9.00517e-01 
9.74981e-03 4.48083e-01  4.68528e-01 9.10837e-01 
9.86190e-03 4.49954e-01  4.77057e-01 9.21246e-01 
9.97400e-03 4.50990e-01  4.86570e-01 9.31807e-01 
1.00861e-02 4.51063e-01  4.97240e-01 9.42560e-01 
1.01982e-02 4.50044e-01  5.09210e-01 9.53514e-01 
1.03103e-02 4.47853e-01  5.22524e-01 9.64634e-01 
1.04224e-02 4.44488e-01  5.37121e-01 9.75855e-01 
1.05345e-02 4.40040e-01  5.52824e-01 9.87095e-01 
1.06466e-02 4.34689e-01  5.69371e-01 9.98274e-01 
1.07587e-02 4.28633e-01  5.86494e-01 1.00933e+00 
1.08708e-02 4.22017e-01  6.04007e-01 1.02022e+00 
1.09829e-02 4.14972e-01  6.21763e-01 1.03092e+00 
1.10949e-02 4.07687e-01  6.39562e-01 1.04142e+00 
1.12070e-02 4.00423e-01  6.57143e-01 1.05172e+00 
1.13191e-02 3.93431e-01  6.74282e-01 1.06186e+00 
1.14311e-02 3.86892e-01  6.90863e-01 1.07190e+00 
1.15432e-02 3.80908e-01  7.06877e-01 1.08194e+00 
1.16552e-02 3.75511e-01  7.22392e-01 1.09206e+00 
1.17673e-02 3.70665e-01  7.37521e-01 1.10235e+00 
1.18794e-02 3.66275e-01  7.52385e-01 1.11284e+00 
1.19914e-02 3.62172e-01  7.67118e-01 1.12348e+00 
1.21035e-02 3.58107e-01  7.81893e-01 1.13420e+00 
1.22155e-02 3.53802e-01  7.96906e-01 1.14492e+00 
1.23276e-02 3.49042e-01  8.12318e-01 1.15558e+00 
1.24396e-02 3.43731e-01  8.28215e-01 1.16616e+00 
1.25517e-02 3.37903e-01  8.44604e-01 1.17672e+00 
1.26638e-02 3.31721e-01  8.61387e-01 1.18731e+00 
1.27758e-02 3.25455e-01  8.78348e-01 1.19798e+00 
1.28879e-02 3.19386e-01  8.95229e-01 1.20878e+00 
1.30000e-02 3.13688e-01  9.11843e-01 1.21970e+00 
1.31120e-02 3.08404e-01  9.28115e-01 1.23069e+00 
1.32241e-02 3.03504e-01  9.44027e-01 1.24170e+00 
1.33361e-02 2.98929e-01  9.59590e-01 1.25269e+00 
1.34482e-02 2.94575e-01  9.74876e-01 1.26363e+00 
1.35602e-02 2.90278e-01  9.90025e-01 1.27450e+00 
1.36723e-02 2.85847e-01  1.00521e+00 1.28526e+00 
1.37843e-02 2.81098e-01  1.02058e+00 1.29588e+00 
1.38964e-02 2.75893e-01  1.03624e+00 1.30635e+00 
1.40084e-02 2.70189e-01  1.05223e+00 1.31663e+00 
1.41205e-02 2.64066e-01  1.06849e+00 1.32675e+00 
1.42325e-02 2.57699e-01  1.08489e+00 1.33678e+00 
1.43446e-02 2.51295e-01  1.10131e+00 1.34679e+00 
1.44566e-02 2.45038e-01  1.11767e+00 1.35689e+00 
1.45686e-02 2.39061e-01  1.13391e+00 1.36715e+00 
1.46807e-02 2.33412e-01  1.15001e+00 1.37760e+00 
1.47927e-02 2.28073e-01  1.16597e+00 1.38823e+00 
1.49048e-02 2.23004e-01  1.18180e+00 1.39899e+00 
1.50168e-02 2.18166e-01  1.19748e+00 1.40983e+00 
1.51288e-02 2.13518e-01  1.21301e+00 1.42071e+00 
1.52409e-02 2.08983e-01  1.22845e+00 1.43163e+00 
1.53529e-02 2.04447e-01  1.24390e+00 1.44256e+00 
1.54650e-02 1.99788e-01  1.25949e+00 1.45349e+00 
1.55770e-02 1.94893e-01  1.27530e+00 1.46440e+00 
1.56890e-02 1.89698e-01  1.29136e+00 1.47527e+00 
1.58011e-02 1.84211e-01  1.30763e+00 1.48605e+00 
1.59131e-02 1.78501e-01  1.32404e+00 1.49674e+00 
1.60251e-02 1.72674e-01  1.34050e+00 1.50737e+00 
1.61372e-02 1.66865e-01  1.35690e+00 1.51795e+00 
1.62492e-02 1.61244e-01  1.37311e+00 1.52853e+00 
1.63612e-02 1.55962e-01  1.38899e+00 1.53913e+00 
1.64733e-02 1.51043e-01  1.40449e+00 1.54972e+00 
1.65853e-02 1.46319e-01  1.41976e+00 1.56028e+00 
1.66973e-02 1.41526e-01  1.43502e+00 1.57076e+00 
1.68094e-02 1.36452e-01  1.45046e+00 1.58113e+00 
1.69214e-02 1.30993e-01  1.46618e+00 1.59139e+00 
1.70334e-02 1.25129e-01  1.48225e+00 1.60160e+00 
1.71455e-02 1.18945e-01  1.49864e+00 1.61180e+00 
1.72575e-02 1.12679e-01  1.51520e+00 1.62207e+00 
1.73696e-02 1.06653e-01  1.53165e+00 1.63249e+00 
1.74816e-02 1.01097e-01  1.54780e+00 1.64307e+00 
1.75936e-02 9.60377e-02  1.56363e+00 1.65385e+00 
1.77057e-02 9.13672e-02  1.57925e+00 1.66481e+00 
1.78177e-02 8.69330e-02  1.59479e+00 1.67592e+00 
1.79298e-02 8.25820e-02  1.61038e+00 1.68717e+00 
1.80418e-02 7.81902e-02  1.62613e+00 1.69853e+00 
1.81538e-02 7.37013e-02  1.64207e+00 1.70998e+00 
1.82659e-02 6.91235e-02  1.65818e+00 1.72151e+00 
1.83779e-02 6.45073e-02  1.67440e+00 1.73311e+00 
1.84899e-02 5.99664e-02  1.69063e+00 1.74479e+00 
1.86020e-02 5.56736e-02  1.70669e+00 1.75656e+00 
1.87140e-02 5.17350e-02  1.72254e+00 1.76847e+00 
1.88261e-02 4.80696e-02  1.73833e+00 1.78062e+00 
1.89381e-02 4.44984e-02  1.75437e+00 1.79310e+00 
1.90501e-02 4.09496e-02  1.77084e+00 1.80602e+00 
1.91622e-02 3.74979e-02  1.78775e+00 1.81948e+00 
1.92742e-02 3.42349e-02  1.80511e+00 1.83358e+00 
1.93862e-02 3.12357e-02  1.82293e+00 1.84839e+00 
1.94983e-02 2.86631e-02  1.84109e+00 1.86397e+00 
1.96103e-02 2.67386e-02  1.85942e+00 1.88037e+00 
1.97224e-02 2.55158e-02  1.87791e+00 1.89766e+00 
1.98344e-02 2.47692e-02  1.89688e+00 1.91591e+00 
1.99464e-02 2.41795e-02  1.91674e+00 1.93520e+00 
2.00584e-02 2.35572e-02  1.93778e+00 1.95563e+00 
2.01705e-02 2.28367e-02  1.96013e+00 1.97726e+00 
2.02825e-02 2.19792e-02  1.98390e+00 2.00017e+00 
2.03945e-02 2.10355e-02  2.00909e+00 2.02440e+00 
2.05066e-02 2.02722e-02  2.03544e+00 2.04996e+00 
2.06186e-02 2.00980e-02  2.06251e+00 2.07684e+00 
2.07306e-02 2.08265e-02  2.08995e+00 2.10500e+00 
2.08426e-02 2.25589e-02  2.11759e+00 2.13437e+00 
2.09546e-02 2.52600e-02  2.14537e+00 2.16484e+00 
2.10666e-02 2.88399e-02  2.17325e+00 2.19631e+00 
2.11786e-02 3.31533e-02  2.20126e+00 2.22863e+00 
2.12906e-02 3.80420e-02  2.22943e+00 2.26168e+00 
2.14026e-02 4.34621e-02  2.25768e+00 2.29535e+00 
2.15145e-02 4.95399e-02  2.28580e+00 2.32952e+00 
2.16265e-02 5.64680e-02  2.31349e+00 2.36413e+00 
2.17385e-02 6.43673e-02  2.34057e+00 2.39911e+00 
2.18505e-02 7.32319e-02  2.36696e+00 2.43437e+00 
2.19624e-02 8.29360e-02  2.39270e+00 2.46981e+00 
2.20743e-02 9.32446e-02  2.41791e+00 2.50534e+00 
2.21863e-02 1.03833e-01  2.44279e+00 2.54083e+00 
2.22983e-02 1.14316e-01  2.46760e+00 2.57614e+00 
2.24103e-02 1.24269e-01  2.49262e+00 2.61113e+00 
2.25222e-02 1.33318e-01  2.51814e+00 2.64571e+00 
2.26342e-02 1.41298e-01  2.54426e+00 2.67979e+00 
2.27462e-02 1.48299e-01  2.57080e+00 2.71333e+00 
2.28581e-02 1.54464e-01  2.59760e+00 2.74629e+00 
2.29701e-02 1.59772e-01  2.62468e+00 2.77869e+00 
2.30821e-02 1.64144e-01  2.65216e+00 2.81054e+00 
2.31940e-02 1.67710e-01  2.67995e+00 2.84188e+00 
2.33060e-02 1.70847e-01  2.70771e+00 2.87275e+00 
2.34180e-02 1.73923e-01  2.73512e+00 2.90322e+00 
2.35300e-02 1.77134e-01  2.76203e+00 2.93334e+00 
2.36419e-02 1.80579e-01  2.78841e+00 2.96317e+00 
2.37539e-02 1.84305e-01  2.81426e+00 2.99276e+00 
2.38659e-02 1.88213e-01  2.83975e+00 3.02218e+00 
2.39778e-02 1.92075e-01  2.86520e+00 3.05151e+00 
2.40898e-02 1.95750e-01  2.89087e+00 3.08085e+00 
2.42018e-02 1.99313e-01  2.91676e+00 3.11030e+00 
2.43137e-02 2.02894e-01  2.94285e+00 3.13997e+00 
2.44257e-02 2.06498e-01  2.96922e+00 3.16996e+00 
2.45377e-02 2.10102e-01  2.99600e+00 3.20034e+00 
2.46497e-02 2.13849e-01  3.02310e+00 3.23116e+00 
2.47616e-02 2.18036e-01  3.05023e+00 3.26247e+00 
2.48736e-02 2.22891e-01  3.07719e+00 3.29428e+00 
2.49856e-02 2.28432e-01  3.10395e+00 3.32659e+00 
2.50975e-02 2.34541e-01  3.13062e+00 3.35938e+00 
2.52095e-02 2.41093e-01  3.15727e+00 3.39258e+00 
2.53215e-02 2.48007e-01  3.18390e+00 3.42612e+00 
2.54335e-02 2.55221e-01  3.21044e+00 3.45987e+00 
2.55454e-02 2.62671e-01  3.23682e+00 3.49369e+00 
2.56574e-02 2.70299e-01  3.26296e+00 3.52746e+00 
2.57694e-02 2.78012e-01  3.28885e+00 3.56107e+00 
2.58813e-02 2.85623e-01  3.31458e+00 3.59443e+00 
2.59933e-02 2.92830e-01  3.34043e+00 3.62751e+00 
2.61053e-02 2.99342e-01  3.36667e+00 3.66026e+00 
2.62173e-02 3.05061e-01  3.39337e+00 3.69267e+00 
2.63292e-02 3.10138e-01  3.42036e+00 3.72472e+00 
2.64412e-02 3.14808e-01  3.44739e+00 3.75641e+00 
2.65532e-02 3.19193e-01  3.47432e+00 3.78773e+00 
2.66651e-02 3.23309e-01  3.50118e+00 3.81870e+00 
2.67771e-02 3.27222e-01  3.52795e+00 3.84938e+00 
2.68891e-02 3.31102e-01  3.55450e+00 3.87981e+00 
2.70011e-02 3.35070e-01  3.58080e+00 3.91008e+00 
2.71130e-02 3.39106e-01  3.60694e+00 3.94027e+00 
2.72250e-02 3.43144e-01  3.63310e+00 3.97047e+00 
2.73369e-02 3.47214e-01  3.65932e+00 4.00076e+00 
2.74489e-02 3.51417e-01  3.68558e+00 4.03122e+00 
2.75609e-02 3.55821e-01  3.71187e+00 4.06191e+00 
2.76728e-02 3.60452e-01  3.73823e+00 4.09291e+00 
2.77848e-02 3.65337e-01  3.76466e+00 4.12423e+00 
2.78968e-02 3.70467e-01  3.79118e+00 4.15588e+00 
2.80087e-02 3.75772e-01  3.81785e+00 4.18785e+00 
2.81207e-02 3.81192e-01  3.84468e+00 4.22010e+00 
2.82327e-02 3.86755e-01  3.87158e+00 4.25256e+00 
2.83446e-02 3.92493e-01  3.89845e+00 4.28517e+00 
2.84566e-02 3.98355e-01  3.92529e+00 4.31786e+00 
2.85685e-02 4.04261e-01  3.95212e+00 4.35060e+00 
2.86805e-02 4.10216e-01  3.97889e+00 4.38333e+00 
2.87924e-02 4.16227e-01  4.00556e+00 4.41601e+00 
2.89044e-02 4.22144e-01  4.03222e+00 4.44861e+00 
2.90164e-02 4.27697e-01  4.05915e+00 4.48109e+00 
2.91283e-02 4.32702e-01  4.08649e+00 4.51345e+00 
2.92403e-02 4.37140e-01  4.11427e+00 4.54566e+00 
2.93523e-02 4.41010e-01  4.14247e+00 4.57774e+00 
2.94642e-02 4.44226e-01  4.17119e+00 4.60968e+00 
2.95762e-02 4.46680e-01  4.20055e+00 4.64150e+00 
2.96882e-02 4.48345e-01  4.23057e+00 4.67318e+00 
2.98001e-02 4.49231e-01  4.26123e+00 4.70473e+00 
2.99121e-02 4.49275e-01  4.29257e+00 4.73612e+00 
3.00241e-02 4.48347e-01  4.32472e+00 4.76735e+00 
3.01361e-02 4.46359e-01  4.35780e+00 4.79844e+00 
3.02481e-02 4.43361e-01  4.39177e+00 4.82940e+00 
3.03600e-02 4.39496e-01  4.42651e+00 4.86027e+00 
3.04720e-02 4.34888e-01  4.46195e+00 4.89111e+00 
3.05839e-02 4.29564e-01  4.49810e+00 4.92194e+00 
3.06959e-02 4.23517e-01  4.53504e+00 4.95283e+00 
3.08078e-02 4.16791e-01  4.57277e+00 4.98383e+00 
3.09198e-02 4.09508e-01  4.61119e+00 5.01497e+00 
3.10317e-02 4.01837e-01  4.65019e+00 5.04628e+00 
3.11436e-02 3.93983e-01  4.68959e+00 5.07781e+00 
3.12555e-02 3.86206e-01  4.72914e+00 5.10956e+00 
3.13674e-02 3.78789e-01  4.76856e+00 5.14155e+00 
3.14793e-02 3.71937e-01  4.80763e+00 5.17377e+00 
3.15912e-02 3.65736e-01  4.84625e+00 5.20618e+00 
3.17031e-02 3.60209e-01  4.88435e+00 5.23875e+00 
3.18150e-02 3.55385e-01  4.92188e+00 5.27145e+00 
3.19269e-02 3.51286e-01  4.95876e+00 5.30423e+00 
3.20388e-02 3.47857e-01  4.99498e+00 5.33703e+00 
3.21507e-02 3.44938e-01  5.03067e+00 5.36982e+00 
3.22626e-02 3.42264e-01  5.06603e+00 5.40252e+00 
3.23745e-02 3.39499e-01  5.10133e+00 5.43507e+00 
3.24864e-02 3.36289e-01  5.13684e+00 5.46738e+00 
3.25983e-02 3.32374e-01  5.17275e+00 5.49938e+00 
3.27102e-02 3.27635e-01  5.20912e+00 5.53101e+00 
3.28221e-02 3.22056e-01  5.24595e+00 5.56227e+00 
3.29340e-02 3.15684e-01  5.28323e+00 5.59317e+00 
3.30459e-02 3.08666e-01  5.32088e+00 5.62379e+00 
3.31578e-02 3.01314e-01  5.35869e+00 5.65423e+00 
