1.79730e-04 2.11481e-05  1.31454e-05 1.31454e-05 
3.59461e-04 3.37817e-05  3.31200e-05 4.53690e-05 
5.39124e-04 5.50889e-05  5.00234e-05 8.39363e-05 
7.18562e-04 7.51593e-05  6.72761e-05 1.21293e-04 
8.98022e-04 9.20219e-05  8.50481e-05 1.56056e-04 
1.07735e-03 1.06408e-04  1.04267e-04 1.89703e-04 
1.25670e-03 1.19736e-04  1.24807e-04 2.23461e-04 
1.43607e-03 1.34055e-04  1.44619e-04 2.57597e-04 
1.61554e-03 1.50145e-04  1.63166e-04 2.92302e-04 
1.79500e-03 1.68031e-04  1.80973e-04 3.28060e-04 
1.97448e-03 1.87490e-04  1.98741e-04 3.65382e-04 
2.15401e-03 2.07781e-04  2.17450e-04 4.04391e-04 
2.33358e-03 2.28361e-04  2.37106e-04 4.44652e-04 
2.51316e-03 2.48561e-04  2.57615e-04 4.85276e-04 
2.69273e-03 2.68656e-04  2.77553e-04 5.25267e-04 
2.87232e-03 2.88777e-04  2.96095e-04 5.63994e-04 
3.05187e-03 3.08405e-04  3.13858e-04 6.01397e-04 
3.23141e-03 3.27573e-04  3.31006e-04 6.37780e-04 
3.41097e-03 3.45778e-04  3.48410e-04 6.73472e-04 
3.59050e-03 3.62396e-04  3.67096e-04 7.08747e-04 
3.77004e-03 3.78164e-04  3.86627e-04 7.44018e-04 
3.94958e-03 3.94132e-04  4.06438e-04 7.79790e-04 
4.12910e-03 4.11028e-04  4.26215e-04 8.16426e-04 
4.30861e-03 4.29482e-04  4.45376e-04 8.54059e-04 
4.48815e-03 4.49446e-04  4.64041e-04 8.92716e-04 
4.66769e-03 4.70633e-04  4.82520e-04 9.32392e-04 
4.84726e-03 4.92694e-04  5.00933e-04 9.72903e-04 
5.02682e-03 5.14701e-04  5.19686e-04 1.01366e-03 
5.20637e-03 5.35992e-04  5.38601e-04 1.05382e-03 
5.38592e-03 5.56542e-04  5.56974e-04 1.09275e-03 
5.56545e-03 5.76177e-04  5.74882e-04 1.13034e-03 
5.74499e-03 5.94570e-04  5.92974e-04 1.16686e-03 
5.92453e-03 6.11546e-04  6.11697e-04 1.20258e-03 
6.10407e-03 6.27078e-04  6.31198e-04 1.23759e-03 
6.28360e-03 6.41628e-04  6.51094e-04 1.27199e-03 
6.46317e-03 6.56135e-04  6.70747e-04 1.30614e-03 
6.64273e-03 6.71426e-04  6.89922e-04 1.34063e-03 
6.82230e-03 6.87917e-04  7.08811e-04 1.37604e-03 
7.00187e-03 7.05422e-04  7.27899e-04 1.41269e-03 
7.18141e-03 7.23129e-04  7.47939e-04 1.45048e-03 
7.36095e-03 7.40067e-04  7.69603e-04 1.48911e-03 
7.54048e-03 7.55437e-04  7.93342e-04 1.52826e-03 
7.71999e-03 7.68334e-04  8.19822e-04 1.56772e-03 
7.89952e-03 7.77486e-04  8.50170e-04 1.60730e-03 
8.07906e-03 7.81514e-04  8.85565e-04 1.64676e-03 
8.25860e-03 7.79496e-04  9.26664e-04 1.68584e-03 
8.43816e-03 7.71360e-04  9.73339e-04 1.72433e-03 
8.61773e-03 7.57832e-04  1.02484e-03 1.76224e-03 
8.79727e-03 7.40086e-04  1.08011e-03 1.79970e-03 
8.97681e-03 7.19365e-04  1.13804e-03 1.83684e-03 
9.15637e-03 6.96693e-04  1.19765e-03 1.87375e-03 
9.33591e-03 6.72719e-04  1.25835e-03 1.91046e-03 
9.51546e-03 6.48021e-04  1.31977e-03 1.94713e-03 
9.69499e-03 6.23662e-04  1.38107e-03 1.98400e-03 
9.87453e-03 6.00918e-04  1.44110e-03 2.02126e-03 
1.00541e-02 5.80308e-04  1.49931e-03 2.05888e-03 
1.02336e-02 5.61329e-04  1.55599e-03 2.09661e-03 
1.04132e-02 5.43220e-04  1.61155e-03 2.13407e-03 
1.05927e-02 5.25586e-04  1.66609e-03 2.17098e-03 
1.07722e-02 5.08263e-04  1.71971e-03 2.20732e-03 
1.09518e-02 4.91065e-04  1.77279e-03 2.24322e-03 
1.11313e-02 4.73859e-04  1.82574e-03 2.27899e-03 
1.13108e-02 4.56556e-04  1.87891e-03 2.31490e-03 
1.14903e-02 4.38803e-04  1.93292e-03 2.35123e-03 
1.16699e-02 4.19960e-04  1.98868e-03 2.38818e-03 
1.18494e-02 3.99633e-04  2.04676e-03 2.42591e-03 
1.20289e-02 3.78163e-04  2.10684e-03 2.46445e-03 
1.22084e-02 3.56556e-04  2.16774e-03 2.50365e-03 
1.23879e-02 3.36060e-04  2.22788e-03 2.54321e-03 
1.25674e-02 3.17641e-04  2.28591e-03 2.58280e-03 
1.27469e-02 3.01447e-04  2.34139e-03 2.62213e-03 
1.29263e-02 2.86652e-04  2.39502e-03 2.66105e-03 
1.31058e-02 2.72093e-04  2.44800e-03 2.69952e-03 
1.32852e-02 2.57101e-04  2.50102e-03 2.73756e-03 
1.34647e-02 2.41471e-04  2.55435e-03 2.77530e-03 
1.36442e-02 2.24798e-04  2.60859e-03 2.81294e-03 
1.38237e-02 2.06478e-04  2.66472e-03 2.85078e-03 
1.40032e-02 1.86596e-04  2.72307e-03 2.88919e-03 
1.41826e-02 1.66374e-04  2.78277e-03 2.92858e-03 
1.43621e-02 1.47439e-04  2.84246e-03 2.96928e-03 
1.45416e-02 1.30857e-04  2.90132e-03 3.01156e-03 
1.47210e-02 1.17061e-04  2.95918e-03 3.05562e-03 
1.49005e-02 1.06237e-04  3.01605e-03 3.10170e-03 
1.50800e-02 9.81398e-05  3.07243e-03 3.15009e-03 
1.52595e-02 9.16055e-05  3.12992e-03 3.20119e-03 
1.54390e-02 8.50060e-05  3.19075e-03 3.25551e-03 
1.56184e-02 7.76941e-05  3.25622e-03 3.31363e-03 
1.57979e-02 7.07945e-05  3.32574e-03 3.37616e-03 
1.59774e-02 6.61547e-05  3.39790e-03 3.44366e-03 
1.61568e-02 6.45264e-05  3.47236e-03 3.51657e-03 
1.63363e-02 6.50290e-05  3.55034e-03 3.59516e-03 
1.65158e-02 6.63390e-05  3.63332e-03 3.67947e-03 
1.66953e-02 6.80429e-05  3.72154e-03 3.76933e-03 
1.68748e-02 7.06937e-05  3.81404e-03 3.86441e-03 
1.70543e-02 7.48789e-05  3.90975e-03 3.96428e-03 
1.72337e-02 8.06680e-05  4.00817e-03 4.06846e-03 
1.74132e-02 8.80543e-05  4.10884e-03 4.17645e-03 
1.75926e-02 9.76423e-05  4.21062e-03 4.28771e-03 
1.77720e-02 1.10590e-04  4.31176e-03 4.40170e-03 
1.79514e-02 1.27883e-04  4.41069e-03 4.51788e-03 
1.81308e-02 1.49802e-04  4.50669e-03 4.63581e-03 
1.83103e-02 1.75892e-04  4.59988e-03 4.75514e-03 
1.84897e-02 2.05040e-04  4.69115e-03 4.87566e-03 
1.86691e-02 2.35654e-04  4.78198e-03 4.99719e-03 
1.88486e-02 2.66376e-04  4.87356e-03 5.11948e-03 
1.90280e-02 2.96866e-04  4.96585e-03 5.24219e-03 
1.92074e-02 3.27536e-04  5.05784e-03 5.36482e-03 
1.93868e-02 3.58296e-04  5.14900e-03 5.48678e-03 
1.95662e-02 3.88009e-04  5.23994e-03 5.60750e-03 
1.97456e-02 4.15421e-04  5.33158e-03 5.72656e-03 
1.99250e-02 4.40204e-04  5.42404e-03 5.84379e-03 
2.01044e-02 4.62649e-04  5.51706e-03 5.95927e-03 
2.02838e-02 4.82699e-04  5.61090e-03 6.07321e-03 
2.04632e-02 4.99928e-04  5.70630e-03 6.18584e-03 
2.06426e-02 5.14509e-04  5.80331e-03 6.29735e-03 
2.08221e-02 5.27704e-04  5.90070e-03 6.40783e-03 
2.10015e-02 5.41089e-04  5.99681e-03 6.51728e-03 
2.11809e-02 5.55395e-04  6.09089e-03 6.62570e-03 
2.13603e-02 5.70279e-04  6.18341e-03 6.73316e-03 
2.15398e-02 5.85084e-04  6.27523e-03 6.83982e-03 
2.17192e-02 5.99527e-04  6.36683e-03 6.94587e-03 
2.18986e-02 6.13601e-04  6.45840e-03 7.05155e-03 
2.20780e-02 6.27149e-04  6.55032e-03 7.15705e-03 
2.22574e-02 6.39932e-04  6.64304e-03 7.26255e-03 
2.24367e-02 6.52010e-04  6.73667e-03 7.36825e-03 
2.26161e-02 6.63653e-04  6.83116e-03 7.47441e-03 
2.27956e-02 6.74845e-04  6.92690e-03 7.58141e-03 
2.29750e-02 6.85269e-04  7.02472e-03 7.68968e-03 
2.31544e-02 6.94988e-04  7.12505e-03 7.79970e-03 
2.33338e-02 7.04729e-04  7.22748e-03 7.91183e-03 
2.35132e-02 7.15218e-04  7.33142e-03 8.02626e-03 
2.36926e-02 7.26404e-04  7.43687e-03 8.14294e-03 
2.38720e-02 7.37561e-04  7.54434e-03 8.26159e-03 
2.40514e-02 7.47860e-04  7.65420e-03 8.38175e-03 
2.42308e-02 7.56506e-04  7.76658e-03 8.50280e-03 
2.44102e-02 7.62448e-04  7.88182e-03 8.62403e-03 
2.45896e-02 7.64300e-04  8.00059e-03 8.74470e-03 
2.47690e-02 7.60564e-04  8.12363e-03 8.86405e-03 
2.49483e-02 7.49889e-04  8.25168e-03 8.98145e-03 
2.51277e-02 7.31518e-04  8.38508e-03 9.09644e-03 
2.53071e-02 7.05994e-04  8.52315e-03 9.20886e-03 
2.54865e-02 6.75363e-04  8.66391e-03 9.31884e-03 
2.56658e-02 6.42302e-04  8.80506e-03 9.42683e-03 
2.58451e-02 6.08973e-04  8.94502e-03 9.53342e-03 
2.60244e-02 5.76824e-04  9.08303e-03 9.63924e-03 
2.62037e-02 5.47004e-04  9.21841e-03 9.74476e-03 
2.63831e-02 5.20289e-04  9.35064e-03 9.85029e-03 
2.65624e-02 4.96540e-04  9.48001e-03 9.95600e-03 
2.67417e-02 4.74853e-04  9.60762e-03 1.00620e-02 
2.69210e-02 4.54479e-04  9.73446e-03 1.01685e-02 
2.71003e-02 4.35288e-04  9.86099e-03 1.02758e-02 
2.72796e-02 4.17295e-04  9.98766e-03 1.03846e-02 
2.74590e-02 4.00272e-04  1.01152e-02 1.04951e-02 
2.76383e-02 3.84044e-04  1.02442e-02 1.06079e-02 
2.78176e-02 3.68818e-04  1.03744e-02 1.07228e-02 
2.79969e-02 3.54957e-04  1.05053e-02 1.08398e-02 
2.81762e-02 3.42548e-04  1.06362e-02 1.09583e-02 
2.83555e-02 3.31169e-04  1.07668e-02 1.10775e-02 
2.85348e-02 3.19844e-04  1.08974e-02 1.11969e-02 
2.87141e-02 3.07329e-04  1.10289e-02 1.13158e-02 
2.88934e-02 2.92827e-04  1.11615e-02 1.14340e-02 
2.90728e-02 2.76428e-04  1.12951e-02 1.15511e-02 
2.92521e-02 2.58720e-04  1.14288e-02 1.16671e-02 
2.94314e-02 2.40269e-04  1.15621e-02 1.17819e-02 
2.96107e-02 2.21791e-04  1.16945e-02 1.18957e-02 
2.97900e-02 2.04289e-04  1.18249e-02 1.20086e-02 
2.99693e-02 1.88284e-04  1.19532e-02 1.21210e-02 
3.01487e-02 1.73200e-04  1.20806e-02 1.22334e-02 
3.03280e-02 1.58185e-04  1.22089e-02 1.23468e-02 
3.05073e-02 1.43331e-04  1.23391e-02 1.24621e-02 
3.06866e-02 1.29487e-04  1.24713e-02 1.25805e-02 
3.08660e-02 1.17208e-04  1.26058e-02 1.27028e-02 
3.10453e-02 1.06677e-04  1.27431e-02 1.28295e-02 
