4.29978e-08 2.74566e-10  1.64882e-11 1.64882e-11 8.30064e-13
4.34277e-06 8.55435e-09  1.12764e-08 1.91471e-08 4.55529e-11
8.64255e-06 9.34657e-09  3.58297e-08 4.47362e-08 7.95969e-11
1.29423e-05 4.25499e-09  7.90533e-08 8.29147e-08 1.13011e-10
1.72421e-05 5.03729e-09  1.37741e-07 1.42450e-07 1.49540e-10
2.15419e-05 6.65282e-09  2.14350e-07 2.20356e-07 1.86100e-10
2.58417e-05 8.44068e-09  3.06982e-07 3.14987e-07 2.21350e-10
3.01414e-05 5.50757e-09  4.17889e-07 4.23066e-07 2.57399e-10
3.44412e-05 6.35068e-09  5.43539e-07 5.49269e-07 2.89194e-10
3.87410e-05 5.20039e-09  6.88503e-07 6.93212e-07 3.17073e-10
4.30408e-05 7.39110e-09  8.48164e-07 8.55302e-07 3.44300e-10
4.73405e-05 8.69338e-09  1.02606e-06 1.03411e-06 3.70390e-10
5.16403e-05 5.16431e-09  1.22081e-06 1.22554e-06 3.98674e-10
5.59401e-05 4.15552e-09  1.43185e-06 1.43566e-06 4.28587e-10
6.02399e-05 9.17460e-09  1.66012e-06 1.66863e-06 4.51953e-10
6.45396e-05 7.99350e-09  1.90547e-06 1.91298e-06 4.74048e-10
6.88394e-05 4.12933e-09  2.16711e-06 2.17088e-06 4.97971e-10
7.31392e-05 4.50745e-09  2.44655e-06 2.45057e-06 5.28040e-10
7.74390e-05 9.12801e-09  2.74182e-06 2.75029e-06 5.53992e-10
8.17387e-05 6.28841e-09  3.05460e-06 3.06066e-06 5.84955e-10
8.60385e-05 3.95720e-09  3.38504e-06 3.38859e-06 6.12887e-10
9.03383e-05 6.75869e-09  3.73038e-06 3.73656e-06 6.41055e-10
9.46381e-05 5.54439e-09  4.09461e-06 4.09971e-06 6.66521e-10
9.89378e-05 7.17282e-09  4.47425e-06 4.48123e-06 6.91062e-10
1.03238e-04 7.22087e-09  4.87177e-06 4.87832e-06 7.14426e-10
1.07537e-04 3.07676e-09  5.28593e-06 5.28858e-06 7.37045e-10
1.11837e-04 5.46088e-09  5.71701e-06 5.72204e-06 7.58219e-10
1.16137e-04 9.96834e-09  6.16402e-06 6.17345e-06 7.80687e-10
1.20437e-04 5.45694e-09  6.62989e-06 6.63482e-06 8.02998e-10
1.24736e-04 3.78065e-09  7.11014e-06 7.11363e-06 8.26686e-10
1.29036e-04 5.96985e-09  7.61036e-06 7.61572e-06 8.47417e-10
1.33336e-04 1.00775e-08  8.12454e-06 8.13400e-06 8.70143e-10
1.37636e-04 4.96061e-09  8.65735e-06 8.66198e-06 8.90118e-10
1.41936e-04 3.93372e-09  9.20627e-06 9.20980e-06 9.10301e-10
1.46235e-04 7.24547e-09  9.77276e-06 9.77928e-06 9.30372e-10
1.50535e-04 8.22920e-09  1.03552e-05 1.03630e-05 9.50352e-10
1.54835e-04 4.34513e-09  1.09560e-05 1.09600e-05 9.69878e-10
1.59135e-04 6.91671e-09  1.15715e-05 1.15779e-05 9.85733e-10
1.63434e-04 4.70951e-09  1.22064e-05 1.22107e-05 1.00125e-09
1.67734e-04 6.48865e-09  1.28561e-05 1.28622e-05 1.01914e-09
1.72034e-04 8.78486e-09  1.35239e-05 1.35320e-05 1.03693e-09
1.76334e-04 3.67708e-09  1.42083e-05 1.42116e-05 1.05577e-09
1.80634e-04 4.11006e-09  1.49092e-05 1.49129e-05 1.07550e-09
1.84933e-04 8.35017e-09  1.56276e-05 1.56353e-05 1.09148e-09
1.89233e-04 7.05882e-09  1.63628e-05 1.63694e-05 1.10780e-09
1.93533e-04 3.97931e-09  1.71139e-05 1.71175e-05 1.12408e-09
1.97833e-04 4.60255e-09  1.78833e-05 1.78875e-05 1.14079e-09
2.02132e-04 8.76729e-09  1.86688e-05 1.86769e-05 1.15779e-09
2.06432e-04 6.02580e-09  1.94715e-05 1.94773e-05 1.17824e-09
2.10732e-04 3.57243e-09  2.02915e-05 2.02948e-05 1.19687e-09
2.15032e-04 7.37020e-09  2.11267e-05 2.11334e-05 1.21101e-09
2.19332e-04 4.99265e-09  2.19810e-05 2.19857e-05 1.22510e-09
2.23631e-04 6.77171e-09  2.28508e-05 2.28573e-05 1.24262e-09
2.27931e-04 6.98372e-09  2.37379e-05 2.37442e-05 1.25811e-09
2.32231e-04 3.61125e-09  2.46417e-05 2.46449e-05 1.27600e-09
2.36531e-04 6.27807e-09  2.55626e-05 2.55684e-05 1.29092e-09
