3.36631e-04 1.96571e-02  1.03716e-02 1.03716e-02 
6.73263e-04 2.98143e-02  2.31398e-02 3.39332e-02 
1.00967e-03 3.89031e-02  4.02047e-02 5.98407e-02 
1.34555e-03 4.81225e-02  5.79458e-02 8.65266e-02 
1.68177e-03 6.46970e-02  7.19792e-02 1.17761e-01 
2.01815e-03 8.44339e-02  8.88154e-02 1.54053e-01 
2.35455e-03 1.04714e-01  1.05002e-01 1.90606e-01 
2.69087e-03 1.21302e-01  1.20567e-01 2.22872e-01 
3.02690e-03 1.33842e-01  1.36697e-01 2.51519e-01 
3.36307e-03 1.46967e-01  1.52761e-01 2.80728e-01 
3.69946e-03 1.63205e-01  1.68656e-01 3.12908e-01 
4.03574e-03 1.80888e-01  1.84733e-01 3.46681e-01 
4.37188e-03 1.97626e-01  2.00862e-01 3.79512e-01 
4.70815e-03 2.13170e-01  2.16483e-01 4.10765e-01 
5.04450e-03 2.28121e-01  2.32431e-01 4.41658e-01 
5.38082e-03 2.43583e-01  2.48581e-01 4.73277e-01 
5.71715e-03 2.59553e-01  2.64816e-01 5.05479e-01 
6.05342e-03 2.75643e-01  2.80864e-01 5.37578e-01 
6.38973e-03 2.91968e-01  2.96223e-01 5.69363e-01 
6.72605e-03 3.07805e-01  3.12101e-01 6.01099e-01 
7.06242e-03 3.23162e-01  3.28697e-01 6.32970e-01 
7.39872e-03 3.38966e-01  3.44815e-01 6.64898e-01 
7.73502e-03 3.55272e-01  3.60390e-01 6.96836e-01 
8.07130e-03 3.71483e-01  3.76174e-01 7.28857e-01 
8.40766e-03 3.87244e-01  3.92504e-01 7.60934e-01 
8.74400e-03 4.02458e-01  4.09157e-01 7.92811e-01 
9.08030e-03 4.16695e-01  4.26314e-01 8.24304e-01 
9.41664e-03 4.28703e-01  4.45444e-01 8.55579e-01 
9.75296e-03 4.36885e-01  4.68604e-01 8.87019e-01 
1.00893e-02 4.39859e-01  4.97364e-01 9.18860e-01 
1.04257e-02 4.35915e-01  5.33384e-01 9.51034e-01 
1.07620e-02 4.23764e-01  5.77956e-01 9.83355e-01 
1.10983e-02 4.04985e-01  6.29419e-01 1.01573e+00 
1.14345e-02 3.83989e-01  6.83046e-01 1.04807e+00 
1.17707e-02 3.64826e-01  7.34357e-01 1.08014e+00 
1.21069e-02 3.48618e-01  7.81957e-01 1.11163e+00 
1.24430e-02 3.34000e-01  8.27346e-01 1.14256e+00 
1.27791e-02 3.19216e-01  8.72807e-01 1.17334e+00 
1.31152e-02 3.03334e-01  9.19938e-01 1.20461e+00 
1.34513e-02 2.86494e-01  9.68982e-01 1.23671e+00 
1.37874e-02 2.69902e-01  1.01847e+00 1.26949e+00 
1.41235e-02 2.54696e-01  1.06657e+00 1.30238e+00 
1.44597e-02 2.40370e-01  1.11326e+00 1.33486e+00 
1.47958e-02 2.25256e-01  1.16014e+00 1.36668e+00 
1.51319e-02 2.08657e-01  1.20805e+00 1.39794e+00 
1.54681e-02 1.91508e-01  1.25627e+00 1.42897e+00 
1.58042e-02 1.74853e-01  1.30410e+00 1.46017e+00 
1.61403e-02 1.58749e-01  1.35190e+00 1.49189e+00 
1.64765e-02 1.43047e-01  1.39998e+00 1.52423e+00 
1.68126e-02 1.28113e-01  1.44777e+00 1.55706e+00 
1.71487e-02 1.14018e-01  1.49493e+00 1.59018e+00 
1.74849e-02 9.99965e-02  1.54219e+00 1.62348e+00 
1.78210e-02 8.55287e-02  1.59042e+00 1.65723e+00 
1.81571e-02 7.14401e-02  1.63941e+00 1.69207e+00 
1.84932e-02 5.93583e-02  1.68836e+00 1.72893e+00 
1.88294e-02 5.02970e-02  1.73722e+00 1.76882e+00 
1.91656e-02 4.39002e-02  1.78727e+00 1.81261e+00 
1.95017e-02 3.88609e-02  1.84065e+00 1.86107e+00 
1.98378e-02 3.41034e-02  1.89919e+00 1.91489e+00 
2.01739e-02 2.98253e-02  1.96348e+00 1.97488e+00 
2.05100e-02 2.72721e-02  2.03310e+00 2.04193e+00 
2.08461e-02 2.73222e-02  2.10800e+00 2.11694e+00 
2.11822e-02 2.99950e-02  2.18880e+00 2.20036e+00 
2.15183e-02 3.60576e-02  2.27459e+00 2.29196e+00 
2.18543e-02 4.81733e-02  2.36136e+00 2.39053e+00 
2.21902e-02 6.87901e-02  2.44440e+00 2.49409e+00 
2.25261e-02 9.67537e-02  2.52235e+00 2.60019e+00 
2.28620e-02 1.27159e-01  2.59792e+00 2.70639e+00 
2.31980e-02 1.54817e-01  2.67450e+00 2.81071e+00 
2.35339e-02 1.77211e-01  2.75335e+00 2.91191e+00 
2.38698e-02 1.94429e-01  2.83388e+00 3.00960e+00 
2.42058e-02 2.07791e-01  2.91507e+00 3.10408e+00 
2.45417e-02 2.19124e-01  2.99584e+00 3.19613e+00 
2.48777e-02 2.30260e-01  3.07531e+00 3.28674e+00 
2.52136e-02 2.42172e-01  3.15355e+00 3.37697e+00 
2.55495e-02 2.54765e-01  3.23172e+00 3.46781e+00 
2.58854e-02 2.67848e-01  3.31095e+00 3.56011e+00 
2.62214e-02 2.81992e-01  3.39116e+00 3.65440e+00 
2.65573e-02 2.98105e-01  3.47145e+00 3.75077e+00 
2.68933e-02 3.16392e-01  3.55117e+00 3.84878e+00 
2.72292e-02 3.35960e-01  3.63032e+00 3.94753e+00 
2.75651e-02 3.55274e-01  3.70942e+00 4.04598e+00 
2.79010e-02 3.72908e-01  3.78900e+00 4.14322e+00 
2.82370e-02 3.88107e-01  3.86937e+00 4.23879e+00 
2.85729e-02 4.00854e-01  3.95066e+00 4.33285e+00 
2.89089e-02 4.11398e-01  4.03323e+00 4.42601e+00 
2.92448e-02 4.19826e-01  4.11786e+00 4.51912e+00 
2.95808e-02 4.26031e-01  4.20535e+00 4.61286e+00 
2.99167e-02 4.29531e-01  4.29646e+00 4.70755e+00 
3.02526e-02 4.28953e-01  4.39245e+00 4.80307e+00 
3.05886e-02 4.22364e-01  4.49495e+00 4.89902e+00 
3.09246e-02 4.08996e-01  4.60438e+00 4.99495e+00 
3.12605e-02 3.90543e-01  4.71872e+00 5.09062e+00 
3.15963e-02 3.70067e-01  4.83475e+00 5.18606e+00 
3.19322e-02 3.49738e-01  4.95051e+00 5.28147e+00 
3.22679e-02 3.30322e-01  5.06552e+00 5.37703e+00 
3.26037e-02 3.12554e-01  5.17913e+00 5.47277e+00 
3.29394e-02 2.97593e-01  5.28985e+00 5.56850e+00 
3.32751e-02 2.85396e-01  5.39731e+00 5.66391e+00 
3.36108e-02 2.73548e-01  5.50377e+00 5.75874e+00 
3.39465e-02 2.58869e-01  5.61261e+00 5.85299e+00 
3.42823e-02 2.40337e-01  5.72519e+00 5.94693e+00 
3.46180e-02 2.20023e-01  5.83975e+00 6.04098e+00 
3.49538e-02 2.01202e-01  5.95331e+00 6.13561e+00 
3.52895e-02 1.85746e-01  6.06424e+00 6.23113e+00 
3.56253e-02 1.73089e-01  6.17318e+00 6.32755e+00 
3.59610e-02 1.61141e-01  6.28214e+00 6.42466e+00 
3.62967e-02 1.48073e-01  6.39265e+00 6.52210e+00 
3.66325e-02 1.33530e-01  6.50475e+00 6.61958e+00 
3.69682e-02 1.18440e-01  6.61725e+00 6.71693e+00 
3.73039e-02 1.03893e-01  6.72913e+00 6.81426e+00 
3.76397e-02 9.03657e-02  6.84029e+00 6.91193e+00 
3.79754e-02 7.79172e-02  6.95137e+00 7.01061e+00 
3.83111e-02 6.66756e-02  7.06313e+00 7.11118e+00 
3.86468e-02 5.69019e-02  7.17632e+00 7.21464e+00 
3.89826e-02 4.88526e-02  7.29172e+00 7.32204e+00 
3.93183e-02 4.28657e-02  7.40991e+00 7.43425e+00 
3.96540e-02 3.93296e-02  7.53109e+00 7.55190e+00 
3.99897e-02 3.81548e-02  7.65556e+00 7.67526e+00 
4.03255e-02 3.83195e-02  7.78429e+00 7.80424e+00 
4.06612e-02 3.83487e-02  7.91855e+00 7.93858e+00 
4.09969e-02 3.75340e-02  8.05889e+00 8.07805e+00 
4.13326e-02 3.68314e-02  8.20438e+00 8.22269e+00 
4.16683e-02 3.87241e-02  8.35274e+00 8.37277e+00 
4.20039e-02 4.61418e-02  8.50130e+00 8.52862e+00 
4.23395e-02 6.10332e-02  8.64816e+00 8.69034e+00 
4.26751e-02 8.34658e-02  8.79275e+00 8.85738e+00 
4.30106e-02 1.11865e-01  8.93532e+00 9.02837e+00 
4.33461e-02 1.43872e-01  9.07614e+00 9.20121e+00 
4.36816e-02 1.76643e-01  9.21549e+00 9.37341e+00 
4.40171e-02 2.06643e-01  9.35460e+00 9.54266e+00 
4.43527e-02 2.30369e-01  9.49550e+00 9.70735e+00 
4.46882e-02 2.46320e-01  9.63923e+00 9.86696e+00 
4.50237e-02 2.56153e-01  9.78468e+00 1.00221e+01 
4.53593e-02 2.63391e-01  9.92960e+00 1.01742e+01 
4.56948e-02 2.71067e-01  1.00727e+01 1.03249e+01 
4.60304e-02 2.80687e-01  1.02141e+01 1.04760e+01 
4.63659e-02 2.92615e-01  1.03548e+01 1.06287e+01 
4.67014e-02 3.06423e-01  1.04957e+01 1.07835e+01 
4.70370e-02 3.21097e-01  1.06380e+01 1.09405e+01 
4.73725e-02 3.35933e-01  1.07823e+01 1.10996e+01 
4.77080e-02 3.51417e-01  1.09274e+01 1.12601e+01 
4.80436e-02 3.68460e-01  1.10719e+01 1.14216e+01 
4.83792e-02 3.86620e-01  1.12154e+01 1.15834e+01 
4.87147e-02 4.03735e-01  1.13597e+01 1.17449e+01 
4.90502e-02 4.17469e-01  1.15066e+01 1.19056e+01 
4.93857e-02 4.26600e-01  1.16569e+01 1.20650e+01 
4.97213e-02 4.30711e-01  1.18107e+01 1.22230e+01 
5.00569e-02 4.29504e-01  1.19687e+01 1.23798e+01 
5.03924e-02 4.22997e-01  1.21311e+01 1.25357e+01 
5.07280e-02 4.11866e-01  1.22979e+01 1.26914e+01 
5.10635e-02 3.96989e-01  1.24688e+01 1.28474e+01 
5.13990e-02 3.78864e-01  1.26437e+01 1.30041e+01 
5.17345e-02 3.57979e-01  1.28225e+01 1.31619e+01 
5.20699e-02 3.35746e-01  1.30036e+01 1.33207e+01 
5.24054e-02 3.14631e-01  1.31844e+01 1.34801e+01 
5.27408e-02 2.96948e-01  1.33619e+01 1.36399e+01 
