8.52315e-07 2.57933e-05  8.44750e-06 8.44750e-06 7.04880e-07
8.59308e-05 4.60193e-05  7.33362e-03 7.35430e-03 1.21572e-05
1.70800e-04 1.00334e-04  2.86455e-02 2.87205e-02 2.09889e-05
2.55458e-04 1.57553e-04  6.35913e-02 6.37236e-02 2.89134e-05
3.39910e-04 2.04833e-04  1.11864e-01 1.12043e-01 3.60824e-05
4.24155e-04 2.18117e-04  1.73148e-01 1.73341e-01 4.26093e-05
5.08194e-04 1.91178e-04  2.47141e-01 2.47307e-01 4.86906e-05
5.92032e-04 1.50225e-04  3.33536e-01 3.33661e-01 5.43482e-05
6.75671e-04 1.16073e-04  4.32050e-01 4.32141e-01 5.95997e-05
7.59114e-04 8.27244e-05  5.42396e-01 5.42453e-01 6.46388e-05
8.42362e-04 8.87803e-05  6.64287e-01 6.64351e-01 6.93704e-05
9.25417e-04 5.67138e-05  7.97514e-01 7.97546e-01 7.39257e-05
1.00000e-03 2.17679e-04  9.26920e-01 9.27113e-01 7.80264e-05
