4.29978e-06 2.74566e-06  1.64878e-07 1.64878e-07 8.30064e-09
4.34276e-04 8.55250e-05  1.12748e-04 1.91439e-04 4.55665e-07
8.64253e-04 9.34356e-05  3.58245e-04 4.47282e-04 7.96250e-07
1.29423e-03 4.25600e-05  7.90357e-04 8.28979e-04 1.13028e-06
1.72420e-03 5.03503e-05  1.37703e-03 1.42410e-03 1.49509e-06
2.15418e-03 6.64630e-05  2.14278e-03 2.20278e-03 1.86021e-06
2.58415e-03 8.43717e-05  3.06855e-03 3.14857e-03 2.21267e-06
3.01413e-03 5.50099e-05  4.17691e-03 4.22862e-03 2.57275e-06
3.44410e-03 6.34383e-05  5.43246e-03 5.48969e-03 2.88952e-06
3.87408e-03 5.18884e-05  6.88082e-03 6.92782e-03 3.16820e-06
4.30405e-03 7.38736e-05  8.47593e-03 8.54728e-03 3.43893e-06
4.73403e-03 8.70762e-05  1.02529e-02 1.03335e-02 3.69898e-06
5.16400e-03 5.18284e-05  1.21981e-02 1.22456e-02 3.98022e-06
5.59397e-03 4.15597e-05  1.43058e-02 1.43439e-02 4.27882e-06
6.02395e-03 9.17323e-05  1.65855e-02 1.66706e-02 4.51198e-06
6.45392e-03 8.02810e-05  1.90353e-02 1.91108e-02 4.73261e-06
6.88389e-03 4.14906e-05  2.16477e-02 2.16855e-02 4.97118e-06
7.31386e-03 4.49847e-05  2.44374e-02 2.44776e-02 5.26882e-06
7.74383e-03 9.10636e-05  2.73850e-02 2.74695e-02 5.53005e-06
8.17381e-03 6.33651e-05  3.05069e-02 3.05679e-02 5.84043e-06
8.60378e-03 3.98638e-05  3.38049e-02 3.38406e-02 6.11975e-06
9.03375e-03 6.77237e-05  3.72510e-02 3.73129e-02 6.40070e-06
9.46372e-03 5.49111e-05  4.08854e-02 4.09359e-02 6.65061e-06
9.89369e-03 7.21964e-05  4.46727e-02 4.47430e-02 6.89820e-06
1.03237e-02 7.17719e-05  4.86390e-02 4.87042e-02 7.12901e-06
1.07536e-02 3.08144e-05  5.27699e-02 5.27965e-02 7.35139e-06
1.11836e-02 5.37950e-05  5.70700e-02 5.71195e-02 7.56112e-06
1.16136e-02 9.91605e-05  6.15282e-02 6.16219e-02 7.78060e-06
1.20435e-02 5.49251e-05  6.61738e-02 6.62234e-02 8.00338e-06
1.24735e-02 3.77539e-05  7.09621e-02 7.09970e-02 8.23927e-06
1.29035e-02 5.83862e-05  7.59502e-02 7.60026e-02 8.44389e-06
1.33334e-02 1.00928e-04  8.10759e-02 8.11705e-02 8.67034e-06
1.37634e-02 4.92307e-05  8.63875e-02 8.64335e-02 8.86911e-06
1.41934e-02 3.77278e-05  9.18584e-02 9.18922e-02 9.06888e-06
1.46234e-02 7.29367e-05  9.75040e-02 9.75696e-02 9.26581e-06
1.50533e-02 8.27364e-05  1.03308e-01 1.03387e-01 9.46251e-06
1.54833e-02 4.48890e-05  1.09294e-01 1.09335e-01 9.66557e-06
1.59133e-02 6.98843e-05  1.15427e-01 1.15491e-01 9.82544e-06
1.63432e-02 4.79409e-05  1.21752e-01 1.21795e-01 9.97812e-06
1.67732e-02 6.49521e-05  1.28223e-01 1.28285e-01 1.01435e-05
1.72032e-02 8.91724e-05  1.34875e-01 1.34958e-01 1.03158e-05
1.76331e-02 3.72010e-05  1.41692e-01 1.41725e-01 1.05082e-05
1.80631e-02 4.15935e-05  1.48671e-01 1.48708e-01 1.07087e-05
1.84931e-02 8.24364e-05  1.55825e-01 1.55902e-01 1.08661e-05
1.89230e-02 7.20247e-05  1.63144e-01 1.63211e-01 1.10286e-05
1.93530e-02 4.14094e-05  1.70623e-01 1.70660e-01 1.11881e-05
1.97829e-02 4.32885e-05  1.78281e-01 1.78320e-01 1.13434e-05
2.02129e-02 8.72862e-05  1.86099e-01 1.86179e-01 1.15066e-05
2.06429e-02 6.23520e-05  1.94087e-01 1.94147e-01 1.17099e-05
2.10728e-02 3.49962e-05  2.02248e-01 2.02279e-01 1.19002e-05
2.15028e-02 7.19709e-05  2.10557e-01 2.10622e-01 1.20312e-05
2.19328e-02 4.79410e-05  2.19058e-01 2.19103e-01 1.21729e-05
2.23627e-02 6.91363e-05  2.27709e-01 2.27775e-01 1.23444e-05
2.27927e-02 7.00911e-05  2.36536e-01 2.36599e-01 1.24921e-05
2.32227e-02 3.68071e-05  2.45524e-01 2.45556e-01 1.26716e-05
2.36526e-02 5.58507e-05  2.54683e-01 2.54734e-01 1.28151e-05
2.40826e-02 8.65497e-05  2.64002e-01 2.64084e-01 1.29600e-05
2.45125e-02 6.44581e-05  2.73505e-01 2.73564e-01 1.30810e-05
2.49425e-02 3.08711e-05  2.83151e-01 2.83178e-01 1.32270e-05
2.53725e-02 5.56357e-05  2.92992e-01 2.93041e-01 1.33888e-05
2.58024e-02 1.03046e-04  3.02971e-01 3.03068e-01 1.35402e-05
2.62324e-02 4.03128e-05  3.13138e-01 3.13174e-01 1.37268e-05
2.66623e-02 4.43272e-05  3.23462e-01 3.23502e-01 1.38475e-05
2.70923e-02 7.29602e-05  3.33957e-01 3.34022e-01 1.39845e-05
2.75223e-02 6.77292e-05  3.44613e-01 3.44678e-01 1.41254e-05
2.79522e-02 5.37913e-05  3.55447e-01 3.55497e-01 1.42854e-05
2.83822e-02 6.04846e-05  3.66432e-01 3.66486e-01 1.44386e-05
2.88121e-02 4.19685e-05  3.77603e-01 3.77640e-01 1.45918e-05
2.92421e-02 6.89686e-05  3.88919e-01 3.88985e-01 1.47450e-05
2.96721e-02 7.37987e-05  4.00417e-01 4.00485e-01 1.48866e-05
3.01020e-02 4.81566e-05  4.12080e-01 4.12123e-01 1.50488e-05
3.05320e-02 3.58148e-05  4.23902e-01 4.23934e-01 1.52069e-05
3.09619e-02 7.28616e-05  4.35898e-01 4.35965e-01 1.53492e-05
3.13919e-02 8.25026e-05  4.48056e-01 4.48133e-01 1.54863e-05
3.18218e-02 3.27764e-05  4.60380e-01 4.60410e-01 1.55998e-05
3.22518e-02 4.19837e-05  4.72878e-01 4.72914e-01 1.57282e-05
3.26818e-02 8.19724e-05  4.85533e-01 4.85609e-01 1.58581e-05
3.31117e-02 6.31699e-05  4.98357e-01 4.98418e-01 1.59830e-05
3.35417e-02 4.08634e-05  5.11355e-01 5.11391e-01 1.61241e-05
3.39716e-02 6.31853e-05  5.24502e-01 5.24559e-01 1.62546e-05
3.44016e-02 5.19574e-05  5.37839e-01 5.37887e-01 1.63847e-05
3.48315e-02 6.59793e-05  5.51320e-01 5.51384e-01 1.65680e-05
3.52615e-02 6.64647e-05  5.64981e-01 5.65041e-01 1.66776e-05
3.56914e-02 4.44995e-05  5.78800e-01 5.78839e-01 1.67991e-05
3.61214e-02 4.49172e-05  5.92792e-01 5.92833e-01 1.69348e-05
3.65514e-02 8.55631e-05  6.06944e-01 6.07024e-01 1.70514e-05
3.69813e-02 6.89238e-05  6.21271e-01 6.21333e-01 1.71696e-05
3.74113e-02 2.92039e-05  6.35745e-01 6.35771e-01 1.72765e-05
3.78412e-02 5.46583e-05  6.50413e-01 6.50462e-01 1.73729e-05
3.82712e-02 9.43106e-05  6.65221e-01 6.65309e-01 1.74648e-05
3.87011e-02 4.32308e-05  6.80212e-01 6.80252e-01 1.75734e-05
3.91311e-02 4.44105e-05  6.95359e-01 6.95399e-01 1.76726e-05
3.95610e-02 6.10680e-05  7.10675e-01 7.10730e-01 1.77869e-05
3.99910e-02 7.22530e-05  7.26158e-01 7.26227e-01 1.79101e-05
4.04209e-02 5.16339e-05  7.41809e-01 7.41856e-01 1.80602e-05
4.08509e-02 5.82429e-05  7.57616e-01 7.57668e-01 1.81699e-05
4.12808e-02 4.82889e-05  7.73604e-01 7.73647e-01 1.83032e-05
4.17108e-02 5.25712e-05  7.89742e-01 7.89792e-01 1.84206e-05
4.21407e-02 7.88947e-05  8.06057e-01 8.06130e-01 1.85142e-05
4.25707e-02 5.21509e-05  8.22534e-01 8.22580e-01 1.86027e-05
4.30006e-02 2.73167e-05  8.39170e-01 8.39194e-01 1.86973e-05
4.34306e-02 7.37008e-05  8.55983e-01 8.56052e-01 1.87940e-05
4.38605e-02 8.32706e-05  8.72952e-01 8.73029e-01 1.88928e-05
4.42905e-02 3.11998e-05  8.90094e-01 8.90121e-01 1.89813e-05
4.47204e-02 4.48593e-05  9.07398e-01 9.07438e-01 1.90663e-05
4.51504e-02 7.24443e-05  9.24864e-01 9.24930e-01 1.91907e-05
4.55803e-02 7.12572e-05  9.42499e-01 9.42566e-01 1.93312e-05
4.60103e-02 3.78986e-05  9.60305e-01 9.60338e-01 1.94984e-05
4.64402e-02 5.89228e-05  9.78261e-01 9.78313e-01 1.96927e-05
4.68702e-02 5.64600e-05  9.96403e-01 9.96455e-01 1.98179e-05
4.73001e-02 6.15110e-05  1.01469e+00 1.01475e+00 1.99216e-05
4.77301e-02 6.81064e-05  1.03316e+00 1.03322e+00 2.00023e-05
4.81600e-02 4.42435e-05  1.05178e+00 1.05182e+00 2.00930e-05
4.85899e-02 4.32098e-05  1.07057e+00 1.07061e+00 2.01742e-05
4.90199e-02 8.08400e-05  1.08953e+00 1.08960e+00 2.02709e-05
4.94498e-02 6.44047e-05  1.10865e+00 1.10871e+00 2.03513e-05
4.98798e-02 3.73040e-05  1.12793e+00 1.12796e+00 2.04457e-05
5.03097e-02 4.34514e-05  1.14739e+00 1.14743e+00 2.05540e-05
5.07397e-02 9.37741e-05  1.16700e+00 1.16709e+00 2.06576e-05
5.11696e-02 5.03362e-05  1.18679e+00 1.18683e+00 2.07856e-05
5.15996e-02 3.34235e-05  1.20673e+00 1.20676e+00 2.08828e-05
5.20295e-02 6.87365e-05  1.22684e+00 1.22690e+00 2.10213e-05
5.24595e-02 6.26261e-05  1.24712e+00 1.24718e+00 2.11243e-05
5.28894e-02 5.08709e-05  1.26756e+00 1.26761e+00 2.12271e-05
5.33193e-02 6.09039e-05  1.28816e+00 1.28822e+00 2.13167e-05
5.37493e-02 4.44164e-05  1.30894e+00 1.30898e+00 2.13976e-05
5.41792e-02 5.67849e-05  1.32987e+00 1.32992e+00 2.14741e-05
5.46092e-02 6.96955e-05  1.35097e+00 1.35104e+00 2.15507e-05
5.50391e-02 5.38290e-05  1.37224e+00 1.37228e+00 2.16376e-05
5.54690e-02 3.87360e-05  1.39366e+00 1.39370e+00 2.17257e-05
5.58990e-02 5.64791e-05  1.41526e+00 1.41532e+00 2.18269e-05
5.63289e-02 8.40515e-05  1.43701e+00 1.43709e+00 2.19387e-05
5.67589e-02 4.15521e-05  1.45894e+00 1.45898e+00 2.20485e-05
