4.29978e-06 2.74566e-06  1.64878e-07 1.64878e-07 8.30064e-09
4.34276e-04 8.55356e-05  1.12759e-04 1.91458e-04 4.55673e-07
8.64253e-04 9.34803e-05  3.58244e-04 4.47323e-04 7.96273e-07
1.29423e-03 4.25497e-05  7.90375e-04 8.28989e-04 1.13020e-06
1.72420e-03 5.03479e-05  1.37703e-03 1.42410e-03 1.49515e-06
2.15418e-03 6.64613e-05  2.14277e-03 2.20276e-03 1.86036e-06
2.58415e-03 8.43885e-05  3.06862e-03 3.14865e-03 2.21293e-06
3.01413e-03 5.50285e-05  4.17689e-03 4.22862e-03 2.57348e-06
3.44410e-03 6.34186e-05  5.43248e-03 5.48968e-03 2.89045e-06
3.87408e-03 5.19956e-05  6.88080e-03 6.92789e-03 3.16919e-06
4.30405e-03 7.38062e-05  8.47595e-03 8.54723e-03 3.43979e-06
4.73403e-03 8.70272e-05  1.02529e-02 1.03335e-02 3.70003e-06
5.16400e-03 5.20982e-05  1.21981e-02 1.22458e-02 3.98137e-06
5.59397e-03 4.14622e-05  1.43058e-02 1.43438e-02 4.28035e-06
6.02395e-03 9.15750e-05  1.65855e-02 1.66705e-02 4.51361e-06
6.45392e-03 8.05377e-05  1.90353e-02 1.91109e-02 4.73429e-06
6.88389e-03 4.14850e-05  2.16477e-02 2.16856e-02 4.97278e-06
7.31386e-03 4.48978e-05  2.44375e-02 2.44775e-02 5.27064e-06
7.74383e-03 9.09804e-05  2.73850e-02 2.74694e-02 5.53174e-06
8.17381e-03 6.34354e-05  3.05069e-02 3.05680e-02 5.84230e-06
8.60378e-03 3.98951e-05  3.38050e-02 3.38407e-02 6.12234e-06
9.03375e-03 6.77523e-05  3.72509e-02 3.73129e-02 6.40344e-06
9.46372e-03 5.48745e-05  4.08854e-02 4.09358e-02 6.65311e-06
9.89369e-03 7.22629e-05  4.46726e-02 4.47430e-02 6.90081e-06
1.03237e-02 7.16121e-05  4.86392e-02 4.87042e-02 7.13232e-06
1.07536e-02 3.11360e-05  5.27698e-02 5.27967e-02 7.35441e-06
1.11836e-02 5.36807e-05  5.70699e-02 5.71193e-02 7.56405e-06
1.16136e-02 9.89511e-05  6.15282e-02 6.16218e-02 7.78371e-06
1.20435e-02 5.52409e-05  6.61738e-02 6.62237e-02 8.00612e-06
1.24735e-02 3.77621e-05  7.09621e-02 7.09971e-02 8.24189e-06
1.29035e-02 5.80647e-05  7.59503e-02 7.60023e-02 8.44684e-06
1.33334e-02 1.01088e-04  8.10758e-02 8.11706e-02 8.67392e-06
1.37634e-02 4.93778e-05  8.63875e-02 8.64337e-02 8.87265e-06
1.41934e-02 3.74154e-05  9.18585e-02 9.18919e-02 9.07238e-06
1.46234e-02 7.32132e-05  9.75039e-02 9.75697e-02 9.27052e-06
1.50533e-02 8.26456e-05  1.03308e-01 1.03387e-01 9.46602e-06
1.54833e-02 4.49641e-05  1.09293e-01 1.09335e-01 9.66976e-06
1.59133e-02 6.98800e-05  1.15427e-01 1.15491e-01 9.82966e-06
1.63432e-02 4.81554e-05  1.21752e-01 1.21795e-01 9.98209e-06
1.67732e-02 6.46104e-05  1.28223e-01 1.28284e-01 1.01468e-05
1.72032e-02 8.91789e-05  1.34875e-01 1.34958e-01 1.03183e-05
1.76331e-02 3.75416e-05  1.41692e-01 1.41725e-01 1.05103e-05
1.80631e-02 4.15390e-05  1.48671e-01 1.48708e-01 1.07106e-05
1.84931e-02 8.17891e-05  1.55825e-01 1.55902e-01 1.08681e-05
1.89230e-02 7.24867e-05  1.63144e-01 1.63211e-01 1.10304e-05
1.93530e-02 4.17175e-05  1.70623e-01 1.70661e-01 1.11896e-05
1.97829e-02 4.28850e-05  1.78280e-01 1.78319e-01 1.13447e-05
2.02129e-02 8.71126e-05  1.86099e-01 1.86179e-01 1.15084e-05
2.06429e-02 6.28214e-05  1.94087e-01 1.94147e-01 1.17118e-05
2.10728e-02 3.48005e-05  2.02248e-01 2.02279e-01 1.19021e-05
2.15028e-02 7.20721e-05  2.10557e-01 2.10622e-01 1.20340e-05
2.19328e-02 4.79337e-05  2.19058e-01 2.19103e-01 1.21751e-05
2.23627e-02 6.89161e-05  2.27708e-01 2.27775e-01 1.23467e-05
2.27927e-02 7.03395e-05  2.36536e-01 2.36599e-01 1.24951e-05
2.32227e-02 3.71449e-05  2.45524e-01 2.45557e-01 1.26743e-05
2.36526e-02 5.52569e-05  2.54683e-01 2.54734e-01 1.28172e-05
2.40826e-02 8.63160e-05  2.64002e-01 2.64084e-01 1.29625e-05
2.45125e-02 6.51493e-05  2.73505e-01 2.73564e-01 1.30837e-05
2.49425e-02 3.10462e-05  2.83151e-01 2.83178e-01 1.32298e-05
2.53725e-02 5.46549e-05  2.92992e-01 2.93041e-01 1.33923e-05
2.58024e-02 1.03439e-04  3.02971e-01 3.03068e-01 1.35429e-05
2.62324e-02 4.08579e-05  3.13138e-01 3.13175e-01 1.37303e-05
2.66623e-02 4.41320e-05  3.23462e-01 3.23502e-01 1.38511e-05
2.70923e-02 7.28049e-05  3.33957e-01 3.34022e-01 1.39877e-05
2.75223e-02 6.76216e-05  3.44613e-01 3.44678e-01 1.41283e-05
2.79522e-02 5.40427e-05  3.55447e-01 3.55497e-01 1.42883e-05
2.83822e-02 6.03486e-05  3.66432e-01 3.66486e-01 1.44415e-05
2.88121e-02 4.23175e-05  3.77603e-01 3.77640e-01 1.45951e-05
2.92421e-02 6.84686e-05  3.88919e-01 3.88985e-01 1.47472e-05
2.96721e-02 7.36799e-05  4.00417e-01 4.00485e-01 1.48887e-05
3.01020e-02 4.89269e-05  4.12080e-01 4.12123e-01 1.50520e-05
3.05320e-02 3.59600e-05  4.23902e-01 4.23934e-01 1.52096e-05
3.09619e-02 7.14360e-05  4.35898e-01 4.35964e-01 1.53514e-05
3.13919e-02 8.37118e-05  4.48056e-01 4.48134e-01 1.54887e-05
3.18218e-02 3.29507e-05  4.60381e-01 4.60410e-01 1.56032e-05
3.22518e-02 4.13802e-05  4.72877e-01 4.72914e-01 1.57310e-05
3.26818e-02 8.20303e-05  4.85533e-01 4.85609e-01 1.58617e-05
3.31117e-02 6.31792e-05  4.98358e-01 4.98418e-01 1.59867e-05
3.35417e-02 4.11787e-05  5.11355e-01 5.11391e-01 1.61278e-05
3.39716e-02 6.29885e-05  5.24502e-01 5.24559e-01 1.62590e-05
3.44016e-02 5.17609e-05  5.37839e-01 5.37887e-01 1.63897e-05
3.48315e-02 6.61847e-05  5.51320e-01 5.51383e-01 1.65727e-05
3.52615e-02 6.63791e-05  5.64981e-01 5.65041e-01 1.66831e-05
3.56914e-02 4.49992e-05  5.78800e-01 5.78840e-01 1.68033e-05
3.61214e-02 4.48108e-05  5.92792e-01 5.92833e-01 1.69394e-05
3.65514e-02 8.45241e-05  6.06944e-01 6.07024e-01 1.70567e-05
3.69813e-02 7.02780e-05  6.21270e-01 6.21334e-01 1.71742e-05
3.74113e-02 2.93365e-05  6.35745e-01 6.35772e-01 1.72811e-05
3.78412e-02 5.30502e-05  6.50413e-01 6.50460e-01 1.73782e-05
3.82712e-02 9.52493e-05  6.65221e-01 6.65310e-01 1.74694e-05
3.87011e-02 4.36631e-05  6.80212e-01 6.80253e-01 1.75771e-05
3.91311e-02 4.40566e-05  6.95359e-01 6.95398e-01 1.76770e-05
3.95610e-02 6.10303e-05  7.10675e-01 7.10729e-01 1.77895e-05
3.99910e-02 7.21726e-05  7.26159e-01 7.26227e-01 1.79115e-05
4.04209e-02 5.22788e-05  7.41808e-01 7.41856e-01 1.80642e-05
4.08509e-02 5.76714e-05  7.57617e-01 7.57668e-01 1.81727e-05
4.12808e-02 4.87991e-05  7.73604e-01 7.73647e-01 1.83065e-05
4.17108e-02 5.21388e-05  7.89742e-01 7.89791e-01 1.84249e-05
4.21407e-02 7.86737e-05  8.06057e-01 8.06130e-01 1.85183e-05
4.25707e-02 5.30607e-05  8.22534e-01 8.22581e-01 1.86068e-05
4.30006e-02 2.74051e-05  8.39170e-01 8.39193e-01 1.87004e-05
