1.64354e-05 7.31944e+07  1.97967e+06 1.97967e+06 
3.28708e-05 7.32780e+07  7.26676e+06 7.35264e+06 
4.93054e-05 7.35483e+07  1.51261e+07 1.55109e+07 
6.57380e-05 7.41386e+07  2.53086e+07 2.63613e+07 
8.21670e-05 7.51867e+07  3.75419e+07 3.97927e+07 
9.85905e-05 7.68128e+07  5.15584e+07 5.56785e+07 
1.15006e-04 7.90988e+07  6.71233e+07 7.38797e+07 
1.31412e-04 8.20706e+07  8.40580e+07 9.42491e+07 
1.47805e-04 8.56865e+07  1.02258e+08 1.16635e+08 
1.64184e-04 8.98339e+07  1.21703e+08 1.40885e+08 
1.80544e-04 9.43333e+07  1.42454e+08 1.66853e+08 
1.96884e-04 9.89512e+07  1.64644e+08 1.94400e+08 
2.13202e-04 1.03419e+08  1.88460e+08 2.23402e+08 
2.29496e-04 1.07459e+08  2.14116e+08 2.53747e+08 
2.45763e-04 1.10806e+08  2.41828e+08 2.85347e+08 
2.62002e-04 1.13237e+08  2.71788e+08 3.18129e+08 
2.78213e-04 1.14588e+08  3.04137e+08 3.52047e+08 
2.94394e-04 1.14771e+08  3.38950e+08 3.87072e+08 
3.10546e-04 1.13782e+08  3.76226e+08 4.23201e+08 
3.26668e-04 1.11699e+08  4.15891e+08 4.60446e+08 
3.42762e-04 1.08673e+08  4.57802e+08 4.98843e+08 
3.58827e-04 1.04914e+08  5.01765e+08 5.38443e+08 
3.74866e-04 1.00670e+08  5.47558e+08 5.79311e+08 
3.90881e-04 9.62055e+07  5.94950e+08 6.21523e+08 
4.06873e-04 9.17758e+07  6.43731e+08 6.65168e+08 
4.22844e-04 8.76078e+07  6.93732e+08 7.10339e+08 
4.38796e-04 8.38821e+07  7.44840e+08 7.57133e+08 
4.54733e-04 8.07219e+07  7.97011e+08 8.05650e+08 
4.70656e-04 7.81875e+07  8.50273e+08 8.55986e+08 
4.86568e-04 7.62783e+07  9.04721e+08 9.08235e+08 
5.02471e-04 7.49412e+07  9.60503e+08 9.62482e+08 
5.18367e-04 7.40841e+07  1.01780e+09 1.01880e+09 
5.34258e-04 7.35924e+07  1.07682e+09 1.07727e+09 
5.50145e-04 7.33484e+07  1.13774e+09 1.13792e+09 
5.66031e-04 7.32489e+07  1.20072e+09 1.20079e+09 
5.81915e-04 7.32200e+07  1.26586e+09 1.26590e+09 
5.97798e-04 7.32278e+07  1.33319e+09 1.33324e+09 
6.13680e-04 7.32820e+07  1.40269e+09 1.40279e+09 
6.29561e-04 7.34338e+07  1.47423e+09 1.47450e+09 
6.45441e-04 7.37662e+07  1.54766e+09 1.54831e+09 
6.61317e-04 7.43796e+07  1.62279e+09 1.62413e+09 
6.77190e-04 7.53742e+07  1.69938e+09 1.70186e+09 
6.93057e-04 7.68305e+07  1.77725e+09 1.78140e+09 
7.08916e-04 7.87921e+07  1.85619e+09 1.86261e+09 
7.24766e-04 8.12527e+07  1.93611e+09 1.94538e+09 
7.40604e-04 8.41485e+07  2.01693e+09 2.02955e+09 
7.56429e-04 8.73591e+07  2.09868e+09 2.11502e+09 
7.72237e-04 9.07149e+07  2.18141e+09 2.20165e+09 
7.88028e-04 9.40120e+07  2.26526e+09 2.28933e+09 
8.03799e-04 9.70315e+07  2.35039e+09 2.37796e+09 
8.19548e-04 9.95614e+07  2.43695e+09 2.46746e+09 
8.35276e-04 1.01419e+08  2.52511e+09 2.55777e+09 
8.50980e-04 1.02468e+08  2.61496e+09 2.64884e+09 
8.66660e-04 1.02635e+08  2.70658e+09 2.74065e+09 
8.82316e-04 1.01915e+08  2.79997e+09 2.83321e+09 
8.97948e-04 1.00370e+08  2.89507e+09 2.92651e+09 
