1.64354e-05 1.21888e+06  3.09612e+04 3.09612e+04 
3.28708e-05 1.22038e+06  1.13738e+05 1.15067e+05 
4.93061e-05 1.22519e+06  2.37044e+05 2.42972e+05 
6.57412e-05 1.23564e+06  3.97272e+05 4.13422e+05 
8.21758e-05 1.25412e+06  5.90527e+05 6.24935e+05 
9.86097e-05 1.28270e+06  8.13037e+05 8.75840e+05 
1.15043e-04 1.32283e+06  1.06154e+06 1.16433e+06 
1.31474e-04 1.37501e+06  1.33361e+06 1.48851e+06 
1.47905e-04 1.43866e+06  1.62788e+06 1.84644e+06 
1.64333e-04 1.51204e+06  1.94418e+06 2.23619e+06 
1.80759e-04 1.59233e+06  2.28349e+06 2.65592e+06 
1.97183e-04 1.67579e+06  2.64780e+06 3.10387e+06 
2.13604e-04 1.75806e+06  3.03991e+06 3.57847e+06 
2.30021e-04 1.83453e+06  3.46308e+06 4.07833e+06 
2.46436e-04 1.90071e+06  3.92068e+06 4.60231e+06 
2.62847e-04 1.95262e+06  4.41581e+06 5.14951e+06 
2.79254e-04 1.98713e+06  4.95100e+06 5.71933e+06 
2.95658e-04 2.00224e+06  5.52797e+06 6.31145e+06 
3.12058e-04 1.99720e+06  6.14742e+06 6.92585e+06 
3.28454e-04 1.97260e+06  6.80905e+06 7.56280e+06 
3.44846e-04 1.93025e+06  7.51156e+06 8.22283e+06 
3.61234e-04 1.87303e+06  8.25285e+06 8.90674e+06 
3.77619e-04 1.80461e+06  9.03028e+06 9.61556e+06 
3.94001e-04 1.72911e+06  9.84091e+06 1.03505e+07 
4.10379e-04 1.65078e+06  1.06819e+07 1.11130e+07 
4.26754e-04 1.57360e+06  1.15507e+07 1.19045e+07 
4.43127e-04 1.50106e+06  1.24454e+07 1.27266e+07 
4.59497e-04 1.43585e+06  1.33650e+07 1.35810e+07 
4.75865e-04 1.37980e+06  1.43092e+07 1.44692e+07 
4.92231e-04 1.33378e+06  1.52787e+07 1.53928e+07 
5.08596e-04 1.29778e+06  1.62751e+07 1.63533e+07 
5.24959e-04 1.27106e+06  1.73003e+07 1.73520e+07 
5.41322e-04 1.25233e+06  1.83569e+07 1.83901e+07 
5.57683e-04 1.24004e+06  1.94474e+07 1.94684e+07 
5.74043e-04 1.23257e+06  2.05742e+07 2.05879e+07 
5.90404e-04 1.22853e+06  2.17392e+07 2.17489e+07 
6.06763e-04 1.22689e+06  2.29436e+07 2.29518e+07 
6.23122e-04 1.22716e+06  2.41880e+07 2.41964e+07 
6.39481e-04 1.22940e+06  2.54720e+07 2.54826e+07 
6.55840e-04 1.23418e+06  2.67945e+07 2.68098e+07 
6.72197e-04 1.24249e+06  2.81538e+07 2.81772e+07 
6.88555e-04 1.25555e+06  2.95476e+07 2.95840e+07 
7.04911e-04 1.27464e+06  3.09735e+07 3.10288e+07 
7.21267e-04 1.30080e+06  3.24292e+07 3.25105e+07 
7.37622e-04 1.33472e+06  3.39124e+07 3.40276e+07 
7.53975e-04 1.37647e+06  3.54217e+07 3.55786e+07 
7.70327e-04 1.42548e+06  3.69560e+07 3.71619e+07 
7.86676e-04 1.48043e+06  3.85152e+07 3.87761e+07 
8.03024e-04 1.53934e+06  4.00998e+07 4.04196e+07 
8.19369e-04 1.59967e+06  4.17108e+07 4.20911e+07 
8.35712e-04 1.65849e+06  4.33501e+07 4.37893e+07 
8.52052e-04 1.71273e+06  4.50194e+07 4.55131e+07 
8.68390e-04 1.75943e+06  4.67210e+07 4.72615e+07 
8.84724e-04 1.79595e+06  4.84567e+07 4.90338e+07 
9.01054e-04 1.82023e+06  5.02281e+07 5.08295e+07 
9.17382e-04 1.83095e+06  5.20362e+07 5.26484e+07 
9.33706e-04 1.82762e+06  5.38816e+07 5.44904e+07 
9.50027e-04 1.81061e+06  5.57639e+07 5.63557e+07 
9.66344e-04 1.78114e+06  5.76825e+07 5.82448e+07 
9.82659e-04 1.74109e+06  5.96361e+07 6.01581e+07 
9.98970e-04 1.69290e+06  6.16229e+07 6.20967e+07 
1.01528e-03 1.63931e+06  6.36413e+07 6.40614e+07 
1.03158e-03 1.58315e+06  6.56894e+07 6.60532e+07 
1.04789e-03 1.52715e+06  6.77658e+07 6.80735e+07 
1.06418e-03 1.47367e+06  6.98692e+07 7.01235e+07 
