1.15624e-04 6.34574e+04  5.06989e+04 5.06989e+04 
2.31248e-04 1.20976e+05  1.04454e+05 1.65874e+05 
3.46847e-04 1.57040e+05  1.83982e+05 2.84088e+05 
4.62324e-04 1.33175e+05  3.18422e+05 3.90863e+05 
5.77833e-04 1.05695e+05  4.72773e+05 5.22530e+05 
6.93368e-04 8.32471e+04  6.92294e+05 7.14431e+05 
8.08896e-04 9.57174e+04  9.24562e+05 9.61663e+05 
9.24426e-04 1.05962e+05  1.18473e+06 1.23652e+06 
1.03993e-03 8.04222e+04  1.51175e+06 1.53190e+06 
1.15543e-03 7.83737e+04  1.85023e+06 1.87118e+06 
1.27092e-03 9.97776e+04  2.23101e+06 2.27368e+06 
1.38643e-03 1.25426e+05  2.65820e+06 2.72422e+06 
1.50193e-03 1.38059e+05  3.10649e+06 3.18821e+06 
1.61739e-03 1.11706e+05  3.59919e+06 3.65345e+06 
1.73281e-03 8.02953e+04  4.12287e+06 4.14612e+06 
1.84823e-03 7.16891e+04  4.68581e+06 4.70056e+06 
1.96367e-03 8.70594e+04  5.29261e+06 5.32085e+06 
2.07910e-03 1.15631e+05  5.91920e+06 5.97894e+06 
2.19452e-03 1.18376e+05  6.58644e+06 6.64934e+06 
2.30989e-03 9.65586e+04  7.29687e+06 7.33625e+06 
2.42530e-03 8.34789e+04  8.03804e+06 8.06474e+06 
2.54069e-03 8.80212e+04  8.81790e+06 8.84823e+06 
2.65606e-03 1.06670e+05  9.62563e+06 9.67603e+06 
2.77144e-03 1.16030e+05  1.04680e+07 1.05295e+07 
2.88680e-03 1.01733e+05  1.13599e+07 1.14047e+07 
3.00212e-03 8.97711e+04  1.22820e+07 1.23139e+07 
3.11743e-03 9.47207e+04  1.32294e+07 1.32676e+07 
3.23274e-03 1.03557e+05  1.42130e+07 1.42614e+07 
3.34807e-03 9.90676e+04  1.52408e+07 1.52849e+07 
3.46338e-03 8.28439e+04  1.63113e+07 1.63364e+07 
3.57867e-03 8.29502e+04  1.74010e+07 1.74269e+07 
3.69395e-03 1.00525e+05  1.85194e+07 1.85655e+07 
3.80925e-03 1.11316e+05  1.96917e+07 1.97468e+07 
3.92451e-03 1.13784e+05  2.08986e+07 2.09551e+07 
4.03975e-03 1.09540e+05  2.21284e+07 2.21820e+07 
4.15498e-03 9.65933e+04  2.33933e+07 2.34347e+07 
4.27021e-03 8.30841e+04  2.47003e+07 2.47273e+07 
4.38542e-03 8.01719e+04  2.60434e+07 2.60665e+07 
4.50063e-03 9.04185e+04  2.74124e+07 2.74476e+07 
4.61584e-03 9.65080e+04  2.88209e+07 2.88626e+07 
4.73106e-03 9.44788e+04  3.02724e+07 3.03096e+07 
4.84625e-03 1.02824e+05  3.17455e+07 3.17919e+07 
4.96142e-03 1.15562e+05  3.32500e+07 3.33109e+07 
5.07658e-03 1.14250e+05  3.48030e+07 3.48615e+07 
5.19175e-03 1.01364e+05  3.63925e+07 3.64367e+07 
5.30688e-03 8.97597e+04  3.80034e+07 3.80368e+07 
5.42199e-03 8.30858e+04  3.96428e+07 3.96715e+07 
5.53712e-03 7.59157e+04  4.13313e+07 4.13518e+07 
5.65224e-03 7.69650e+04  4.30611e+07 4.30806e+07 
5.76736e-03 9.65334e+04  4.48109e+07 4.48513e+07 
5.88248e-03 1.18564e+05  4.65899e+07 4.66536e+07 
5.99759e-03 1.24796e+05  4.84117e+07 4.84808e+07 
6.11266e-03 1.15521e+05  5.02722e+07 5.03312e+07 
6.22771e-03 9.98429e+04  5.21635e+07 5.22069e+07 
6.34276e-03 8.54790e+04  5.40829e+07 5.41127e+07 
6.45779e-03 7.47671e+04  5.60362e+07 5.60556e+07 
6.57282e-03 7.13197e+04  5.80277e+07 5.80432e+07 
6.68784e-03 7.99950e+04  6.00563e+07 6.00802e+07 
6.80288e-03 1.00705e+05  6.21177e+07 6.21617e+07 
6.91792e-03 1.24620e+05  6.42059e+07 6.42745e+07 
7.03292e-03 1.32192e+05  6.63280e+07 6.64050e+07 
7.14790e-03 1.14194e+05  6.84917e+07 6.85499e+07 
7.26287e-03 8.76112e+04  7.06879e+07 7.07190e+07 
7.37782e-03 7.23630e+04  7.29105e+07 7.29270e+07 
7.49276e-03 7.16757e+04  7.51681e+07 7.51843e+07 
7.60770e-03 8.17806e+04  7.74646e+07 7.74904e+07 
7.72265e-03 9.97624e+04  7.97921e+07 7.98359e+07 
7.83760e-03 1.15289e+05  8.21497e+07 8.22097e+07 
7.95252e-03 1.15477e+05  8.45462e+07 8.46057e+07 
8.06744e-03 1.05046e+05  8.69764e+07 8.70247e+07 
8.18234e-03 9.70192e+04  8.94304e+07 8.94721e+07 
8.29723e-03 8.96046e+04  9.19195e+07 9.19549e+07 
8.41210e-03 8.04449e+04  9.44544e+07 9.44786e+07 
8.52697e-03 8.33336e+04  9.70188e+07 9.70446e+07 
8.64183e-03 1.02397e+05  9.96008e+07 9.96480e+07 
8.75669e-03 1.14210e+05  1.02220e+08 1.02281e+08 
8.87154e-03 1.02828e+05  1.04890e+08 1.04936e+08 
8.98638e-03 8.67463e+04  1.07588e+08 1.07617e+08 
9.10121e-03 8.56446e+04  1.10302e+08 1.10332e+08 
9.21604e-03 9.16178e+04  1.13052e+08 1.13090e+08 
9.33086e-03 9.51292e+04  1.15851e+08 1.15890e+08 
9.44566e-03 1.03103e+05  1.18680e+08 1.18726e+08 
9.56044e-03 1.14274e+05  1.21528e+08 1.21587e+08 
9.67521e-03 1.12064e+05  1.24410e+08 1.24468e+08 
